,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
127,Temple Specials,TenPuru: No One Can Live on Loneliness Specials,6.49,6663,6846,9,Special,2,Finished Airing,"Oct 25, 2023 to Nov 22, 2023",,,"None found, add some","None found, add some",Gekkou,Web manga,"Comedy, Romance, Ecchi",Harem,,13 min. per ep.,PG-13 - Teens 13 or older,12
128,Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi,Time Travel Girl,6.49,5202,6847,17,TV,12,Finished Airing,"Jul 9, 2016 to Sep 24, 2016",Summer 2016,Saturdays at 07:00 (JST),"TV Tokyo,       Studio Mausu",Funimation,WAO World,Book,"Adventure, Sci-Fi",Time Travel,,24 min. per ep.,PG - Children,11
129,Triage X: Recollection XOXO,,6.49,4370,6848,26,OVA,1,Finished Airing,"Nov 2, 2015",,,DAX Production,Sentai Filmworks,Xebec,Manga,"Action, Ecchi",School,Shounen,23 min.,R+ - Mild Nudity,13
130,Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro,Umi Monogatari: Faithful Hearts,6.49,8696,6850,4,Special,1,Finished Airing,"Mar 26, 2010",,,"None found, add some","None found, add some",Zexcs,Game,"Comedy, Fantasy, Supernatural",,,23 min.,PG-13 - Teens 13 or older,0
131,Uchuu Kuubo Blue Noah,Space Carrier Blue Noah,6.49,10814,6849,2,TV,24,Finished Airing,"Oct 13, 1979 to Mar 30, 1980",Fall 1979,Unknown,"None found, add some","None found, add some",Academy Productions,Original,"Action, Drama, Sci-Fi","Military, Space",,26 min. per ep.,PG - Children,3
132,Wo Shi Jiang Xiaobai 2nd Season,I'm Joybo 2nd Season,6.49,11234,6851,2,ONA,12,Finished Airing,"Nov 9, 2018 to Jan 25, 2019",,,"None found, add some","None found, add some",2:10 AM Animation,Original,"Drama, Romance, Slice of Life",Music,,27 min. per ep.,PG-13 - Teens 13 or older,3
133,Yadosagashi,House Hunting,6.49,9770,6852,3,Special,1,Finished Airing,"Jan 3, 2006",,,"None found, add some","None found, add some",Studio Ghibli,Original,"Adventure, Fantasy, Slice of Life",,Kids,12 min.,G - All Ages,0
134,Yakusoku (ONA),,6.49,12317,6853,1,ONA,1,Finished Airing,"Aug 13, 2013",,,"None found, add some","None found, add some","None found, add some",Original,Drama,Music,,6 min.,G - All Ages,1
135,Yuu☆Yuu☆Hakusho Picture Drama,,6.49,6037,6854,11,Special,1,Finished Airing,"Oct 27, 2009",,,"None found, add some","None found, add some",Pierrot,Manga,"Action, Fantasy","Martial Arts, Mythology",Shounen,6 min.,PG-13 - Teens 13 or older,12
136,Akiba's Trip The Animation,,6.49,1536,6855,151,TV,13,Finished Airing,"Jan 4, 2017 to Mar 29, 2017",Winter 2017,Wednesdays at 22:30 (JST),"AT-X,       DLE,       Studio Mausu,       BS Fuji,       Tokyo MX,       Evil Line Records,       Docomo Anime Store,       bilibili,       DMM.com,       Sotsu Music Publishing,       Exa International",Funimation,Gonzo,Game,"Action, Comedy, Supernatural, Ecchi",Otaku Culture,,23 min. per ep.,PG-13 - Teens 13 or older,309
