,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
64,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken Specials",,6.45,4315,7078,26,Special,6,Finished Airing,"Jan 6, 2016 to Jun 2, 2016","None found, add some",Funimation,SILVER LINK.,Light novel,"Comedy, Romance, Ecchi","Harem, School",,4 min. per ep.,PG-13 - Teens 13 or older,19,,
65,Osomatsu-kun,,6.45,9344,7079,3,TV,56,Finished Airing,"Feb 5, 1966 to Mar 25, 1967",Mainichi Broadcasting System,"None found, add some",Studio Zero,Manga,Comedy,,Shounen,25 min. per ep.,PG - Children,15,Winter 1966,Saturdays at 19:30 (JST)
66,Pokemon Best Wishes! Season 2,Pokémon: Black & White: Rival Destinies,6.45,2599,7080,71,TV,24,Finished Airing,"Jun 21, 2012 to Jan 10, 2013","TV Tokyo,       MediaNet,       Half H.P Studio,       Studio Jack",The Pokemon Company International,OLM,Game,"Action, Adventure, Comedy, Fantasy",,Kids,22 min. per ep.,PG - Children,35,Summer 2012,Thursdays at 19:00 (JST)
67,Pokemon: Odoru Pokemon Himitsu Kichi,Pokémon: Gotta Dance,6.45,5759,7081,13,Movie,1,Finished Airing,"Jul 19, 2003","None found, add some","4Kids Entertainment,       Miramax Films",OLM,Game,"Comedy, Fantasy",,Kids,24 min.,PG - Children,2,,
68,Qiang Shen Ji,,6.45,11932,7082,1,ONA,12,Finished Airing,"Dec 8, 2017 to Feb 23, 2018",Tencent Penguin Pictures,"None found, add some",Mokai Technology,Game,"Action, Sci-Fi",,,21 min. per ep.,PG-13 - Teens 13 or older,4,,
69,Ragnarök The Animation,Ragnarok the Animation,6.45,3136,7083,50,TV,26,Finished Airing,"Apr 7, 2004 to Sep 29, 2004","Gonzo,       Frontier Works",Funimation,G&G Entertainment,Game,"Action, Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,120,Spring 2004,Wednesdays at 01:30 (JST)
70,Robot Girls Z,,6.45,4732,7084,21,Special,3,Finished Airing,"Jan 4, 2014 to Mar 2, 2014","Nippon Columbia,       LandQ studios","None found, add some",Toei Animation,Original,Comedy,"Anthropomorphic, Parody",,27 min. per ep.,PG-13 - Teens 13 or older,20,,
71,Rockman Hoshi ni Negai wo,MegaMan: Wishing upon a Star,6.45,8854,7085,4,OVA,3,Finished Airing,"Sep 20, 2002",Capcom,ADV Films,Ashi Productions,Game,"Action, Adventure, Sci-Fi",,,28 min. per ep.,G - All Ages,14,,
72,Sekai Meisaku Douwa: Wow! Maerchen Oukoku,The World's Most Famous Tales,6.45,12511,7086,1,TV,26,Finished Airing,"Apr 7, 1995 to Sep 29, 1995","None found, add some","None found, add some",Toei Animation,Unknown,Fantasy,,,24 min. per ep.,G - All Ages,3,Spring 1995,Fridays at 16:00 (JST)
73,Senyoku no Sigrdrifa,Warlords of Sigrdrifa,6.45,3275,7087,46,TV,12,Finished Airing,"Oct 3, 2020 to Dec 26, 2020","Aniplex,       Good Smile Company,       Contents Seed,       Sonilude",Funimation,A-1 Pictures,Original,Action,Military,,25 min. per ep.,PG-13 - Teens 13 or older,68,Fall 2020,Saturdays at 23:30 (JST)
74,Shin Megami Tensei Devil Children: Light & Dark,,6.45,10605,7088,2,TV,52,Finished Airing,"Oct 5, 2002 to Sep 27, 2003","None found, add some","None found, add some",Actas,Unknown,"Action, Adventure, Fantasy, Sci-Fi, Supernatural","Mythology, Video Game",Kids,24 min. per ep.,PG - Children,3,Fall 2002,Unknown
75,Skate-Leading☆Stars,Skate-Leading Stars,6.45,3454,7089,42,TV,12,Finished Airing,"Jan 10, 2021 to Mar 28, 2021","None found, add some",Funimation,J.C.Staff,Original,Sports,"Performing Arts, School, Team Sports",,23 min. per ep.,PG-13 - Teens 13 or older,155,Winter 2021,Sundays at 22:30 (JST)
76,SKET Dance: SD Character Flash Anime,,6.45,9391,7090,3,ONA,16,Finished Airing,"Mar 7, 2011 to Oct 14, 2011","None found, add some","None found, add some",Tatsunoko Production,Unknown,Comedy,School,Shounen,1 min. per ep.,PG-13 - Teens 13 or older,0,,
77,Starmyu 3rd Season: Encore,,6.45,12571,7091,1,TV Special,1,Finished Airing,"Sep 30, 2019","None found, add some","None found, add some","None found, add some",Original,,"Idols (Male), Music, Performing Arts, School",,23 min.,PG-13 - Teens 13 or older,2,,
78,Tantei Kageki Milky Holmes TD,,6.45,6567,7092,9,TV,12,Finished Airing,"Jan 3, 2015 to Mar 28, 2015","Sotsu,       Bushiroad,       Chrono Gear Creative","None found, add some","J.C.Staff,       Nomad",Original,"Comedy, Mystery","Detective, Parody, Super Power",,22 min. per ep.,PG-13 - Teens 13 or older,10,Winter 2015,Saturdays at 22:00 (JST)
79,The☆Doraemons: Dokidoki Kikansha Daibakusou!,,6.45,11166,7093,2,Movie,1,Finished Airing,"Mar 11, 2000","None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy, Fantasy, Sci-Fi",,"KidsKids,         ShounenShounen",17 min.,PG - Children,0,,
80,Tokyo Ghoul:re 2nd Season,,6.45,195,7094,889,TV,12,Finished Airing,"Oct 9, 2018 to Dec 25, 2018","Marvelous Entertainment,       Pierrot Plus,       TC Entertainment,       Shueisha",Funimation,Pierrot,Manga,"Action, Fantasy, Horror, Suspense","Gore, Psychological",Seinen,24 min. per ep.,R - 17+ (violence & profanity),"2,819",Fall 2018,Tuesdays at 23:00 (JST)
81,Upotte!!,,6.45,2560,7095,72,ONA,10,Finished Airing,"Apr 7, 2012 to Jun 9, 2012","Kadokawa Shoten,       DAX Production,       Nippon Columbia",Sentai Filmworks,Xebec,Manga,"Action, Comedy, Ecchi",Military,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,166,,
82,Yakitori,Yakitori: Soldiers of Misfortune,6.45,9290,7096,3,ONA,6,Finished Airing,"May 18, 2023","None found, add some","None found, add some",ARECT,Novel,"Action, Sci-Fi","Military, Space",,31 min. per ep.,R - 17+ (violence & profanity),13,,
83,Youjuu Toshi,Wicked City,6.45,2926,7097,57,Movie,1,Finished Airing,"Apr 25, 1987","Japan Home Video,       Streamline Pictures","Discotek Media,       Urban Vision",Madhouse,Novel,"Action, Adventure, Drama, Horror","Gore, Mythology, Super Power",,1 hr. 22 min.,R+ - Mild Nudity,245,,
84,Shin Chuuka Ichiban!,True Cooking Master Boy,6.44,6000,7098,11,TV,12,Finished Airing,"Oct 12, 2019 to Dec 28, 2019","Kodansha,       DMM pictures,       JY Animation,       China Film Animation,       Beijing IMMG","None found, add some",Nihon Ad Systems,Manga,"Comedy, Gourmet",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,11,Fall 2019,Saturdays at 02:25 (JST)
85,Superflat Monogram,,6.44,7058,7099,8,Special,1,Finished Airing,2003,"None found, add some","None found, add some",Toei Animation,Original,"Adventure, Fantasy",,,5 min.,G - All Ages,5,,
86,Ta ga Tame no Alchemist,For Whom the Alchemist Exists,6.44,6058,7100,11,Movie,1,Finished Airing,"Jun 14, 2019","Magic Capsule,       flying DOG","None found, add some",Satelight,Game,"Action, Adventure, Fantasy",,,1 hr. 57 min.,PG-13 - Teens 13 or older,24,,
87,Tamako Market Specials,,6.44,3805,7101,34,Special,6,Finished Airing,"Mar 20, 2013 to Aug 21, 2013","None found, add some","None found, add some",Kyoto Animation,Original,Comedy,,,4 min. per ep.,PG-13 - Teens 13 or older,9,,
88,Tekken: Bloodline,,6.44,4021,7102,31,ONA,6,Finished Airing,"Aug 18, 2022","Bandai Namco Entertainment,       Netflix","None found, add some","Studio Hibari,       Larx Entertainment",Game,Action,Martial Arts,,25 min. per ep.,R - 17+ (violence & profanity),83,,
89,Tokyo 7th Sisters: Bokura wa Aozora ni Naru,,6.44,9496,7103,3,Movie,1,Finished Airing,"Feb 26, 2021",Toei Animation,"None found, add some",LandQ studios,Game,"Comedy, Slice of Life","Idols (Female), Music, School",,1 hr. 16 min.,PG-13 - Teens 13 or older,6,,
90,Uchuu Taitei God Sigma,Space Emperor God Sigma,6.44,11632,7104,1,TV,50,Finished Airing,"Mar 19, 1980 to Feb 25, 1981",TV Tokyo,Discotek Media,Toei Animation,Unknown,Action,"Mecha, Space",,25 min. per ep.,PG-13 - Teens 13 or older,3,Spring 1980,Unknown
91,Wangu Xian Qiong III: Eren Gu Pian,,6.44,11861,7105,1,ONA,13,Finished Airing,"Mar 8, 2019 to May 17, 2019",iQIYI,"None found, add some",ASK Animation Studio,Novel,"Adventure, Comedy, Fantasy",,,16 min. per ep.,PG-13 - Teens 13 or older,2,,
92,Watashi no Touchika,Our Little Pond,6.44,18686,7106,301,Movie,1,Finished Airing,"Mar 7, 2021",Geidai Animation,"None found, add some","None found, add some",Original,Drama,,,14 min.,PG - Children,0,,
93,Wo de Tian Jie Nu You,My Cultivator Girlfriend,6.44,3655,7107,38,ONA,15,Finished Airing,"Sep 20, 2017 to Jan 4, 2018","Tencent Animation & Comics,       KJJ Animation","None found, add some","Big Firebird Culture,       TrioPen Studio",Web manga,"Adventure, Fantasy, Romance, Supernatural",Super Power,,15 min. per ep.,R - 17+ (violence & profanity),111,,
94,Xiang Ling Ji,,6.44,10616,7108,2,ONA,15,Finished Airing,"Mar 22, 2017 to Aug 16, 2017",Tencent Animation & Comics,"None found, add some",Haoliners Animation League,Web manga,"Action, Fantasy",Mythology,,15 min. per ep.,PG-13 - Teens 13 or older,14,,
95,Yodaka no Hoshi,The Nighthawk Star,6.44,10034,7109,3,Movie,1,Finished Airing,2013,NHK,"None found, add some","None found, add some",Picture book,Adventure,,Kids,10 min.,G - All Ages,6,,
96,Yousei Florence,A Journey Through Fairyland,6.44,10390,7110,2,Movie,1,Finished Airing,"Oct 26, 1985","None found, add some",Discotek Media,Sanrio,Original,"Adventure, Fantasy",Music,,1 hr. 31 min.,G - All Ages,3,,
97,Yumedamaya Kidan,,6.44,9665,7111,3,TV Special,1,Finished Airing,"Nov 25, 2007","None found, add some","None found, add some",Production I.G,Original,"Drama, Fantasy",,,24 min.,PG - Children,2,,
98,Aikatsu Planet! Movie,,6.44,13441,7112,1,Movie,1,Finished Airing,"Jul 15, 2022","None found, add some","None found, add some",Bandai Namco Pictures,Game,Slice of Life,"Idols (Female), Music, School",,21 min.,PG - Children,2,,
99,Astro Boy: Tetsuwan Atom - 10-man Kounen no Raihousha - IGZA,"ASTROBOY - VISITOR OF 100,000 LIGHT -YEARS IGZA-",6.44,13001,7113,1,Movie,1,Finished Airing,"Sep 1, 2005","None found, add some","None found, add some","None found, add some",Manga,Sci-Fi,"Mecha, Space",Kids,41 min.,G - All Ages,0,,
100,Ayakashi Triangle,,6.44,2618,7114,70,TV,12,Finished Airing,"Jan 10, 2023 to Sep 26, 2023","Aniplex,       Yomiuri Telecasting,       Chugai Mining,       Shueisha,       BS11,       Marui Group,       Studio Tenjin","None found, add some",Connect,Manga,"Action, Comedy, Romance, Supernatural, Ecchi","Magical Sex Shift, Mythology",Shounen,23 min. per ep.,R+ - Mild Nudity,306,Winter 2023,Tuesdays at 01:00 (JST)
101,Baby Baachan,Baby Grandma,6.44,13072,7115,1,TV,53,Finished Airing,"Apr 8, 2002 to Dec 4, 2002","Bandai Visual,       NHK,       Bandai","None found, add some","None found, add some",Original,"Comedy, Drama",,,7 min. per ep.,G - All Ages,0,Spring 2002,Not scheduled once per week
102,Battle Spirits: Kakumei no Galette,,6.44,12557,7116,1,ONA,5,Finished Airing,"Aug 28, 2020 to Apr 23, 2021","None found, add some","None found, add some",Bandai Namco Pictures,Card game,"Adventure, Sci-Fi","Military, Mythology, Strategy Game",,24 min. per ep.,PG-13 - Teens 13 or older,0,,
103,Brothers Conflict: Setsubou,,6.44,4639,7117,22,Special,1,Finished Airing,"Feb 26, 2014","None found, add some",Funimation,Brain's Base,Novel,Romance,Reverse Harem,,14 min.,PG-13 - Teens 13 or older,20,,
104,Chance Triangle Session,Chance Pop Session,6.44,7889,7118,6,TV,13,Finished Airing,"May 21, 2001 to Aug 27, 2001",Avex Entertainment,ADV Films,Madhouse,Radio,"Drama, Slice of Life","Idols (Female), Music",,24 min. per ep.,PG-13 - Teens 13 or older,14,Spring 2001,Mondays at 01:30 (JST)
105,Cheonbangjichuk Hani,,6.44,15982,7119,523,TV,13,Finished Airing,1988 to 1989,KBS,"None found, add some",Daewon Media,Unknown,"Comedy, Drama, Sports",School,,20 min. per ep.,None,0,?,Unknown
106,Chousoku Henkei Gyrozetter,,6.44,7963,7120,5,TV,51,Finished Airing,"Oct 2, 2012 to Sep 24, 2013","TV Tokyo,       Shochiku","None found, add some",A-1 Pictures,Game,Action,"Mecha, Racing",,25 min. per ep.,G - All Ages,17,Fall 2012,Tuesdays at 18:00 (JST)
107,Citrus,,6.44,430,7121,519,TV,12,Finished Airing,"Jan 6, 2018 to Mar 24, 2018","Sotsu,       Lantis,       AT-X,       KlockWorx,       Happinet Pictures,       BS Fuji,       Tokyo MX,       Infinite,       Children's Playground Entertainment,       Ichijinsha,       Crunchyroll SC Anime Fund",Funimation,Passione,Manga,"Drama, Girls Love",School,,23 min. per ep.,PG-13 - Teens 13 or older,"3,902",Winter 2018,Saturdays at 23:30 (JST)
108,Code Geass: Boukoku no Akito 5 - Itoshiki Mono-tachi e Picture Drama,Code Geass: Akito the Exiled - To Beloved Ones Picture Drama,6.44,6658,7122,9,Special,1,Finished Airing,"Apr 22, 2016","None found, add some","None found, add some",Sunrise,Original,Comedy,Military,,8 min.,PG-13 - Teens 13 or older,13,,
109,Dog Days Recap,,6.44,8136,7123,5,TV Special,1,Finished Airing,"Jan 11, 2015",Aniplex,"None found, add some",Seven Arcs,Unknown,"Action, Adventure, Fantasy",,,24 min.,PG-13 - Teens 13 or older,4,,
110,"Doraemon Movie: Boku, Momotarou no Nanna no Sa",,6.44,10494,7126,2,Movie,1,Finished Airing,"Aug 1, 1981",TV Asahi,"None found, add some",Shin-Ei Animation,Unknown,"Adventure, Fantasy, Sci-Fi",,"KidsKids,         ShounenShounen",47 min.,PG - Children,0,,
111,Donguri no Ie,,6.44,15807,7125,542,Movie,1,Finished Airing,1997,"None found, add some","None found, add some","None found, add some",Manga,"Award Winning, Drama",,,1 hr. 33 min.,G - All Ages,1,,
112,Dog Days'': Limone Resort Tenbou Onsen!,,6.44,6755,7124,8,Special,1,Finished Airing,"Aug 26, 2015","None found, add some","None found, add some",Seven Arcs Pictures,Original,"Fantasy, Ecchi",Isekai,,11 min.,PG-13 - Teens 13 or older,7,,
113,Eden's Bowy,,6.44,7361,7127,7,TV,26,Finished Airing,"Apr 6, 1999 to Sep 24, 1999","Bandai Visual,       Sotsu,       TV Tokyo Music",ADV Films,Studio Deen,Manga,"Action, Adventure, Fantasy, Romance, Sci-Fi",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,12,Spring 1999,Tuesdays at 18:00 (JST)
114,Fate/Apocrypha Recaps,,6.44,5099,7128,18,TV Special,2,Finished Airing,"Sep 24, 2017 to Nov 18, 2017","None found, add some","None found, add some",A-1 Pictures,Light novel,"Action, Drama, Fantasy, Supernatural",Historical,,24 min. per ep.,R - 17+ (violence & profanity),24,,
