,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
0,Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki,Sherlock Hound: The Adventure of the Blue Carbuncle / Treasure Under the Sea,6.58,11564,6295,1,Movie,1,Finished Airing,"Mar 11, 1984","None found, add some","None found, add some",TMS Entertainment,Novel,"Adventure, Comedy, Mystery","Anthropomorphic, Detective",46 min.,G - All Ages,0,,,
1,Kirakira Happy★Hirake! Cocotama,,6.58,12775,6292,1,TV,55,Finished Airing,"Sep 6, 2018 to Sep 26, 2019",TV Tokyo,"None found, add some",OLM,Original,"Fantasy, Slice of Life",,24 min. per ep.,PG - Children,1,Fall 2018,Thursdays at 17:55 (JST),Kids
2,Ling Yu 4th Season,,6.58,11698,6294,1,ONA,12,Finished Airing,"Dec 8, 2016 to Feb 23, 2017",iQIYI,"None found, add some",Haoliners Animation League,Novel,Fantasy,,14 min. per ep.,PG-13 - Teens 13 or older,1,,,
3,Kujira no Chouyaku,,6.58,6543,6293,9,Movie,1,Finished Airing,"Nov 14, 1998","Bandai Visual,       Ai ga areba Daijobu,       Project Team Sarah","None found, add some",Tamura Shigeru Studio,Original,"Award Winning, Drama, Fantasy",,22 min.,G - All Ages,37,,,Kids
4,Mu Wang Zhi Wang: Han Tie Dou,Great King of the Grave: Cold Iron Fight,6.58,14341,6296,810,ONA,21,Finished Airing,"May 11, 2017 to Sep 21, 2017","None found, add some","None found, add some",BUILD DREAM,Original,"Action, Mystery, Romance","Historical, Martial Arts",19 min. per ep.,PG-13 - Teens 13 or older,2,,,
5,Nagareboshi Lens,,6.58,4473,6297,24,OVA,1,Finished Airing,"Mar 18, 2012",Advance Syakujii,"None found, add some",Kinema Citrus,Manga,Romance,,18 min.,G - All Ages,34,,,Shoujo
6,Nanatsu no Taizai: Funnu no Shinpan,The Seven Deadly Sins: Dragon's Judgement,6.58,533,6298,429,TV,24,Finished Airing,"Jan 13, 2021 to Jun 23, 2021",TV Tokyo,"None found, add some",Studio Deen,Manga,"Action, Adventure, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,"1,587",Winter 2021,Wednesdays at 17:55 (JST),Shounen
7,Oda Cinnamon Nobunaga,,6.58,4758,6299,21,TV,12,Finished Airing,"Jan 11, 2020 to Mar 28, 2020","TV Tokyo,       Dentsu,       Shochiku,       Avex Pictures,       Amuse,       Sammy,       North Stars Pictures,       Mixer","None found, add some",Studio Signpost,Manga,"Comedy, Slice of Life","Anthropomorphic, Historical, Pets, Reincarnation",23 min. per ep.,PG-13 - Teens 13 or older,42,Winter 2020,Saturdays at 01:23 (JST),Seinen
8,One Piece: Dai Gekisen Tokushuu! Hangeki Doumei vs. Big Mom,One Piece: Recapping Fierce Fights! The Countercharge Alliance vs. Big Mom,6.58,10046,6300,3,TV Special,1,Finished Airing,"Jun 18, 2023","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",,24 min.,PG-13 - Teens 13 or older,2,,,Shounen
9,Ranpo Kitan: Game of Laplace,Rampo Kitan: Game of Laplace,6.58,1849,6301,118,TV,11,Finished Airing,"Jul 3, 2015 to Sep 18, 2015","Aniplex,       Dentsu,       Fuji TV,       Fujipacific Music,       Kyoraku Industrial Holdings,       Kansai Telecasting,       Kobunsha",Funimation,Lerche,Original,"Mystery, Suspense","Detective, Gore, Psychological",23 min. per ep.,R - 17+ (violence & profanity),341,Summer 2015,Fridays at 00:55 (JST),
10,Re:Monster,,6.58,2250,6302,89,TV,12,Currently Airing,"Apr 5, 2024 to ?","Genco,       Pony Canyon,       BS11,       Crunchyroll,       U-NEXT,       Muse Communication,       AlphaPolis,       Saber Links,       HIAN,       Studio Tronc,       Capibara","None found, add some",Studio Deen,Light novel,"Action, Adventure, Fantasy","Isekai, Reincarnation",23 min. per ep.,R - 17+ (violence & profanity),295,Spring 2024,Fridays at 00:00 (JST),
11,Road to You,,6.58,5916,6303,12,ONA,3,Finished Airing,"Oct 11, 2017 to Oct 2, 2019",Calf Studio,"None found, add some","Sunrise,       The Answer Studio,       Ijigen Tokyo",Original,"Drama, Romance",,3 min. per ep.,G - All Ages,18,,,
12,Sacred Seven,,6.58,2433,6304,78,TV,12,Finished Airing,"Jul 3, 2011 to Sep 16, 2011",Bandai,Sentai Filmworks,Sunrise,Original,"Action, Sci-Fi","School, Super Power",24 min. per ep.,PG-13 - Teens 13 or older,81,Summer 2011,Sundays at 02:28 (JST),
13,Seton Doubutsuki,Seton Animal Chronicles,6.58,13181,6306,1,TV,45,Finished Airing,"Oct 14, 1989 to Dec 22, 1990",Nippon Television Network,"None found, add some",Eiken,Unknown,"Adventure, Fantasy",,25 min. per ep.,G - All Ages,2,Fall 1989,Unknown,
14,Saikin Yatotta Maid ga Ayashii,The Maid I Hired Recently Is Mysterious,6.58,1774,6305,125,TV,11,Finished Airing,"Jul 24, 2022 to Oct 9, 2022","Square Enix,       Medicos Entertainment,       King Records,       Nagoya Broadcasting Network,       ABC Animation,       ABC Frontier","None found, add some","SILVER LINK.,       Blade",Manga,Comedy,Romantic Subtext,23 min. per ep.,PG-13 - Teens 13 or older,506,Summer 2022,Sundays at 02:00 (JST),Shounen
15,Shakugan no Shana: Friagne & Marianne no Naze Nani Shana! Nandemo Shitsumonbako!,,6.58,5716,6307,13,Special,8,Finished Airing,"Jan 25, 2006 to Aug 25, 2006","None found, add some",Funimation,J.C.Staff,Light novel,"Comedy, Fantasy",,3 min. per ep.,PG-13 - Teens 13 or older,3,,,
16,Sonic X,,6.58,2379,6308,81,TV,78,Finished Airing,"Apr 6, 2003 to Mar 28, 2004",TV Tokyo,"4Kids Entertainment,       Discotek Media",TMS Entertainment,Game,"Action, Adventure, Comedy, Sci-Fi",Anthropomorphic,24 min. per ep.,PG - Children,638,Spring 2003,Sundays at 08:30 (JST),Kids
17,Soukou Kihei Votoms: Pailsen Files Movie,,6.58,11142,6309,2,Movie,1,Finished Airing,"Jan 17, 2009",Sunrise,"None found, add some",The Answer Studio,Original,Sci-Fi,"Mecha, Military, Space",1 hr. 58 min.,R - 17+ (violence & profanity),0,,,
18,Spirit of Wonder: China-san Tanpenshuu,Spirit of Wonder: China-san Short Stories,6.58,10212,6310,2,Special,3,Finished Airing,"Jan 25, 2001 to Jan 23, 2004",Toshiba EMI,"None found, add some",Ajia-do,Manga,"Comedy, Sci-Fi",,13 min. per ep.,R+ - Mild Nudity,4,,,Seinen
19,Star Ocean EX,,6.58,5693,6311,13,TV,26,Finished Airing,"Apr 3, 2001 to Sep 25, 2001","TV Tokyo,       Dentsu","Discotek Media,       Geneon Entertainment USA",Studio Deen,Game,"Adventure, Fantasy, Sci-Fi",,22 min. per ep.,PG-13 - Teens 13 or older,30,Spring 2001,Tuesdays at 18:30 (JST),Shounen
20,Tales of Crestoria: Toga Waga wo Shoite Kare wa Tatsu,Tales of Crestoria: The Wake of Sin,6.58,9790,6313,3,TV Special,1,Finished Airing,"Oct 18, 2020",Bandai Namco Entertainment,"None found, add some",Kamikaze Douga,Game,"Adventure, Fantasy",,14 min.,PG-13 - Teens 13 or older,3,,,
21,Sword Art Online: Sword Art Offline - Extra Edition,Sword Art Offline: Extra Edition,6.58,2690,6312,66,Special,1,Finished Airing,"Apr 23, 2014","None found, add some",Aniplex of America,I was a Ballerina,Light novel,Comedy,,13 min.,PG-13 - Teens 13 or older,88,,,
22,Tide-Line Blue: Kyoudai,,6.58,11329,6314,2,Special,1,Finished Airing,"Apr 26, 2006","Bandai Visual,       TV Asahi,       Lantis",Bandai Entertainment,Telecom Animation Film,Original,"Adventure, Drama",,23 min.,PG-13 - Teens 13 or older,1,,,
