Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Morita-san wa Mukuchi. 2,,6.63,5642,6044,13,TV,13,Finished Airing,"Oct 5, 2011 to Dec 28, 2011","DAX Production,       Takeshobo","None found, add some",Seven,4-koma manga,"Comedy, Slice of Life",3 min. per ep.,PG-13 - Teens 13 or older,6,Fall 2011,Unknown,School,
Nihon Chinbotsu 2020 Gekijou Henshuuban: Shizumanu Kibou,Japan Sinks 2020 Theatrical Edition: Unsinkable Hope,6.63,14179,6045,851,Movie,1,Finished Airing,13-Nov-20,"None found, add some","None found, add some",Science SARU,Novel,"Adventure, Drama, Sci-Fi, Suspense",2 hr. 31 min.,R - 17+ (violence & profanity),4,,,,
Nurse Witch Komugi-chan Magikarte Z,,6.63,7477,6046,6,OVA,2,Finished Airing,"Sep 10, 2004 to Sep 22, 2005",Geneon Entertainment,"None found, add some",Tatsunoko Production,Original,Comedy,26 min. per ep.,PG-13 - Teens 13 or older,9,,,"Gag Humor, Mahou Shoujo, Parody",
Ontama!,,6.63,10057,6047,3,ONA,5,Finished Airing,"Aug 7, 2009 to Nov 6, 2009","None found, add some","None found, add some",Encourage Films,Manga,"Comedy, Slice of Life",11 min. per ep.,G - All Ages,3,,,,Seinen
Pokemon Movie 14 White: Victini to Kuroki Eiyuu Zekrom,Pokémon the Movie: White - Victini and Zekrom,6.63,2871,6048,59,Movie,1,Finished Airing,16-Jul-11,"None found, add some",The Pokemon Company International,"Production I.G,       Xebec,       OLM",Game,"Adventure, Comedy, Drama, Fantasy",1 hr. 36 min.,PG - Children,11,,,,Kids
Pokemon Movie 19: Volcanion to Karakuri no Magearna,Pokémon the Movie: Volcanion and the Mechanical Marvel,6.63,3606,6049,39,Movie,1,Finished Airing,16-Jul-16,"None found, add some",The Pokemon Company International,OLM,Game,"Adventure, Fantasy",1 hr. 34 min.,PG - Children,7,,,,Kids
Porte,,6.63,10018,6050,3,OVA,1,Finished Airing,21-Aug-19,Warner Music Japan,"None found, add some","None found, add some",Original,,3 min.,PG - Children,3,,,,
Pukapuka Juju,,6.63,7895,6051,6,TV Special,1,Finished Airing,19-Mar-12,"None found, add some","None found, add some",The Answer Studio,Original,"Fantasy, Slice of Life",24 min.,G - All Ages,5,,,,
Qing Lian Jian Xian Chuan,Legend of Lotus Sword Fairy,6.63,15438,6052,592,ONA,54,Finished Airing,"Apr 23, 2023 to Oct 15, 2023","iQIYI,       Liu Cong Animation","None found, add some",Ruo Hong Culture,Unknown,"Action, Adventure, Fantasy",9 min. per ep.,PG-13 - Teens 13 or older,2,,,Martial Arts,
Recorder to Randoseru Do♪,Recorder and Randsell,6.63,2984,6053,55,TV,13,Finished Airing,"Jan 6, 2012 to Mar 28, 2012","Takeshobo,       Dream Creation","None found, add some",Seven,4-koma manga,"Comedy, Slice of Life",3 min. per ep.,PG-13 - Teens 13 or older,31,Winter 2012,Unknown,School,Seinen
Rilu Rilu Fairilu: Mahou no Kagami,,6.63,10978,6054,2,TV,51,Finished Airing,"Apr 7, 2017 to Mar 30, 2018",Sotsu,"None found, add some",Studio Deen,Original,"Fantasy, Slice of Life",23 min. per ep.,G - All Ages,3,Spring 2017,Fridays at 17:55 (JST),,
Sangokushi: Dai Ni Bu - Choukou Moyu!,Great Conquest: Romance of Three Kingdoms,6.63,14206,6055,841,Movie,1,Finished Airing,20-Mar-93,Shinano Kikaku,"None found, add some",Toei Animation,Novel,Action,2 hr. 28 min.,PG-13 - Teens 13 or older,0,,,Historical,
Seton Doubutsuki: Risu no Banner,Bannertail: The Story of Gray Squirrel,6.63,11213,6056,2,TV,26,Finished Airing,"Apr 7, 1979 to Sep 29, 1979","None found, add some","None found, add some",Nippon Animation,Novel,Drama,23 min. per ep.,G - All Ages,1,Spring 1979,Unknown,,Kids
Shi Fang Jian Sheng,Sword Saint of The Ten Realms,6.63,15326,6057,611,ONA,18,Finished Airing,"Jul 1, 2023 to Aug 20, 2023",Tencent Penguin Pictures,"None found, add some",Cloud Culture,Web novel,"Action, Adventure, Fantasy",13 min. per ep.,PG-13 - Teens 13 or older,1,,,Martial Arts,
Shin Cutie Honey,New Cutey Honey,6.63,6155,6058,11,OVA,8,Finished Airing,"Apr 21, 1994 to Nov 21, 1995","Toei Video,       Dynamic Planning","ADV Films,       Discotek Media",Toei Animation,Manga,"Adventure, Comedy, Sci-Fi, Ecchi",26 min. per ep.,R+ - Mild Nudity,39,,,,
Suki na Mono wa Suki Dakara Shou ga Nai!!,Sukisho,6.63,3126,6059,50,TV,12,Finished Airing,"Jan 9, 2005 to Mar 27, 2005","Bandai Visual,       Lantis,       Movic",Media Blasters,Zexcs,Visual novel,"Boys Love, Comedy, Drama",24 min. per ep.,PG-13 - Teens 13 or older,233,Winter 2005,Unknown,School,
Teppen!!!!!!!!!!!!!!!,Teppen—!!!!!!!!!!!!!!! Laughing 'til You Cry,6.63,4943,6060,19,TV,12,Finished Airing,"Jul 2, 2022 to Sep 24, 2022","DAX Production,       Tokyo MX,       CyberAgent,       Epicross,       Bushiroad Move,       Bushiroad Creative","None found, add some",Drive,Manga,Comedy,23 min. per ep.,PG-13 - Teens 13 or older,56,Summer 2022,Saturdays at 22:30 (JST),School,
Tokimeki Memorial: Only Love Specials,,6.63,8433,6061,5,Special,2,Finished Airing,21-Sep-07,Konami Digital Entertainment,"None found, add some",AIC ASTA,Original,Comedy,25 min. per ep.,PG-13 - Teens 13 or older,4,,,School,
Toriko: Barbarian Ivy wo Hokaku Seyo!,,6.63,9641,6062,3,Special,1,Finished Airing,23-Oct-10,"None found, add some","None found, add some","None found, add some",Manga,"Action, Adventure, Comedy, Gourmet",40 min.,PG-13 - Teens 13 or older,0,,,Super Power,Shounen
Ultra Maniac OVA,,6.63,8083,6063,5,OVA,1,Finished Airing,06-Aug-02,"None found, add some","None found, add some",Ashi Productions,Manga,"Comedy, Fantasy, Romance",21 min.,G - All Ages,3,,,School,
Ultraman Season 2,,6.63,6491,6064,9,ONA,6,Finished Airing,14-Apr-22,"Dentsu,       Tsuburaya Productions,       Bandai Namco Arts,       Netflix","None found, add some","Production I.G,       Sola Digital Arts",Manga,"Action, Sci-Fi",24 min. per ep.,R - 17+ (violence & profanity),24,,,Super Power,Seinen
"Urusei Yatsura: Haru da, Tobidase!",,6.63,7985,6065,5,Special,1,Finished Airing,31-Mar-82,"None found, add some","None found, add some",Pierrot,Manga,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",44 min.,PG-13 - Teens 13 or older,4,,,,Shounen
Wakako-zake,Wakakozake,6.63,3487,6066,41,TV,12,Finished Airing,"Jul 5, 2015 to Sep 20, 2015","None found, add some","None found, add some",Office DCI,Manga,"Gourmet, Slice of Life",2 min. per ep.,PG-13 - Teens 13 or older,140,Summer 2015,Sundays at 22:27 (JST),Adult Cast,Seinen
Wakaokami wa Shougakusei!,Okko's Inn,6.63,7154,6067,7,TV,24,Finished Airing,"Apr 8, 2018 to Sep 23, 2018","TV Tokyo,       Nihon Ad Systems,       Kodansha,       AT-X,       GAGA,       Techno Sound,       NADA Holdings,       Aeon Entertainment","None found, add some","Madhouse,       DLE",Novel,"Comedy, Slice of Life, Supernatural",12 min. per ep.,G - All Ages,5,Spring 2018,Sundays at 07:14 (JST),,
Wild Arms: Twilight Venom,Wild Arms,6.63,6834,6068,8,TV,22,Finished Airing,"Oct 18, 1999 to Mar 27, 2000","Aniplex,       WOWOW",ADV Films,Bee Train,Game,"Action, Adventure, Fantasy, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,16,Fall 1999,Mondays at 19:00 (JST),Vampire,
Yesterday wo Utatte: Haishin-ban Episode,,6.63,4574,6069,23,ONA,6,Finished Airing,"Apr 5, 2020 to Jun 21, 2020","None found, add some","None found, add some",Doga Kobo,Manga,"Drama, Romance",2 min. per ep.,PG-13 - Teens 13 or older,16,,,,Seinen
Youkai Watch,Yo-kai Watch,6.63,3913,6070,33,TV,214,Finished Airing,"Jan 8, 2014 to Mar 30, 2018","TV Tokyo,       Dentsu",Dentsu Entertainment USA,OLM,Game,"Comedy, Supernatural",23 min. per ep.,G - All Ages,237,Winter 2014,Fridays at 18:30 (JST),Mythology,Kids
Yumemiru Danshi wa Genjitsushugisha,The Dreaming Boy is a Realist,6.63,1520,6071,153,TV,12,Finished Airing,"Jul 4, 2023 to Sep 19, 2023","Pony Canyon,       DAX Production,       Hobby Japan,       BS NTV,       MAGNET",Sentai Filmworks,"Studio Gokumi,       AXsiZ",Light novel,"Comedy, Romance",23 min. per ep.,PG-13 - Teens 13 or older,967,Summer 2023,Tuesdays at 02:00 (JST),School,
Star Driver the Movie,,6.62,5797,6072,12,Movie,1,Finished Airing,09-Feb-13,"Aniplex,       Dentsu,       Square Enix,       Mainichi Broadcasting System,       Bandai Namco Entertainment","None found, add some",Bones,Original,"Action, Romance, Sci-Fi",2 hr. 30 min.,PG-13 - Teens 13 or older,9,,,"Mecha, School",
Stratos 4,,6.62,5836,6073,12,TV,13,Finished Airing,"Jan 5, 2003 to Mar 30, 2003",Bandai Visual,Bandai Entertainment,Studio Fantasia,Original,"Comedy, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,48,Winter 2003,Sundays at 00:30 (JST),Military,
Super Doll Licca-chan,,6.62,8732,6074,4,TV,52,Finished Airing,"Oct 6, 1998 to Sep 28, 1999","TV Tokyo,       Dentsu,       Genco","None found, add some",Madhouse,Other,"Adventure, Comedy",25 min. per ep.,G - All Ages,5,Fall 1998,Tuesdays at 18:30 (JST),,
Tennis no Oujisama: Message in a Bottle,,6.62,10458,6075,2,Special,1,Finished Airing,22-Dec-09,"None found, add some","None found, add some",Production I.G,Manga,Comedy,11 min.,PG-13 - Teens 13 or older,0,,,School,Shounen
The New Gate,,6.62,2723,6076,65,TV,12,Currently Airing,"Apr 14, 2024 to ?","KlockWorx,       King Records,       MAGNET,       CTW,       AlphaPolis,       Studio Bus","None found, add some","Yokohama Animation Lab,       Cloud Hearts",Light novel,"Action, Adventure, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,249,Spring 2024,Sundays at 01:30 (JST),Isekai,
Touch 2: Sayonara no Okurimono,,6.62,10787,6077,2,Movie,1,Finished Airing,13-Dec-86,"OB Planning,       Asatsu DK,       Fuji TV,       TOHO","None found, add some",Group TAC,Unknown,"Drama, Romance, Sports",1 hr. 20 min.,PG-13 - Teens 13 or older,2,,,Team Sports,
Touken Ranbu: Hanamaru - Makuai Kaisouroku,,6.62,8111,6078,5,Movie,1,Finished Airing,01-Dec-17,"None found, add some","None found, add some",Doga Kobo,Game,"Action, Comedy, Fantasy",1 hr. 25 min.,PG-13 - Teens 13 or older,13,,,"Anthropomorphic, Historical",
Toutotsu ni Egypt Shin 2,"Oh, Suddenly Egyptian God 2",6.62,10284,6079,2,ONA,10,Finished Airing,"Jan 11, 2023 to Mar 15, 2023","None found, add some","None found, add some",Typhoon Graphics,Other,"Comedy, Fantasy",5 min. per ep.,G - All Ages,6,,,Mythology,
Wu Ying Sanqian Dao,Three Thousand Roads,6.62,12675,6080,1,ONA,10,Finished Airing,"Mar 27, 2022 to May 15, 2022",Tencent Penguin Pictures,"None found, add some",Tang Kirin Culture,Novel,"Action, Adventure, Fantasy",12 min. per ep.,PG-13 - Teens 13 or older,9,,,,
Yamato Takeru,,6.62,10325,6081,2,TV,37,Finished Airing,"Apr 9, 1994 to Dec 24, 1994","None found, add some","None found, add some",Nippon Animation,Original,"Action, Adventure, Fantasy, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,11,Spring 1994,Saturdays at 17:30 (JST),"Mecha, Space",
Yamato yo Towa ni,Be Forever Yamato,6.62,9000,6082,4,Movie,1,Finished Airing,02-Aug-80,"None found, add some","None found, add some",Toei Animation,Original,"Action, Adventure, Drama, Sci-Fi",2 hr. 28 min.,PG-13 - Teens 13 or older,8,,,"Adult Cast, Military, Space",
