Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Yuusha ga Shinda!,The Legendary Hero Is Dead!,6.62,1818,6083,121,TV,12,Finished Airing,"Apr 7, 2023 to Jun 23, 2023","Pony Canyon,       Tohokushinsha Film Corporation,       Shogakukan,       Crunchyroll,       WOWMAX","None found, add some",LIDENFILMS,Web manga,"Action, Comedy, Fantasy, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,373,Spring 2023,Fridays at 01:00 (JST),"Harem, Parody",
Zinba,,6.62,11725,6084,1,TV,52,Finished Airing,"Aug 24, 2013 to Oct 13, 2013",B.CMAY PICTURES,"None found, add some",Alpha Animation,Unknown,"Action, Adventure, Comedy",23 min. per ep.,PG - Children,36,Summer 2013,Unknown,"Mythology, Super Power",
.hack//Unison,,6.62,4509,6085,24,Special,1,Finished Airing,24-Oct-03,"Bandai Visual,       Bandai",Bandai Entertainment,Bee Train,Original,"Adventure, Comedy, Fantasy, Sci-Fi",24 min.,PG-13 - Teens 13 or older,15,,,Video Game,
30-sai no Hoken Taiiku,A Thirty-Year Old's Health and Physical Education,6.62,2751,6086,64,TV,12,Finished Airing,"Apr 7, 2011 to Jun 23, 2011","None found, add some","None found, add some",Gathering,Book,"Comedy, Romance, Ecchi",13 min. per ep.,R - 17+ (violence & profanity),82,Spring 2011,Thursdays at 03:00 (JST),"Adult Cast, Parody",
8-gatsu no Symphony: Shibuya 2002-2003,Symphony in August,6.62,11695,6087,1,Movie,1,Finished Airing,22-Aug-09,"None found, add some","None found, add some",WAO World,Book,,1 hr. 52 min.,PG-13 - Teens 13 or older,1,,,Music,
Accel World: Infinite∞Burst,,6.62,2543,6088,73,Movie,1,Finished Airing,23-Jul-16,Egg Firm,VIZ Media,Sunrise,Light novel,"Action, Romance, Sci-Fi",1 hr. 22 min.,PG-13 - Teens 13 or older,71,,,"School, Video Game",
Akakichi no Eleven,,6.62,11022,6089,2,TV,52,Finished Airing,"Apr 13, 1970 to Apr 5, 1971","TV Tokyo,       DOGA Productions","None found, add some",Tokyo TV Douga,Unknown,Sports,25 min. per ep.,PG-13 - Teens 13 or older,8,Spring 1970,Unknown,Team Sports,
Amaenaide yo!!: Yasumanaide yo!!,Ah! My Buddha Special,6.62,5456,6090,15,Special,1,Finished Airing,21-Dec-05,"None found, add some","Nozomi Entertainment,       Media Blasters",Studio Deen,Manga,"Comedy, Romance, Supernatural, Ecchi",23 min.,R+ - Mild Nudity,1,,,Harem,Seinen
Ano Hi no Kanojo-tachi,The Diary of Our Days,6.62,7777,6091,6,ONA,8,Finished Airing,"Mar 24, 2018 to Nov 12, 2018",Half H.P Studio,"None found, add some",CloverWorks,Original,Slice of Life,1 min. per ep.,G - All Ages,19,,,Idols (Female),
Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai,"The Idiot, the Tests, and the Summoned Creatures: Christmas Special",6.62,3475,6092,41,ONA,1,Finished Airing,24-Dec-09,"None found, add some",Funimation,SILVER LINK.,Light novel,"Comedy, Romance",4 min.,PG-13 - Teens 13 or older,15,,,,
Baki: Most Evil Death Row Convicts Special Anime,,6.62,4776,6093,21,OVA,1,Finished Airing,06-Dec-16,"TMS Entertainment,       TMS Music","None found, add some",Telecom Animation Film,Manga,Sports,15 min.,R - 17+ (violence & profanity),29,,,"Combat Sports, Gore",Shounen
Bananya: Fushigi na Nakama-tachi,Bananya and the Curious Bunch,6.62,5310,6094,16,TV,13,Finished Airing,"Oct 1, 2019 to Dec 24, 2019","None found, add some",Discotek Media,"TMS Entertainment,       Gathering",Original,Slice of Life,2 min. per ep.,G - All Ages,45,Fall 2019,Tuesdays at 07:30 (JST),Anthropomorphic,Kids
"Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e",Please Save My Earth Movie: From Alice to Rin-kun,6.62,10714,6095,2,Movie,1,Finished Airing,01-Feb-95,"Victor Entertainment,       Hakusensha","None found, add some",Production I.G,Manga,"Drama, Romance, Sci-Fi",1 hr. 38 min.,PG-13 - Teens 13 or older,4,,,,Shoujo
Choujuu Kishin Dancougar,Super Bestial Machine God Dancougar,6.62,7953,6096,5,TV,38,Finished Airing,"Apr 5, 1985 to Dec 27, 1985",Asatsu DK,Discotek Media,"Production Reed,       Ashi Productions",Original,"Action, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,13,Spring 1985,Unknown,"Mecha, Space",
Cinderella Girls Gekijou 2nd Season,,6.62,6618,6097,9,TV,13,Finished Airing,"Oct 3, 2017 to Dec 26, 2017","Frontier Works,       Half H.P Studio,       Nippon Columbia,       Bandai Namco Entertainment,       Anime Consortium Japan,       Kadokawa",Crunchyroll,"Gathering,       Lesprit",4-koma manga,"Comedy, Slice of Life",3 min. per ep.,PG-13 - Teens 13 or older,9,Fall 2017,Tuesdays at 21:55 (JST),Idols (Female),
Coyote Ragtime Show,,6.62,4762,6098,21,TV,12,Finished Airing,"Jul 4, 2006 to Sep 19, 2006","KlockWorx,       Studio Mausu,       Toshiba Entertainment","ADV Films,       Funimation",ufotable,Original,"Action, Adventure, Comedy, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,36,Summer 2006,Tuesdays at 01:30 (JST),Mecha,
Crusher Joe OVA,Crusher Joe: The OVAs,6.62,9100,6099,4,OVA,2,Finished Airing,"Feb 5, 1989 to Jun 5, 1989",Studio Nue,"AnimEigo,       Discotek Media",Sunrise,Light novel,"Action, Adventure, Sci-Fi",56 min. per ep.,R - 17+ (violence & profanity),2,,,Space,
Dragon Crisis!,,6.62,1372,6100,173,TV,12,Finished Airing,"Jan 11, 2011 to Mar 29, 2011","Yomiuri Telecasting,       Starchild Records,       Kids Station,       DAX Production,       Shueisha","None found, add some",Studio Deen,Light novel,"Action, Fantasy, Romance",23 min. per ep.,PG-13 - Teens 13 or older,286,Winter 2011,Mondays at 01:30 (JST),"Harem, School",
Eureka Seven AO: One More Time - Lord Don't Slow Me Down,,6.62,6851,6101,8,ONA,5,Finished Airing,"Jan 10, 2017 to Mar 2, 2017","None found, add some","None found, add some",Bones,Manga,"Action, Adventure, Drama, Sci-Fi",4 min. per ep.,PG-13 - Teens 13 or older,7,,,Mecha,
Fireball,,6.62,6309,6102,10,TV,13,Finished Airing,"Apr 7, 2008 to Jun 30, 2008",Disney Platform Distribution,"None found, add some",Jinnis Animation Studios,Original,"Comedy, Sci-Fi",1 min. per ep.,G - All Ages,25,Spring 2008,Mondays at 18:25 (JST),,
God Eater Prologue,,6.62,3747,6103,35,Special,1,Finished Airing,28-Sep-09,"None found, add some","None found, add some",ufotable,Game,"Action, Fantasy, Sci-Fi",12 min.,R - 17+ (violence & profanity),26,,,Military,
Highschool of the Dead: Drifters of the Dead,,6.62,783,6104,308,OVA,1,Finished Airing,26-Apr-11,Showgate,Sentai Filmworks,Madhouse,Manga,"Comedy, Supernatural, Ecchi",16 min.,R+ - Mild Nudity,389,,,,Shounen
Hoshizora no Violin,,6.62,13798,6105,949,Movie,1,Finished Airing,1994,"None found, add some","None found, add some","None found, add some",Unknown,Slice of Life,1 hr. 27 min.,G - All Ages,1,,,Historical,
Ichiban Kuji Natsume Yuujinchou: Nyanko-sensei to Hana Shirabe,,6.62,11551,6106,1,ONA,1,Finished Airing,12-Mar-21,"Nihon Ad Systems,       Ai Addiction,       Bandai Spirits","None found, add some",Shuka,Manga,Slice of Life,2 min.,G - All Ages,1,,,,
Ichigo 100%,Strawberry 100%,6.62,1885,6107,116,TV,12,Finished Airing,"Apr 6, 2005 to Jun 22, 2005",Shueisha,"None found, add some",Madhouse,Manga,"Comedy, Romance, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,253,Spring 2005,Wednesdays at 02:40 (JST),Harem,Shounen
IS: Infinite Stratos,Infinite Stratos,6.62,336,6108,641,TV,12,Finished Airing,"Jan 7, 2011 to Apr 1, 2011","Lantis,       Media Factory,       TBS,       Sony Music Communications,       Sakura Create",Sentai Filmworks,8bit,Light novel,"Action, Comedy, Romance, Sci-Fi, Ecchi",24 min. per ep.,PG-13 - Teens 13 or older,"2,286",Winter 2011,Fridays at 01:25 (JST),"Harem, School",
Jewelpet Magical Change,,6.62,9584,6109,3,TV,39,Finished Airing,"Apr 4, 2015 to Dec 26, 2015","TV Tokyo,       Sotsu,       MediaNet,       Sanrio","None found, add some",Studio Deen,Original,"Comedy, Fantasy",24 min. per ep.,PG - Children,14,Spring 2015,Saturdays at 07:00 (JST),"Anthropomorphic, Mahou Shoujo",
Kakurenbo,Kakurenbo: Hide & Seek,6.62,3644,6110,38,Movie,1,Finished Airing,01-Sep-04,"None found, add some",Central Park Media,Yamato Works,Original,"Horror, Supernatural",24 min.,PG-13 - Teens 13 or older,106,,,Psychological,
Kamui no Ken,,6.62,7219,6111,7,Movie,1,Finished Airing,09-Mar-85,Kadokawa Shoten,AnimEigo,Madhouse,Novel,"Adventure, Drama, Fantasy",2 hr. 12 min.,PG-13 - Teens 13 or older,27,,,Historical,
Karate Baka Ichidai,Karate Master,6.62,11382,6112,2,TV,47,Finished Airing,"Oct 3, 1973 to Sep 25, 1974","None found, add some",Discotek Media,TMS Entertainment,Manga,"Adventure, Sports",24 min. per ep.,PG-13 - Teens 13 or older,3,Fall 1973,Unknown,"Historical, Martial Arts",Shounen
Kashimashi: Girl Meets Girl,Girl Meets Girl,6.62,3094,6113,51,TV,12,Finished Airing,"Jan 12, 2006 to Mar 30, 2006","Bandai Visual,       Lantis","Media Blasters,       Discotek Media",Studio Hibari,Manga,"Comedy, Drama, Girls Love",24 min. per ep.,PG-13 - Teens 13 or older,181,Winter 2006,Thursdays at 01:30 (JST),"Love Polygon, Magical Sex Shift, School",
