Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Shaonian Ge Xing: Feng Hua Xue Yue Pian Part 1,,7.25,11919,3002,1,ONA,16,Finished Airing,"Jul 28, 2021 to Nov 3, 2021","bilibili,       Youku","None found, add some",CG Year,Novel,"Action, Adventure, Mystery","Historical, Martial Arts",18 min. per ep.,PG-13 - Teens 13 or older,13,,,
Mai-Otome Zwei,My-Otome Zwei,7.24,4938,3006,19,OVA,4,Finished Airing,"Nov 24, 2006 to Aug 24, 2007","Bandai Visual,       Lantis","Funimation,       Bandai Entertainment",Sunrise,Original,Action,,27 min. per ep.,R+ - Mild Nudity,26,,,
Kaiketsu Zorro,The Magnificent Zorro,7.24,5877,3004,12,TV,52,Finished Airing,"Apr 5, 1996 to Apr 14, 1997",TOHO,"None found, add some",Ashi Productions,Other,Adventure,Historical,24 min. per ep.,PG-13 - Teens 13 or older,75,Spring 1996,Fridays at 18:30 (JST),
Servamp Movie: Alice in the Garden,,7.25,4203,3001,28,Movie,1,Finished Airing,"Apr 7, 2018","None found, add some","None found, add some",Platinum Vision,Manga,"Action, Fantasy",Vampire,58 min.,PG-13 - Teens 13 or older,42,,,Josei
Kaidan Restaurant,,7.24,5198,3003,17,TV,23,Finished Airing,"Oct 13, 2009 to Jun 8, 2010",TV Asahi,"None found, add some",Toei Animation,Picture book,"Horror, Mystery, Supernatural",,19 min. per ep.,PG - Children,51,Fall 2009,Tuesdays at 19:30 (JST),Kids
Kidou Senshi Gundam I,Mobile Suit Gundam I,7.24,3318,3005,45,Movie,1,Finished Airing,"Mar 14, 1981",Sotsu,"Nozomi Entertainment,       Bandai Entertainment",Sunrise,Original,"Action, Adventure, Drama, Sci-Fi","Mecha, Military, Space",2 hr. 20 min.,PG-13 - Teens 13 or older,94,,,
Mainichi Kaasan,Kaasan: Mom's Life,7.24,9858,3007,3,TV,142,Finished Airing,"Apr 1, 2009 to Mar 25, 2012",Nihon Ad Systems,"None found, add some","Gallop,       TYO Animations,       Dongwoo A&E",Manga,"Comedy, Slice of Life",Childcare,20 min. per ep.,PG - Children,24,Spring 2009,Unknown,
Michi (Movie),,7.24,12431,3010,1,Movie,4,Finished Airing,2002 to 2008,"None found, add some","None found, add some",Tomoyasu Murata Company,Original,"Drama, Slice of Life",,13 min. per ep.,G - All Ages,22,,,
Masamune-kun no Revenge R,Masamune-kun's Revenge R,7.24,1199,3008,201,TV,12,Finished Airing,"Jul 3, 2023 to Sep 18, 2023","Lantis,       AT-X,       KlockWorx,       BS Fuji,       Tokyo MX,       Crunchyroll,       Ichijinsha,       FuRyu,       Lawson Entertainment,       Bandai Namco Music Live","None found, add some",SILVER LINK.,Manga,"Comedy, Romance","Harem, School",23 min. per ep.,PG-13 - Teens 13 or older,"1,296",Summer 2023,Mondays at 21:00 (JST),Shounen
Meikyuu Black Company,The Dungeon of Black Company,7.24,1090,3009,223,TV,12,Finished Airing,"Jul 9, 2021 to Sep 24, 2021","Toy's Factory,       ABC Animation,       Jinnan Studio,       Kadokawa",Funimation,SILVER LINK.,Web manga,"Comedy, Fantasy",Isekai,23 min. per ep.,PG-13 - Teens 13 or older,853,Summer 2021,Fridays at 22:30 (JST),
Nu Wushen de Canzhuo Spring Festival Special,Cooking with Valkyries Spring Festival Special,7.24,10188,3011,2,ONA,1,Finished Airing,"Feb 11, 2021",miHoYoAnime,"None found, add some","Blade,       Thundray",Game,"Comedy, Gourmet",,10 min.,PG-13 - Teens 13 or older,12,,,
Petshop of Horrors,,7.24,2627,3012,69,TV,4,Finished Airing,"Mar 2, 1999 to Mar 23, 1999","Trans Arts,       TBS","Sentai Filmworks,       Urban Vision",Madhouse,Manga,"Horror, Mystery, Supernatural",,23 min. per ep.,R+ - Mild Nudity,438,Winter 1999,Unknown,Josei
Planetarian: Snow Globe,,7.24,5750,3013,13,OVA,1,Finished Airing,"Jan 20, 2021",Visual Arts,"None found, add some",Okuruto Noboru,Visual novel,"Drama, Sci-Fi",,36 min.,PG-13 - Teens 13 or older,23,,,
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"Ranma ½: Big Trouble in Nekonron, China",7.24,4636,3014,22,Movie,1,Finished Airing,"Nov 2, 1991",Fuji TV,VIZ Media,Studio Deen,Manga,"Adventure, Comedy",Magical Sex Shift,1 hr. 14 min.,PG-13 - Teens 13 or older,24,,,Shounen
Shin Chou Kyou Ryo: Condor Hero II,Legend of the Condor Hero II,7.24,9253,3016,3,TV,26,Finished Airing,"Jan 30, 2005 to Sep 2, 2006",Jade Animation,"None found, add some",Nippon Animation,Novel,"Adventure, Drama, Romance",Historical,20 min. per ep.,PG-13 - Teens 13 or older,3,Winter 2005,Unknown,
Sidonia no Kishi Movie,,7.24,5884,3017,12,Movie,1,Finished Airing,"Mar 6, 2015","None found, add some",Sentai Filmworks,Polygon Pictures,Manga,"Action, Sci-Fi","Mecha, Space",2 hr. 14 min.,R+ - Mild Nudity,11,,,Seinen
Sora no Otoshimono,Heaven's Lost Property,7.24,472,3018,481,TV,13,Finished Airing,"Oct 5, 2009 to Dec 28, 2009","Kadokawa Shoten,       Kadokawa Pictures Japan,       KlockWorx,       NTT Docomo",Funimation,AIC ASTA,Manga,"Comedy, Fantasy, Romance, Sci-Fi, Ecchi",Harem,24 min. per ep.,PG-13 - Teens 13 or older,"3,911",Fall 2009,Unknown,Shounen
Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Intermedio,Steins;Gate 0: Valentine's of Crystal Polymorphism -Bittersweet Intermedio-,7.24,1995,3019,107,Special,1,Finished Airing,"Dec 21, 2018","None found, add some",Funimation,White Fox,Visual novel,Comedy,,23 min.,PG-13 - Teens 13 or older,187,,,
Subete ga F ni Naru,The Perfect Insider,7.24,1378,3020,172,TV,11,Finished Airing,"Oct 9, 2015 to Dec 18, 2015","Aniplex,       Dentsu,       Fuji TV,       Kyoraku Industrial Holdings,       Kansai Telecasting",Sentai Filmworks,A-1 Pictures,Novel,"Mystery, Sci-Fi, Suspense","Adult Cast, Detective, Psychological",23 min. per ep.,R - 17+ (violence & profanity),713,Fall 2015,Fridays at 00:55 (JST),
Super Lovers OVA,,7.24,3996,3021,31,OVA,2,Finished Airing,"Jan 1, 2017 to Sep 1, 2017",Kadokawa Shoten,Funimation,Studio Deen,Manga,"Boys Love, Comedy, Drama",,23 min. per ep.,PG-13 - Teens 13 or older,73,,,
Taisou Zamurai,The Gymnastics Samurai,7.24,2881,3022,59,TV,11,Finished Airing,"Oct 11, 2020 to Dec 20, 2020","None found, add some",Funimation,MAPPA,Original,Sports,,23 min. per ep.,PG-13 - Teens 13 or older,133,Fall 2020,Sundays at 01:30 (JST),
Trinity Seven Movie 1: Eternity Library to Alchemic Girl,Trinity Seven: Eternity Library & Alchemic Girl,7.24,1349,3023,178,Movie,1,Finished Airing,"Feb 25, 2017","Sotsu,       Avex Pictures","None found, add some",Seven Arcs Pictures,Manga,"Action, Comedy, Fantasy, Romance, Ecchi","Harem, School",55 min.,PG-13 - Teens 13 or older,268,,,Shounen
Ultraman Final,,7.24,8499,3024,5,ONA,12,Finished Airing,"May 11, 2023",Tsuburaya Productions,"None found, add some","Production I.G,       Sola Digital Arts",Manga,"Action, Sci-Fi",Super Power,24 min. per ep.,R - 17+ (violence & profanity),19,,,Seinen
Witch Hunter Robin,,7.24,1865,3025,117,TV,26,Finished Airing,"Jul 3, 2002 to Dec 25, 2002","Bandai Visual,       Dentsu,       Victor Entertainment,       TV Tokyo Music","Funimation,       Bandai Entertainment",Sunrise,Original,"Action, Drama, Mystery, Supernatural",Detective,25 min. per ep.,PG-13 - Teens 13 or older,648,Summer 2002,Wednesdays at 01:25 (JST),
Yeon-ae Halujeon,A Day Before Us,7.24,4484,3027,24,ONA,10,Finished Airing,"Jan 12, 2018 to Feb 23, 2018","None found, add some","None found, add some","LICO,       Red Dog Culture House",Original,"Romance, Slice of Life",,2 min. per ep.,PG-13 - Teens 13 or older,54,,,
