Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Fei Ren Zai 1st Season Part 2,,7.05,13171,3952,1,ONA,12,Finished Airing,"Jan 8, 2020 to Mar 18, 2020","Tencent Penguin Pictures,       Fenz","None found, add some","None found, add some",Manga,"Comedy, Supernatural",Mythology,6 min. per ep.,PG-13 - Teens 13 or older,1,,,
Golden Time (Movie),Golden Time,7.05,6569,3954,9,Movie,1,Finished Airing,"Dec 5, 2013","None found, add some","None found, add some",Robot Communications,Original,"Comedy, Fantasy",,21 min.,G - All Ages,18,,,
Giniro no Kami no Agito,Origin: Spirits of the Past,7.05,2525,3953,74,Movie,1,Finished Airing,"Jan 7, 2006","GDH,       Dentsu,       Media Factory,       Shochiku,       Victor Entertainment,       Yahoo! Japan,       Asahi Broadcasting",Funimation,Gonzo,Original,"Adventure, Drama, Fantasy, Romance, Sci-Fi",,1 hr. 35 min.,PG-13 - Teens 13 or older,202,,,
Escaflowne,Escaflowne: A Girl in Gaea,7.05,2561,3951,72,Movie,1,Finished Airing,"Jun 24, 2000",Atelier Musa,"Funimation,       Bandai Entertainment","Bones,       Sunrise",Original,"Adventure, Drama, Fantasy, Romance, Sci-Fi","Isekai, Mecha",1 hr. 37 min.,PG-13 - Teens 13 or older,220,,,
Haiyore! Nyaruko-san W: W ni Sayonara/Kono Onsen ni Koi no Konton wo,,7.05,3762,3956,35,OVA,1,Finished Airing,"Apr 1, 2014",DIVE II Entertainment,"None found, add some",Xebec,Light novel,"Comedy, Ecchi",Parody,15 min.,PG-13 - Teens 13 or older,24,,,
Gundam Build Divers Re:Rise,,7.05,5254,3955,16,ONA,13,Finished Airing,"Oct 10, 2019 to Dec 26, 2019","Sunrise,       Sotsu,       Asatsu DK",Nozomi Entertainment,Sunrise Beyond,Original,"Action, Sci-Fi",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,58,,,
Hakuouki OVA (2021),,7.05,7850,3957,6,OVA,3,Finished Airing,"Nov 13, 2021 to Jan 29, 2022",NBCUniversal Entertainment Japan,"None found, add some",Studio Deen,Visual novel,"Action, Drama, Supernatural","Historical, Samurai",27 min. per ep.,R - 17+ (violence & profanity),31,Josei,,
"Hetalia Axis Powers Movie: Paint it, White","Hetalia Axis Powers: Paint it, White!",7.05,2865,3958,59,Movie,1,Finished Airing,"Jun 5, 2010",Frontier Works,Funimation,Studio Deen,Web manga,Comedy,"Historical, Parody",1 hr. 20 min.,PG-13 - Teens 13 or older,204,,,
Houkago Shounen Hanako-kun,After-School Hanako-kun,7.05,2892,3959,58,TV,4,Finished Airing,"Oct 13, 2023 to Nov 3, 2023","Square Enix,       Pony Canyon,       Half H.P Studio","None found, add some",Lerche,Web manga,"Comedy, Supernatural","Parody, School",10 min. per ep.,PG-13 - Teens 13 or older,399,,Fall 2023,Fridays at 02:13 (JST)
Junk Head,,7.05,12032,3962,1,Movie,1,Finished Airing,"Jul 23, 2017","None found, add some","None found, add some",Yamiken,Original,"Action, Adventure, Comedy, Sci-Fi, Suspense",,1 hr. 40 min.,R - 17+ (violence & profanity),13,,,
Iria: Zeiram The Animation,,7.05,4278,3961,27,OVA,6,Finished Airing,"Jun 23, 1994 to Nov 21, 1994",Bandai Visual,"Media Blasters,       Central Park Media,       Discotek Media",Ashi Productions,Original,"Action, Adventure, Sci-Fi",Space,28 min. per ep.,R - 17+ (violence & profanity),136,,,
Inou-Battle wa Nichijou-kei no Naka de,When Supernatural Battles Became Commonplace,7.05,540,3960,427,TV,12,Finished Airing,"Oct 7, 2014 to Dec 23, 2014","TV Tokyo,       Sotsu,       Half H.P Studio,       Ultra Super Pictures,       DIVE II Entertainment,       Avex Pictures",Sentai Filmworks,Trigger,Light novel,"Comedy, Supernatural","Harem, School, Super Power",24 min. per ep.,PG-13 - Teens 13 or older,929,,Fall 2014,Tuesdays at 02:05 (JST)
Kannagi: Moshimo Kannagi ga Attara...,,7.05,3840,3963,34,Special,1,Finished Airing,"May 27, 2009",Aniplex,Bandai Entertainment,A-1 Pictures,Manga,"Comedy, Supernatural","School, Visual Arts",23 min.,PG-13 - Teens 13 or older,9,Shounen,,
Kidou Senshi Z Gundam III: Hoshi no Kodou wa Ai,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,7.05,5999,3964,11,Movie,1,Finished Airing,"Mar 4, 2006",Sotsu,"Nozomi Entertainment,       Bandai Entertainment",Sunrise,Original,"Drama, Sci-Fi","Mecha, Military, Space",1 hr. 40 min.,PG-13 - Teens 13 or older,8,,,
Mikakunin de Shinkoukei: Mite. Are ga Watashitachi no Tomatteiru Ryokan yo.,,7.05,3298,3965,45,Special,1,Finished Airing,"Mar 19, 2014","DAX Production,       TOHO animation","None found, add some",Doga Kobo,4-koma manga,"Comedy, Romance",,12 min.,PG-13 - Teens 13 or older,13,,,
Nisekoi: OVA,,7.05,2108,3966,98,OVA,2,Finished Airing,"Jan 4, 2016","None found, add some",Aniplex of America,Shaft,Manga,"Comedy, Romance","Harem, Parody",13 min. per ep.,PG-13 - Teens 13 or older,66,Shounen,,
Ochame na Futago: Claire Gakuin Monogatari,The Mischevious Twins,7.05,9721,3967,3,TV,26,Finished Airing,"Jan 5, 1991 to Nov 2, 1991",Tokyo Movie Shinsha,"None found, add some",TMS Entertainment,Novel,"Comedy, Slice of Life","Historical, School",25 min. per ep.,G - All Ages,3,,Winter 1991,Unknown
Orient: Awajishima Gekitou-hen,,7.05,2980,3968,55,TV,12,Finished Airing,"Jul 12, 2022 to Sep 27, 2022","TV Tokyo,       Kodansha,       AT-X,       Avex Pictures,       bilibili,       Crunchyroll","None found, add some",A.C.G.T.,Manga,"Action, Adventure, Fantasy","Historical, Samurai",23 min. per ep.,PG-13 - Teens 13 or older,258,Shounen,Summer 2022,Tuesdays at 01:30 (JST)
Oshiete! Galko-chan: Natsuyasumi tte Hontou desu ka?,Please tell me! Galko-chan OVA,7.05,4056,3969,30,OVA,1,Finished Airing,"Jan 23, 2017","None found, add some","None found, add some",feel.,Web manga,Comedy,,28 min.,PG-13 - Teens 13 or older,31,,,
Penguin's Memory: Shiawase Monogatari,,7.05,8394,3970,5,Movie,1,Finished Airing,"Jun 22, 1985","None found, add some","None found, add some",Animation Staff Room,Other,Drama,"Anthropomorphic, Military",1 hr. 42 min.,PG-13 - Teens 13 or older,37,,,
Qin Shi Mingyue: Wanli Changcheng,Qin's Moon: The Great Wall,7.05,12396,3971,1,TV,37,Finished Airing,"Sep 30, 2012 to Jan 2, 2013","None found, add some","None found, add some",Sparkly Key Animation Studio,Novel,"Action, Fantasy","Historical, Martial Arts",22 min. per ep.,PG-13 - Teens 13 or older,10,,Fall 2012,Unknown
