Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Tales of Symphonia The Animation: Sekai Tougou-hen Specials,,7.03,7673,4056,6,Special,3,Finished Airing,"Nov 23, 2011 to Oct 24, 2012","None found, add some","None found, add some",ufotable,Game,Comedy,6 min. per ep.,G - All Ages,3,,,,
Soredemo Ayumu wa Yosetekuru,When Will Ayumu Make His Move?,7.03,1442,4055,164,TV,12,Finished Airing,"Jul 8, 2022 to Sep 23, 2022","Pony Canyon,       TBS,       Kodansha,       Days",Sentai Filmworks,SILVER LINK.,Manga,"Comedy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,661,Summer 2022,Fridays at 01:28 (JST),School,Shounen
Show By Rock!!,,7.03,2291,4053,87,TV,12,Finished Airing,"Apr 5, 2015 to Jun 21, 2015","Shochiku,       Pony Canyon,       Sanrio,       Tokyo MX,       Studio GOONEYS,       Docomo Anime Store,       Sammy,       FuRyu",Funimation,Bones,Game,"Comedy, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,368,Spring 2015,Sundays at 22:00 (JST),"Isekai, Music",
Senki Zesshou Symphogear,Symphogear,7.03,1837,4051,119,TV,13,Finished Airing,"Jan 6, 2012 to Mar 30, 2012","Aniplex,       Memory-Tech,       Dwango,       Bushiroad,       Good Smile Company,       King Records,       Kinyosha",Discotek Media,"Satelight,       Encourage Films",Original,"Action, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,"1,123",Winter 2012,Fridays at 23:00 (JST),"Idols (Female), Music",
Shi Ye Miao Yin,,7.03,12538,4052,1,ONA,11,Finished Airing,"Sep 29, 2021 to Dec 1, 2021","Tencent Penguin Pictures,       iQIYI","None found, add some",Thundray,Manga,"Adventure, Fantasy, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,6,,,Historical,
Sore ga Seiyuu!,Seiyu's Life!,7.03,3001,4054,54,TV,13,Finished Airing,"Jul 7, 2015 to Sep 29, 2015",Evil Line Records,Funimation,Gonzo,Web manga,"Comedy, Slice of Life",23 min. per ep.,PG-13 - Teens 13 or older,84,Summer 2015,Tuesdays at 23:00 (JST),"Showbiz, Workplace",
Wasurenagumo,Li'l Spider Girl,7.03,3639,4058,38,TV Special,1,Finished Airing,"Mar 12, 2012","None found, add some","None found, add some",Production I.G,Original,"Comedy, Supernatural",25 min.,PG-13 - Teens 13 or older,61,,,,
Uchuu Senkan Yamato III,Star Blazers: The Bolar Wars,7.03,7599,4057,6,TV,25,Finished Airing,"Oct 11, 1980 to Apr 4, 1981",Yomiuri Telecasting,"None found, add some",Academy Productions,Original,"Action, Adventure, Drama, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,9,Fall 1980,Saturdays at 19:00 (JST),"Adult Cast, Military, Space",
You Yao,Are You OK?,7.03,9595,4059,3,ONA,12,Finished Airing,"Jul 10, 2020 to Sep 18, 2020","None found, add some","None found, add some",Shengying Animation,Web novel,"Comedy, Drama, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,25,,,"Historical, Time Travel",
Yuan Long 2nd Season,Carp Reborn 2nd Season,7.03,10495,4060,2,ONA,16,Finished Airing,"Jul 3, 2021 to Oct 2, 2021","None found, add some","None found, add some",CG Year,Novel,"Action, Adventure, Fantasy",19 min. per ep.,PG-13 - Teens 13 or older,11,,,,
Aikatsu on Parade!,,7.03,7677,4061,6,TV,25,Finished Airing,"Oct 5, 2019 to Mar 28, 2020",Sunrise Music,"None found, add some",Bandai Namco Pictures,Game,Slice of Life,24 min. per ep.,PG - Children,31,Fall 2019,Saturdays at 10:30 (JST),"Idols (Female), Music, School",
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,,7.02,9426,4082,3,Movie,1,Finished Airing,"Aug 22, 2015",Bandai,"None found, add some",Bandai Namco Pictures,Original,,56 min.,PG - Children,0,,,"Idols (Female), Music",
Blue Archive: Beautiful Day Dreamer,,7.03,9502,4063,3,ONA,1,Finished Airing,"Nov 7, 2022","None found, add some","None found, add some",Yostar Pictures,Game,"Fantasy, Sports",9 min.,PG-13 - Teens 13 or older,20,,,Video Game,
Blame! Movie,Blame!: The Movie,7.03,1982,4062,108,Movie,1,Finished Airing,"May 20, 2017","Starchild Records,       Kodansha,       KlockWorx,       Glovision",VIZ Media,Polygon Pictures,Manga,"Action, Drama, Sci-Fi",1 hr. 45 min.,PG-13 - Teens 13 or older,297,,,"Mecha, Psychological",Seinen
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,Haganai: A Round-Robin Story's Ending Is Way Extreme,7.03,1891,4064,115,OVA,1,Finished Airing,"Sep 26, 2012",AIC,Funimation,AIC Build,Light novel,"Comedy, Romance, Ecchi",24 min.,R+ - Mild Nudity,52,,,"Love Polygon, School",
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,Code Geass: Akito the Exiled - The Wyvern Divided Picture Drama,7.03,5108,4066,17,Special,1,Finished Airing,"Dec 25, 2013","None found, add some","None found, add some",Sunrise,Original,"Action, Comedy",11 min.,PG-13 - Teens 13 or older,49,,,Military,
Chihayafuru 2: Waga Miyo ni Furu Nagame Shima ni,Chihayafuru 2 OVA,7.03,3346,4065,44,OVA,1,Finished Airing,"Sep 13, 2013",VAP,"None found, add some",Madhouse,Manga,Comedy,22 min.,PG-13 - Teens 13 or older,30,,,School,Josei
Code Geass: Hangyaku no Lelouch Recaps,Code Geass: Lelouch of the Rebellion Recaps,7.03,3680,4067,37,TV Special,2,Finished Airing,"Dec 1, 2006 to Feb 16, 2007","None found, add some","None found, add some",Sunrise,Original,Action,24 min. per ep.,PG-13 - Teens 13 or older,58,,,"Mecha, Military, School, Super Power",
Daisuki! BuBu ChaCha,I love BuBu ChaCha,7.03,11386,4068,2,TV,26,Finished Airing,"May 10, 2001 to Nov 29, 2001",Amino,"None found, add some",Daume,Original,,25 min. per ep.,G - All Ages,5,Spring 2001,Unknown,Pets,Kids
Devilman: Yochou Sirene-hen,Devilman: The Demon Bird,7.03,4526,4069,23,OVA,1,Finished Airing,"Feb 25, 1990","Bandai Visual,       Triangle Staff,       Kodansha,       Dynamic Planning","Discotek Media,       Manga Entertainment",Oh! Production,Manga,"Horror, Sci-Fi, Supernatural",57 min.,R+ - Mild Nudity,124,,,"Gore, Mythology",Shounen
Dosanko Gal wa Namara Menkoi,Hokkaido Gals Are Super Adorable!,7.03,1563,4070,148,TV,12,Finished Airing,"Jan 9, 2024 to Mar 26, 2024","TV Tokyo,       Pony Canyon,       DMM.com,       Bit grooove promotion,       Television Hokkaido Broadcasting","None found, add some","SILVER LINK.,       Blade",Manga,Comedy,24 min. per ep.,PG-13 - Teens 13 or older,839,Winter 2024,Tuesdays at 00:30 (JST),"Romantic Subtext, School",Shounen
"Dragon Ball Z Movie 15: Fukkatsu no ""F""",Dragon Ball Z: Resurrection 'F',7.03,1323,4071,182,Movie,1,Finished Airing,"Apr 18, 2015","Yomiko Advertising,       Fuji TV,       Bandai,       Bandai Namco Entertainment,       Shueisha",Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",1 hr. 47 min.,PG-13 - Teens 13 or older,136,,,"Martial Arts, Super Power",Shounen
Full Metal Panic! Movie 3: Into the Blue,,7.03,7218,4072,7,Movie,1,Finished Airing,"Jan 20, 2018","None found, add some","None found, add some",Gonzo,Light novel,"Action, Comedy, Sci-Fi",2 hr.,R - 17+ (violence & profanity),5,,,"Mecha, Military",
Fushigi Yuugi Special: Nakago Shikkari Shinasai!,Fushigi Yuugi Special: Watase Yuu Selection,7.03,10110,4073,2,Special,2,Finished Airing,"Jul 25, 1996","None found, add some","None found, add some",Pierrot,Manga,Comedy,2 min. per ep.,PG - Children,8,,,,
Grander Musashi RV,,7.03,10052,4074,3,TV,39,Finished Airing,"Apr 4, 1998 to Dec 26, 1998","Shogakukan-Shueisha Productions,       Sotsu","None found, add some",Nippon Animation,Unknown,"Adventure, Sports",25 min. per ep.,PG-13 - Teens 13 or older,10,Spring 1998,Unknown,,
Grisaia no Rakuen Specials,,7.03,2794,4075,62,Special,5,Finished Airing,"Aug 26, 2015 to Dec 25, 2015","None found, add some","None found, add some",8bit,Visual novel,Ecchi,3 min. per ep.,R+ - Mild Nudity,37,,,,
Jarinko Chie,,7.03,8770,4079,4,Movie,1,Finished Airing,"Apr 11, 1981",TOHO,"None found, add some",Tokyo Movie Shinsha,Manga,"Comedy, Drama",1 hr. 49 min.,PG-13 - Teens 13 or older,9,,,,Seinen
Ichigo Mashimaro Episode 0,,7.03,5347,4078,15,Special,1,Finished Airing,"Jun 8, 2005","None found, add some","Sentai Filmworks,       Geneon Entertainment USA",Daume,4-koma manga,Comedy,4 min.,PG-13 - Teens 13 or older,9,,,CGDCT,
