Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Date A Live,,7.15,151,3505,1,TV,12,Finished Airing,"Apr 6, 2013 to Jun 22, 2013",Spring 2013,Saturdays at 01:30 (JST),"AIC,       Kadokawa Shoten,       AT-X,       Nippon Columbia,       Fujimi Shobo",Funimation,AIC PLUS+,Light novel,"Action, Fantasy, Romance, Sci-Fi","Harem, School",25 min. per ep.,R - 17+ (violence & profanity),"9,877",
Chibi Revenger,,7.15,6280,3503,10,ONA,24,Finished Airing,"Apr 12, 2021 to Sep 20, 2021",,,"None found, add some","None found, add some","Studio PuYUKAI,       LIDENFILMS",Manga,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,40,
Doraemon Movie 01: Nobita no Kyouryuu,Doraemon the Movie: Nobita's Dinosaur,7.15,6555,3506,9,Movie,1,Finished Airing,"Mar 15, 1980",,,"None found, add some","None found, add some",Shin-Ei Animation,Manga,"Adventure, Comedy",Time Travel,1 hr. 32 min.,PG - Children,3,
Boku wa Tomodachi ga Sukunai,Haganai: I don't have many friends,7.15,230,3502,812,TV,12,Finished Airing,"Oct 7, 2011 to Dec 23, 2011",Fall 2011,Fridays at 01:55 (JST),"AIC,       Media Factory,       TBS,       Bushiroad,       Bandai Namco Games,       Good Smile Company",Funimation,AIC Build,Light novel,"Comedy, Romance, Ecchi","Harem, School",24 min. per ep.,R+ - Mild Nudity,"3,803",
Cyborg 009 (1979),Cyborg 009,7.15,6100,3504,11,TV,50,Finished Airing,"Mar 6, 1979 to Mar 25, 1980",Spring 1979,Unknown,"None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,32,Shounen
Blue Lock: Episode Nagi,,7.15,3636,3501,38,Movie,1,Finished Airing,"Apr 19, 2024",,,"Kodansha,       Chiptune,       Bit grooove promotion,       Bandai Namco Filmworks","None found, add some",8bit,Manga,Sports,Team Sports,1 hr. 31 min.,PG-13 - Teens 13 or older,152,Shounen
Doraemon Movie 05: Nobita no Makai Daibouken,Doraemon the Movie: Nobita's Great Adventure into the Underworld,7.15,8207,3507,5,Movie,1,Finished Airing,"Mar 17, 1984",,,"None found, add some","None found, add some","None found, add some",Unknown,Fantasy,,1 hr. 38 min.,PG - Children,2,
Doraemon Movie 13: Nobita to Kumo no Oukoku,Doraemon the Movie: Nobita and the Kingdom of Clouds,7.15,7029,3508,8,Movie,1,Finished Airing,"Mar 7, 1992",,,"None found, add some","None found, add some","None found, add some",Unknown,"Adventure, Comedy",,1 hr. 40 min.,PG - Children,5,
Galaxy Angel Z,,7.15,6175,3509,11,TV,9,Finished Airing,"Feb 3, 2002 to Mar 31, 2002",Winter 2002,Sundays at 09:30 (JST),"Bandai Visual,       Broccoli","Nozomi Entertainment,       Bandai Entertainment",Madhouse,Original,"Comedy, Sci-Fi",,24 min. per ep.,PG - Children,9,
Gear Fighter Dendoh,,7.15,9108,3510,4,TV,38,Finished Airing,"Oct 4, 2000 to Jun 27, 2001",Fall 2000,Wednesdays at 18:00 (JST),Yomiko Advertising,"None found, add some",Sunrise,Original,"Action, Adventure, Sci-Fi","Mecha, School, Space",23 min. per ep.,PG - Children,18,
