Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Lupin III: $1 Money Wars,Lupin III: Missed by a Dollar,7.10,7132,3752,7,TV Special,1,Finished Airing,"Jul 28, 2000","VAP,       Tohokushinsha Film Corporation","Funimation,       Discotek Media",TMS Entertainment,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,Seinen,1 hr. 30 min.,PG-13 - Teens 13 or older,1,,
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,The Seven Deadly Sins the Movie: Prisoners of the Sky,7.10,810,3755,301,Movie,1,Finished Airing,"Aug 18, 2018","Aniplex,       Kodansha","None found, add some",A-1 Pictures,Manga,"Action, Adventure, Fantasy",,Shounen,1 hr. 39 min.,PG-13 - Teens 13 or older,341,,
Lupin III: Dead or Alive,,7.10,5971,3753,12,Movie,1,Finished Airing,"Apr 20, 1996","VAP,       Tohokushinsha Film Corporation","Funimation,       Discotek Media",Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,Seinen,1 hr. 37 min.,PG-13 - Teens 13 or older,8,,
Mouretsu Pirates: Abyss of Hyperspace,Bodacious Space Pirates the Movie: Abyss of Hyperspace,7.10,5663,3754,13,Movie,1,Finished Airing,"Feb 22, 2014","Starchild Records,       Sankyo",Sentai Filmworks,Satelight,Light novel,Sci-Fi,Space,,1 hr. 32 min.,PG-13 - Teens 13 or older,15,,
Kyoushoku Soukou Guyver (1989),The Guyver: Bio-Booster Armor,7.10,5496,3751,14,OVA,6,Finished Airing,"Sep 25, 1989 to Feb 25, 1990",animate Film,Manga Entertainment,Visual 80,Manga,"Action, Horror, Sci-Fi","Gore, Super Power",Shounen,29 min. per ep.,PG-13 - Teens 13 or older,123,,
Nobunaga no Shinobi,Ninja Girl & Samurai Master,7.10,4259,3756,27,TV,26,Finished Airing,"Oct 4, 2016 to Mar 28, 2017","None found, add some","None found, add some",TMS Entertainment,4-koma manga,Comedy,Historical,,3 min. per ep.,PG-13 - Teens 13 or older,35,Fall 2016,Tuesdays at 21:55 (JST)
Onegai☆Teacher,Please Teacher!,7.10,1351,3757,178,TV,12,Finished Airing,"Jan 10, 2002 to Mar 28, 2002","Bandai Visual,       Genco","Nozomi Entertainment,       Bandai Entertainment",Daume,Original,"Drama, Romance, Sci-Fi",School,,22 min. per ep.,PG-13 - Teens 13 or older,974,Winter 2002,Thursdays at Unknown
PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!,,7.10,11276,3758,2,Movie,1,Finished Airing,"Mar 4, 2017","None found, add some","None found, add some",Tatsunoko Production,Game,Slice of Life,"Idols (Female), Music, School",,1 hr. 5 min.,PG - Children,3,,
Rain Town,,7.10,4378,3759,25,ONA,1,Finished Airing,"Mar 4, 2011","None found, add some","None found, add some","None found, add some",Original,Drama,,,10 min.,G - All Ages,45,,
Rec: Yurusarezarumono,,7.10,4490,3760,24,TV Special,1,Finished Airing,"Jun 30, 2006","None found, add some","None found, add some",Shaft,Manga,"Comedy, Romance","Adult Cast, Showbiz",Seinen,13 min.,PG-13 - Teens 13 or older,4,,
Sansha Sanyou,"Three Leaves, Three Colors",7.10,2766,3761,63,TV,12,Finished Airing,"Apr 11, 2016 to Jun 27, 2016","AT-X,       DAX Production,       Houbunsha,       TOHO animation,       RAY",Funimation,Doga Kobo,4-koma manga,"Comedy, Slice of Life","CGDCT, School",,24 min. per ep.,PG-13 - Teens 13 or older,124,Spring 2016,Mondays at 00:00 (JST)
