Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes,Premiered,Broadcast
Re-Main,,7.20,1699,3233,133,TV,12,Finished Airing,"Jul 4, 2021 to Oct 3, 2021",Bandai Namco Arts,Funimation,MAPPA,Original,Sports,23 min. per ep.,PG-13 - Teens 13 or older,857,,"School, Team Sports",Summer 2021,Sundays at 01:30 (JST)
Rockman.EXE Movie: Hikari to Yami no Program,,7.20,8817,3234,4,Movie,1,Finished Airing,"Mar 12, 2005","TV Tokyo,       Dentsu,       Shogakukan-Shueisha Productions,       Capcom","None found, add some",Xebec,Game,"Action, Adventure",48 min.,PG - Children,7,,Strategy Game,,
Sankarea OVA,,7.20,1940,3235,111,OVA,2,Finished Airing,"Jun 8, 2012 to Nov 9, 2012","Lantis,       Pony Canyon,       TBS,       Kodansha,       BS-TBS","None found, add some",Studio Deen,Manga,"Comedy, Horror, Romance, Supernatural, Ecchi",24 min. per ep.,R+ - Mild Nudity,54,Shounen,Love Polygon,,
Sankarea: Wagahai mo... Zombie de Aru...,"Sankarea: I, Too, Am... A Zombie...",7.20,2279,3236,87,Special,1,Finished Airing,"Nov 30, 2012","Lantis,       Pony Canyon,       TBS,       Kodansha,       BS-TBS",Funimation,Studio Deen,Manga,"Comedy, Horror, Romance, Supernatural, Ecchi",24 min.,R+ - Mild Nudity,44,Shounen,Love Polygon,,
Shingeki! Kyojin Chuugakkou,Attack on Titan: Junior High,7.20,921,3238,266,TV,12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015","Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises",Funimation,Production I.G,Manga,Comedy,17 min. per ep.,PG-13 - Teens 13 or older,819,Shounen,"Parody, School",Fall 2015,Sundays at 01:58 (JST)
Selector Destructed WIXOSS Movie,,7.20,5039,3237,18,Movie,1,Finished Airing,"Feb 13, 2016","Warner Bros. Japan,       KlockWorx,       Showgate,       Hakuhodo DY Music & Pictures","None found, add some",J.C.Staff,Card game,Suspense,1 hr. 29 min.,R - 17+ (violence & profanity),31,,"High Stakes Game, Psychological, Strategy Game",,
Tenchi Muyou! in Love 2: Harukanaru Omoi,Tenchi Forever!,7.20,5219,3240,16,Movie,1,Finished Airing,"Apr 24, 1999","Genco,       Pioneer LDC,       Nippon Cultural Broadcasting","Funimation,       Geneon Entertainment USA",AIC,Original,"Drama, Romance, Sci-Fi",1 hr. 35 min.,R+ - Mild Nudity,24,,,,
Super Crooks,,7.20,2311,3239,85,ONA,13,Finished Airing,"Nov 25, 2021","None found, add some","None found, add some",Bones,Other,"Action, Drama, Suspense",25 min. per ep.,PG-13 - Teens 13 or older,306,,"Adult Cast, Super Power",,
Uragiri wa Boku no Namae wo Shitteiru,The Betrayal Knows My Name,7.20,2071,3242,101,TV,24,Finished Airing,"Apr 12, 2010 to Sep 20, 2010","Kadokawa Shoten,       flying DOG",Funimation,J.C.Staff,Manga,"Adventure, Boys Love, Drama, Fantasy",23 min. per ep.,R - 17+ (violence & profanity),992,Shoujo,Reincarnation,Spring 2010,Unknown
"Tokyo Ghoul: ""Pinto""",Tokyo Ghoul: Pinto,7.20,1118,3241,218,OVA,1,Finished Airing,"Dec 25, 2015","None found, add some",Funimation,Pierrot,Light novel,"Action, Fantasy, Horror, Suspense",24 min.,R - 17+ (violence & profanity),388,Seinen,"Gore, Psychological",,
"Wake Up, Girls! Beyond the Bottom",,7.20,6679,3243,9,Movie,1,Finished Airing,"Dec 11, 2015","TV Tokyo,       Tatsunoko Production,       AT-X,       TOHO,       Ultra Super Pictures,       DIVE II Entertainment,       Good Smile Company,       Avex Pictures,       Lawson HMV Entertainment,       Hiroshi Planning","None found, add some","Ordet,       Millepensee",Original,Drama,53 min.,PG-13 - Teens 13 or older,18,,"Idols (Female), Music",,
Yu☆Gi☆Oh! Duel Monsters GX,Yu-Gi-Oh! GX,7.20,1115,3244,219,TV,180,Finished Airing,"Oct 6, 2004 to Mar 26, 2008","TV Tokyo,       Nihon Ad Systems,       Shueisha","Konami,       Funimation",Gallop,Manga,"Action, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,"1,677",Shounen,Strategy Game,Fall 2004,Wednesdays at 18:30 (JST)
Tactics,,7.19,3481,3245,41,TV,25,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",MediaNet,Manga Entertainment,Studio Deen,Manga,"Mystery, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,169,Shounen,"Historical, Mythology",Fall 2004,Unknown
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,"Love, Chunibyo & Other Delusions!: Rikka Version Lite",7.19,3610,3246,38,Special,1,Finished Airing,"Feb 19, 2014","None found, add some",Sentai Filmworks,Kyoto Animation,Light novel,Comedy,5 min.,PG-13 - Teens 13 or older,12,,,,
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,,7.19,5925,3249,12,OVA,1,Finished Airing,"Sep 14, 2005","VAP,       Nippon Television Network",Funimation,AIC,Original,"Action, Comedy, Sci-Fi",30 min.,PG-13 - Teens 13 or older,16,,"Harem, Space",,
Tantei Opera Milky Holmes Dai 2 Maku,Detective Opera Milky Holmes 2,7.19,5000,3247,19,TV,12,Finished Airing,"Jan 5, 2012 to Mar 22, 2012","Sotsu,       Lantis,       Dwango,       Bushiroad,       Good Smile Company,       Chrono Gear Creative",Funimation,"J.C.Staff,       Artland",Original,"Comedy, Mystery",23 min. per ep.,PG-13 - Teens 13 or older,68,,"Detective, Parody, Super Power",Winter 2012,Unknown
Tatakau Shisho: The Book of Bantorra,Armed Librarians: The Book of Bantorra,7.19,2699,3248,66,TV,27,Finished Airing,"Oct 2, 2009 to Apr 2, 2010","Geneon Universal Entertainment,       Sakura Create,       Atelier Musa",Sentai Filmworks,David Production,Light novel,"Action, Fantasy",24 min. per ep.,R - 17+ (violence & profanity),216,,"Adult Cast, Super Power",Fall 2009,Fridays at 22:00 (JST)
The Cockpit,,7.19,5484,3250,14,OVA,3,Finished Airing,"Oct 22, 1993 to Jan 21, 1994","None found, add some",Urban Vision,Madhouse,Manga,,24 min. per ep.,PG-13 - Teens 13 or older,64,,"Adult Cast, Historical, Military",,
"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,7.18,2089,3301,100,TV,12,Finished Airing,"Oct 4, 2023 to Dec 20, 2023","Pony Canyon,       KlockWorx,       bilibili,       Yomiuri TV Enterprise,       Aoni Production,       arma bianca,       Shufu to Seikatsusha","None found, add some","Zero-G,       Saber Works",Light novel,"Comedy, Fantasy, Romance",23 min. per ep.,PG-13 - Teens 13 or older,465,,,Fall 2023,Wednesdays at 22:00 (JST)
Kuruneko,,7.18,8535,3302,5,TV,50,Finished Airing,"Jul 5, 2009 to Jun 26, 2010","Kadokawa Pictures Japan,       Kansai Telecasting,       Tokai Television","None found, add some",DAX Production,Manga,"Comedy, Slice of Life",2 min. per ep.,G - All Ages,11,,Pets,Summer 2009,Saturdays at 11:40 (JST)
Lady Georgie,,7.18,6181,3303,11,TV,45,Finished Airing,"Apr 9, 1983 to Feb 25, 1984","TV Asahi,       Asatsu DK",Discotek Media,Tokyo Movie Shinsha,Manga,"Drama, Romance",24 min. per ep.,PG-13 - Teens 13 or older,66,Shoujo,Historical,Spring 1983,Saturdays at 19:00 (JST)
Le Chevalier D'Eon,,7.18,2831,3304,60,TV,24,Finished Airing,"Jul 2, 2006 to Feb 24, 2007","WOWOW,       Shochiku,       Kodansha,       Sakura Create","ADV Films,       Funimation",Production I.G,Original,"Mystery, Supernatural",25 min. per ep.,R - 17+ (violence & profanity),250,,Historical,Summer 2006,Unknown
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Love Hina Spring Movie,7.18,3036,3306,53,TV Special,1,Finished Airing,"Apr 2, 2001","TV Tokyo,       Yomiko Advertising",Bandai Entertainment,Xebec,Manga,"Adventure, Comedy, Romance",46 min.,PG-13 - Teens 13 or older,20,Shounen,,,
Little Nemo,Little Nemo: Adventures in Slumberland,7.18,6293,3305,10,Movie,1,Finished Airing,"Jul 15, 1989","None found, add some","Funimation,       Discotek Media",Tokyo Movie Shinsha,Picture book,"Adventure, Fantasy",1 hr. 34 min.,G - All Ages,35,,,,
Lv1 Maou to One Room Yuusha,Level 1 Demon Lord and One Room Hero,7.18,2580,3307,71,TV,12,Finished Airing,"Jul 3, 2023 to Sep 18, 2023","Movic,       AT-X,       Nippon Columbia,       Houbunsha,       Kadokawa,       Bit grooove promotion",Sentai Filmworks,"SILVER LINK.,       Blade",Web manga,"Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,197,,,Summer 2023,Mondays at 21:30 (JST)
Meitantei Conan OVA 03: Conan to Heiji to Kieta Shounen,Detective Conan OVA 03: Conan and Heiji and the Vanished Boy,7.18,5351,3308,15,OVA,1,Finished Airing,2003,Shogakukan-Shueisha Productions,"None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",25 min.,PG-13 - Teens 13 or older,1,Shounen,Detective,,
Mermaid Melody Pichi Pichi Pitch,Mermaid Melody: Pichi Pichi Pitch,7.18,2361,3309,82,TV,52,Finished Airing,"Apr 5, 2003 to Mar 27, 2004","TV Aichi,       Tokyu Agency,       We've Inc.",ADV Films,"Actas,       Synergy Japan",Manga,"Adventure, Comedy, Fantasy, Romance",24 min. per ep.,PG - Children,930,Shoujo,"Mahou Shoujo, Music",Spring 2003,Saturdays at 08:00 (JST)
Mikan Enikki,,7.18,9861,3310,3,TV,30,Finished Airing,"Oct 16, 1992 to Jun 18, 1993","None found, add some","None found, add some",Nippon Animation,Manga,"Fantasy, Slice of Life",23 min. per ep.,G - All Ages,27,Shoujo,Pets,Fall 1992,Unknown
Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu,,7.18,8302,3312,5,Movie,1,Finished Airing,"Jul 14, 2001","None found, add some","None found, add some",Toei Animation,Original,"Comedy, Fantasy",26 min.,G - All Ages,4,,Mahou Shoujo,,
Mirai Nikki,The Future Diary OVA,7.18,1014,3311,240,OVA,1,Finished Airing,"Dec 9, 2010","None found, add some","None found, add some",asread.,Manga,"Action, Supernatural, Suspense",8 min.,R - 17+ (violence & profanity),"2,441",Shounen,"High Stakes Game, Survival",,
Munou na Nana,Talentless Nana,7.18,712,3313,335,TV,13,Finished Airing,"Oct 4, 2020 to Dec 27, 2020","Square Enix,       AT-X,       Nippon Columbia,       BS Fuji,       Hakuhodo DY Music & Pictures,       Docomo Anime Store,       Yomiuri TV Enterprise,       Kanon Sound,       NichiNare,       Kadokawa,       Show Corporation","Funimation,       Muse Communication",Bridge,Manga,"Supernatural, Suspense",23 min. per ep.,R - 17+ (violence & profanity),"1,619",Shounen,"Psychological, Super Power",Fall 2020,Sundays at 21:30 (JST)
Musekinin Kanchou Tylor OVA,Irresponsible Captain Tylor OVA,7.18,6399,3314,10,OVA,10,Finished Airing,"Oct 1, 1994 to Aug 1, 1996",d-rights,Nozomi Entertainment,"Studio Deen,       Daume",Light novel,"Adventure, Comedy, Drama, Sci-Fi",37 min. per ep.,PG-13 - Teens 13 or older,11,,"Military, Space",,
One Piece Movie 07: Karakuri-jou no Mecha Kyohei,One Piece: The Giant Mechanical Soldier of Karakuri Castle,7.18,2460,3316,77,Movie,1,Finished Airing,"Mar 4, 2006","Fujipacific Music,       Shueisha","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",1 hr. 34 min.,PG-13 - Teens 13 or older,20,Shounen,,,
Oh! Edo Rocket,,7.18,5779,3315,13,TV,26,Finished Airing,"Apr 4, 2007 to Sep 26, 2007","Sunny Side Up,       Index,       Universal Pictures Japan",Funimation,Madhouse,Other,"Comedy, Drama, Fantasy, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,37,,Historical,Spring 2007,Wednesdays at 02:00 (JST)
One Piece: Episode of Alabasta - Prologue,,7.18,5206,3317,17,TV Special,1,Finished Airing,"Aug 20, 2011","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",15 min.,PG-13 - Teens 13 or older,3,Shounen,,,
One Piece: Episode of Sorajima,One Piece: Episode of Skypiea,7.18,4010,3318,31,TV Special,1,Finished Airing,"Aug 25, 2018","None found, add some",Funimation,Toei Animation,Manga,"Action, Adventure, Fantasy",1 hr. 45 min.,PG-13 - Teens 13 or older,25,Shounen,,,
Ou Dorobou Jing,Jing: King of Bandits,7.18,3637,3319,38,TV,13,Finished Airing,"May 15, 2002 to Aug 14, 2002",Aniplex,ADV Films,Studio Deen,Manga,"Adventure, Comedy, Fantasy, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,209,Shounen,,Spring 2002,Unknown
Outbreak Company,,7.18,652,3320,362,TV,12,Finished Airing,"Oct 4, 2013 to Dec 20, 2013","Pony Canyon,       TBS,       Kodansha,       Movic,       DAX Production",Sentai Filmworks,feel.,Light novel,"Comedy, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,908,,"Harem, Isekai, Otaku Culture, Parody",Fall 2013,Unknown
Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!,,7.18,7403,3322,7,Movie,1,Finished Airing,"Mar 20, 2010",Asahi Broadcasting,"None found, add some",Toei Animation,Original,"Action, Fantasy",1 hr. 10 min.,G - All Ages,5,,Mahou Shoujo,,
Precure All Stars Movie New Stage: Mirai no Tomodachi,,7.18,7763,3323,6,Movie,1,Finished Airing,"Mar 17, 2012",Marvelous AQL,"None found, add some",Toei Animation,Original,Fantasy,1 hr. 13 min.,G - All Ages,9,,Mahou Shoujo,,
Puchimas!!: Petit Petit iDOLM@STER,PUCHIM@S 2,7.18,6806,3325,8,ONA,74,Finished Airing,"Apr 1, 2014 to Jun 30, 2014","None found, add some",Funimation,Gathering,4-koma manga,"Comedy, Slice of Life",2 min. per ep.,PG-13 - Teens 13 or older,14,,Idols (Female),,
Princess Nine: Kisaragi Joshikou Yakyuubu,Princess Nine,7.18,5790,3324,13,TV,26,Finished Airing,"Apr 8, 1998 to Oct 14, 1998",NHK,"ADV Films,       Nozomi Entertainment",Phoenix Entertainment,Original,"Drama, Romance, Sports",25 min. per ep.,PG-13 - Teens 13 or older,51,,Team Sports,Spring 1998,Wednesdays at 18:00 (JST)
Owari no Seraph: Kyuuketsuki Shahar,Seraph of the End: Vampire Shahar,7.18,2294,3321,86,OVA,1,Finished Airing,"May 2, 2016","None found, add some","None found, add some",Wit Studio,Manga,"Action, Drama, Supernatural",23 min.,R - 17+ (violence & profanity),122,Shounen,"Military, Vampire",,
Re:cycle of the Penguindrum,,7.18,5712,3326,13,Movie,2,Finished Airing,"Apr 29, 2022 to Jul 22, 2022",King Records,Sentai Filmworks,"Brain's Base,       Lapin Track",Original,"Avant Garde, Comedy, Drama, Mystery, Supernatural",2 hr. 16 min. per ep.,R - 17+ (violence & profanity),36,,Psychological,,
Rurouni Kenshin Recap,Samurai X Recap,7.18,6610,3328,9,TV Special,1,Finished Airing,Jul 1997,"SME Visual Works,       Fuji TV","None found, add some","Gallop,       Studio Deen",Manga,"Action, Adventure, Comedy, Romance",47 min.,PG-13 - Teens 13 or older,25,,"Historical, Samurai",,
Rewrite 2nd Season,Rewrite: Moon and Terra,7.18,1893,3327,115,TV,11,Finished Airing,"Jan 14, 2017 to Mar 25, 2017","Aniplex,       Mainichi Broadcasting System,       Movic,       Visual Arts,       Magic Capsule,       ASCII Media Works,       Bushiroad,       Tokyo MX,       BS11,       Lawson","None found, add some",8bit,Visual novel,"Action, Comedy, Romance, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,424,,,Winter 2017,Saturdays at 23:30 (JST)
Shakugan no Shana-tan II (Second),,7.18,3486,3331,41,Special,3,Finished Airing,"Jan 25, 2008 to Oct 19, 2009","None found, add some",Funimation,J.C.Staff,Unknown,Comedy,6 min. per ep.,PG-13 - Teens 13 or older,51,,Parody,,
Seimei no Kagaku: Micro Patrol,Once Upon a Time... Life,7.18,10183,3329,2,OVA,26,Finished Airing,1986,Procidis,"None found, add some",Eiken,Unknown,Adventure,25 min. per ep.,G - All Ages,9,,"Educational, Medical",,
"Sengoku Basara Ni: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",,7.18,7217,3330,7,Special,1,Finished Airing,"Apr 6, 2011","None found, add some",Funimation,Production I.G,Game,Action,26 min.,PG-13 - Teens 13 or older,3,,"Historical, Samurai",,
Shikabane Hime: Aka,Corpse Princess: Aka,7.18,1793,3332,124,TV,13,Finished Airing,"Oct 2, 2008 to Dec 25, 2008","Square Enix,       Starchild Records",Funimation,"Gainax,       feel.",Manga,"Action, Horror, Supernatural",24 min. per ep.,R - 17+ (violence & profanity),245,Shounen,,Fall 2008,Unknown
Star Driver: Kagayaki no Takuto,Star Driver,7.18,1897,3333,115,TV,25,Finished Airing,"Oct 3, 2010 to Apr 3, 2011","Aniplex,       Dentsu,       Square Enix,       Mainichi Broadcasting System,       Bandai Namco Entertainment","Bandai Entertainment,       Aniplex of America",Bones,Original,"Action, Romance, Sci-Fi",25 min. per ep.,PG-13 - Teens 13 or older,616,,"Mecha, School",Fall 2010,Sundays at 17:00 (JST)
Suisei no Gargantia Specials,Gargantia on the Verdurous Planet Specials,7.18,3517,3334,40,Special,2,Finished Airing,"Aug 28, 2013 to Oct 25, 2013","None found, add some",VIZ Media,Production I.G,Original,"Action, Adventure, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,14,,Mecha,,
Tabisuru Nuigurumi: Traveling Daru,,7.18,8427,3335,5,Movie,1,Finished Airing,"Apr 4, 2012",CoMix Wave Films,"None found, add some","None found, add some",Original,Slice of Life,10 min.,G - All Ages,9,,,,
Tennis no Oujisama: Pair Prince,,7.18,8098,3338,5,Special,8,Finished Airing,"Jun 25, 2010 to Dec 22, 2010",Nihon Ad Systems,"None found, add some",Production I.G,Manga,Comedy,10 min. per ep.,PG-13 - Teens 13 or older,3,Shounen,,,
Taiho Shichau zo: Full Throttle,You're Under Arrest: Full Throttle,7.18,6250,3336,10,TV,23,Finished Airing,"Oct 5, 2007 to Mar 28, 2008",TBS,Sentai Filmworks,Studio Deen,Manga,"Action, Comedy",24 min. per ep.,PG-13 - Teens 13 or older,6,Seinen,"Adult Cast, Detective, Workplace",Fall 2007,Unknown
Tenkuu Senki Shurato,,7.18,6049,3337,11,TV,38,Finished Airing,"Apr 6, 1989 to Jan 18, 1990",Sotsu,"None found, add some",Tatsunoko Production,Original,"Action, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,58,,,Spring 1989,Thursdays at 19:00 (JST)
Thermae Romae Novae,,7.18,4371,3340,26,ONA,11,Finished Airing,"Mar 28, 2022","None found, add some","None found, add some",NAZ,Manga,Comedy,29 min. per ep.,PG-13 - Teens 13 or older,93,Seinen,"Adult Cast, Historical, Time Travel",,
The iDOLM@STER Shiny Festa,,7.18,5021,3339,18,OVA,3,Finished Airing,"Oct 25, 2012","None found, add some","None found, add some",A-1 Pictures,Game,"Comedy, Drama",23 min. per ep.,PG-13 - Teens 13 or older,16,,"Idols (Female), Music",,
Toushou Daimos,Daimos,7.18,7735,3341,6,TV,44,Finished Airing,"Apr 1, 1978 to Jan 27, 1979",Studio Nue,Discotek Media,"Sunrise,       Toei Animation",Original,"Adventure, Drama, Romance, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,33,,Mecha,Spring 1978,Unknown
UQ Holder! Mahou Sensei Negima! 2 OVA,,7.18,4193,3342,28,OVA,3,Finished Airing,"Sep 8, 2017 to Jun 8, 2018",Kodansha,Sentai Filmworks,J.C.Staff,Manga,"Action, Fantasy, Sci-Fi",22 min. per ep.,PG-13 - Teens 13 or older,27,Shounen,,,
Utawarerumono OVA,,7.18,4723,3343,21,OVA,3,Finished Airing,"Jun 5, 2009 to Jun 23, 2010",Frontier Works,Sentai Filmworks,Chaos Project,Visual novel,"Action, Comedy, Fantasy",29 min. per ep.,R+ - Mild Nudity,13,,,,
Wu Shan Wu Xing,Fog Hill of Five Elements,7.18,9928,3344,3,ONA,1,Finished Airing,"Dec 31, 2016","None found, add some","None found, add some",Samsara Animation Studio,Original,"Action, Fantasy",5 min.,PG-13 - Teens 13 or older,9,,,,
Youkai Apartment no Yuuga na Nichijou,Elegant Yokai Apartment Life,7.18,2640,3346,68,TV,26,Finished Airing,"Jul 3, 2017 to Dec 25, 2017","TMS Entertainment,       Kodansha,       Asmik Ace,       JR East Marketing & Communications,       Sumitomo","None found, add some",Shin-Ei Animation,Novel,"Slice of Life, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,219,,"Mythology, School",Summer 2017,Mondays at 23:00 (JST)
Yes! Precure 5 GoGo!,,7.18,5992,3345,11,TV,48,Finished Airing,"Feb 3, 2008 to Jan 25, 2009",Asahi Broadcasting,"None found, add some",Toei Animation,Original,"Action, Fantasy",24 min. per ep.,G - All Ages,37,,"Mahou Shoujo, School",Winter 2008,Sundays at 08:30 (JST)
Zoids Genesis,,7.18,5288,3347,16,TV,50,Finished Airing,"Apr 10, 2005 to Mar 26, 2006","None found, add some",VIZ Media,Shogakukan Music & Digital Entertainment,Original,"Action, Adventure, Comedy",25 min. per ep.,PG-13 - Teens 13 or older,31,,"Mecha, Military",Spring 2005,Unknown
Aikatsu Friends!,,7.18,5872,3348,12,TV,50,Finished Airing,"Apr 5, 2018 to Mar 28, 2019","TV Tokyo,       Dentsu,       Echoes","None found, add some",Bandai Namco Pictures,Game,Slice of Life,24 min. per ep.,PG - Children,78,,"Idols (Female), Music, School",Spring 2018,Thursdays at 18:25 (JST)
Ansatsu Kyoushitsu: Jump Festa 2013 Special,Assassination Classroom: Jump Festa 2013 Special,7.18,2406,3349,80,Special,1,Finished Airing,"Oct 6, 2013",Kansai Telecasting,"None found, add some",Brain's Base,Manga,"Action, Comedy",31 min.,PG-13 - Teens 13 or older,431,Shounen,,,
Ayashi no Ceres,"Ceres, Celestial Legend",7.18,2785,3350,62,TV,24,Finished Airing,"Apr 20, 2000 to Sep 28, 2000",Bandai Visual,"VIZ Media,       Discotek Media",Pierrot,Manga,"Adventure, Drama, Horror, Romance, Supernatural",21 min. per ep.,R - 17+ (violence & profanity),491,Shoujo,"Psychological, Reincarnation",Spring 2000,Thursdays at 18:30 (JST)
