Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes,Premiered,Broadcast
Tegamibachi Gakuen,Letter Bee Academy,7.21,6325,3175,10,Special,25,Finished Airing,"Jan 27, 2010 to Jul 23, 2010",Pierrot,"None found, add some",Pierrot Plus,Original,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,7,,School,,
Toaru Kagaku no Accelerator,A Certain Scientific Accelerator,7.21,1028,3176,238,TV,12,Finished Airing,"Jul 12, 2019 to Sep 27, 2019","Square Enix,       Movic,       AT-X,       Warner Bros. Japan,       NBCUniversal Entertainment Japan,       Kadokawa",Funimation,J.C.Staff,Manga,"Action, Fantasy, Sci-Fi",23 min. per ep.,R - 17+ (violence & profanity),943,,Super Power,Summer 2019,Fridays at 22:00 (JST)
Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas,,7.21,4280,3177,27,Special,1,Finished Airing,"Dec 25, 2013","Showgate,       King Records","None found, add some",A-1 Pictures,Visual novel,"Comedy, Romance",21 min.,PG-13 - Teens 13 or older,79,Josei,"Idols (Male), Music, Reverse Harem, School",,
Wan Jie Xian Zong 3rd Season,The Wonderland of Ten Thousand 3rd Season,7.21,10471,3178,2,ONA,48,Finished Airing,"Oct 17, 2019 to Apr 9, 2020",Tencent Penguin Pictures,"None found, add some",Ruo Hong Culture,Web manga,"Action, Adventure, Fantasy, Romance",7 min. per ep.,PG-13 - Teens 13 or older,9,,"Historical, Martial Arts, Mythology",,
Witchblade,,7.21,1864,3179,117,TV,24,Finished Airing,"Apr 6, 2006 to Sep 21, 2006","GDH,       SKY Perfect Well Think,       Sotsu Music Publishing,       Future Vision Music",Funimation,Gonzo,Other,"Action, Drama, Sci-Fi",24 min. per ep.,R - 17+ (violence & profanity),566,,"Adult Cast, Super Power",Spring 2006,Thursdays at 01:45 (JST)
Xian Wu Chuan 2nd Season,Legend of Xianwu 2nd Season,7.21,14198,3180,843,ONA,52,Currently Airing,"Sep 24, 2023 to ?","Youku,       Dongyao Dongman","None found, add some",Xiaoming Taiji,Web novel,"Action, Adventure, Fantasy",17 min. per ep.,PG-13 - Teens 13 or older,7,,"Historical, Martial Arts",,
Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,,7.21,7903,3181,6,Movie,1,Finished Airing,"Nov 8, 2008","None found, add some","None found, add some",Toei Animation,Original,"Fantasy, Romance",1 hr. 15 min.,G - All Ages,4,,"Mahou Shoujo, Super Power",,
Yume no Crayon Oukoku,Crayon Kingdom of Dreams,7.21,8537,3182,5,TV,70,Finished Airing,"Sep 7, 1997 to Jan 31, 1999","None found, add some","None found, add some",Toei Animation,Book,"Adventure, Comedy, Fantasy",24 min. per ep.,G - All Ages,54,,,Fall 1997,Sundays at 08:30 (JST)
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai,I've Always Liked You,7.21,1038,3183,234,Movie,1,Finished Airing,"Apr 23, 2016","Aniplex,       Dentsu,       Kadokawa Shoten,       Movic,       Fuji TV,       Milestone Music Publishing,       Lawson,       MusicRay’n",Aniplex of America,Qualia Animation,Music,Romance,1 hr. 3 min.,PG-13 - Teens 13 or older,674,,School,,
Accel World,,7.21,283,3184,716,TV,24,Finished Airing,"Apr 7, 2012 to Sep 22, 2012","Genco,       Rakuonsha,       Warner Bros. Japan,       flying DOG,       ASCII Media Works",VIZ Media,Sunrise,Light novel,"Action, Romance, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,"3,905",,"School, Video Game",Spring 2012,Saturdays at 00:30 (JST)
Bleach: Sennen Kessen-hen - Ketsubetsu-tan Recap,Bleach: Thousand-Year Blood War - The Separation Recap,7.21,10005,3187,3,TV Special,1,Finished Airing,"Sep 2, 2023","None found, add some","None found, add some",Pierrot,Manga,"Action, Adventure, Fantasy",24 min.,R - 17+ (violence & profanity),13,Shounen,,,
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,Amagi Brilliant Park: No Time to Take It Easy!,7.21,2103,3185,99,Special,1,Finished Airing,"Jun 26, 2015","None found, add some",Sentai Filmworks,Kyoto Animation,Light novel,"Comedy, Fantasy",23 min.,PG-13 - Teens 13 or older,34,,Workplace,,
Arabian Nights: Sindbad no Bouken (TV),Arabian Nights: Sinbad's Adventures,7.21,7145,3186,7,TV,52,Finished Airing,"Oct 1, 1975 to Sep 29, 1976",Studio Jack,"None found, add some",Nippon Animation,Book,"Adventure, Fantasy, Romance",24 min. per ep.,R+ - Mild Nudity,29,,Historical,Fall 1975,Wednesdays at 19:00 (JST)
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara,Code Geass: Akito the Exiled - Memories of Hatred,7.21,2038,3188,104,Movie,1,Finished Airing,"Jul 4, 2015","Bandai Visual,       Bandai,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners",Funimation,Sunrise,Original,Action,59 min.,R - 17+ (violence & profanity),74,,"Mecha, Military",,
Dae Jang Geum: Jang Geum's Dream,,7.21,8721,3189,4,TV,26,Finished Airing,"Oct 29, 2005 to Apr 29, 2006",Heewon Entertainment,"None found, add some","None found, add some",Other,"Adventure, Comedy, Gourmet",24 min. per ep.,PG - Children,38,,Historical,Fall 2005,Unknown
Dirty Pair,,7.21,3846,3190,33,TV,24,Finished Airing,"Jul 15, 1985 to Dec 26, 1985",Studio Nue,Nozomi Entertainment,Sunrise,Light novel,"Adventure, Comedy, Sci-Fi",24 min. per ep.,R+ - Mild Nudity,223,,,Summer 1985,Unknown
Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,Dr. Stone: Stone Wars Eve of the Battle Special Feature,7.21,3010,3191,54,Special,1,Finished Airing,"Oct 11, 2020","None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Sci-Fi",22 min.,PG-13 - Teens 13 or older,48,Shounen,Survival,,
Dragon Ball: Episode of Bardock,,7.21,1868,3192,117,Special,1,Finished Airing,"Dec 17, 2011","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy, Sci-Fi",19 min.,PG-13 - Teens 13 or older,118,Shounen,"Martial Arts, Super Power",,
El Cazador de la Bruja,,7.21,2975,3193,55,TV,26,Finished Airing,"Apr 3, 2007 to Sep 25, 2007",Victor Entertainment,Funimation,Bee Train,Original,"Adventure, Drama, Mystery",24 min. per ep.,PG-13 - Teens 13 or older,256,,,Spring 2007,Tuesdays at 01:30 (JST)
Girls & Panzer: Saishuushou Part 3 Specials,,7.21,7805,3194,6,Special,2,Finished Airing,"Dec 24, 2021","None found, add some","None found, add some",Actas,Original,Comedy,14 min. per ep.,PG-13 - Teens 13 or older,15,,"Military, School",,
Goblin Slayer II,,7.21,695,3195,341,TV,12,Finished Airing,"Oct 6, 2023 to Dec 22, 2023","Sony Pictures Entertainment,       Frontier Works,       AT-X,       Bushiroad,       Hakuhodo DY Music & Pictures,       Good Smile Film,       SB Creative","None found, add some",LIDENFILMS,Light novel,"Action, Adventure, Fantasy",23 min. per ep.,R - 17+ (violence & profanity),"3,175",,Gore,Fall 2023,Fridays at 22:00 (JST)
Groove Adventure Rave,Rave Master,7.21,2073,3196,101,TV,51,Finished Airing,"Oct 13, 2001 to Sep 28, 2002","TBS,       Kodansha",Tokyopop,Studio Deen,Manga,"Action, Adventure, Comedy, Fantasy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,368,Shounen,,Fall 2001,Unknown
Haiyore! Nyaruko-san W,Nyaruko: Crawling With Love! Second Season,7.21,1318,3197,183,TV,12,Finished Airing,"Apr 8, 2013 to Jul 1, 2013","Avex Entertainment,       Sotsu,       DIVE II Entertainment","NIS America, Inc.",Xebec,Light novel,"Comedy, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,304,,Parody,Spring 2013,Sundays at 01:05 (JST)
Hitsugi no Chaika,Chaika -The Coffin Princess-,7.21,615,3198,381,TV,12,Finished Airing,"Apr 10, 2014 to Jun 26, 2014","Kadokawa Shoten,       flying DOG,       Fujimi Shobo",Sentai Filmworks,Bones,Light novel,"Action, Adventure, Fantasy, Romance",24 min. per ep.,R - 17+ (violence & profanity),863,,,Spring 2014,Thursdays at 01:05 (JST)
Hokuto no Ken Movie,Fist of the North Star: The Movie,7.21,4697,3199,22,Movie,1,Finished Airing,"Mar 8, 1986",Streamline Pictures,Discotek Media,Toei Animation,Manga,"Action, Drama, Sci-Fi",1 hr. 50 min.,R - 17+ (violence & profanity),127,Shounen,"Gore, Martial Arts, Super Power",,
Hunter x Hunter Pilot,,7.21,4134,3200,29,OVA,1,Finished Airing,"Jul 26, 1998","None found, add some","None found, add some",Pierrot,Manga,"Action, Adventure, Fantasy",25 min.,PG-13 - Teens 13 or older,55,Shounen,Super Power,,
Basquash!,,7.20,3236,3201,47,TV,26,Finished Airing,"Apr 3, 2009 to Oct 2, 2009",Mainichi Broadcasting System,Maiden Japan,Satelight,Original,"Sci-Fi, Sports",24 min. per ep.,PG-13 - Teens 13 or older,186,,"Mecha, Team Sports",Spring 2009,Fridays at 01:25 (JST)
Cat's Eye,,7.20,4642,3203,22,TV,73,Finished Airing,"Jul 11, 1983 to Jul 8, 1985",ImaginAsian Entertainment,Nozomi Entertainment,Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery, Romance",25 min. per ep.,PG-13 - Teens 13 or older,100,Shounen,,Summer 1983,Unknown
Binghuo Mochu,The Magic Chef of Ice and Fire,7.20,10102,3202,2,ONA,52,Finished Airing,"Dec 11, 2021 to Nov 26, 2022","Youku,       Xuanshi Tangmen","None found, add some",Joicy Studio,Manga,"Action, Adventure, Fantasy",18 min. per ep.,PG-13 - Teens 13 or older,21,,,,
Cosmic Baton Girl Comet-san☆,,7.20,8387,3204,5,TV,43,Finished Airing,"Apr 1, 2001 to Jan 27, 2002","Group TAC,       TV Osaka,       Yomiko Advertising,       TOHO","None found, add some",Nippon Animation,Manga,"Adventure, Comedy, Drama, Sci-Fi",24 min. per ep.,G - All Ages,47,,,Spring 2001,Sundays at 09:30 (JST)
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Danganronpa: The Animation,7.20,172,3205,945,TV,13,Finished Airing,"Jul 5, 2013 to Sep 27, 2013","Geneon Universal Entertainment,       Studio Hibari,       Mainichi Broadcasting System,       Showgate",Funimation,Lerche,Visual novel,"Horror, Mystery, Suspense",24 min. per ep.,R - 17+ (violence & profanity),"8,341",,"High Stakes Game, Psychological, School, Survival",Summer 2013,Fridays at 01:35 (JST)
Digimon Adventure tri. 6: Bokura no Mirai,Digimon Adventure tri. Future,7.20,3237,3208,47,Movie,1,Finished Airing,"May 5, 2018",Sonilude,"None found, add some",Toei Animation,Original,"Action, Adventure, Comedy, Drama",1 hr. 38 min.,PG-13 - Teens 13 or older,51,,,,
Dead Leaves,,7.20,2165,3207,95,Movie,1,Finished Airing,"Jan 16, 2004","None found, add some",Manga Entertainment,Production I.G,Original,"Action, Comedy, Sci-Fi",52 min.,R+ - Mild Nudity,651,,"Gore, Super Power",,
Darling in the FranXX,,7.20,60,3206,1,TV,24,Finished Airing,"Jan 13, 2018 to Jul 7, 2018","Aniplex,       Khara,       Movic,       Ultra Super Pictures,       Lucent Pictures Entertainment,       Tokyo MX,       Nagoya Broadcasting Network,       Asahi Broadcasting,       BS11,       Lawson,       ABC Animation,       Rialto Entertainment",Funimation,"A-1 Pictures,       Trigger,       CloverWorks",Original,"Action, Drama, Romance, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,"32,322",,Mecha,Winter 2018,Saturdays at 23:30 (JST)
