Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes,Premiered,Broadcast
Kujira no Kora wa Sajou ni Utau,Children of the Whales,7.17,1059,3389,231,TV,12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017","Bandai Visual,       Lantis,       Magic Capsule,       Hakuhodo DY Music & Pictures,       Akita Shoten,       Sony PCL,       Contents Seed","None found, add some",J.C.Staff,Manga,"Drama, Fantasy, Mystery, Sci-Fi",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,"1,017",,Fall 2017,Sundays at 23:00 (JST)
Naruto SD: Rock Lee no Seishun Full-Power Ninden,Naruto Spin-Off: Rock Lee & His Ninja Pals,7.17,2101,3390,99,TV,51,Finished Airing,"Apr 3, 2012 to Mar 26, 2013","TV Tokyo,       Shueisha",VIZ Media,Pierrot,Manga,"Action, Comedy",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,296,Parody,Spring 2012,Tuesdays at 18:00 (JST)
Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,Naruto Shippuden: Chunin Exam on Fire! Naruto vs. Konohamaru!,7.17,2392,3391,80,Movie,1,Finished Airing,"Jul 30, 2011",Shueisha,VIZ Media,Pierrot,Manga,"Action, Adventure",Shounen,14 min.,PG-13 - Teens 13 or older,40,"Martial Arts, Super Power",,
Nogizaka Haruka no Himitsu Purezza ♪,Haruka Nogizaka's Secret Purezza,7.17,2567,3392,72,TV,12,Finished Airing,"Oct 6, 2009 to Dec 22, 2009","ASCII Media Works,       Studio Mausu,       Studio Jack",Discotek Media,Diomedéa,Light novel,"Comedy, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,93,"Otaku Culture, School",Fall 2009,Tuesdays at 02:14 (JST)
Obey Me!,,7.17,3303,3393,45,ONA,12,Finished Airing,"Jul 16, 2021 to Dec 24, 2021","Sotsu,       Bouncy,       Toei Advertising,       Colored Pencil Animation",Funimation,Colored Pencil Animation Japan,Game,"Comedy, Fantasy",,5 min. per ep.,PG-13 - Teens 13 or older,818,Mythology,,
One Piece: Umi no Heso no Daibouken-hen,One Piece: Adventure in the Ocean's Navel,7.17,3620,3394,38,TV Special,1,Finished Airing,"Dec 20, 2000","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,49 min.,PG-13 - Teens 13 or older,24,,,
Papa no Iukoto wo Kikinasai!: Pokkapoka,,7.17,3529,3395,40,Special,1,Finished Airing,"Jul 11, 2012","None found, add some",Sentai Filmworks,feel.,Light novel,"Comedy, Romance",,23 min.,PG-13 - Teens 13 or older,19,Childcare,,
Phi Brain: Kami no Puzzle,Phi-Brain ~ Puzzle of God,7.17,1973,3396,109,TV,25,Finished Airing,"Oct 2, 2011 to Apr 1, 2012",NHK,Sentai Filmworks,Sunrise,Original,"Action, Mystery, Suspense",,24 min. per ep.,PG-13 - Teens 13 or older,234,"High Stakes Game, Strategy Game",Fall 2011,Unknown
Ple Ple Pleiades × Kagejitsu!,,7.17,7094,3397,7,ONA,1,Finished Airing,"Oct 31, 2023","None found, add some","None found, add some",Studio PuYUKAI,Original,"Comedy, Fantasy",,10 min.,PG-13 - Teens 13 or older,8,,,
Red Shoes,Red Shoes and the Seven Dwarfs,7.17,13014,3398,1,Movie,1,Finished Airing,"Jul 25, 2019",Locus Corporation,"None found, add some","None found, add some",Original,"Comedy, Romance",,1 hr. 32 min.,G - All Ages,6,,,
Sarusuberi: Miss Hokusai,Miss Hokusai,7.17,3774,3399,35,Movie,1,Finished Airing,"May 9, 2015","Sunrise,       TV Tokyo,       Bandai Visual,       OLM,       Asatsu DK,       DandeLion Animation Studio,       Trans Cosmos,       Production GoodBook,       Asahi Shimbun,       Tokyo Theatres","NYAV Post,       GKIDS",Production I.G,Manga,"Award Winning, Drama, Supernatural",Seinen,1 hr. 30 min.,PG-13 - Teens 13 or older,59,"Historical, Visual Arts",,
Shin Hakkenden,,7.17,7512,3400,6,TV,26,Finished Airing,"Apr 3, 1999 to Sep 25, 1999",TV Tokyo,"None found, add some",Public & Basic,Original,"Action, Adventure, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,21,Martial Arts,Spring 1999,Unknown
Sola,,7.17,2076,3401,101,TV,13,Finished Airing,"Apr 7, 2007 to Jun 30, 2007",Lantis,Bandai Entertainment,Nomad,Manga,"Drama, Romance, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,412,,Spring 2007,Unknown
Street Fighter II Movie,Street Fighter II: The Animated Movie,7.17,3933,3402,32,Movie,1,Finished Airing,"Aug 6, 1994","None found, add some","Discotek Media,       Manga Entertainment",Group TAC,Game,Action,,1 hr. 41 min.,R+ - Mild Nudity,158,Martial Arts,,
Suzuka,,7.17,1872,3403,116,TV,26,Finished Airing,"Jul 7, 2005 to Dec 29, 2005","Marvelous Entertainment,       Starchild Records,       Studio Jack",Funimation,Studio Comet,Manga,"Drama, Romance, Sports",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,649,,Summer 2005,Thursdays at 01:00 (JST)
Tobe! Isami,Soar High! Isami,7.17,10076,3405,3,TV,50,Finished Airing,"Apr 8, 1995 to Mar 30, 1996","None found, add some",Hirameki International,Group TAC,Original,"Action, Adventure, Comedy, Romance",,25 min. per ep.,PG-13 - Teens 13 or older,14,,Spring 1995,Saturdays at 18:00 (JST)
Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,That Time I Got Reincarnated as a Slime Season 2: Tales - Veldora's Journal 2,7.17,2927,3404,57,TV Special,1,Finished Airing,"Jun 29, 2021","None found, add some","None found, add some",8bit,Manga,"Action, Adventure, Comedy, Fantasy",,23 min.,PG-13 - Teens 13 or older,286,Isekai,,
Uta no☆Prince-sama♪ Maji Love 2000%,Uta no Prince Sama 2,7.17,1918,3406,113,TV,13,Finished Airing,"Apr 4, 2013 to Jun 27, 2013","Showgate,       King Records",Sentai Filmworks,A-1 Pictures,Visual novel,"Comedy, Romance",Josei,25 min. per ep.,PG-13 - Teens 13 or older,542,"Idols (Male), Music, Reverse Harem, School",Spring 2013,Unknown
Yoru wa Neko to Issho,Nights with a Cat,7.17,5650,3407,13,TV,30,Finished Airing,"Aug 4, 2022 to Jan 11, 2023",Kadokawa,"None found, add some",Studio PuYUKAI,Web manga,Comedy,,2 min. per ep.,G - All Ages,108,Pets,Summer 2022,Thursdays at 01:00 (JST)
Yowamushi Pedal: Re:Generation,,7.17,7975,3408,5,Movie,1,Finished Airing,"Oct 13, 2017","None found, add some","None found, add some",TMS Entertainment,Manga,Sports,Shounen,1 hr. 30 min.,PG-13 - Teens 13 or older,2,,,
Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,Yu Yu Hakusho the Movie: Poltergeist Report,7.17,4073,3409,30,Movie,1,Finished Airing,"Apr 9, 1994","Movic,       A-Line",Central Park Media,Pierrot,Manga,"Action, Fantasy",Shounen,1 hr. 34 min.,PG-13 - Teens 13 or older,36,"Martial Arts, Mythology",,
Shin Shirayuki-hime Densetsu Prétear,Prétear: The New Legend of Snow White,7.16,2734,3411,64,TV,13,Finished Airing,"Apr 4, 2001 to Jun 27, 2001","Kadokawa Shoten,       Rondo Robe","ADV Films,       Funimation",HAL Film Maker,Manga,"Drama, Fantasy, Romance",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,432,"Mahou Shoujo, Reverse Harem, Super Power",Spring 2001,Wednesdays at 18:30 (JST)
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai: Kinyoubi no Ohayou,I've Always Liked You: A Friday's Good Morning,7.17,4430,3410,25,Special,1,Finished Airing,"Oct 26, 2016",Aniplex,"None found, add some",Qualia Animation,Music,Romance,,3 min.,PG - Children,29,School,,
Tenchi Souzou Design-bu,Heaven's Design Team,7.16,2421,3412,79,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021","Dentsu,       Kodansha,       AT-X,       Studio Mausu,       BS Fuji,       Tokyo MX,       Avex Pictures,       TV Aichi","None found, add some",Asahi Production,Manga,"Comedy, Fantasy",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,291,"Educational, Gag Humor, Mythology, Workplace",Winter 2021,Thursdays at 23:30 (JST)
The iDOLM@STER Cinderella Girls,,7.16,2472,3414,76,TV,13,Finished Airing,"Jan 10, 2015 to Apr 11, 2015","Aniplex,       Half H.P Studio,       Nippon Columbia,       Bandai Namco Games,       Anime Consortium Japan,       Cygames","None found, add some",A-1 Pictures,Game,"Comedy, Drama",,24 min. per ep.,PG-13 - Teens 13 or older,474,"Idols (Female), Music",Winter 2015,Saturdays at 00:00 (JST)
Tetsuwan Atom (1980),Astro Boy (1980),7.16,5444,3413,15,TV,52,Finished Airing,"Oct 1, 1980 to Dec 23, 1981",Nippon Television Network,"Discotek Media,       Manga Entertainment",Tezuka Productions,Manga,"Action, Adventure, Sci-Fi",Shounen,24 min. per ep.,G - All Ages,95,,Fall 1980,Unknown
The iDOLM@STER Prologue SideM: Episode of Jupiter,The iDOLM@STER Side M: Episode of Jupiter,7.16,7771,3415,6,Special,1,Finished Airing,"Oct 1, 2017","Aniplex,       Lantis,       Bandai Namco Live Creative,       Bandai Namco Entertainment,       ABC Animation","None found, add some",A-1 Pictures,Game,,,34 min.,PG-13 - Teens 13 or older,13,"Idols (Male), Music",,
Vandread,,7.16,2312,3416,85,TV,13,Finished Airing,"Oct 3, 2000 to Dec 19, 2000","GDH,       Dentsu,       Media Factory","Funimation,       Geneon Entertainment USA",Gonzo,Original,"Action, Sci-Fi, Ecchi",,22 min. per ep.,PG-13 - Teens 13 or older,432,"Mecha, Space",Fall 2000,Tuesdays at 18:30 (JST)
"Wake Up, Girls! Shichinin no Idol","Wake Up, Girls! The Movie",7.16,4483,3417,24,Movie,1,Finished Airing,"Jan 10, 2014","TV Tokyo,       Avex Entertainment,       Sotsu,       Sega,       Gakken,       Rakuonsha,       AT-X,       TOHO,       DIVE II Entertainment,       Good Smile Company",Sentai Filmworks,"Tatsunoko Production,       Ordet",Original,Drama,,52 min.,PG-13 - Teens 13 or older,19,"Idols (Female), Music",,
Yawara!: Zutto Kimi no Koto ga...,,7.16,9670,3418,3,TV Special,1,Finished Airing,"Jul 19, 1996",Kitty Films,"None found, add some",Madhouse,Manga,"Comedy, Romance, Sports",Seinen,1 hr. 32 min.,PG-13 - Teens 13 or older,3,Combat Sports,,
ACCA: 13-ku Kansatsu-ka - Regards,ACCA: 13-Territory Inspection Department - Regards,7.16,5153,3419,17,OVA,1,Finished Airing,"Feb 14, 2020",Lantis,"None found, add some",Madhouse,Manga,"Drama, Fantasy, Mystery",Seinen,47 min.,PG-13 - Teens 13 or older,22,"Adult Cast, Detective",,
Area no Kishi,The Knight in the Area,7.16,2493,3420,75,TV,37,Finished Airing,"Jan 7, 2012 to Sep 29, 2012","TV Asahi,       Imagine","None found, add some",Shin-Ei Animation,Manga,"Comedy, Sports",Shounen,25 min. per ep.,PG-13 - Teens 13 or older,220,"School, Team Sports",Winter 2012,Saturdays at 06:00 (JST)
Bakuman.: Deraman.,,7.16,5152,3422,17,Special,2,Finished Airing,"Sep 29, 2012 to Jan 2, 2013",NHK,"None found, add some",J.C.Staff,Manga,Comedy,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,11,"Otaku Culture, School",,
B: The Beginning,,7.16,682,3421,349,ONA,12,Finished Airing,"Mar 2, 2018",Netflix,"None found, add some",Production I.G,Original,"Action, Mystery, Supernatural, Suspense",,23 min. per ep.,R - 17+ (violence & profanity),"1,409","Detective, Psychological",,
Blood-C: The Last Dark,,7.16,2047,3423,103,Movie,1,Finished Airing,"Jun 2, 2012","Aniplex,       Dentsu,       Shochiku,       Kadokawa Shoten,       Mainichi Broadcasting System,       Dwango",Funimation,Production I.G,Original,"Action, Horror, Supernatural",,1 hr. 46 min.,R+ - Mild Nudity,236,"Gore, Vampire",,
Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,My Hero Academia: Make It! Do-or-Die Survival Training,7.16,1339,3424,180,ONA,2,Finished Airing,"Aug 16, 2020","None found, add some",Funimation,Bones,Manga,Action,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,188,"School, Super Power",,
Boogiepop wa Warawanai,Boogiepop Phantom,7.16,1658,3425,137,TV,12,Finished Airing,"Jan 5, 2000 to Mar 22, 2000","VAP,       d-rights",Nozomi Entertainment,Madhouse,Light novel,"Avant Garde, Drama, Horror, Mystery, Supernatural",,24 min. per ep.,R+ - Mild Nudity,"1,141",Psychological,Winter 2000,Thursdays at 01:45 (JST)
C: The Money of Soul and Possibility Control,[C] CONTROL - The Money and Soul of Possibility,7.16,760,3426,317,TV,11,Finished Airing,"Apr 15, 2011 to Jun 24, 2011","Dentsu,       Fuji TV,       TOHO,       Sony Music Entertainment,       Fujipacific Music",Funimation,Tatsunoko Production,Original,"Action, Mystery, Sci-Fi, Suspense",,22 min. per ep.,PG-13 - Teens 13 or older,"1,299","High Stakes Game, Super Power",Spring 2011,Fridays at 00:45 (JST)
Choujigen Game Neptune The Animation OVA,Hyperdimension Neptunia OVA,7.16,5842,3427,12,OVA,3,Finished Airing,"Jul 8, 2019 to Sep 8, 2022",Frontier Works,"None found, add some",Okuruto Noboru,Game,"Action, Comedy, Fantasy, Sci-Fi",,26 min. per ep.,PG-13 - Teens 13 or older,26,,,
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,,7.16,8803,3428,4,Movie,1,Finished Airing,"Apr 17, 2004",TV Asahi,"None found, add some",Shin-Ei Animation,Manga,"Action, Adventure, Comedy, Fantasy",Seinen,1 hr. 37 min.,G - All Ages,2,Historical,,
D.N.Angel,,7.16,1297,3429,185,TV,26,Finished Airing,"Apr 3, 2003 to Sep 25, 2003",Kadokawa Shoten,"ADV Films,       Discotek Media",Xebec,Manga,"Action, Comedy, Fantasy, Romance",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,"1,281",School,Spring 2003,Thursdays at 18:30 (JST)
Dash! Kappei,,7.16,8007,3430,5,TV,65,Finished Airing,"Oct 4, 1981 to Dec 26, 1982",Fuji TV,"None found, add some","Tatsunoko Production,       Tama Production",Manga,"Comedy, Sports, Ecchi",Shounen,25 min. per ep.,PG-13 - Teens 13 or older,30,,Fall 1981,Unknown
Days,,7.16,1596,3431,144,TV,24,Finished Airing,"Jul 3, 2016 to Dec 18, 2016","Dentsu,       Animax,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Tokyo MX,       Lawson HMV Entertainment,       BS11,       Animatic,       Techno Sound",Ponycan USA,MAPPA,Manga,Sports,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,492,"School, Team Sports",Summer 2016,Sundays at 02:58 (JST)
Digimon Adventure tri. 5: Kyousei,Digimon Adventure tri. Coexistence,7.16,3088,3432,51,Movie,1,Finished Airing,"Sep 30, 2017",Sonilude,"None found, add some",Toei Animation,Original,"Action, Adventure, Comedy, Drama",,1 hr. 36 min.,PG-13 - Teens 13 or older,32,,,
Digimon Frontier,,7.16,1486,3433,158,TV,50,Finished Airing,"Apr 7, 2002 to Mar 30, 2003","Yomiko Advertising,       Fuji TV",Flatiron Film Company,Toei Animation,Original,"Action, Adventure, Comedy, Drama, Fantasy",,23 min. per ep.,PG - Children,592,Isekai,Spring 2002,Sundays at 09:00 (JST)
Fate/kaleid liner Prisma☆Illya 2wei Herz!,Fate/Kaleid Liner Prisma Illya 2Wei Herz!,7.16,1591,3434,144,TV,10,Finished Airing,"Jul 25, 2015 to Sep 26, 2015","Lantis,       Kadokawa Shoten,       AT-X,       DAX Production,       KlockWorx,       Tokyo MX,       Kadokawa Media House",Sentai Filmworks,SILVER LINK.,Manga,"Action, Comedy, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,251,Mahou Shoujo,Summer 2015,Saturdays at 01:40 (JST)
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Skeleton Knight in Another World,7.16,781,3435,309,TV,12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022","Pony Canyon,       AT-X,       DAX Production,       Docomo Anime Store,       Overlap,       Crunchyroll,       Muse Communication,       MAGNET","None found, add some","Studio Kai,       HORNETS",Light novel,"Action, Adventure, Fantasy",,23 min. per ep.,R - 17+ (violence & profanity),"1,727",Isekai,Spring 2022,Thursdays at 23:30 (JST)
Guin Saga,,7.16,3347,3436,44,TV,26,Finished Airing,"Apr 5, 2009 to Sep 27, 2009",Aniplex,Sentai Filmworks,Satelight,Light novel,"Adventure, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,130,,Spring 2009,Sundays at 23:29 (JST)
Hi no Ame ga Furu,,7.16,11606,3438,1,Movie,1,Finished Airing,"Sep 15, 1988","None found, add some","None found, add some",Mushi Production,Book,Drama,,1 hr. 20 min.,G - All Ages,3,Historical,,
Henjin no Salad Bowl,A Salad Bowl of Eccentrics,7.16,3575,3437,39,TV,12,Currently Airing,"Apr 5, 2024 to Jun 21, 2024","Pierrot,       TBS,       CBC Television,       KlockWorx,       Hakuhodo DY Music & Pictures,       Universal Music Japan,       BS11,       Jinnan Studio,       Nichion","None found, add some","SynergySP,       Studio Comet",Light novel,"Comedy, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,78,,Spring 2024,Fridays at 01:28 (JST)
Hiiro no Kakera 2nd Season,Hiiro no Kakera: The Tamayori Princess Saga Season 2,7.16,3008,3439,54,TV,13,Finished Airing,"Sep 30, 2012 to Dec 23, 2012",Bandai Visual,Sentai Filmworks,Studio Deen,Visual novel,"Fantasy, Romance",Josei,24 min. per ep.,PG-13 - Teens 13 or older,135,Reverse Harem,Fall 2012,Unknown
Holy Knight Light,,7.16,8576,3441,4,ONA,1,Finished Airing,"Dec 26, 2020","None found, add some","None found, add some",Yostar Pictures,Game,"Action, Fantasy",,9 min.,PG-13 - Teens 13 or older,15,,,
Hitsugi no Chaika: Avenging Battle,Chaika -The Coffin Princess- Avenging Battle,7.16,1176,3440,207,TV,10,Finished Airing,"Oct 9, 2014 to Dec 11, 2014","Kadokawa Shoten,       flying DOG,       Fujimi Shobo",Sentai Filmworks,Bones,Light novel,"Action, Adventure, Fantasy, Romance",,23 min. per ep.,R - 17+ (violence & profanity),204,,Fall 2014,Thursdays at 01:05 (JST)
Huyao Xiao Hongniang,Fox Spirit Matchmaker,7.16,3433,3442,42,ONA,13,Finished Airing,"Jun 26, 2015 to Nov 27, 2015",Tencent Animation & Comics,"None found, add some","Haoliners Animation League,       Garden Culture",Manga,"Comedy, Romance, Supernatural",,13 min. per ep.,PG-13 - Teens 13 or older,173,Historical,,
Joukamachi no Dandelion,Castle Town Dandelion,7.16,1385,3443,171,TV,12,Finished Airing,"Jul 3, 2015 to Sep 18, 2015","Pony Canyon,       TBS,       DAX Production,       Houbunsha,       TC Entertainment,       Docomo Anime Store,       Nichion",Funimation,Production IMS,4-koma manga,"Comedy, Supernatural",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,431,Super Power,Summer 2015,Fridays at 02:16 (JST)
Kaze no Stigma,,7.16,498,3444,455,TV,24,Finished Airing,"Apr 13, 2007 to Sep 21, 2007","None found, add some",Funimation,Gonzo,Light novel,"Action, Fantasy, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,"1,977",,Spring 2007,Fridays at 01:30 (JST)
Long She Yanyi,Dragon's Disciple,7.16,12858,3446,1,ONA,16,Finished Airing,"Jan 28, 2022 to Apr 29, 2022","bilibili,       Wonder Cat Animation","None found, add some",Xuni Ying Ye,Web novel,Action,,19 min. per ep.,PG-13 - Teens 13 or older,9,Martial Arts,,
Kotoura-san,The Troubled Life of Miss Kotoura,7.16,698,3445,340,TV,12,Finished Airing,"Jan 11, 2013 to Mar 29, 2013","AIC,       CBC Television,       KlockWorx,       flying DOG","NIS America, Inc.",AIC Classic,4-koma manga,"Comedy, Romance, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,"1,076",School,Winter 2013,Unknown
Love Stage!!,,7.16,932,3447,262,TV,10,Finished Airing,"Jul 10, 2014 to Sep 11, 2014","Lantis,       Kadokawa Shoten",Sentai Filmworks,J.C.Staff,Manga,"Boys Love, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"1,628","Adult Cast, Otaku Culture, Showbiz",Summer 2014,Thursdays at 01:05 (JST)
Made in Abyss: Retsujitsu no Ougonkyou - Papa to Issho,Made in Abyss: The Golden City of the Scorching Sun - Together with Papa,7.16,5529,3448,14,Special,1,Finished Airing,"Oct 26, 2022","None found, add some","None found, add some",Kinema Citrus,Manga,Fantasy,,6 min.,PG-13 - Teens 13 or older,32,,,
Mangaka-san to Assistant-san to The Animation Specials,,7.16,3055,3449,52,Special,6,Finished Airing,"Jun 25, 2014 to Nov 26, 2014",Lantis,"None found, add some",Zexcs,4-koma manga,"Comedy, Ecchi",Seinen,7 min. per ep.,PG-13 - Teens 13 or older,25,Harem,,
Masuda Kousuke Gekijou Gag Manga Biyori,,7.16,6571,3450,9,TV,12,Finished Airing,"Feb 7, 2005 to Apr 25, 2005","Bandai Visual,       SKY Perfect Well Think,       Kids Station,       DAX Production","None found, add some",Artland,Manga,Comedy,,5 min. per ep.,PG-13 - Teens 13 or older,60,"Gag Humor, Parody",Winter 2005,Mondays at Unknown
Tokyo Majin Gakuen Kenpuuchou: Tou Dai Ni Maku,,7.19,3613,3252,38,TV,12,Finished Airing,"Jul 27, 2007 to Oct 12, 2007","None found, add some","ADV Films,       Funimation","AIC Spirits,       BeSTACK",Game,"Action, Drama, Horror, Mystery",,24 min. per ep.,R - 17+ (violence & profanity),64,"Martial Arts, School",Summer 2007,Fridays at 23:00 (JST)
The Fable,,7.19,3631,3251,38,TV,25,Currently Airing,"Apr 7, 2024 to ?","VAP,       Kodansha,       Nippon Television Network,       Audio Planning U","None found, add some",Tezuka Productions,Manga,Comedy,Seinen,22 min. per ep.,R - 17+ (violence & profanity),164,"Adult Cast, Organized Crime",Spring 2024,Sundays at 00:55 (JST)
Wagaya no Oinari-sama.,Our Home's Fox Deity,7.19,3919,3254,32,TV,24,Finished Airing,"Apr 7, 2008 to Sep 15, 2008","Kadokawa Shoten,       Kadokawa Pictures Japan,       KlockWorx,       NTT Docomo","NIS America, Inc.",Zexcs,Light novel,"Comedy, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,83,"Magical Sex Shift, Mythology",Spring 2008,Mondays at 00:00 (JST)
Video Girl Ai,,7.19,4028,3253,31,OVA,6,Finished Airing,"Mar 27, 1992 to Aug 28, 1992",Shueisha,VIZ Media,Production I.G,Manga,"Comedy, Drama, Romance, Ecchi",Shounen,29 min. per ep.,R+ - Mild Nudity,140,Love Polygon,,
Yeon-ae Halujeon Zero,A Day Before Us Zero,7.19,4182,3255,28,ONA,19,Finished Airing,"May 10, 2018 to Aug 2, 2019","None found, add some","None found, add some","LICO,       Red Dog Culture House",Original,Romance,,3 min. per ep.,PG-13 - Teens 13 or older,89,School,,
Yes! Precure 5,,7.19,5050,3256,18,TV,49,Finished Airing,"Feb 4, 2007 to Jan 27, 2008",Asahi Broadcasting,"None found, add some",Toei Animation,Original,"Action, Fantasy",,24 min. per ep.,G - All Ages,89,"Mahou Shoujo, School",Winter 2007,Unknown
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,,7.19,5719,3257,13,OVA,2,Finished Airing,"Sep 21, 1994 to Oct 5, 1994","None found, add some",Funimation,Pierrot,Manga,"Action, Fantasy",Shounen,26 min. per ep.,PG-13 - Teens 13 or older,8,"Martial Arts, Mythology",,
07-Ghost,,7.19,1147,3258,213,TV,25,Finished Airing,"Apr 7, 2009 to Sep 22, 2009",Ichijinsha,Discotek Media,Studio Deen,Manga,"Action, Fantasy",Josei,23 min. per ep.,PG-13 - Teens 13 or older,"2,103","Military, Mythology",Spring 2009,Tuesdays at 01:40 (JST)
Amagami SS+ Plus: Extra Episode+ Plus,,7.19,3665,3259,37,Special,6,Finished Airing,"Apr 4, 2012 to Sep 5, 2012","None found, add some","None found, add some",AIC,Visual novel,Romance,,3 min. per ep.,PG-13 - Teens 13 or older,22,,,
Amagami SS: Tachibana Miya-hen - Imouto,Amagami SS: Little Sister,7.19,2974,3260,55,Special,1,Finished Airing,"Apr 29, 2011",Pony Canyon,Sentai Filmworks,AIC,Visual novel,,,24 min.,PG-13 - Teens 13 or older,27,School,,
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,Aoharu x Machinegun: This is a Battlefield for Beasts!,7.19,3703,3261,36,Special,1,Finished Airing,"Dec 25, 2015",TBS,Sentai Filmworks,Brain's Base,Manga,"Comedy, Sports",Shounen,24 min.,PG-13 - Teens 13 or older,34,"Crossdressing, Team Sports",,
