Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes,Premiered,Broadcast
Juu Ou Sei,Jyu-Oh-Sei: Planet of the Beast King,7.19,2530,3280,73,TV,11,Finished Airing,"Apr 14, 2006 to Jun 23, 2006","Dentsu,       SKY Perfect Well Think,       Fuji TV,       Asmik Ace,       Sony Music Entertainment",Funimation,Bones,Manga,"Action, Adventure, Drama, Mystery, Sci-Fi",Shoujo,22 min. per ep.,R - 17+ (violence & profanity),372,,Spring 2006,Fridays at 00:45 (JST)
K: Seven Stories Movie 6 - Circle Vision - Nameless Song,"K: SEVEN STORIES ""Circle Vision - Nameless Song - """,7.19,4873,3281,20,Movie,1,Finished Airing,"Dec 1, 2018","None found, add some",VIZ Media,GoHands,Original,"Action, Supernatural",,58 min.,PG-13 - Teens 13 or older,17,Super Power,,
Kakegurui××,,7.19,248,3282,778,TV,12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019","Dentsu,       Square Enix,       Mainichi Broadcasting System,       Movic,       KlockWorx,       flying DOG,       81 Produce,       Avex Pictures",Sentai Filmworks,MAPPA,Manga,"Drama, Mystery, Suspense",Shounen,24 min. per ep.,R - 17+ (violence & profanity),"1,972","High Stakes Game, Psychological, School, Strategy Game",Winter 2019,Wednesdays at 02:30 (JST)
Kuroko no Basket: Oshaberi Shiyou ka,,7.19,5228,3284,16,Special,1,Finished Airing,"Jan 27, 2017","None found, add some","None found, add some",Production I.G,Manga,"Comedy, Sports",Shounen,15 min.,PG-13 - Teens 13 or older,8,"School, Team Sports",,
Kuroshitsuji Recap,Black Butler: The Story Thus Far,7.19,3539,3285,40,TV Special,1,Finished Airing,"Jan 9, 2009","None found, add some","None found, add some",A-1 Pictures,Manga,"Action, Comedy, Mystery, Supernatural",Shounen,24 min.,R - 17+ (violence & profanity),85,"Historical, Mythology",,
Kamichama Karin,,7.19,3046,3283,53,TV,26,Finished Airing,"Apr 6, 2007 to Sep 28, 2007","Broccoli,       Nihon Ad Systems,       Pony Canyon,       Studio Kelmadick","None found, add some",Satelight,Manga,"Comedy, Fantasy, Romance",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,376,"Mahou Shoujo, School",Spring 2007,Unknown
Kyou no 5 no 2,Today in Class 5-2,7.19,4034,3286,30,OVA,4,Finished Airing,"Mar 24, 2006 to Mar 21, 2007","None found, add some","None found, add some","Shinkuukan,       Lilix",Manga,"Comedy, Ecchi",Seinen,29 min. per ep.,PG-13 - Teens 13 or older,43,School,,
Kyou no 5 no 2 (TV),,7.19,3738,3287,36,TV,13,Finished Airing,"Oct 6, 2008 to Dec 29, 2008","Starchild Records,       TV Tokyo Music","None found, add some",Xebec,Manga,"Comedy, Ecchi",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,50,School,Fall 2008,Unknown
Lupin III: Part 6,Lupin the Third Part 6,7.19,4627,3288,22,TV,24,Finished Airing,"Oct 17, 2021 to Mar 27, 2022",Maruga Factory,Sentai Filmworks,TMS Entertainment,Manga,"Action, Adventure, Comedy, Mystery",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,145,Adult Cast,Fall 2021,Sundays at 00:55 (JST)
Mahou no Tenshi Creamy Mami,Magical Angel Creamy Mami,7.19,5403,3289,15,TV,52,Finished Airing,"Jul 1, 1983 to Jun 29, 1984",Kodansha,"None found, add some",Pierrot,Original,"Comedy, Fantasy, Romance, Sci-Fi",,24 min. per ep.,G - All Ages,164,"Idols (Female), Mahou Shoujo, School",Summer 1983,Fridays at 18:00 (JST)
Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,,7.19,6419,3290,10,OVA,1,Finished Airing,"Nov 17, 2010","None found, add some","None found, add some","Shaft,       Studio Pastoral",Manga,"Action, Adventure, Fantasy, Ecchi",Shounen,31 min.,PG-13 - Teens 13 or older,11,School,,
Meitantei Conan OVA 08: Joshikousei Tantei Suzuki Sonoko no Jikenbo,Detective Conan OVA 08: High School Girl Detective Sonoko Suzuki's Case Files,7.19,5765,3291,13,OVA,1,Finished Airing,2008,Tokyo Movie Shinsha,"None found, add some",TMS Entertainment,Manga,"Comedy, Mystery",Shounen,25 min.,PG-13 - Teens 13 or older,5,Detective,,
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki,"Problem Children Are Coming from Another World, Aren't They? OVA",7.19,2296,3292,86,OVA,1,Finished Airing,"Jul 20, 2013","None found, add some",Sentai Filmworks,Diomedéa,Light novel,"Comedy, Fantasy, Ecchi",,23 min.,PG-13 - Teens 13 or older,54,Isekai,,
Plastic Neesan,,7.19,1219,3295,199,ONA,12,Finished Airing,"May 16, 2011 to Jul 26, 2012","Lantis,       DAX Production,       Asahi Production,       Good Smile Company","None found, add some","Barnum Studio,       TYO Animations",Manga,Comedy,Seinen,2 min. per ep.,PG-13 - Teens 13 or older,592,School,,
One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,One Piece: The Detective Memoirs of Chief Straw Hat Luffy,7.19,3823,3293,34,TV Special,1,Finished Airing,"Dec 18, 2005","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Fantasy",Shounen,42 min.,PG-13 - Teens 13 or older,20,Historical,,
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,"One Piece: Open Upon the Great Sea! A Father's Huge, HUGE Dream!",7.19,3863,3294,33,TV Special,1,Finished Airing,"Apr 6, 2003","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,46 min.,PG-13 - Teens 13 or older,18,,,
Pokemon Movie 21: Minna no Monogatari,Pokémon the Movie: The Power of Us,7.19,3557,3296,40,Movie,1,Finished Airing,"Jul 13, 2018","None found, add some",The Pokemon Company International,"OLM,       Wit Studio",Game,"Action, Adventure, Comedy, Fantasy",Kids,1 hr. 45 min.,PG - Children,45,Strategy Game,,
Quanzhi Fashi,Full-Time Magister,7.19,1637,3297,140,ONA,12,Finished Airing,"Sep 2, 2016 to Nov 4, 2016","Tencent Penguin Pictures,       China Literature Limited","None found, add some",Foch Films,Novel,"Action, Fantasy",,18 min. per ep.,PG-13 - Teens 13 or older,681,School,,
Sekirei: Pure Engagement Episode 0,,7.19,3043,3298,53,Special,1,Finished Airing,"Aug 25, 2010","None found, add some",Funimation,Seven Arcs,Manga,"Comedy, Ecchi",Seinen,28 min.,R+ - Mild Nudity,51,Harem,,
Kimi no Iru Machi: Tasogare Kousaten,A Town Where You Live: Crossing at Twilight,7.18,3387,3300,43,OVA,2,Finished Airing,"Mar 16, 2012 to Jun 15, 2012",Kodansha,"None found, add some",Tatsunoko Production,Manga,"Drama, Romance",Shounen,24 min. per ep.,R+ - Mild Nudity,58,School,,
Sentou Yousei Yukikaze,Yukikaze,7.19,4898,3299,20,OVA,5,Finished Airing,"Aug 25, 2002 to Aug 26, 2005",Bandai Visual,Bandai Entertainment,Gonzo,Novel,"Action, Award Winning, Drama, Sci-Fi, Suspense",,37 min. per ep.,PG-13 - Teens 13 or older,187,"Military, Psychological, Space",,
