Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes
Miracle☆Girls,,7.16,8001,3451,5,TV,51,Finished Airing,"Jan 8, 1993 to Dec 24, 1993",Winter 1993,Fridays at 17:00 (JST),"Asatsu DK,       Nippon Television Network,       Japan Taps","None found, add some",Ajia-do,Manga,"Fantasy, Romance",Shoujo,24 min. per ep.,G - All Ages,14,
Qi Hou Bilu,Spirits in Chinese Brushes,7.16,12409,3456,1,ONA,12,Finished Airing,"Oct 28, 2023 to Jan 6, 2024",,,bilibili,"None found, add some",L²Studio,Novel,"Action, Adventure, Fantasy",,22 min. per ep.,PG-13 - Teens 13 or older,81,Martial Arts
Ookami-san to Shichinin no Nakama-tachi,Okami-San and Her Seven Companions,7.16,883,3453,278,TV,12,Finished Airing,"Jul 1, 2010 to Sep 16, 2010",Summer 2010,Thursdays at 09:00 (JST),"Genco,       Marvelous Entertainment,       Media Factory,       AT-X,       Magic Capsule,       flying DOG",Funimation,J.C.Staff,Light novel,"Comedy, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,780,Parody
Neppuu Kairiku Bushi Road,,7.16,3107,3452,51,TV Special,1,Finished Airing,"Dec 31, 2013",,,"Bandai Visual,       Nitroplus,       Bushiroad,       Bushiroad Music","None found, add some","Kinema Citrus,       Orange",Mixed media,"Action, Fantasy, Sci-Fi",,1 hr. 33 min.,R - 17+ (violence & profanity),167,Mecha
Precure All Stars Movie New Stage 2: Kokoro no Tomodachi,,7.16,8337,3455,5,Movie,1,Finished Airing,"Mar 16, 2013",,,Kinoshita Group Holdings,"None found, add some",Toei Animation,Original,Action,,1 hr. 11 min.,G - All Ages,2,Mahou Shoujo
Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios,Pokémon Heroes,7.16,1816,3454,121,Movie,1,Finished Airing,"Jul 13, 2002",,,Studio Jack,"4Kids Entertainment,       Miramax Films",OLM,Game,"Adventure, Comedy, Drama, Fantasy",Kids,1 hr. 14 min.,PG - Children,129,
Saiki Kusuo no Ψ-nan (ONA),,7.16,3407,3458,43,ONA,1,Finished Airing,"Aug 4, 2013",,,Opera House,"None found, add some",J.C.Staff,Manga,"Comedy, Supernatural",Shounen,16 min.,PG-13 - Teens 13 or older,114,"School, Super Power"
Rurouni Kenshin: Special Techniques,,7.16,5881,3457,12,Special,1,Finished Airing,"Oct 21, 1997",,,"None found, add some","None found, add some","Gallop,       Studio Deen",Manga,"Action, Comedy",Shounen,24 min.,PG-13 - Teens 13 or older,8,Samurai
Seikai no Senki Special,,7.16,9649,3460,3,TV Special,1,Finished Airing,"Jul 4, 2001",,,"Bandai Visual,       WOWOW","None found, add some",Sunrise,Light novel,"Action, Romance, Sci-Fi",,2 hr.,PG-13 - Teens 13 or older,2,"Military, Space"
K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai,"K: SEVEN STORIES ""SIDE:GREEN - Overwrite World - """,7.15,4788,3461,21,Movie,1,Finished Airing,"Sep 1, 2018",,,"None found, add some",VIZ Media,GoHands,Manga,"Action, Supernatural",,59 min.,PG-13 - Teens 13 or older,19,Super Power
