Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Servamp Movie: Alice in the Garden,,7.25,4203,3001,28,Movie,1,Finished Airing,07-Apr-18,"None found, add some","None found, add some",Platinum Vision,Manga,"Action, Fantasy",Vampire,58 min.,PG-13 - Teens 13 or older,42,,,Josei
Shaonian Ge Xing: Feng Hua Xue Yue Pian Part 1,,7.25,11919,3002,1,ONA,16,Finished Airing,"Jul 28, 2021 to Nov 3, 2021","bilibili,       Youku","None found, add some",CG Year,Novel,"Action, Adventure, Mystery","Historical, Martial Arts",18 min. per ep.,PG-13 - Teens 13 or older,13,,,
Kaidan Restaurant,,7.24,5198,3003,17,TV,23,Finished Airing,"Oct 13, 2009 to Jun 8, 2010",TV Asahi,"None found, add some",Toei Animation,Picture book,"Horror, Mystery, Supernatural",,19 min. per ep.,PG - Children,51,Fall 2009,Tuesdays at 19:30 (JST),Kids
Kaiketsu Zorro,The Magnificent Zorro,7.24,5877,3004,12,TV,52,Finished Airing,"Apr 5, 1996 to Apr 14, 1997",TOHO,"None found, add some",Ashi Productions,Other,Adventure,Historical,24 min. per ep.,PG-13 - Teens 13 or older,75,Spring 1996,Fridays at 18:30 (JST),
Kidou Senshi Gundam I,Mobile Suit Gundam I,7.24,3318,3005,45,Movie,1,Finished Airing,14-Mar-81,Sotsu,"Nozomi Entertainment,       Bandai Entertainment",Sunrise,Original,"Action, Adventure, Drama, Sci-Fi","Mecha, Military, Space",2 hr. 20 min.,PG-13 - Teens 13 or older,94,,,
Mai-Otome Zwei,My-Otome Zwei,7.24,4938,3006,19,OVA,4,Finished Airing,"Nov 24, 2006 to Aug 24, 2007","Bandai Visual,       Lantis","Funimation,       Bandai Entertainment",Sunrise,Original,Action,,27 min. per ep.,R+ - Mild Nudity,26,,,
Mainichi Kaasan,Kaasan: Mom's Life,7.24,9858,3007,3,TV,142,Finished Airing,"Apr 1, 2009 to Mar 25, 2012",Nihon Ad Systems,"None found, add some","Gallop,       TYO Animations,       Dongwoo A&E",Manga,"Comedy, Slice of Life",Childcare,20 min. per ep.,PG - Children,24,Spring 2009,Unknown,
Masamune-kun no Revenge R,Masamune-kun's Revenge R,7.24,1199,3008,201,TV,12,Finished Airing,"Jul 3, 2023 to Sep 18, 2023","Lantis,       AT-X,       KlockWorx,       BS Fuji,       Tokyo MX,       Crunchyroll,       Ichijinsha,       FuRyu,       Lawson Entertainment,       Bandai Namco Music Live","None found, add some",SILVER LINK.,Manga,"Comedy, Romance","Harem, School",23 min. per ep.,PG-13 - Teens 13 or older,"1,296",Summer 2023,Mondays at 21:00 (JST),Shounen
Meikyuu Black Company,The Dungeon of Black Company,7.24,1090,3009,223,TV,12,Finished Airing,"Jul 9, 2021 to Sep 24, 2021","Toy's Factory,       ABC Animation,       Jinnan Studio,       Kadokawa",Funimation,SILVER LINK.,Web manga,"Comedy, Fantasy",Isekai,23 min. per ep.,PG-13 - Teens 13 or older,853,Summer 2021,Fridays at 22:30 (JST),
Michi (Movie),,7.24,12431,3010,1,Movie,4,Finished Airing,2002 to 2008,"None found, add some","None found, add some",Tomoyasu Murata Company,Original,"Drama, Slice of Life",,13 min. per ep.,G - All Ages,22,,,
Nu Wushen de Canzhuo Spring Festival Special,Cooking with Valkyries Spring Festival Special,7.24,10188,3011,2,ONA,1,Finished Airing,11-Feb-21,miHoYoAnime,"None found, add some","Blade,       Thundray",Game,"Comedy, Gourmet",,10 min.,PG-13 - Teens 13 or older,12,,,
Petshop of Horrors,,7.24,2627,3012,69,TV,4,Finished Airing,"Mar 2, 1999 to Mar 23, 1999","Trans Arts,       TBS","Sentai Filmworks,       Urban Vision",Madhouse,Manga,"Horror, Mystery, Supernatural",,23 min. per ep.,R+ - Mild Nudity,438,Winter 1999,Unknown,Josei
Planetarian: Snow Globe,,7.24,5750,3013,13,OVA,1,Finished Airing,20-Jan-21,Visual Arts,"None found, add some",Okuruto Noboru,Visual novel,"Drama, Sci-Fi",,36 min.,PG-13 - Teens 13 or older,23,,,
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"Ranma ½: Big Trouble in Nekonron, China",7.24,4636,3014,22,Movie,1,Finished Airing,02-Nov-91,Fuji TV,VIZ Media,Studio Deen,Manga,"Adventure, Comedy",Magical Sex Shift,1 hr. 14 min.,PG-13 - Teens 13 or older,24,,,Shounen
