Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Saiyuuki (OVA),Saiyuki,7.00,8242,4203,5,OVA,2,Finished Airing,"Apr 23, 1999 to Aug 27, 1999","None found, add some","None found, add some",Tokyo Kids,Manga,"Adventure, Supernatural",Mythology,Shounen,30 min. per ep.,PG-13 - Teens 13 or older,10,,
Sengoku Youko: Yonaoshi Kyoudai-hen,Sengoku Youko,7.00,3331,4204,44,TV,13,Finished Airing,"Jan 11, 2024 to Apr 4, 2024","Nippon Animation,       Nagoya Broadcasting Network,       Crunchyroll,       ABC Animation,       FuRyu,       Mixer,       NetEase,       BS Asahi,       Bandai Namco Music Live,       ABC Frontier","None found, add some",White Fox,Manga,"Action, Adventure, Fantasy","Historical, Mythology",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,148,Winter 2024,Thursdays at 00:00 (JST)
Precure Dream Stars! Movie,,7.00,9026,4201,4,Movie,1,Finished Airing,"Mar 18, 2017",Kinoshita Group Holdings,"None found, add some",Toei Animation,Original,"Action, Comedy, Fantasy",Mahou Shoujo,,1 hr. 11 min.,G - All Ages,12,,
Rental Magica,,7.00,2789,4202,62,TV,24,Finished Airing,"Oct 8, 2007 to Mar 24, 2008","Kadokawa Shoten,       Kadokawa Pictures Japan,       KlockWorx,       NTT Docomo",Nozomi Entertainment,Zexcs,Light novel,"Action, Fantasy, Mystery","Harem, Super Power",,24 min. per ep.,PG-13 - Teens 13 or older,109,Fall 2007,Mondays at 00:00 (JST)
Taiho Shichau zo: Nagisa no Koutsuu Yuudou,You're Under Arrest: Diverting Traffic at the Beach,7.00,8012,4206,5,TV Special,1,Finished Airing,"Apr 2, 1999","Bandai Visual,       TBS",AnimEigo,Studio Deen,Manga,"Action, Comedy, Mystery","Adult Cast, Detective, Workplace",Seinen,24 min.,PG-13 - Teens 13 or older,3,,
Stop!! Hibari-kun!,,7.00,6104,4205,11,TV,35,Finished Airing,"May 20, 1983 to Jan 27, 1984",Fuji TV,"None found, add some",Toei Animation,Manga,Comedy,"Crossdressing, Gag Humor, Organized Crime",Shounen,24 min. per ep.,R+ - Mild Nudity,80,Spring 1983,Fridays at 19:00 (JST)
Tottoko Hamtarou,Hamtaro,7.00,2838,4207,60,TV,296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006","TV Tokyo,       Shogakukan-Shueisha Productions,       Half H.P Studio",VIZ Media,TMS Entertainment,Manga,"Adventure, Comedy",Anthropomorphic,Kids,25 min. per ep.,G - All Ages,266,Summer 2000,Fridays at 18:30 (JST)
Wan Jie Du Zun 2nd Season,Ten Thousand Worlds,7.00,11471,4209,1,ONA,Unknown,Currently Airing,"Aug 16, 2022 to ?","Tencent Penguin Pictures,       Liu Cong Animation","None found, add some",Ruo Hong Culture,Novel,"Action, Adventure, Fantasy","Historical, Martial Arts",,9 min.,PG-13 - Teens 13 or older,11,,
Yami Shibai,Theatre of Darkness: Yamishibai,7.00,1963,4212,109,TV,13,Finished Airing,"Jul 15, 2013 to Sep 30, 2013",TV Tokyo,Sentai Filmworks,ILCA,Original,"Avant Garde, Horror, Supernatural",,,4 min. per ep.,PG-13 - Teens 13 or older,332,Summer 2013,Unknown
Waccha PriMagi!,,7.00,8204,4208,5,TV,51,Finished Airing,"Oct 3, 2021 to Oct 9, 2022","TV Tokyo,       Takara Tomy A.R.T.S",Sentai Filmworks,"Tatsunoko Production,       Dongwoo A&E",Original,,"Idols (Female), Mahou Shoujo, Music",,24 min. per ep.,G - All Ages,57,Fall 2021,Sundays at 10:00 (JST)
Wo Shi Jiang Xiaobai (2018),I'm Joybo OVA,7.00,10207,4210,2,ONA,1,Finished Airing,"May 25, 2018","None found, add some","None found, add some",2:10 AM Animation,Original,"Drama, Romance, Slice of Life",Love Polygon,,37 min.,PG-13 - Teens 13 or older,4,,
Wonderful Days,Sky Blue,7.00,3786,4211,35,Movie,1,Finished Airing,"Jul 17, 2003",Tin House,"None found, add some","None found, add some",Original,"Action, Drama, Romance, Sci-Fi",Love Polygon,,1 hr. 35 min.,PG-13 - Teens 13 or older,74,,
Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,,7.00,6641,4213,9,Movie,1,Finished Airing,"Jul 24, 1993","TV Asahi,       Asatsu DK","None found, add some",Shin-Ei Animation,4-koma manga,"Action, Adventure, Comedy",,Seinen,1 hr. 33 min.,G - All Ages,6,,
Danball Senki,LBX: Little Battlers eXperience,7.00,6279,4214,10,TV,44,Finished Airing,"Mar 2, 2011 to Jan 11, 2012","TV Tokyo,       Dentsu",Dentsu Entertainment USA,OLM,Game,Action,Mecha,Kids,23 min. per ep.,G - All Ages,49,Spring 2011,Wednesdays at Unknown
Genki Bakuhatsu Ganbaruger,Energetic Bomb Ganbaruger,7.00,11605,4217,1,TV,47,Finished Airing,"Apr 1, 1992 to Feb 24, 1993","TV Tokyo,       Yomiko Advertising","None found, add some",Sunrise,Original,,Mecha,,23 min. per ep.,PG - Children,7,Spring 1992,Wednesdays at 18:00 (JST)
Dragon League,,7.00,10859,4215,2,TV,39,Finished Airing,"May 7, 1993 to Feb 27, 1994",Nihon Ad Systems,"None found, add some",Gallop,Unknown,"Adventure, Comedy, Fantasy, Sports",Team Sports,,24 min. per ep.,PG-13 - Teens 13 or older,12,Spring 1993,Unknown
Eikoku Koi Monogatari Emma: Intermission,Emma: A Victorian Romance - Intermission,7.00,8081,4216,5,Special,1,Finished Airing,"Apr 21, 2007","None found, add some",Nozomi Entertainment,"None found, add some",Manga,"Drama, Romance","Adult Cast, Historical",Seinen,24 min.,G - All Ages,8,,
Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza,,7.00,5723,4218,13,Special,6,Finished Airing,"Dec 21, 2012 to Jun 21, 2013","None found, add some","None found, add some",Actas,Original,,"CGDCT, Educational, Military, School",,11 min. per ep.,PG-13 - Teens 13 or older,13,,
Hataraki Man,,7.00,4332,4219,26,TV,11,Finished Airing,"Oct 13, 2006 to Dec 22, 2006","Dentsu,       SKY Perfect Well Think,       Kodansha,       Fuji TV,       Asmik Ace,       Sony Music Entertainment",Maiden Japan,Gallop,Manga,"Comedy, Drama, Romance","Adult Cast, Workplace",Seinen,22 min. per ep.,PG-13 - Teens 13 or older,64,Fall 2006,Fridays at 00:45 (JST)
