Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Gakuen Senki Muryou,Shingu: Secret of the Stellar Wars,6.96,7120,4354,7,TV,26,Finished Airing,"May 8, 2001 to Dec 4, 2001",Spring 2001,Unknown,Starchild Records,Nozomi Entertainment,Madhouse,Original,"Action, Adventure, Sci-Fi, Supernatural","Mecha, Space",25 min. per ep.,PG-13 - Teens 13 or older,25,
Fate/kaleid liner Prisma☆Illya 2wei!: Mahou Shoujo in Onsen Ryokou,Fate/kaleid liner Prisma Illya 2Wei!: Magical Girl in Hot Springs Inn,6.96,3392,4352,43,OVA,1,Finished Airing,"Jul 25, 2015",,,"Lantis,       DAX Production","None found, add some",SILVER LINK.,Manga,"Comedy, Fantasy, Ecchi",,26 min.,PG-13 - Teens 13 or older,29,
Gunslinger Girl: Il Teatrino OVA,,6.96,4515,4355,24,OVA,2,Finished Airing,"Oct 24, 2008",,,Marvelous Entertainment,Funimation,Artland,Manga,"Action, Drama, Sci-Fi",Military,23 min. per ep.,R - 17+ (violence & profanity),12,
Kaitou Joker,JOKER,6.96,5473,4356,14,TV,13,Finished Airing,"Oct 6, 2014 to Jan 5, 2015",Fall 2014,Mondays at 19:00 (JST),"Asatsu DK,       Tokyo MX","None found, add some",Shin-Ei Animation,Manga,"Adventure, Comedy, Mystery",,24 min. per ep.,G - All Ages,128,Kids
Fukumenkei Noise,Anonymous Noise,6.96,1785,4353,125,TV,12,Finished Airing,"Apr 11, 2017 to Jun 27, 2017",Spring 2017,Tuesdays at 23:00 (JST),"Shogakukan-Shueisha Productions,       Nihon Ad Systems,       Hakusensha,       Warner Bros. Japan,       KlockWorx,       BS Fuji,       Kansai Telecasting",Sentai Filmworks,Brain's Base,Manga,"Drama, Romance","Love Polygon, Music, School",23 min. per ep.,PG-13 - Teens 13 or older,657,Shoujo
Ensemble Stars!! Tsuioku Selection Crossroad,,6.96,12155,4351,1,ONA,6,Finished Airing,"Nov 10, 2023 to Nov 15, 2023",,,Happy Elements,"None found, add some",DandeLion Animation Studio,Game,,Idols (Male),12 min. per ep.,PG-13 - Teens 13 or older,1,
Kiddy Grade: Ignition,,6.96,8330,4357,5,Movie,1,Finished Airing,"Apr 7, 2007",,,gimik,"None found, add some","Gonzo,       asread.",Original,"Action, Sci-Fi","Mecha, Space, Super Power",1 hr. 24 min.,PG-13 - Teens 13 or older,3,
Kud Wafter,,6.96,4874,4359,20,OVA,1,Finished Airing,"Nov 28, 2020",,,"None found, add some","None found, add some",J.C.Staff,Visual novel,"Comedy, Romance",School,50 min.,PG-13 - Teens 13 or older,43,
Kishin Douji Zenki,Zenki,6.96,5509,4358,14,TV,51,Finished Airing,"Jan 9, 1995 to Dec 25, 1995",Winter 1995,Mondays at 18:00 (JST),"TV Tokyo,       Kitty Films,       Yomiko Advertising,       K-Factory",Media Blasters,Studio Deen,Manga,"Action, Comedy, Drama, Fantasy, Horror",Mythology,24 min. per ep.,PG-13 - Teens 13 or older,34,Shounen
Mirai Shounen Conan (Movie),Future Boy Conan Movie,6.96,9988,4362,3,Movie,1,Finished Airing,"Sep 15, 1979",,,"None found, add some","None found, add some",Nippon Animation,Novel,"Adventure, Drama, Sci-Fi",,2 hr. 2 min.,PG-13 - Teens 13 or older,4,
