Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Inferno Cop: Fact Files,,5.37,6005,11967,11,ONA,12,Finished Airing,"Dec 28, 2012 to Mar 17, 2013",CoMix Wave Films,"None found, add some",Trigger,Original,"Action, Comedy",24 sec. per ep.,R - 17+ (violence & profanity),3,Detective,,,
Kaumori,The Bat,5.37,11982,11968,1,Movie,1,Finished Airing,Jan 1930,"None found, add some","None found, add some","None found, add some",Original,Drama,10 min.,G - All Ages,1,Samurai,,,
Meitantei Hangyodon: Kaitou Ruzu Arawaruno-kan,,5.37,17851,11970,360,OVA,1,Finished Airing,"Jun 21, 1993",Sanrio,"None found, add some","None found, add some",Unknown,Mystery,10 min.,G - All Ages,0,,Kids,,
Kusoge tte Iuna! Animation,Don't Call Us a Junk Game!,5.37,10601,11969,2,ONA,12,Finished Airing,"Oct 19, 2020 to Jan 5, 2021","None found, add some","None found, add some",Charaction,Manga,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,1,Video Game,,,
Saiko Robot Kombock,Cubix,5.37,8585,11971,4,TV,26,Finished Airing,"Aug 11, 2001 to Apr 26, 2004",CinePix,4Kids Entertainment,Xebec,Unknown,Sci-Fi,23 min. per ep.,PG - Children,7,Mecha,,Summer 2001,Unknown
Shokupan Mimi Specials,,5.37,14664,11972,733,Special,4,Finished Airing,"Oct 7, 2011",Dentsu,"None found, add some",Kachidoki Studio,4-koma manga,"Comedy, Gourmet",30 sec. per ep.,PG - Children,0,,,,
SOS TV Walpurgis Night Fever,,5.37,12729,11973,1,ONA,11,Finished Airing,"Mar 1, 2010 to Aug 2, 2010","Lantis,       Barnum Studio","None found, add some","None found, add some",Original,"Comedy, Sci-Fi",2 min. per ep.,PG-13 - Teens 13 or older,0,,,,
This Is Not Blue,,5.37,12803,11975,1,Movie,1,Finished Airing,"Jul 29, 2020","None found, add some","None found, add some","None found, add some",Original,Avant Garde,2 min.,PG-13 - Teens 13 or older,2,Music,,,
Techno Police 21C,Techno Police,5.37,11320,11974,2,Movie,1,Finished Airing,"Aug 7, 1982",Studio Nue,"None found, add some",Artmic,Original,"Action, Sci-Fi",1 hr. 18 min.,PG-13 - Teens 13 or older,0,"Detective, Mecha",,,
Urawa no Usagi-chan,,5.37,5141,11976,17,TV,12,Finished Airing,"Apr 10, 2015 to Jun 26, 2015","Grooove,       Glovision,       Harappa","None found, add some",A-Real,Original,Comedy,3 min. per ep.,PG - Children,8,School,,Spring 2015,Fridays at 01:35 (JST)
