Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Premiered,Broadcast,Demographics
Okashi na Tensei Mini Anime,Sweet Reincarnation Mini Anime,5.66,14859,11062,686,ONA,10,Finished Airing,"Jun 23, 2023 to Jul 2, 2023","None found, add some","None found, add some",AQUA ARIS,Light novel,"Comedy, Gourmet",3 min. per ep.,PG-13 - Teens 13 or older,0,,,,
My Home,,5.66,16333,11059,485,ONA,1,Finished Airing,"Feb 17, 2009",Echoes,"None found, add some","None found, add some",Original,Slice of Life,5 min.,G - All Ages,0,Music,,,
Nido to Mezamenu Komoriuta,The Death Lullaby,5.66,9127,11060,4,Movie,1,Finished Airing,1985,"None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Drama",27 min.,R+ - Mild Nudity,33,,,,
Ojou to Banken-kun,A Girl & Her Guard Dog,5.66,2632,11061,69,TV,13,Finished Airing,"Sep 29, 2023 to Dec 22, 2023","Yomiuri Telecasting,       Pony Canyon,       Kodansha,       Crunchyroll,       Bit grooove promotion,       BS Asahi,       CHOCOLATE","None found, add some",Project No.9,Manga,Romance,23 min. per ep.,PG-13 - Teens 13 or older,492,"Organized Crime, School",Fall 2023,Fridays at 00:30 (JST),Shoujo
Out of My Mind,,5.66,16317,11063,487,Movie,1,Finished Airing,2016,Geidai Animation,"None found, add some","None found, add some",Original,Avant Garde,6 min.,G - All Ages,1,,,,
Robocar Poli 2,,5.66,16523,11064,466,TV,26,Finished Airing,"Dec 26, 2011 to May 15, 2012",RoiVisual,"None found, add some","None found, add some",Original,,11 min. per ep.,PG - Children,1,"Detective, Racing",Winter 2012,Mondays at Unknown,Kids
Sawatte! Gudetama: 3-dome no Shoujiki,,5.66,15443,11065,592,Special,6,Finished Airing,"Mar 26, 2018 to Jul 2, 2018",Sanrio,"None found, add some","None found, add some",Original,Comedy,41 sec. per ep.,PG - Children,1,"Parody, Strategy Game",,,
Season's Greetings from dwarf,,5.66,18902,11066,288,ONA,2,Finished Airing,"Dec 20, 2016 to Dec 24, 2019","None found, add some","None found, add some",dwarf,Original,,51 sec. per ep.,G - All Ages,0,,,,Kids
Secret of Moldiver: Himitsu Daihyakka,,5.66,15745,11067,551,OVA,1,Finished Airing,"Jan 1, 1993","None found, add some","None found, add some","None found, add some",Original,"Comedy, Sci-Fi",11 min.,G - All Ages,0,,,,
Kandagawa Jet Girls: Koko kara Hajimaru Tokyo Girls Promotion,,5.65,6980,11068,8,OVA,1,Finished Airing,"Jan 24, 2020","None found, add some",Sentai Filmworks,TNK,Mixed media,"Sci-Fi, Ecchi",22 min.,PG-13 - Teens 13 or older,7,Racing,,,
