Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Mofumofuiction,Fluffiction,5.77,16758,10552,443,Movie,1,Finished Airing,"Mar 2, 2018",Geidai Animation,"None found, add some","None found, add some",Original,Avant Garde,Music,6 min.,G - All Ages,1,,,
"Okoshiyasu, Chitose-chan Recaps",,5.77,14751,10553,709,TV Special,2,Finished Airing,"Dec 19, 2018 to Feb 15, 2019","None found, add some","None found, add some",Gathering,Manga,Slice of Life,Anthropomorphic,3 min. per ep.,G - All Ages,0,Josei,,
Porong Porong Pororo 6,Pororo the Little Penguin 6,5.77,17582,10554,381,TV,26,Finished Airing,"Mar 2, 2016 to May 26, 2016","None found, add some","None found, add some","None found, add some",Original,,,11 min. per ep.,G - All Ages,0,Kids,Spring 2016,Unknown
Minna Agechau♡,,5.77,9444,10551,3,OVA,1,Finished Airing,"Mar 27, 1987","Movic,       Shueisha","None found, add some",J.C.Staff,Unknown,"Comedy, Romance, Ecchi",,45 min.,R+ - Mild Nudity,9,,,
Princess Rouge,,5.77,10416,10555,2,OVA,2,Finished Airing,"Sep 25, 1997 to Jun 10, 1998","AC Create,       Cosmic Ray,       BEAM Entertainment,       NichiNare",Media Blasters,"J.C.Staff,       Front Line",Original,"Fantasy, Romance",,28 min. per ep.,PG-13 - Teens 13 or older,4,,,
Rakushou! Hyper Doll,,5.77,9675,10556,3,OVA,2,Finished Airing,"Sep 25, 1995 to Nov 25, 1995","None found, add some",Pioneer LDC,Triangle Staff,Manga,"Adventure, Comedy, Sci-Fi",,27 min. per ep.,PG-13 - Teens 13 or older,2,Shounen,,
Saihate no Paladin: Michiyuki,The Faraway Paladin: Michiyuki,5.77,5915,10557,12,TV Special,1,Finished Airing,"Nov 27, 2021","None found, add some","None found, add some",Children's Playground Entertainment,Light novel,"Action, Adventure, Fantasy",,23 min.,PG-13 - Teens 13 or older,40,,,
Seikima II Humane Society: Jinrui Ai ni Michita Shakai,,5.77,13619,10558,1,OVA,1,Finished Airing,"Jul 1, 1992","Movic,       Sony Music Entertainment","None found, add some","Production I.G,       animate Film",Original,"Action, Fantasy, Supernatural",Mythology,56 min.,PG-13 - Teens 13 or older,1,,,
Shichigahama de Mitsuketa,I Found it in Shichigahama,5.77,14962,10559,672,ONA,1,Finished Airing,"Mar 10, 2021","None found, add some","None found, add some",Jichitai Anime,Original,"Drama, Slice of Life",,20 min.,G - All Ages,2,,,
Sweet Valerian,,5.77,9492,10560,3,TV,18,Finished Airing,"Aug 1, 2004 to Dec 19, 2004",Aniplex,"None found, add some",Madhouse,Original,"Action, Comedy",School,3 min. per ep.,G - All Ages,4,,Summer 2004,Unknown
"Tantei wa Mou, Shindeiru. Mini Anime",The Detective Is Already Dead Mini Anime,5.77,12300,10561,1,ONA,5,Finished Airing,"May 21, 2021 to May 25, 2021",Kadokawa,"None found, add some",ENGI,Light novel,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,3,,,
The Gregory Gallery Tour Special,,5.77,16090,10562,512,Special,3,Finished Airing,"Mar 3, 2000 to Jun 21, 2000","None found, add some","None found, add some",Milky Cartoon,Original,"Comedy, Horror, Mystery, Supernatural",Mythology,10 min. per ep.,PG-13 - Teens 13 or older,0,,,
Tokyo 24-ku: Reversal Film,,5.77,9962,10563,3,TV Special,1,Finished Airing,"Mar 17, 2022","Aniplex,       Movic,       Nitroplus,       Nagoya Broadcasting Network,       BS11,       ABC Animation","None found, add some",CloverWorks,Original,"Mystery, Sci-Fi",Super Power,24 min.,PG-13 - Teens 13 or older,5,,,
Tsunotsuno Taisou,Moove with Askr,5.77,17166,10564,411,ONA,1,Finished Airing,"Apr 3, 2023","None found, add some","None found, add some",Anima,Game,"Comedy, Fantasy, Sports",Parody,2 min.,G - All Ages,0,,,
Urahara,,5.77,3740,10565,36,TV,12,Finished Airing,"Oct 4, 2017 to Dec 20, 2017","VAP,       Sotsu,       bilibili,       Crunchyroll SC Anime Fund",Funimation,"Shirogumi,       EMT Squared",Web manga,"Comedy, Fantasy, Sci-Fi","Mahou Shoujo, Psychological",23 min. per ep.,PG-13 - Teens 13 or older,52,,Fall 2017,Wednesdays at 20:00 (JST)
Utsunomiko,,5.77,12280,10566,1,Movie,1,Finished Airing,"Mar 11, 1989","None found, add some","None found, add some",Nippon Animation,Light novel,"Adventure, Fantasy",Mythology,1 hr. 23 min.,PG - Children,2,,,
Wata no Kuni Hoshi Pilot,,5.77,14546,10567,762,Special,1,Finished Airing,"Jun 20, 2007","None found, add some","None found, add some",Mushi Production,Manga,Fantasy,Pets,2 min.,G - All Ages,0,Shoujo,,
Yukidoke wo Kiite,Hear the Snow Melt,5.77,18133,10568,337,Movie,1,Finished Airing,"Oct 7, 2021",Geidai Animation,"None found, add some","None found, add some",Original,,Music,4 min.,G - All Ages,0,,,
Zettai Yareru Greece Shinwa,,5.77,14319,10569,816,TV,13,Finished Airing,"Oct 4, 2008 to Dec 27, 2008",VAP,"None found, add some",A-1 Pictures,Original,"Comedy, Ecchi",,24 min. per ep.,R+ - Mild Nudity,0,,Fall 2008,Unknown
Alexander Senki Movie,Reign: The Conqueror Movie,5.77,10200,10570,2,Movie,1,Finished Airing,"Oct 7, 2000","Media Factory,       TBS,       GAGA,       Kadokawa Haruki Corporation,       Samsung,       Namisokan","None found, add some",Madhouse,Novel,"Action, Adventure, Avant Garde, Mystery, Supernatural","Historical, Military",1 hr. 41 min.,R - 17+ (violence & profanity),2,,,
ARP Backstage Pass: Paradise,,5.77,12683,10571,1,Special,1,Finished Airing,"Jul 13, 2020","None found, add some","None found, add some",Dynamo Pictures,Other,,"Idols (Male), Music",23 min.,PG-13 - Teens 13 or older,4,,,
Chogokin Hello Kitty,,5.77,17974,10572,350,ONA,1,Finished Airing,"Jun 21, 2014","None found, add some","None found, add some","None found, add some",Unknown,Sci-Fi,Mecha,3 min.,G - All Ages,0,,,
Devilman Memorial,,5.77,11259,10573,2,OVA,1,Finished Airing,1999,"None found, add some","None found, add some",Toei Animation,Manga,"Action, Horror, Supernatural",Mythology,59 min.,R - 17+ (violence & profanity),1,,,
Digimon Ghost Game Recap,,5.77,11613,10574,1,TV Special,1,Finished Airing,"May 8, 2022","None found, add some","None found, add some",Toei Animation,Other,"Action, Adventure, Comedy, Fantasy",,23 min.,PG-13 - Teens 13 or older,1,,,
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai da yo!!,,5.77,12930,10575,1,Special,1,Finished Airing,"Sep 15, 1999","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Sci-Fi",Gag Humor,24 min.,PG-13 - Teens 13 or older,0,Shounen,,
