Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Premiered,Broadcast,Demographics
Xiong Chumo: Duo Bao Xiong Bing,Boonie Bears: To the Rescue!,5.61,17480,11250,387,Movie,1,Finished Airing,"Jan 17, 2014",Fantawild Animation,"None found, add some","None found, add some",Unknown,"Adventure, Comedy",1 hr. 36 min.,PG - Children,0,,,,
Itsuka Aeru Kimi ni,,5.63,10703,11152,2,ONA,1,Finished Airing,"Oct 6, 2018","None found, add some","None found, add some",Asura Film,Original,"Romance, Sci-Fi",12 min.,G - All Ages,1,,,,
Hoshi no Kirby: Pilot,,5.63,10894,11151,2,Special,1,Finished Airing,2000,CBC Television,"None found, add some",Studio Sign,Game,"Adventure, Comedy, Fantasy",4 min.,G - All Ages,5,Parody,,,
Wormy,,5.61,18928,11249,286,Movie,1,Finished Airing,"Jan 2, 2014","None found, add some","None found, add some","None found, add some",Original,,5 min.,G - All Ages,1,Music,,,
Kaitei Sanman Mile,,5.63,12645,11153,1,Movie,1,Finished Airing,"Jul 19, 1970","None found, add some","None found, add some",Toei Animation,Original,"Adventure, Fantasy",59 min.,G - All Ages,1,,,,
Kkoma Bus Tayo 2,Tayo the Little Bus Season 2,5.63,17432,11154,388,TV,26,Finished Airing,"Nov 30, 2011 to Aug 23, 2012","None found, add some","None found, add some","Iconix Entertainment,       Studio Gale",Original,,11 min. per ep.,G - All Ages,0,Racing,Fall 2011,Not scheduled once per week,Kids
Kyoufu Densetsu Kaiki! Frankenstein,The Monster Of Frankenstein,5.63,11331,11155,2,TV Special,1,Finished Airing,"Jul 27, 1981","None found, add some","None found, add some",Toei Animation,Novel,"Drama, Horror, Sci-Fi",1 hr. 29 min.,R - 17+ (violence & profanity),2,,,,
Legend of Basara: Shinbashi Theater,,5.63,15057,11156,652,Special,1,Finished Airing,"Sep 27, 2002","Yumeta Company,       Imagine,       J.C.F.","None found, add some",KSS,Manga,Comedy,1 min.,G - All Ages,0,,,,
Mahou Shoujo Lalabel: Umi ga Yobu Natsuyasumi,,5.63,13035,11157,1,Movie,1,Finished Airing,"Jul 12, 1980","None found, add some","None found, add some",Toei Animation,Original,"Comedy, Slice of Life",15 min.,G - All Ages,0,Mahou Shoujo,,,
Monkey Punch: Manga Katsudou Daishashin - Crime Mate Special,,5.63,13989,11159,896,Special,1,Finished Airing,"Sep 14, 2005",WOWOW,"None found, add some",TMS Entertainment,Manga,"Action, Comedy, Ecchi",15 min.,R - 17+ (violence & profanity),0,Parody,,,
