Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Wakusei Robo Danguard Ace: Uchuu Daikaisen,,5.58,13649,11339,992,Movie,1,Finished Airing,"Mar 18, 1978","None found, add some","None found, add some",Toei Animation,Unknown,Sci-Fi,Mecha,25 min.,PG-13 - Teens 13 or older,0,,,
Sword of Phantasia,,5.58,16121,11337,509,ONA,1,Finished Airing,"Mar 11, 2013","None found, add some","None found, add some","None found, add some",Game,Fantasy,"Music, Strategy Game",1 min.,G - All Ages,0,,,
Uchuu Camper Chicchi,Space Camper Chicchi,5.58,14403,11338,792,ONA,1,Finished Airing,"Mar 30, 2022","None found, add some","None found, add some",Production +h.,Original,Sci-Fi,,9 min.,G - All Ages,0,,,
Shirobako Movie: C96 Gentei Gekijou Maeuriken Kokuchi Eizou,,5.58,15694,11336,556,ONA,1,Finished Airing,"Aug 8, 2019","None found, add some","None found, add some",P.A. Works,Original,,,56 sec.,G - All Ages,2,,,
Yoligongju Loopy,"Loopy, the Cooking Princess",5.58,17409,11340,393,TV,6,Finished Airing,2012,"None found, add some","None found, add some","None found, add some",Original,Gourmet,,5 min. per ep.,G - All Ages,0,?,Unknown,Kids
Yowai Robot to 10 no Story Project,,5.58,18230,11341,330,ONA,2,Finished Airing,"Mar 22, 2016","None found, add some","None found, add some","None found, add some",Original,,,1 min. per ep.,G - All Ages,0,,,Kids
Suna no Akari,Lights of Sand,5.57,16401,11343,478,Movie,1,Finished Airing,"Jun 28, 2017","None found, add some","None found, add some",Gainax,Original,Fantasy,Music,3 min.,G - All Ages,2,,,
Starlight Scramble Renai Kouhosei,,5.57,14917,11342,676,OVA,2,Finished Airing,"Nov 28, 1998 to Feb 28, 1999","None found, add some","None found, add some","None found, add some",Game,"Action, Romance, Sci-Fi",,28 min. per ep.,None,0,,,
Time Slip Ichimannen: Prime Rose,Prime Rose,5.57,10842,11344,2,TV Special,1,Finished Airing,"Aug 21, 1983","None found, add some","None found, add some",Tezuka Productions,Manga,"Action, Adventure, Drama, Romance, Sci-Fi",,1 hr. 24 min.,R+ - Mild Nudity,2,,,
Uchuu Neko: Mardock no Bouken,Space Cat: The Adventures of Mardock,5.57,17200,11345,408,ONA,4,Finished Airing,"Mar 29, 2016 to Jul 21, 2016",Craftar Studios,"None found, add some",Asura Film,Original,"Adventure, Comedy",Space,2 min. per ep.,G - All Ages,0,,,
Wakusei Robo Danguard Ace tai Konchuu Robot Gundan,,5.57,13185,11347,1,Movie,1,Finished Airing,"Jul 17, 1977","None found, add some","None found, add some",Toei Animation,Unknown,Sci-Fi,Mecha,25 min.,PG-13 - Teens 13 or older,0,,,
Violence Jack: Jigoku Gai-hen,Violence Jack: Evil Town,5.57,5965,11346,12,OVA,1,Finished Airing,"Dec 6, 1988","Japan Home Video,       Dynamic Planning,       Soeishinsha",Discotek Media,Studio 88,Manga,"Action, Drama, Horror",Gore,58 min.,R+ - Mild Nudity,23,,,
Wasurerareta Ningyou,,5.57,17658,11348,375,Movie,1,Finished Airing,1980,"None found, add some","None found, add some","None found, add some",Original,,,13 min.,G - All Ages,0,,,Kids
Zhan Long Si Qu,Go For Speed,5.57,15393,11349,601,TV,64,Finished Airing,2009,Alpha Group Co. Ltd.,"None found, add some","None found, add some",Unknown,,Racing,24 min. per ep.,G - All Ages,4,?,Unknown,Kids
"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu",,5.57,15636,11350,562,Movie,1,Finished Airing,"Mar 21, 1970","None found, add some","None found, add some","None found, add some",Unknown,,,12 min.,PG - Children,3,,,Kids
100% Renewable Energy,,5.57,14807,11351,696,Special,1,Finished Airing,Mar 2012,"None found, add some","None found, add some","None found, add some",Original,,Music,2 min.,G - All Ages,0,,,
