Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
Dr. Slump: Arale-chan no Koutsuu Anzen,,5.71,13805,10820,948,Special,2,Finished Airing,1983,"None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Sci-Fi",Shounen,13 min. per ep.,G - All Ages,1,,,Educational
Dr. Slump: Arale-chan - Penguin Mura no Shouboutai,,5.71,14332,10819,814,Special,1,Finished Airing,1984,Fuji TV,"None found, add some","None found, add some",Manga,"Comedy, Sci-Fi",Shounen,11 min.,PG-13 - Teens 13 or older,0,,,Educational
Duel Masters VS,,5.71,12233,10821,1,TV,49,Finished Airing,"Apr 5, 2014 to Mar 28, 2015","None found, add some","None found, add some",Ascension,Original,"Action, Adventure, Comedy, Fantasy",Kids,24 min. per ep.,PG-13 - Teens 13 or older,0,Spring 2014,Unknown,
Elite Banana Banao,,5.71,14674,10822,728,ONA,9,Finished Airing,"Dec 24, 2015 to Aug 8, 2016",Kamio Japan,"None found, add some","None found, add some",Other,"Comedy, Slice of Life",,2 min. per ep.,G - All Ages,2,,,Parody
God Eater Reso Nantoka Gekijou: Nagerareta Shokupan,,5.71,7988,10823,5,Special,1,Finished Airing,"Mar 24, 2018","Bandai Namco Entertainment,       DMM.futureworks,       Aoni Production","None found, add some","Passione,       Creators in Pack",Game,"Fantasy, Sci-Fi",,7 min.,G - All Ages,2,,,"Military, Parody"
Hanako,,5.71,11769,10824,1,Movie,1,Finished Airing,Not available,"None found, add some","None found, add some","None found, add some",Original,Supernatural,,4 min.,PG-13 - Teens 13 or older,2,,,School
Happy Bogeys,,5.71,18819,10825,293,Movie,12,Finished Airing,2000 to 2014,"None found, add some","None found, add some","None found, add some",Unknown,,,1 min. per ep.,G - All Ages,1,,,
Hello Kitty no Sanbiki no Kobuta,"Hello Kitty, Mimmy and Dear Daniel in the Three Little Pigs",5.71,15591,10826,570,OVA,1,Finished Airing,"Dec 21, 2001",Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,Kids,7 min.,G - All Ages,0,,,
Hero Beta,,5.71,19441,10827,258,ONA,1,Finished Airing,"Nov 20, 2019","None found, add some","None found, add some",Live2D Creative Studio,Original,Sci-Fi,,31 sec.,PG-13 - Teens 13 or older,0,,,
Himitsukessha Taka no Tsume Countdown,,5.71,14629,10828,739,TV,11,Finished Airing,"Oct 7, 2009 to Dec 23, 2009","Kaeruotoko Shokai,       TV Asahi Music","None found, add some",DLE,Unknown,Comedy,,11 min. per ep.,PG-13 - Teens 13 or older,0,Fall 2009,Unknown,"Parody, Super Power"
