Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
Hisone to Maso-tan Digest Douga,,5.74,14775,10693,704,ONA,4,Finished Airing,"May 22, 2018 to Jul 9, 2018","None found, add some","None found, add some",Bones,Original,Comedy,,6 min. per ep.,PG-13 - Teens 13 or older,1,,,
Hokkyoku no Muushika Miishika,Adventures of the Polar Cubs,5.74,14826,10694,690,Movie,1,Finished Airing,"Jul 21, 1979",Mushi Production,"None found, add some","None found, add some",Unknown,Adventure,,1 hr. 18 min.,G - All Ages,1,,,
Irodorimidori,,5.74,6331,10695,10,TV,8,Finished Airing,"Jan 5, 2022 to Feb 23, 2022","Sega,       Front Wing","None found, add some",Akatsuki,Game,Slice of Life,,3 min. per ep.,PG-13 - Teens 13 or older,46,Winter 2022,Wednesdays at 01:00 (JST),"CGDCT, Music"
Jiok,The Hell (Two Kinds of Life),5.74,12652,10696,1,Movie,1,Finished Airing,Jul 2006,Studio Dadashow,"None found, add some","None found, add some",Unknown,"Drama, Fantasy, Horror",,34 min.,R+ - Mild Nudity,1,,,
A-jang.com,,5.73,14330,10697,813,TV,13,Finished Airing,"Nov 22, 2001 to Dec 22, 2001","None found, add some","None found, add some","None found, add some",Unknown,Fantasy,,25 min. per ep.,G - All Ages,3,Fall 2001,Unknown,
Akai Koudan Zillion: Utahime Yakyoku,Zillion: Burning Night,5.73,11566,10698,1,OVA,1,Finished Airing,"Jun 21, 1988",Tatsunoko Production,Funimation,Production I.G,Mixed media,"Action, Adventure, Sci-Fi",,47 min.,PG-13 - Teens 13 or older,1,,,
Akane Maniax,,5.73,4981,10699,19,OVA,3,Finished Airing,"Nov 25, 2004 to Aug 26, 2005","Lantis,       Age","None found, add some","Media Factory,       Silver",Visual novel,"Comedy, Romance",,27 min. per ep.,PG-13 - Teens 13 or older,9,,,Mecha
Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,I'm Kodama Kawashiri,5.73,6858,10700,8,TV,24,Finished Airing,"Jan 14, 2022 to Aug 12, 2022","None found, add some","None found, add some",Lapin Track,Web manga,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,32,Winter 2022,Fridays at 01:35 (JST),
Battle Spirits: Double Drive,,5.73,11837,10701,1,TV,51,Finished Airing,"Apr 6, 2016 to Mar 29, 2017","None found, add some","None found, add some",Bandai Namco Pictures,Card game,Fantasy,,24 min. per ep.,PG - Children,2,Spring 2016,Wednesdays at 17:55 (JST),Strategy Game
Bounty Hunter: The Hard,,5.73,11366,10702,2,OVA,1,Finished Airing,"May 1, 1996","None found, add some","None found, add some",J.C.Staff,Manga,Action,,48 min.,R+ - Mild Nudity,0,,,Detective
Condom Battler Gorou: Revive,,5.73,15069,10703,650,ONA,2,Finished Airing,"Nov 29, 2021","None found, add some","None found, add some","None found, add some",Original,Action,,56 sec. per ep.,PG-13 - Teens 13 or older,0,,,Parody
Devilman Pilot Film,,5.73,18367,10704,322,Special,1,Finished Airing,"Oct 7, 2015","None found, add some","None found, add some","None found, add some",Manga,"Action, Horror, Supernatural",,2 min.,R - 17+ (violence & profanity),0,,,Mythology
Duel Masters Victory,,5.73,12167,10705,1,TV,52,Finished Airing,"Apr 2, 2011 to Mar 31, 2012",Shogakukan-Shueisha Productions,"None found, add some",Shogakukan Music & Digital Entertainment,Original,"Action, Adventure, Comedy, Fantasy",Kids,10 min. per ep.,PG-13 - Teens 13 or older,2,Spring 2011,Unknown,
Fireball Humorous,,5.73,9531,10706,3,TV,3,Finished Airing,"Oct 6, 2017 to Dec 18, 2017",Disney Platform Distribution,"None found, add some",Jinnis Animation Studios,Original,"Comedy, Sci-Fi",,2 min. per ep.,G - All Ages,3,Fall 2017,Fridays at 21:55 (JST),
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita,,5.73,9514,10707,3,ONA,4,Finished Airing,"Sep 10, 2020 to Oct 1, 2020",Bit grooove promotion,"None found, add some",AQUA ARIS,Web manga,"Boys Love, Fantasy",,2 min. per ep.,PG-13 - Teens 13 or older,5,,,Isekai
Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan,Moonlight Pierce,5.73,12609,10708,1,OVA,1,Finished Airing,"Dec 14, 1991","None found, add some","None found, add some",Pierrot,Light novel,"Fantasy, Mystery, Romance",Shoujo,1 hr. 10 min.,G - All Ages,0,,,
Guiying Yu Li Shi Zhentan Shiwusuo,,5.73,15173,10709,633,ONA,1,Finished Airing,"Jan 23, 2022","None found, add some","None found, add some",Gravity Well,Game,"Comedy, Mystery",,4 min.,PG-13 - Teens 13 or older,0,,,"Anthropomorphic, Detective"
Hangyodon no Hadaka no Ousama,Hangyodon in the Emperor's New Clothes,5.73,15933,10710,530,OVA,1,Finished Airing,"Aug 24, 2001",Sanrio,"None found, add some","None found, add some",Other,Fantasy,Kids,10 min.,G - All Ages,0,,,
Hello Kitty no Yuubinya-san Arigatou,,5.73,15948,10711,528,OVA,1,Finished Airing,"Feb 21, 1993",Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,Kids,20 min.,G - All Ages,0,,,
Karen Senki,,5.73,6145,10712,11,ONA,11,Finished Airing,"Sep 27, 2014 to Dec 6, 2014","None found, add some","None found, add some",Next Media Animation,Original,"Action, Sci-Fi",,11 min. per ep.,PG-13 - Teens 13 or older,4,,,
Kawasaki Frontale x Tentai Senshi Sunred 2nd Season,,5.73,14822,10713,691,Special,1,Finished Airing,"Mar 5, 2010","None found, add some","None found, add some",AIC ASTA,Manga,"Comedy, Sports",Seinen,2 min.,PG-13 - Teens 13 or older,0,,,"Parody, Super Power"
Kentauros no Densetsu,The Legend of Kentauros,5.73,13011,10714,1,OVA,1,Finished Airing,"Dec 21, 1987","None found, add some","None found, add some",Wako Productions,Manga,"Action, Drama",,1 hr. 32 min.,R+ - Mild Nudity,0,,,
Kikou Heidan J-Phoenix: PF Lips Shoutai,,5.73,14541,10715,760,OVA,3,Finished Airing,"May 12, 2002 to Feb 26, 2004","None found, add some","None found, add some",J.C.Staff,Unknown,"Action, Comedy",,20 min. per ep.,None,0,,,Mecha
Koume-chan ga Iku!,Here Comes Koume!,5.73,12025,10717,1,TV,12,Finished Airing,"Aug 1, 1999 to Oct 1, 1999",Pioneer LDC,"None found, add some","Gainax,       Group TAC",Manga,"Comedy, Romance, Slice of Life",,5 min. per ep.,PG-13 - Teens 13 or older,2,Summer 1999,Unknown,
Koisuru Tenshi Angelique: Chibi Character Adventure 2,Loving Angel Angelique Chibi Adventure Special 2,5.73,14062,10716,876,Special,1,Finished Airing,"Apr 25, 2007","None found, add some","None found, add some","None found, add some",Visual novel,"Adventure, Comedy",Shoujo,4 min.,G - All Ages,1,,,
Mahou Shoujo Taisen,Magica Wars,5.73,5235,10718,16,TV,26,Finished Airing,"Apr 8, 2014 to Sep 30, 2014","None found, add some","None found, add some",Gainax,Other,,,4 min. per ep.,PG-13 - Teens 13 or older,5,Spring 2014,Tuesdays at 21:55 (JST),
Obake Zukan,,5.73,14462,10719,782,TV,39,Finished Airing,"Jul 1, 2020 to Mar 31, 2021","None found, add some","None found, add some",Fanworks,Picture book,"Comedy, Fantasy, Supernatural",Kids,2 min. per ep.,PG - Children,1,Summer 2020,Wednesdays at 07:20 (JST),Mythology
Ogaki Matsuri ni Ikou yo!,,5.73,13758,10720,963,ONA,1,Finished Airing,"Mar 30, 2020","None found, add some","None found, add some","Asura Film,       l-a-unch・BOX",Original,Romance,,9 min.,G - All Ages,0,,,
Oz no Mahoutsukai,The Wizard of Oz,5.73,13108,10721,1,Movie,1,Finished Airing,"Oct 6, 1982",TOHO,"None found, add some",Topcraft,Book,"Adventure, Fantasy",Kids,1 hr. 12 min.,G - All Ages,2,,,Isekai
Peeping Life: The Perfect Extension,,5.73,14913,10722,677,OVA,10,Finished Airing,"Sep 23, 2011",CoMix Wave Films,"None found, add some","None found, add some",Unknown,"Comedy, Slice of Life",,5 min. per ep.,G - All Ages,0,,,
Pokemon ASMR,Pokémon Kids TV: Pokémon x ASMR,5.73,14250,10723,832,ONA,7,Finished Airing,"Jan 16, 2020 to Feb 11, 2022","The Pokemon Company International,       Marza Animation Planet","None found, add some","None found, add some",Game,Slice of Life,Kids,23 min. per ep.,G - All Ages,1,,,
Rang Wo Men Shao Ba,Fire X Fire,5.73,8470,10724,5,ONA,2,Finished Airing,"Feb 13, 2018 to Mar 22, 2018","None found, add some","None found, add some","None found, add some",Original,Comedy,,6 min. per ep.,PG-13 - Teens 13 or older,6,,,"Parody, School"
Santa Company,,5.73,8423,10725,5,Movie,1,Finished Airing,"Oct 25, 2014","Rakuonsha,       Kenji Studio","None found, add some",Nexus,Original,Fantasy,,28 min.,PG - Children,3,,,
Shounen Ashibe: Go! Go! Goma-chan 3,,5.73,14174,10726,851,TV,32,Finished Airing,"Apr 3, 2018 to Feb 26, 2019","None found, add some","None found, add some","Bridge,       Husio Studio,       Studio Palette",4-koma manga,"Comedy, Slice of Life",Seinen,9 min. per ep.,G - All Ages,2,Spring 2018,Tuesdays at 18:45 (JST),Pets
Taboo Tattoo,,5.73,849,10727,289,TV,12,Finished Airing,"Jul 5, 2016 to Sep 20, 2016","TV Tokyo,       Sotsu,       AT-X,       Magic Capsule,       KlockWorx,       DIVE II Entertainment,       Avex Pictures,       BS TV Tokyo","Funimation,       Crunchyroll",J.C.Staff,Manga,"Action, Supernatural",Seinen,24 min. per ep.,R - 17+ (violence & profanity),253,Summer 2016,Tuesdays at 02:05 (JST),"Martial Arts, Super Power"
Tadaima! Chibi Godzilla Season 2,"I'm Home, Chibigodzilla 2nd Season",5.73,16446,10728,473,ONA,13,Finished Airing,"Dec 2, 2020 to Feb 24, 2021","None found, add some","None found, add some","None found, add some",Original,"Fantasy, Slice of Life",,30 sec. per ep.,G - All Ages,0,,,
The Peak,,5.73,19241,10729,269,ONA,1,Finished Airing,"Sep 26, 2019","None found, add some","None found, add some",Marza Animation Planet,Original,Fantasy,Kids,5 min.,G - All Ages,0,,,
Youkai Watch: Best 10,,5.73,14096,10731,871,Special,1,Finished Airing,"Dec 19, 2014","None found, add some","None found, add some",OLM,Game,"Comedy, Supernatural",Kids,12 min.,G - All Ages,0,,,
Xiong Chumo: Huanqiu Da Maoxian,Boonie Bears or Bust,5.73,17407,10730,393,TV,104,Finished Airing,"Jul 30, 2012 to ?",Fantawild Animation,"None found, add some","None found, add some",Original,Comedy,Kids,13 min. per ep.,PG - Children,0,?,Unknown,
Shiroi Suna no Aquatope Mini,,5.72,9590,10732,3,ONA,29,Finished Airing,"Jul 6, 2021 to Dec 9, 2021","None found, add some","None found, add some","None found, add some",Original,"Comedy, Slice of Life",,1 min. per ep.,PG-13 - Teens 13 or older,8,,,
Shiroi Zou (1981),,5.72,18160,10733,335,Movie,1,Finished Airing,1981,"None found, add some","None found, add some","None found, add some",Other,Action,,22 min.,G - All Ages,0,,,Historical
Sono Kinisasete yo: My My Mai,My My Mai,5.72,9697,10734,3,OVA,2,Finished Airing,"Dec 16, 1993 to Jan 21, 1994",AC Create,Central Park Media,J.C.Staff,Unknown,"Comedy, Supernatural, Ecchi",,39 min. per ep.,R+ - Mild Nudity,3,,,
