Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Mother: Saigo no Shoujo Eve,E.Y.E.S. of Mars,5.49,12033,11626,1,Movie,1,Finished Airing,"Dec 26, 1993","None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Drama, Sci-Fi",1 hr. 15 min.,PG-13 - Teens 13 or older,2,,,,
One Room Special,,5.49,4852,11629,20,Special,1,Finished Airing,"May 26, 2017","None found, add some","None found, add some",Typhoon Graphics,Original,Slice of Life,4 min.,PG-13 - Teens 13 or older,14,,,,
Namakura Gatana,The Dull Sword,5.49,6539,11627,9,Movie,1,Finished Airing,"Jun 30, 1917","None found, add some","None found, add some","None found, add some",Original,Comedy,4 min.,G - All Ages,15,Samurai,,,
Nanako Kaitai Shinsho,Amazing Nurse Nanako,5.49,5954,11628,12,OVA,6,Finished Airing,"Jul 5, 1999 to Mar 24, 2000","Genco,       Pioneer LDC",Geneon Entertainment USA,Radix,Original,"Comedy, Sci-Fi, Ecchi",27 min. per ep.,R+ - Mild Nudity,22,"Mecha, Medical, Military",,,
Plus 50000-nen,,5.49,16721,11630,447,Movie,1,Finished Airing,1961,Otogi Production,"None found, add some","None found, add some",Original,Sci-Fi,9 min.,G - All Ages,0,,,,
Pride,,5.49,16113,11631,510,ONA,1,Finished Airing,"Oct 29, 2015","None found, add some","None found, add some","None found, add some",Original,Slice of Life,2 min.,G - All Ages,0,,,,
Ryou,Fishing,5.49,18764,11632,296,Movie,1,Finished Airing,2014,Geidai Animation,"None found, add some","None found, add some",Original,Avant Garde,3 min.,G - All Ages,0,Music,,,
Sequence,,5.49,11728,11633,1,OVA,1,Finished Airing,"Mar 18, 1992","None found, add some","None found, add some",Ashi Productions,Manga,"Romance, Sci-Fi",42 min.,G - All Ages,0,,Shoujo,,
Shinken Seminar Koukou Kouza,,5.49,15614,11634,567,OVA,1,Finished Airing,"Apr 4, 2012",Half H.P Studio,"None found, add some",Manglobe,Other,,32 min.,PG-13 - Teens 13 or older,0,School,Shounen,,
Shoumetsu Toshi,Afterlost,5.49,2658,11635,67,TV,12,Finished Airing,"Apr 7, 2019 to Jun 23, 2019","Sotsu,       Pony Canyon,       KlockWorx,       Tokyo MX,       GREE,       Akatsuki",Funimation,Madhouse,Game,"Action, Adventure, Drama, Fantasy, Mystery",23 min. per ep.,PG-13 - Teens 13 or older,60,,,Spring 2019,Sundays at 23:30 (JST)
Soul Link Picture Drama,,5.49,13022,11636,1,Special,3,Finished Airing,"Jul 21, 2006 to Sep 22, 2006","Mellow Head,       Picture Magic","None found, add some","None found, add some",Visual novel,"Romance, Sci-Fi",4 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Teo the Magic Planet Pilot,,5.49,18891,11637,288,TV Special,1,Finished Airing,1997,Tezuka Productions,"None found, add some","None found, add some",Game,"Adventure, Fantasy",9 min.,G - All Ages,0,,,,
The Marginal Service,,5.49,4751,11638,21,TV,12,Finished Airing,"Apr 12, 2023 to Jun 28, 2023","Shochiku,       Movic,       Nippon Television Network,       King Records,       Cygames,       dugout,       Happinet Media Marketing","None found, add some",Studio 3Hz,Original,"Action, Sci-Fi",22 min. per ep.,PG-13 - Teens 13 or older,66,Adult Cast,,Spring 2023,Wednesdays at 01:29 (JST)
TWD Express Rolling Takeoff,,5.49,15484,11639,586,Movie,1,Finished Airing,"Jul 14, 1987","None found, add some","None found, add some",Gallop,Manga,"Adventure, Sci-Fi",55 min.,R+ - Mild Nudity,1,,,,
Violence Jack: Hell's Wind-hen,Violence Jack: Hell's Wind,5.49,6511,11640,9,OVA,1,Finished Airing,"Nov 9, 1990","Japan Home Video,       Dynamic Planning,       Soeishinsha",Discotek Media,Studio 88,Manga,"Action, Drama, Horror",54 min.,R+ - Mild Nudity,8,Gore,,,
Shika to Kanta,Kanta and the Deer,5.48,17651,11641,376,OVA,1,Finished Airing,"Apr 1, 1992",Shinano Kikaku,"None found, add some",Toei Animation,Unknown,Adventure,26 min.,G - All Ages,0,,Kids,,
Strange+ Special,,5.48,10517,11642,2,Special,1,Finished Airing,"Apr 18, 2014",Dream Creation,"None found, add some",Seven,Manga,Comedy,3 min.,PG-13 - Teens 13 or older,0,"Adult Cast, Crossdressing, Detective, Parody",Josei,,
Taneyamagahara no Yoru,The Night of Taneyamagahara,5.48,7974,11643,5,Movie,1,Finished Airing,"Jul 7, 2006","None found, add some","None found, add some",Studio Ghibli,Other,"Fantasy, Slice of Life",27 min.,PG - Children,4,Psychological,Kids,,
Tug-Tug,,5.48,19372,11644,262,Movie,1,Finished Airing,1998,"None found, add some","None found, add some","None found, add some",Original,,5 min.,G - All Ages,0,,,,
Waiter,,5.48,17502,11645,386,Movie,1,Finished Airing,"Jan 16, 2014",Tamabi,"None found, add some","None found, add some",Original,Avant Garde,8 min.,PG-13 - Teens 13 or older,0,,,,
Yajikita Gakuen Douchuuki,,5.48,11616,11646,1,OVA,2,Finished Airing,"Sep 15, 1989 to Jul 25, 1991","None found, add some","None found, add some",J.C.Staff,Manga,Adventure,40 min. per ep.,PG-13 - Teens 13 or older,1,"Martial Arts, School",Shoujo,,
Backkom Meogeujan Yeohaeng,My Friend Bernard,5.48,15042,11648,655,Movie,1,Finished Airing,"Mar 22, 2007","None found, add some","None found, add some",RG Animation Studios,Original,"Adventure, Comedy",1 hr. 16 min.,G - All Ages,0,,Kids,,
Baby Felix,,5.48,14276,11647,824,TV,65,Finished Airing,"Oct 8, 2000 to Jun 29, 2001",NHK,"None found, add some",Radix,Unknown,Comedy,4 min. per ep.,G - All Ages,1,Anthropomorphic,Kids,Fall 2000,Sundays at 17:50 (JST)
Baku Tech! Bakugan Gachi Special,,5.48,12950,11649,1,ONA,1,Finished Airing,"Feb 5, 2014","None found, add some","None found, add some","None found, add some",Manga,Action,6 min.,G - All Ages,1,Strategy Game,Shounen,,
Bikkurimen,,5.48,10029,11650,3,TV,12,Finished Airing,"Oct 5, 2023 to Dec 21, 2023","Avex Entertainment,       Shin-Ei Animation,       FuRyu,       ADK Emotions,       BS Asahi,       INSPION Edge,       qooop","None found, add some",Lesprit,Other,"Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,5,,,Fall 2023,Thursdays at 23:30 (JST)
Bulg-eunmae,Red Hawk - Weapon Of Death,5.48,12501,11651,1,Movie,1,Finished Airing,"Aug 5, 1995",Daewon Media,Manga Entertainment,"None found, add some",Unknown,,1 hr. 24 min.,PG-13 - Teens 13 or older,1,"Martial Arts, Super Power",,,
Burutabu-chan,,5.48,18466,11652,315,TV,Unknown,Finished Airing,Not available,Fuji TV,"None found, add some","None found, add some",Original,"Comedy, Fantasy",10 sec.,PG-13 - Teens 13 or older,0,,,?,Unknown
Grandeek,,5.48,10654,11653,2,OVA,1,Finished Airing,"Nov 1, 2000","SME Visual Works,       Movic","None found, add some","Group TAC,       animate Film",Manga,"Adventure, Fantasy",45 min.,R - 17+ (violence & profanity),3,,,,
History of Les Merveilleuses: Brand Movie,History of LesMerveilleuses,5.48,18147,11654,336,ONA,1,Finished Airing,"Jan 6, 2017","None found, add some","None found, add some","None found, add some",Other,,2 min.,G - All Ages,1,Historical,,,
Install Pilot,,5.48,13997,11656,894,TV Special,1,Finished Airing,"Jul 18, 2011","None found, add some","None found, add some",Asahi Production,Original,"Action, Sci-Fi",12 min.,R - 17+ (violence & profanity),0,,Shounen,,
Hit wo Nerae!,,5.48,7471,11655,6,TV,8,Finished Airing,"Mar 9, 2004 to Apr 27, 2004",m.o.e.,"None found, add some","Imagin,       Studio Live",Original,"Comedy, Ecchi",14 min. per ep.,R+ - Mild Nudity,1,,,Spring 2004,Unknown
Kakko Kawaii Sengen!,,5.48,12112,11657,1,TV,5,Finished Airing,"Nov 5, 2010 to Dec 3, 2010","None found, add some","None found, add some",Gathering,Original,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,1,,,Fall 2010,Unknown
Kine-Pass Gekijou,,5.48,14954,11658,673,Movie,3,Finished Airing,"Nov 26, 2016 to 2016","None found, add some","None found, add some",Studio PuYUKAI,Game,Comedy,46 sec. per ep.,G - All Ages,0,Parody,,,
Koguma no Koro-chan,"Korochan, the Little Bear",5.48,14127,11659,864,Movie,1,Finished Airing,Mar 1958,"None found, add some","None found, add some","None found, add some",Other,,10 min.,G - All Ages,0,,Kids,,
Koroshiya-san: The Hired Gun,,5.48,7254,11660,7,TV,10,Finished Airing,"Oct 11, 2013 to Dec 13, 2013","KlockWorx,       Studio Mausu","None found, add some",Opera House,4-koma manga,"Action, Comedy, Suspense",3 min. per ep.,PG-13 - Teens 13 or older,4,Detective,Seinen,Fall 2013,Fridays at 01:00 (JST)
Kumo no Mori no Marcus,,5.48,18097,11661,340,ONA,1,Finished Airing,"Nov 3, 2017","Asura Film,       Cloud22","None found, add some",Creators in Pack,Picture book,"Adventure, Fantasy",2 min.,G - All Ages,0,Anthropomorphic,Kids,,
Kyoufu no Bio Ningen Saishuu Kyoushi,Ultimate Teacher,5.48,8679,11662,4,OVA,1,Finished Airing,"Feb 6, 1988","animate Film,       Movic,       Sony Music Entertainment",Central Park Media,J.C.Staff,Manga,"Action, Adventure, Comedy, Supernatural",56 min.,PG-13 - Teens 13 or older,12,School,,,
Mazinger ZIP!,,5.48,13182,11663,1,TV,227,Finished Airing,"Apr 8, 2013 to Mar 28, 2014","Nippon Television Network,       Oddjob","None found, add some",Kate Arrow,Unknown,Comedy,1 min. per ep.,G - All Ages,0,Mecha,,Spring 2013,Not scheduled once per week
Million Doll: Otaku Go Kouza,,5.48,19318,11664,265,Special,1,Finished Airing,"Nov 20, 2015","None found, add some","None found, add some",Asahi Production,Original,Comedy,2 min.,PG-13 - Teens 13 or older,0,,,,
Peeping Life: The Perfect Explosion,,5.48,15099,11665,646,OVA,10,Finished Airing,"Oct 18, 2012",CoMix Wave Films,"None found, add some","None found, add some",Original,"Comedy, Slice of Life",5 min. per ep.,G - All Ages,0,,,,
Pokemon-tachi to Asobou!,Pokémon Kids TV: Let's Play with Pokémon,5.48,14068,11666,877,ONA,1,Finished Airing,"Mar 12, 2021","None found, add some","None found, add some","None found, add some",Game,,2 min.,PG - Children,1,,Kids,,
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,Legend of Mana -The Teardrop Crystal-,5.48,4878,11667,20,TV,12,Finished Airing,"Oct 8, 2022 to Dec 24, 2022","Square Enix,       Mainichi Broadcasting System,       Movic,       Warner Bros. Japan,       Good Smile Company","None found, add some","Graphinica,       Yokohama Animation Lab",Game,Adventure,23 min. per ep.,PG-13 - Teens 13 or older,71,,,Fall 2022,Saturdays at 01:25 (JST)
Seishun Fuufu Monogatari: Koiko no Mainichi,,5.48,14308,11668,819,OVA,2,Finished Airing,"Sep 22, 1989 to Mar 23, 1990",Creative Bridge,"None found, add some",Artland,Manga,"Comedy, Drama, Romance, Ecchi",50 min. per ep.,R+ - Mild Nudity,2,Organized Crime,Seinen,,
Kashikokimono,,5.47,15769,11669,547,Movie,1,Finished Airing,2004,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,9 min.,G - All Ages,0,Music,,,
Kimi ga Nozomu Eien Special,,5.47,7611,11670,6,Special,1,Finished Airing,"Jun 25, 2004","Studio Fantasia,       Age","None found, add some","None found, add some",Original,Sci-Fi,2 min.,R+ - Mild Nudity,2,"Mecha, Parody, Space",,,
Kingdom of Chaos: Born to Kill,,5.47,12908,11671,1,OVA,4,Finished Airing,"Oct 24, 2003 to Apr 23, 2004",Idea Factory,"None found, add some","None found, add some",Game,Fantasy,29 min. per ep.,PG-13 - Teens 13 or older,1,,,,
Matter,,5.47,19603,11672,248,Special,1,Finished Airing,2017,"None found, add some","None found, add some",VCRWORKS,Original,Avant Garde,27 sec.,G - All Ages,0,,,,
Monster Farm 5: Circus Caravan OVA - Kessei!! Orcoro Circus,,5.47,13737,11673,971,OVA,1,Finished Airing,"Nov 16, 2005","None found, add some","None found, add some","None found, add some",Game,"Action, Fantasy",8 min.,G - All Ages,0,,,,
Ninja Bugei-chou,Manual of Ninja Martial Arts,5.47,11651,11674,1,Movie,1,Finished Airing,"Feb 15, 1967","None found, add some","None found, add some","None found, add some",Manga,Action,2 hr. 15 min.,R - 17+ (violence & profanity),4,,,,
Oyako Club,,5.47,13142,11675,1,TV,1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",Fuji TV,"None found, add some",Eiken,Original,"Comedy, Slice of Life",5 min. per ep.,G - All Ages,0,,,Fall 1994,Unknown
Pom Pom Purin no Usagi to Kame,Pom Pom Purin in the Tortoise and the Hare,5.47,16005,11676,520,OVA,1,Finished Airing,"Oct 26, 2001",Sanrio,"None found, add some","None found, add some",Other,Fantasy,10 min.,G - All Ages,0,,Kids,,
Santa Claus Tsukamaeta!,,5.47,18042,11677,344,OVA,1,Finished Airing,"Dec 6, 1989","None found, add some","None found, add some",Takahashi Studio,Unknown,Fantasy,23 min.,PG - Children,0,,Kids,,
Shapeshifter,,5.47,15817,11678,543,Special,1,Finished Airing,"Mar 26, 2019","None found, add some","None found, add some","None found, add some",Original,Avant Garde,30 sec.,G - All Ages,0,Music,,,
Shinjuku Shin-chan Patrol: Warui Otona ni Ki wo Tsukete,,5.47,16637,11679,454,ONA,1,Finished Airing,Aug 2008,"None found, add some","None found, add some","None found, add some",Unknown,,20 min.,PG - Children,0,Educational,Kids,,
Show By Rock!! x Joysound,,5.47,11033,11680,2,ONA,4,Finished Airing,"Jun 27, 2014 to May 15, 2016",Sanrio,"None found, add some","None found, add some",Game,Comedy,1 min. per ep.,G - All Ages,1,Music,,,
Si Ling Bianma: Shijie Caozong Zhe Recap,Order Designer Recap,5.47,17221,11681,406,ONA,1,Finished Airing,"May 8, 2014","None found, add some","None found, add some","None found, add some",Original,,2 min.,R - 17+ (violence & profanity),0,,,,
Toukiden 2,,5.47,14252,11682,831,ONA,3,Finished Airing,"Jun 30, 2016 to Jul 12, 2016","None found, add some","None found, add some",Studio 4°C,Game,Action,1 min. per ep.,PG-13 - Teens 13 or older,0,Mythology,,,
Virus: Virus Buster Serge,,5.47,8373,11684,5,TV,12,Finished Airing,"Oct 3, 1997 to Dec 19, 1997","None found, add some",Manga Entertainment,Plum,Game,"Action, Adventure, Sci-Fi",24 min. per ep.,R+ - Mild Nudity,6,"Detective, Mecha",,Fall 1997,Fridays at 01:15 (JST)
Vazzrock The Animation,,5.47,7527,11683,6,TV,13,Finished Airing,"Oct 5, 2022 to Dec 28, 2022","None found, add some","None found, add some",PRA,Music,,23 min. per ep.,PG-13 - Teens 13 or older,33,"Idols (Male), Music",,Fall 2022,Wednesdays at 22:30 (JST)
Ai Mai! Moe Can Change!,,5.47,7280,11685,7,OVA,1,Finished Airing,"May 25, 2012","None found, add some","None found, add some",Frontier Works,Game,"Comedy, Sci-Fi",24 min.,PG-13 - Teens 13 or older,10,,,,
Aitata Bocchi,"Ouch, Chou Chou",5.47,15571,11686,575,Special,1,Finished Airing,Nov 2016,"None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Drama",11 min.,PG-13 - Teens 13 or older,0,,,,
Battle Break,,5.47,15994,11687,521,ONA,1,Finished Airing,"Dec 17, 2011","None found, add some","None found, add some",OLM,Unknown,Action,18 min.,G - All Ages,0,,Kids,,
Be-Boy Kidnapp'n Idol,,5.47,6428,11688,10,OVA,1,Finished Airing,"Dec 22, 1989","None found, add some","None found, add some",AIC,Original,"Boys Love, Drama",26 min.,PG-13 - Teens 13 or older,14,Idols (Male),,,
Bloodivores,,5.47,1964,11689,109,TV,12,Finished Airing,"Oct 1, 2016 to Dec 17, 2016","Emon,       Cloud22","None found, add some","Creators in Pack,       Namu Animation",Web manga,"Action, Mystery, Supernatural",24 min. per ep.,R - 17+ (violence & profanity),129,Vampire,,Fall 2016,Saturdays at 21:00 (JST)
Break Go!Ga!,,5.47,17690,11690,373,ONA,1,Finished Airing,"Dec 14, 2017","None found, add some","None found, add some","None found, add some",Other,,3 min.,G - All Ages,0,Strategy Game,Shounen,,
Chikara Bashi,The Strong Bridge,5.47,16807,11691,440,Movie,1,Finished Airing,1976,"None found, add some","None found, add some","None found, add some",Original,,10 min.,G - All Ages,0,,Kids,,
Chikotan,,5.47,14981,11692,669,Movie,1,Finished Airing,1971,"None found, add some","None found, add some","None found, add some",Original,,11 min.,G - All Ages,1,"Music, Psychological",,,
