Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Premiered,Broadcast,Demographics
Top wo Nerae 2! Kagaku Kouza,,5.53,11285,11486,2,Special,3,Finished Airing,"Jun 22, 2012","None found, add some","None found, add some",Gainax,Original,Sci-Fi,3 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Tadaima! Chibi Godzilla,I'm Home! Chibi Godzilla,5.53,15156,11485,636,ONA,12,Finished Airing,"Jul 15, 2020 to Sep 30, 2020","None found, add some","None found, add some","None found, add some",Original,"Fantasy, Slice of Life",30 sec. per ep.,G - All Ages,1,,,,
"Watashitachi, Luck Logic-bu! 2",,5.53,11217,11487,2,ONA,12,Finished Airing,"Aug 1, 2016 to Jan 22, 2017","None found, add some","None found, add some",Doga Kobo,Card game,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,2,"School, Strategy Game",,,
Shin Karate Jigoku-hen,,5.53,14677,11484,727,OVA,2,Finished Airing,"Nov 1, 1990 to Dec 21, 1990","None found, add some","None found, add some","Studio Hibari,       Deck",Unknown,Action,48 min. per ep.,R+ - Mild Nudity,0,Martial Arts,,,
2020 Nyeon Ujuui Wonder Kiddy,2020 Wonder Kiddy,5.53,15637,11490,563,TV,13,Finished Airing,1989,"None found, add some","None found, add some","None found, add some",Unknown,Sci-Fi,24 min. per ep.,PG - Children,1,Space,?,Unknown,
Yurumi to Shimeru,,5.53,17821,11489,362,ONA,1,Finished Airing,"Apr 3, 2008","None found, add some","None found, add some",Opera House,Web manga,"Comedy, Sci-Fi",3 min.,G - All Ages,0,,,,
Yogen-sha Ikusei Gakuen: Fortune Tellers Academy,,5.53,16315,11488,487,ONA,1,Finished Airing,"Apr 27, 2017",Square Enix,"None found, add some","None found, add some",Game,Fantasy,2 min.,G - All Ages,0,,,,
Ankoku Shindenshou Takegami,Guardian of Darkness,5.53,10228,11491,2,OVA,3,Finished Airing,"Mar 23, 1990 to Jan 24, 1992","None found, add some",Central Park Media,J.C.Staff,Original,"Action, Drama, Sci-Fi, Supernatural",42 min. per ep.,R - 17+ (violence & profanity),1,Mecha,,,
Basilisk: Ouka Ninpouchou,Basilisk: The Ouka Ninja Scrolls,5.53,3626,11492,38,TV,24,Finished Airing,"Jan 9, 2018 to Jun 19, 2018","Kodansha,       Glovision,       King Records,       Universal Entertainment",Funimation,Seven Arcs Pictures,Manga,"Action, Drama",23 min. per ep.,R - 17+ (violence & profanity),38,"Historical, Martial Arts",Winter 2018,Tuesdays at 00:00 (JST),Seinen
Chikatetsu ni Noru,,5.53,14521,11493,768,Special,1,Finished Airing,"May 27, 2017","None found, add some","None found, add some",Gyorai Eizo Inc.,Novel,Slice of Life,12 min.,PG - Children,0,,,,
