Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Premiered,Broadcast,Demographics
Ashita no Eleven-tachi,,5.43,15300,11779,614,TV Special,1,Finished Airing,"Jan 7, 1979","None found, add some","None found, add some",Toei Animation,Unknown,Sports,1 hr. 10 min.,G - All Ages,0,,,,
Iro wo Kuu Akuma,The Color Eater,5.44,13455,11776,1,ONA,1,Finished Airing,"Aug 24, 2015",Kaibutsu,"None found, add some","TYMOTE,       Spoon",Original,Avant Garde,1 min.,G - All Ages,2,Music,,,
Arisa☆Good Luck,,5.43,11906,11778,1,OVA,1,Finished Airing,"Oct 30, 1999","None found, add some","None found, add some",Venet,Original,"Action, Comedy",28 min.,PG-13 - Teens 13 or older,5,,,,
Amon Saga,,5.43,7644,11777,6,OVA,1,Finished Airing,"Jul 19, 1986","Toei Video,       Tohokushinsha Film Corporation",Manga Entertainment,Toei Animation,Original,"Action, Adventure, Fantasy",1 hr. 14 min.,R - 17+ (violence & profanity),1,,,,
Celebration and Chorale,,5.43,15852,11780,538,Movie,1,Finished Airing,Sep 2012,"None found, add some","None found, add some","None found, add some",Original,,5 min.,G - All Ages,0,Music,,,
Choushin Hime Dangaizer 3,,5.43,10204,11781,2,OVA,4,Finished Airing,"Oct 8, 1999 to Mar 23, 2001",KSS,"None found, add some",Chaos Project,Original,"Adventure, Sci-Fi, Ecchi",30 min. per ep.,R+ - Mild Nudity,2,Mecha,,,
Cutie Honey Universe,,5.43,4922,11782,19,TV,12,Finished Airing,"Apr 8, 2018 to Jun 24, 2018","Pony Canyon,       AT-X,       Memory-Tech,       Dynamic Planning,       Bandai Namco Entertainment,       Pony Canyon Enterprises","Sentai Filmworks,       Ponycan USA",Production Reed,Manga,"Action, Comedy, Romance, Sci-Fi, Ecchi",23 min. per ep.,R - 17+ (violence & profanity),19,,Spring 2018,Sundays at 21:00 (JST),Shounen
dwarf Movie Lab,,5.43,18347,11783,323,ONA,13,Finished Airing,"May 2, 2014","None found, add some","None found, add some",dwarf,Other,,39 sec. per ep.,G - All Ages,0,,,,Kids
Fushigi na Taiko,,5.43,15808,11784,543,Movie,1,Finished Airing,"Aug 20, 1957","None found, add some","None found, add some","None found, add some",Other,,18 min.,G - All Ages,1,,,,Kids
Gakufu no Rakugakichou,Graffiti Notation,5.43,18322,11785,324,ONA,1,Finished Airing,"Nov 10, 2009","None found, add some","None found, add some","None found, add some",Original,,3 min.,G - All Ages,0,Music,,,
Ghost,,5.43,13766,11786,961,Movie,1,Finished Airing,1984,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,5 min.,G - All Ages,6,,,,
Happy Kappy,,5.43,12388,11787,1,TV,25,Finished Airing,"Apr 6, 2011 to Oct 5, 2011",Shogakukan Music & Digital Entertainment,"None found, add some","None found, add some",Manga,"Comedy, Fantasy",5 min. per ep.,G - All Ages,3,,Spring 2011,Unknown,Shoujo
Henkei Sakuhin Dai 2-ban,Metamorphose Works No.2,5.43,16616,11788,457,Movie,1,Finished Airing,1984,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,23 min.,G - All Ages,0,,,,
Ikeike! Momon-chan,,5.43,13858,11789,933,ONA,15,Finished Airing,"Nov 28, 2012 to Mar 28, 2013","None found, add some","None found, add some","None found, add some",Original,Comedy,1 min. per ep.,G - All Ages,0,,,,
Ishikeri,Kicking Rocks,5.43,13852,11790,934,Movie,1,Finished Airing,2013,Geidai Animation,"None found, add some","None found, add some",Original,Comedy,5 min.,G - All Ages,0,,,,
Kamiusagi Rope x au Collaboration,Paper Rabbit Rope x AU Collaboration,5.43,16617,11791,457,ONA,6,Finished Airing,"Mar 11, 2012 to Mar 7, 2016","None found, add some","None found, add some","None found, add some",Original,"Comedy, Slice of Life",2 min. per ep.,G - All Ages,1,,,,
Kappa no Ude,,5.43,19080,11792,277,Movie,1,Finished Airing,2009,"None found, add some","None found, add some","None found, add some",Unknown,Fantasy,5 min.,G - All Ages,0,,,,
Kidou Senshi Gundam: Twilight Axis - Akaki Zanei,Mobile Suit Gundam: Twilight Axis - Red Blur,5.43,8927,11793,4,Movie,1,Finished Airing,"Nov 18, 2017","None found, add some",Nozomi Entertainment,Sunrise,Novel,"Action, Sci-Fi",26 min.,PG-13 - Teens 13 or older,3,"Mecha, Military, Space",,,
Lord of Vermilion IV,,5.43,12043,11794,1,ONA,16,Finished Airing,"Sep 3, 2017 to Oct 26, 2017","None found, add some","None found, add some","None found, add some",Game,Fantasy,30 sec. per ep.,G - All Ages,0,Strategy Game,,,
Macross Fufonfia Specials,,5.43,13064,11795,1,Special,3,Finished Airing,"Dec 25, 2013","None found, add some","None found, add some",I was a Ballerina,Original,Comedy,3 min. per ep.,G - All Ages,0,Parody,,,
Made in Japan,,5.43,15958,11796,526,Movie,1,Finished Airing,1972,"None found, add some","None found, add some","None found, add some",Original,Comedy,9 min.,G - All Ages,1,,,,
Midori no Neko,The Green Cat,5.43,11297,11797,2,OVA,1,Finished Airing,Jul 1989,"None found, add some","None found, add some",Tezuka Productions,Manga,Mystery,24 min.,PG-13 - Teens 13 or older,0,,,,
Ozmafia!! Special,,5.43,11322,11798,2,Special,1,Finished Airing,"Oct 28, 2016",Creators in Pack,"None found, add some","None found, add some",Visual novel,,4 min.,PG-13 - Teens 13 or older,2,"Historical, School",,,Shoujo
Pac-World,,5.43,10336,11799,2,TV,52,Finished Airing,"Apr 5, 2014 to Apr 25, 2015",Bandai Namco Entertainment,"None found, add some","OLM Digital,       Sprite Animation Studios",Game,"Adventure, Comedy, Sci-Fi",25 min. per ep.,PG - Children,5,,Spring 2014,Saturdays at 18:30 (JST),
Petit Eva: Evangelion@School,,5.43,4304,11800,26,ONA,24,Finished Airing,"Mar 20, 2007 to Mar 11, 2009","Bandai Visual,       Bandai Channel","None found, add some","Xebec,       Kanaban Graphics",Original,Comedy,3 min. per ep.,G - All Ages,39,School,,,
Saru Masamune,The Monkey Sword Masamune,5.43,11736,11802,1,Movie,1,Finished Airing,1930,"None found, add some","None found, add some","None found, add some",Original,Adventure,9 min.,G - All Ages,0,Military,,,
Rinkai!,,5.43,7159,11801,7,TV,12,Currently Airing,"Apr 9, 2024 to ?","Lantis,       Shochiku,       BS Fuji,       Tokyo MX,       U-NEXT,       Bandai Namco Music Live,       Mixi,       Maruga Factory","None found, add some",TMS Entertainment,Mixed media,Sports,23 min. per ep.,PG-13 - Teens 13 or older,29,"Adult Cast, Racing",Spring 2024,Tuesdays at 23:30 (JST),
Space Gundam V,,5.43,13674,11803,985,Movie,1,Finished Airing,"Jul 21, 1983","None found, add some","None found, add some","None found, add some",Original,"Action, Comedy",1 hr. 22 min.,PG-13 - Teens 13 or older,0,Mecha,,,
Sparrow's Hotel,,5.43,6336,11804,10,TV,12,Finished Airing,"Apr 9, 2013 to Jun 25, 2013","DAX Production,       Dream Creation","None found, add some",Hotline,4-koma manga,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,8,Adult Cast,Spring 2013,Tuesdays at 20:25 (JST),
Straw-saurus Neo,,5.43,17367,11805,396,TV Special,1,Finished Airing,"Mar 23, 2009",NHK,"None found, add some","None found, add some",Original,"Adventure, Fantasy, Sci-Fi",5 min.,G - All Ages,0,,,,Kids
Super Backkom,Super Bernard,5.43,16088,11806,512,Special,1,Finished Airing,2008,"None found, add some","None found, add some",RG Animation Studios,Original,Comedy,7 min.,G - All Ages,0,Super Power,,,Kids
Tabi,,5.43,12498,11807,1,Movie,1,Finished Airing,1973,"None found, add some","None found, add some","None found, add some",Original,Fantasy,12 min.,PG-13 - Teens 13 or older,2,Psychological,,,
"Urawa no Usagi-chan: Natsu no Hi to, Bushitsu to, Tomodachi to",,5.43,10313,11808,2,Special,1,Finished Airing,"Oct 16, 2015","None found, add some","None found, add some",A-Real,Original,Comedy,3 min.,PG - Children,0,School,,,
Xiao Kedou Zhao Mama,Where is Mama,5.43,15094,11809,646,Movie,1,Finished Airing,1960,"None found, add some","None found, add some",Shanghai Animation Film Studio,Original,,15 min.,G - All Ages,1,,,,Kids
Yonimo Osoroshii Nihon Mukashibanashi,The Truth of Japanese Fairy Tales,5.43,12240,11810,1,OVA,3,Finished Airing,2000,"Group TAC,       Toei Video","None found, add some","None found, add some",Unknown,"Avant Garde, Horror",17 min. per ep.,R+ - Mild Nudity,2,Psychological,,,
Yuki no Taiyou Pilot,,5.43,9581,11811,3,Special,1,Finished Airing,1972,"None found, add some","None found, add some",Tokyo Movie,Manga,Drama,4 min.,PG - Children,0,,,,Shoujo
Shiroishi no Yousei Pichi,,5.42,17859,11812,359,ONA,3,Finished Airing,"Jul 27, 2011 to Jan 22, 2014","None found, add some","None found, add some",Asahi Production,Original,Fantasy,3 min. per ep.,PG - Children,0,Historical,,,Kids
Souseiki,The Genesis,5.42,11470,11813,1,Movie,1,Finished Airing,"Oct 1, 1968",Mushi Production,"None found, add some","None found, add some",Unknown,,4 min.,PG - Children,1,Parody,,,
The Curlydog Story,,5.42,17145,11814,412,Special,1,Finished Airing,2008,"None found, add some","None found, add some","None found, add some",Original,,1 min.,G - All Ages,0,,,,Kids
Wish Me Mell,,5.42,15497,11815,584,ONA,3,Finished Airing,"Jun 5, 2011 to Jul 20, 2012",Sanrio,"None found, add some","None found, add some",Other,Fantasy,1 min. per ep.,G - All Ages,1,,,,Kids
Zunda Horizon,,5.42,11245,11816,2,Movie,1,Finished Airing,"Mar 11, 2017","Studio Mausu,       Imagine","None found, add some","WAO World,       Studio Live",Original,Gourmet,23 min.,PG-13 - Teens 13 or older,4,,,,
Alice or Alice Recap,,5.42,14703,11817,720,TV Special,1,Finished Airing,"Jun 27, 2018","None found, add some","None found, add some","None found, add some",4-koma manga,Slice of Life,3 min.,PG-13 - Teens 13 or older,0,CGDCT,,,
Aya to Majo,Earwig and the Witch,5.42,5126,11819,17,TV Special,1,Finished Airing,"Dec 30, 2020","NHK,       NHK Enterprises",GKIDS,Studio Ghibli,Novel,Supernatural,1 hr. 22 min.,PG - Children,22,,,,
Angel's Feather,,5.42,4825,11818,20,OVA,2,Finished Airing,"Apr 28, 2006 to May 26, 2006","None found, add some",Media Blasters,Venet,Visual novel,"Boys Love, Drama, Fantasy, Sci-Fi, Supernatural",29 min. per ep.,PG-13 - Teens 13 or older,32,School,,,
Big Wars: Kami Utsu Akaki Kouya ni,Big Wars,5.42,9903,11820,3,OVA,1,Finished Airing,"Sep 25, 1993",Tokuma Japan,Central Park Media,Magic Bus,Novel,"Action, Sci-Fi",1 hr. 11 min.,R+ - Mild Nudity,5,"Military, Space",,,
Chuumon no Ooi Ryouriten (1993),,5.42,11878,11821,1,Movie,1,Finished Airing,"Aug 3, 1993","None found, add some","None found, add some",Magic Bus,Book,"Fantasy, Horror, Supernatural",21 min.,G - All Ages,1,,,,
Dallos Special,,5.42,12353,11822,1,OVA,1,Finished Airing,"May 8, 1985","None found, add some","None found, add some",Pierrot,Original,Sci-Fi,1 hr. 29 min.,PG-13 - Teens 13 or older,0,Mecha,,,
Diabolik Lovers Recap,,5.42,4387,11823,25,TV Special,1,Finished Airing,"Oct 28, 2013","Frontier Works,       Idea Factory,       Showgate",Sentai Filmworks,"Production I.G,       Zexcs",Visual novel,"Drama, Supernatural",15 min.,PG-13 - Teens 13 or older,49,"Reverse Harem, Vampire",,,Josei
Doctor Chichibuyama,,5.42,14075,11824,876,TV,2,Finished Airing,"Apr 3, 1988 to Jul 31, 1988","Pony Canyon,       Fuji TV,       Ashi Productions","None found, add some",Production Reed,4-koma manga,"Comedy, Ecchi",29 min. per ep.,R+ - Mild Nudity,1,Parody,Spring 1988,Unknown,Seinen
DPR Special Movie,,5.42,12411,11825,1,Special,1,Finished Airing,"Oct 17, 2013","None found, add some","None found, add some",White Fox,Original,Slice of Life,6 min.,G - All Ages,1,Space,,,
Glasslip,,5.42,1425,11827,166,TV,13,Finished Airing,"Jul 3, 2014 to Sep 25, 2014","Sotsu,       Lantis,       Pony Canyon,       Showgate,       Infinite",Sentai Filmworks,P.A. Works,Original,"Romance, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,223,"Love Polygon, Visual Arts",Summer 2014,Thursdays at 22:30 (JST),
Jiaoao de Jiangjun,,5.42,15612,11828,568,Movie,1,Finished Airing,1956,Shanghai Animation Film Studio,"None found, add some","None found, add some",Original,Drama,24 min.,G - All Ages,0,,,,
Gekkan Mousou Kagaku,Delusional Monthly Magazine,5.42,6519,11826,9,TV,12,Finished Airing,"Jan 11, 2024 to Mar 28, 2024","Sotsu,       MediaNet,       Pony Canyon,       Crunchyroll,       BS Asahi","None found, add some",OLM,Original,"Comedy, Fantasy, Mystery",23 min. per ep.,PG-13 - Teens 13 or older,8,Workplace,Winter 2024,Thursdays at 23:30 (JST),
