Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Animation!,,5.70,14245,10831,832,Movie,13,Finished Airing,2006 to 2009,"None found, add some","None found, add some","None found, add some",Original,"Adventure, Avant Garde, Comedy, Fantasy, Mystery",Music,3 min. per ep.,G - All Ages,1,,,
Asako Get You!!,,5.70,9015,10832,4,OVA,2,Finished Airing,"Jan 26, 2013","None found, add some","None found, add some",SILVER LINK.,4-koma manga,"Comedy, Romance, Slice of Life",School,3 min. per ep.,PG-13 - Teens 13 or older,0,Seinen,,
Ahiru no Ko,The Ugly Duckling,5.70,14540,10830,761,Movie,1,Finished Airing,1932,"None found, add some","None found, add some","None found, add some",Book,,,14 min.,G - All Ages,0,Kids,,
"HoneyWorks 10th Anniversary ""LIP×LIP FILM×LIVE"" Mini Anime",How to Enjoy this World Mini Anime,5.71,15539,10829,579,ONA,3,Finished Airing,"Aug 28, 2020 to Nov 26, 2020","None found, add some","None found, add some","None found, add some",Music,,"Idols (Male), Music",2 min. per ep.,PG-13 - Teens 13 or older,0,,,
Backkom Mission Impossible,,5.70,16011,10833,519,ONA,2,Finished Airing,2008,"None found, add some","None found, add some",RG Animation Studios,Original,Comedy,Parody,39 sec. per ep.,G - All Ages,0,Kids,,
Baraou no Souretsu Recap,,5.70,10934,10834,2,TV Special,1,Finished Airing,"Apr 3, 2022","None found, add some","None found, add some",J.C.Staff,Manga,"Action, Drama, Supernatural",Historical,23 min.,PG-13 - Teens 13 or older,6,Shoujo,,
Bernard-jou Iwaku.: Ofuro Dokusho,,5.70,11788,10835,1,Special,1,Finished Airing,"Jan 20, 2017","None found, add some","None found, add some",Creators in Pack,Manga,Comedy,,3 min.,PG-13 - Teens 13 or older,0,,,
Blue Reflection Ray!,,5.70,12581,10836,1,ONA,24,Finished Airing,"Apr 14, 2021 to Sep 29, 2021",Magic Capsule,"None found, add some",AQUA ARIS,Game,Comedy,,48 sec. per ep.,PG-13 - Teens 13 or older,1,,,
Boyfriend,,5.70,12898,10837,1,Special,1,Finished Airing,"Feb 11, 1992",Toshiba EMI,"None found, add some",Magic Bus,Manga,"Romance, Sports",,1 hr. 54 min.,PG-13 - Teens 13 or older,1,Shoujo,,
Chizu no Nai Bouken,Adventure Without a Map,5.70,15903,10838,533,ONA,1,Finished Airing,"May 19, 2017",Imagine,"None found, add some","None found, add some",Original,Slice of Life,,5 min.,G - All Ages,0,,,
Diabolik Lovers OVA,,5.70,3550,10839,40,OVA,1,Finished Airing,"Feb 26, 2015",Frontier Works,"None found, add some",Zexcs,Visual novel,"Drama, Supernatural","Reverse Harem, School, Vampire",11 min.,PG-13 - Teens 13 or older,94,Josei,,
Dibetagurashi: Ahiru no Seikatsu,,5.70,13495,10840,1,TV,39,Finished Airing,"Apr 7, 2013 to Mar 30, 2014","None found, add some","None found, add some","None found, add some",Web manga,"Comedy, Slice of Life",,3 min. per ep.,G - All Ages,1,,Spring 2013,Unknown
Digimon Adventure 3D: Digimon Grand Prix!,,5.70,6849,10841,8,Movie,1,Finished Airing,"Jul 20, 2000","None found, add some","None found, add some",Toei Animation,Original,"Adventure, Comedy, Fantasy, Sports","Parody, Racing",7 min.,PG - Children,5,Kids,,
Ensemble Girls!!,,5.70,14290,10842,823,ONA,1,Finished Airing,"Jun 19, 2016","None found, add some","None found, add some",Happy Elements,Game,,"Idols (Female), Music",1 min.,G - All Ages,0,,,
Hello Kitty no Happy! Kasou Taikai,,5.70,16191,10843,500,OVA,1,Finished Airing,"Aug 21, 1993",Sanrio,"None found, add some","None found, add some",Unknown,,,30 min.,G - All Ages,0,Kids,,
Hello Kitty no Papa Nante Daikirai,,5.70,15930,10844,531,OVA,1,Finished Airing,"Mar 21, 1994",Sanrio,"None found, add some","None found, add some",Unknown,Slice of Life,,20 min.,G - All Ages,1,Kids,,
