Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Themes,Demographics,Duration,Rating,Favorites,Genres
Deimos no Hanayome: Ran no Kumikyoku,Bride of Deimos,5.67,7577,10978,6,OVA,1,Finished Airing,"Aug 31, 1988",,,"Toei Video,       Akita Shoten","None found, add some",Madhouse,Manga,"Mythology, Psychological",Shoujo,32 min.,R - 17+ (violence & profanity),19,"Drama, Fantasy, Horror, Mystery, Supernatural"
Engimon,,5.67,14659,10979,735,Movie,1,Finished Airing,"Mar 10, 2018",,,Half H.P Studio,"None found, add some","Usagi Ou,       Studio Nanahoshi",Original,,,24 min.,G - All Ages,1,
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 2nd Season,,5.67,12939,10980,1,ONA,3,Finished Airing,"Nov 3, 2021 to Nov 17, 2021",,,"None found, add some","None found, add some",AQUA ARIS,Web manga,Isekai,,2 min. per ep.,PG-13 - Teens 13 or older,0,"Boys Love, Fantasy"
Fuuun Ishin Dai☆Shogun,Dai-Shogun: Great Revolution,5.67,4255,10981,27,TV,12,Finished Airing,"Apr 10, 2014 to Jun 26, 2014",Spring 2014,Unknown,"None found, add some",Sentai Filmworks,"J.C.Staff,       A.C.G.T.",Original,"Historical, Mecha",,24 min. per ep.,R - 17+ (violence & profanity),31,Action
Gall Force: New Era,,5.67,10213,10982,2,OVA,2,Finished Airing,"Dec 1, 1991 to Jan 26, 1992",,,Artmic,Central Park Media,AIC,Original,"Mecha, Military, Space",,45 min. per ep.,R+ - Mild Nudity,0,"Action, Sci-Fi"
Goulart Knights: Evoked the Beginning Black,,5.67,6039,10983,11,OVA,1,Finished Airing,"Dec 25, 2010",,,Lantis,"None found, add some",Studio Blanc.,Original,,,22 min.,PG-13 - Teens 13 or older,18,"Action, Drama, Fantasy"
Hadashi Neko,,5.67,17253,10984,404,TV Special,1,Finished Airing,2011,,,Kobe Design University,"None found, add some","None found, add some",Original,,,2 min.,G - All Ages,0,"Adventure, Comedy"
Hello Kitty no Kaguya-hime,,5.67,13604,10985,1,OVA,1,Finished Airing,"Sep 21, 1993",,,Sanrio,"None found, add some","None found, add some",Unknown,,Kids,28 min.,G - All Ages,1,Fantasy
Hello Kitty no Kaguya-hime (2001),Hello Kitty in the Bamboo Princess,5.67,16009,10986,521,OVA,1,Finished Airing,"Aug 24, 2001",,,Sanrio,ADV Films,Sanrio Digital,Unknown,,Kids,15 min.,G - All Ages,0,Fantasy
Hyoutan Suzume,,5.67,14645,10987,738,Movie,1,Finished Airing,"Feb 10, 1959",,,"TOHO,       Otogi Production","None found, add some","None found, add some",Original,,,54 min.,G - All Ages,0,Fantasy
Isekai Shoukan wa Nidome desu,Summoned to Another World for a Second Time,5.67,1549,10989,150,TV,12,Finished Airing,"Apr 9, 2023 to Jun 25, 2023",Spring 2023,Sundays at 02:00 (JST),"Futabasha,       BS11,       ABC Animation,       Jinnan Studio,       Bushiroad Move,       Crest","None found, add some",Studio Elle,Light novel,"Harem, Isekai",,23 min. per ep.,PG-13 - Teens 13 or older,761,"Adventure, Comedy, Fantasy, Romance"
Idol Project,,5.67,10152,10988,2,OVA,4,Finished Airing,"Sep 22, 1995 to Oct 24, 1997",,,KSS,Media Blasters,Studio OX,Visual novel,"Idols (Female), Music",,30 min. per ep.,PG-13 - Teens 13 or older,3,"Adventure, Comedy, Sci-Fi, Ecchi"
Joleobban,The Senior Class,5.67,11618,10990,1,Movie,1,Finished Airing,"Dec 29, 2016",,,"None found, add some","None found, add some",Studio Dadashow,Unknown,"Adult Cast, Visual Arts",,1 hr. 21 min.,R+ - Mild Nudity,3,"Drama, Romance"
Kaibutsu Gakushou,Notes on Monstropedia,5.67,15711,10991,554,Movie,1,Finished Airing,Nov 2016,,,"None found, add some","None found, add some","Yamamura Animation, Inc.",Original,,,6 min.,G - All Ages,0,Avant Garde
Kasa Jizou,,5.67,18427,10993,317,Movie,1,Finished Airing,1960,,,Gakken,"None found, add some","None found, add some",Other,Historical,,9 min.,G - All Ages,0,Fantasy
Karasu Tengu Kabuto: Ougon no Me no Kemono,,5.67,11535,10992,1,OVA,1,Finished Airing,"Jul 24, 1992",,,"KSS,       NHK","None found, add some","None found, add some",Unknown,Historical,,45 min.,R+ - Mild Nudity,1,"Action, Adventure, Drama"
Kikansha Yaemon: D51 no Daibouken,,5.67,16166,10994,501,Movie,1,Finished Airing,"Mar 16, 1974",,,"None found, add some","None found, add some",Toei Animation,Picture book,,Kids,1 hr. 2 min.,None,2,Fantasy
Kikou Sennyo Rouran,Strange Steel Fairy Rouran,5.67,10443,10995,2,TV,28,Finished Airing,"Nov 15, 2002 to May 30, 2003",Fall 2002,Unknown,Starchild Records,"None found, add some",Zexcs,Original,Mecha,,12 min. per ep.,PG-13 - Teens 13 or older,2,"Action, Fantasy"
Kimi ga Nozomu Eien: Ayu Mayu Gekijou Prologue,,5.67,17755,10996,367,OVA,1,Finished Airing,"Aug 11, 2006",,,"None found, add some","None found, add some",Picture Magic,Visual novel,,,3 min.,PG-13 - Teens 13 or older,0,Comedy
Kumo to Tulip,The Spider and the Tulip,5.67,10719,10997,2,Movie,1,Finished Airing,"Apr 15, 1943",,,Shochiku,Funimation,Shochiku Animation Institute,Picture book,,,14 min.,G - All Ages,2,Adventure
Lemon Angel (1988/II),,5.67,11360,10998,2,TV,8,Finished Airing,"Jul 7, 1988 to Sep 1, 1988",Summer 1988,Unknown,Pony Canyon,"None found, add some",AIC,Unknown,,,3 min. per ep.,R+ - Mild Nudity,0,Ecchi
Meisou! Underworld,,5.67,10778,10999,2,ONA,1,Finished Airing,"Apr 15, 2014",,,"None found, add some","None found, add some",Pierrot,Manga,,,2 min.,R - 17+ (violence & profanity),0,"Action, Supernatural, Suspense"
Metamon to! Oyasumi Mokurou,Pokémon Kids TV: Good Night Rowlet,5.67,14688,11000,726,ONA,1,Finished Airing,"Jan 14, 2022",,,"None found, add some","None found, add some","None found, add some",Game,,Kids,2 min.,PG - Children,0,Comedy
Momon's Sand Witch,,5.67,16464,11001,472,ONA,8,Finished Airing,"Apr 1, 2014 to Sep 2, 2014",,,"None found, add some","None found, add some","None found, add some",Original,,Kids,2 min. per ep.,G - All Ages,0,Comedy
Monoshiri Daigaku: Ashita no Calendar,,5.67,14310,11002,818,TV,1274,Finished Airing,"Jul 1, 1966 to Aug 2, 1970",Summer 1966,Not scheduled once per week,"Mainichi Broadcasting System,       Otogi Production","None found, add some","None found, add some",Original,Historical,,5 min. per ep.,G - All Ages,0,
Moom: Hajimari no Monogatari,Moom: The Story of the Beginning,5.67,18384,11003,320,Special,1,Finished Airing,"Jan 18, 2017",,,"None found, add some","None found, add some","None found, add some",Picture book,,Kids,3 min.,G - All Ages,0,
Mr. Shape,,5.67,19410,11004,260,Special,4,Finished Airing,"2009 to Dec 11, 2017",,,KOO-KI,"None found, add some","None found, add some",Original,,Kids,3 min. per ep.,G - All Ages,0,Comedy
Nessa no Haou Gandalla,Gandalla: The King of Burning Desert,5.67,11314,11005,2,TV,26,Finished Airing,"Apr 11, 1998 to Oct 17, 1998",Spring 1998,Unknown,Big West,"None found, add some",Ashi Productions,Original,Music,,22 min. per ep.,PG-13 - Teens 13 or older,4,"Adventure, Drama, Fantasy, Horror, Sci-Fi, Supernatural"
Okashi na Sabaku no Suna to Manu,,5.67,11943,11006,1,TV,50,Finished Airing,"Feb 14, 2021 to Feb 2, 2022",Winter 2021,Sundays at 03:20 (JST),CHANCE iN,"None found, add some",Kachidoki Studio,Manga,,,1 min. per ep.,PG - Children,6,Comedy
Peeping Life 5.0ch,,5.67,14889,11007,680,OVA,10,Finished Airing,"Feb 3, 2012",,,CoMix Wave Films,"None found, add some","None found, add some",Original,,,5 min. per ep.,G - All Ages,0,"Comedy, Slice of Life"
Peeping Life TV: Season 1??,,5.67,10451,11008,2,TV,12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",Fall 2015,Sundays at 02:55 (JST),"None found, add some","None found, add some","Tatsunoko Production,       CoMix Wave Films,       FOREST Hunting One",Original,,,23 min. per ep.,G - All Ages,6,"Comedy, Slice of Life"
Porong Porong Pororo 3,Pororo the Little Penguin 3,5.67,15832,11009,541,TV,52,Finished Airing,"May 4, 2009 to Oct 27, 2009",Spring 2009,Unknown,"None found, add some","None found, add some","None found, add some",Unknown,,Kids,5 min. per ep.,G - All Ages,0,Sci-Fi
Pororo Hanguk-e Wass-eoyo,Pororo Goes to Korea,5.67,17348,11010,398,ONA,1,Finished Airing,"Mar 7, 2013",,,"None found, add some","None found, add some","None found, add some",Original,,Kids,14 min.,G - All Ages,0,Adventure
Sagashimono (ONA),Something Lost,5.67,16955,11011,427,ONA,1,Finished Airing,"Dec 10, 2019",,,"None found, add some","None found, add some",Orange,Original,Music,,2 min.,G - All Ages,0,Fantasy
Shoko Nakagawa Prism Tour Special,,5.67,15078,11012,648,Special,1,Finished Airing,Apr 2010,,,"None found, add some","None found, add some",Sunrise,Original,Music,,2 min.,G - All Ages,0,
Shuten Douji,Shuten Doji - The Star Hand Kid,5.67,9183,11013,4,OVA,4,Finished Airing,"Dec 21, 1989 to Dec 21, 1991",,,Dynamic Planning,ADV Films,Studio Signal,Manga,"Historical, Mythology, Space",Shounen,50 min. per ep.,R+ - Mild Nudity,3,"Horror, Sci-Fi, Supernatural"
Sora to Umi no Aida,Between the Sky and Sea,5.67,4743,11014,21,TV,12,Finished Airing,"Oct 4, 2018 to Dec 20, 2018",Fall 2018,Thursdays at 00:00 (JST),Half H.P Studio,Sentai Filmworks,TMS Entertainment,Game,Space,,23 min. per ep.,PG-13 - Teens 13 or older,20,"Adventure, Fantasy, Sci-Fi"
Souten no Ken: Regenesis,Fist of the Blue Sky: Regenesis,5.67,6118,11015,11,TV,12,Finished Airing,"Apr 10, 2018 to Jun 26, 2018",Spring 2018,Tuesdays at 00:30 (JST),Souten no Ken,Ponycan USA,Polygon Pictures,Manga,"Historical, Martial Arts",Seinen,22 min. per ep.,R - 17+ (violence & profanity),18,Action
Such a Good Place to Die,,5.67,15075,11016,649,Movie,1,Finished Airing,"Mar 29, 2015",,,"None found, add some","None found, add some","None found, add some",Original,,,3 min.,PG-13 - Teens 13 or older,0,Avant Garde
Suzy's Zoo: Daisuki! Witzy - Happy Birthday,,5.67,16733,11017,446,Special,1,Finished Airing,"Dec 2, 2011",,,TBS,"None found, add some",Digital Media Lab,Original,,Kids,2 min.,G - All Ages,1,
The Collected Animations of ICAF (2001-2006),,5.67,16279,11018,489,OVA,16,Finished Airing,2006,,,"None found, add some","None found, add some","None found, add some",Unknown,,,5 min. per ep.,PG-13 - Teens 13 or older,1,"Fantasy, Mystery"
Tokyo Gambo,,5.67,9318,11019,3,TV,5,Finished Airing,"Nov 22, 2020 to Dec 20, 2020",Fall 2020,Sundays at 03:20 (JST),MMDGP,"None found, add some",Jumonji,Original,,,2 min. per ep.,G - All Ages,3,Slice of Life
