Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Themes,Demographics,Duration,Rating,Favorites,Genres
Geisters: Fractions of the Earth,,5.66,11642,11044,1,TV,26,Finished Airing,"Oct 6, 2001 to Mar 30, 2002",Fall 2001,Unknown,TV Osaka,"None found, add some",Plum,Original,Military,,24 min. per ep.,PG-13 - Teens 13 or older,1,"Action, Sci-Fi"
Gekidan Nanatsu no Taizai,The Seven Deadly Sins Theater,5.66,7593,11045,6,ONA,13,Finished Airing,"Dec 24, 2020 to Jan 5, 2021",,,"None found, add some","None found, add some",Studio Deen,Original,,,2 min. per ep.,PG-13 - Teens 13 or older,12,"Comedy, Fantasy, Supernatural"
Hana (2006),Flowers,5.66,18244,11046,329,Movie,1,Finished Airing,2006,,,"None found, add some","None found, add some","None found, add some",Original,Music,,6 min.,PG - Children,0,"Avant Garde, Drama"
Higashi Asia Bunka Toshi 2019 Toshima,Culture City of East Asia 2019 Toshima,5.66,15190,11047,631,ONA,1,Finished Airing,"Nov 6, 2018",,,"None found, add some","None found, add some","None found, add some",Original,,,1 min.,G - All Ages,1,Slice of Life
Hikari: Kariya wo Tsunagu Monogatari,,5.66,14044,11048,880,Special,1,Finished Airing,"Mar 25, 2016",,,"None found, add some","None found, add some",Zexcs,Original,,,9 min.,PG - Children,0,Sports
Himote House,HIMOTE HOUSE: A share house of super psychic girls,5.66,5092,11049,18,TV,12,Finished Airing,"Oct 8, 2018 to Dec 24, 2018",Fall 2018,Mondays at 00:45 (JST),"Sony Pictures Entertainment,       Chugai Mining,       Hakuhodo,       GYAO!,       THINKR,       Moonbell,       LinkedBrain","None found, add some",Bouncy,Original,Super Power,,12 min. per ep.,PG-13 - Teens 13 or older,21,Comedy
Hipira-kun ONA,,5.66,13343,11050,1,ONA,2,Finished Airing,"Apr 7, 2010",,,"None found, add some","None found, add some",Sunrise,Picture book,Vampire,Kids,5 min. per ep.,PG - Children,1,"Comedy, Fantasy, Supernatural"
Joukyou Monogatari,Tyo Story,5.66,16886,11051,433,Movie,1,Finished Airing,1999,,,"None found, add some","None found, add some",Takun Manga Box,Unknown,,,13 min.,G - All Ages,0,Slice of Life
Kerokero Keroppi no Daibouken,Keroppi in the Big Adventure,5.66,16584,11052,459,OVA,1,Finished Airing,"Sep 27, 1989",,,Sanrio,"None found, add some","None found, add some",Other,,Kids,10 min.,G - All Ages,0,"Adventure, Fantasy"
Kimi to Fit Boxing,,5.66,12859,11053,1,TV,12,Finished Airing,"Oct 1, 2021 to Dec 17, 2021",Fall 2021,Fridays at 21:54 (JST),"None found, add some","None found, add some","Imagineer,       Story Effect",Game,,,3 min. per ep.,PG-13 - Teens 13 or older,7,Sports
Kyomu Senshi Miroku,,5.66,11805,11054,1,OVA,6,Finished Airing,"Jan 10, 1989 to Nov 5, 1989",,,"J.C.Staff,       animate Film","None found, add some","None found, add some",Manga,"Historical, Mythology, Samurai",,25 min. per ep.,R+ - Mild Nudity,3,"Action, Fantasy, Sci-Fi, Supernatural"
Mahjong Hishouden: Naki no Ryuu,,5.66,12069,11055,1,OVA,3,Finished Airing,"May 25, 1988 to Jul 27, 1990",,,Bandai,"None found, add some","Gainax,       Magic Bus",Manga,"Organized Crime, Strategy Game",Seinen,44 min. per ep.,PG-13 - Teens 13 or older,0,"Action, Drama"
Mahou no Tenshi Creamy Mami: Perfect Memory,,5.66,14417,11056,790,OVA,1,Finished Airing,"Mar 28, 1987",,,"None found, add some","None found, add some",Pierrot,Original,Parody,,1 min.,G - All Ages,0,Slice of Life
Majuu Sensen,,5.66,11311,11057,2,OVA,3,Finished Airing,"Oct 1, 1990",,,"animate Film,       Dynamic Planning","None found, add some","None found, add some",Manga,,,47 min. per ep.,R+ - Mild Nudity,0,"Action, Sci-Fi"
Mr. Deniroo in Henteko Mushi,,5.66,18638,11058,304,Special,1,Finished Airing,2006,,,KOO-KI,"None found, add some","None found, add some",Original,,Kids,8 min.,G - All Ages,1,"Comedy, Slice of Life"
