,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
45,Boku wa Imouto ni Koi wo Suru,,6.19,3398,8509,43,OVA,1,Finished Airing,"May 18, 2005","Shogakukan-Shueisha Productions,       ZOOM ENTERPRISE","None found, add some",Vega Entertainment,Manga,Romance,49 min.,R+ - Mild Nudity,99,,,,Shoujo
46,Bokura no Yoake,,6.19,7866,8510,6,Movie,1,Finished Airing,"Oct 21, 2022","GAGA,       Avex Pictures,       Sonilude","None found, add some",Zero-G,Manga,"Drama, Sci-Fi",2 hr.,PG-13 - Teens 13 or older,14,,,,Seinen
47,Dr. Slump Movie 06: Arale-chan N-cha! Penguin Mura wa Hare Nochi Hare,Dr. Slump and Arale-chan: N-cha! Clear Skies Over Penguin Village,6.19,11690,8512,1,Movie,1,Finished Airing,"Jun 3, 1993","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Sci-Fi",42 min.,PG-13 - Teens 13 or older,1,,,Gag Humor,Shounen
48,eX-Driver the Movie Specials,,6.19,12717,8514,1,Special,3,Finished Airing,"Oct 25, 2002","Bandai Visual,       Genco",Geneon Entertainment USA,"None found, add some",Original,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,1,,,,
49,Eldraine no Mori: Twin Fates,,6.19,14852,8513,687,ONA,1,Finished Airing,"Sep 6, 2023","Pierrot,       Maxilla","None found, add some",Qzil.la,Card game,"Action, Fantasy",3 min.,PG-13 - Teens 13 or older,0,,,Music,
50,Chuu Bra!!,Chu-Bra!!,6.19,3186,8511,48,TV,12,Finished Airing,"Jan 4, 2010 to Mar 22, 2010","Starchild Records,       GANSIS","None found, add some",Zexcs,Manga,"Comedy, Ecchi",23 min. per ep.,R+ - Mild Nudity,49,Winter 2010,Mondays at 23:30 (JST),School,Seinen
51,FLCL: Shoegaze,,6.19,5006,8515,19,TV,3,Finished Airing,"Oct 1, 2023 to Oct 15, 2023","None found, add some","None found, add some","Production I.G,       Nut,       Akatsuki",Original,"Action, Avant Garde, Comedy, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,49,Fall 2023,Unknown,"Mecha, Parody",
52,Ginga Ojousama Densetsu Yuna: Shinen no Fairy,Galaxy Fraulein Yuna Returns,6.19,9603,8516,3,OVA,3,Finished Airing,"Dec 21, 1996 to May 21, 1997","Starchild Records,       animate Film,       Movic",ADV Films,J.C.Staff,Visual novel,"Action, Adventure, Comedy, Sci-Fi",31 min. per ep.,PG-13 - Teens 13 or older,5,,,"Mahou Shoujo, Mecha",
53,Go! Go! Ackman,,6.19,10259,8517,2,OVA,1,Finished Airing,"Jul 28, 1994",Shueisha,"None found, add some",Toei Animation,Manga,"Action, Comedy, Supernatural",15 min.,PG-13 - Teens 13 or older,3,,,Mythology,
54,Green Green Character DVD,,6.19,6229,8518,10,OVA,3,Finished Airing,"Nov 19, 2003 to Jan 21, 2004","None found, add some","None found, add some",Studio Matrix,Visual novel,"Comedy, Romance, Slice of Life, Ecchi",9 min. per ep.,R+ - Mild Nudity,7,,,,
55,Hidan no Aria AA,Aria the Scarlet Ammo AA,6.19,2054,8519,102,TV,12,Finished Airing,"Oct 6, 2015 to Dec 22, 2015","AT-X,       flying DOG,       Kadokawa,       Fujishouji",Funimation,Doga Kobo,Manga,"Action, Comedy",23 min. per ep.,PG-13 - Teens 13 or older,129,Fall 2015,Tuesdays at 23:00 (JST),School,Seinen
56,21 Emon,,6.18,12375,8521,1,TV,39,Finished Airing,"May 2, 1991 to Mar 26, 1992","None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Comedy, Sci-Fi",25 min. per ep.,G - All Ages,1,Spring 1991,Unknown,Space,
