,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
111,Youxia Zhanji,,6.18,14786,8574,701,ONA,20,Finished Airing,"Jul 27, 2021 to Nov 23, 2021",Tencent Penguin Pictures,"None found, add some",Tong Ming Xuan,Novel,"Action, Adventure, Fantasy",18 min. per ep.,PG-13 - Teens 13 or older,4,,,,
112,Tales of Luminaria: The Fateful Crossroad,Tales of Luminaria the Fateful Crossroad,6.17,8201,8576,5,ONA,2,Finished Airing,"Jan 21, 2022","None found, add some","None found, add some","Anima,       Kamikaze Douga",Game,Fantasy,27 min. per ep.,PG-13 - Teens 13 or older,11,,,,
113,To Heart Omake,,6.17,9582,8577,3,Special,6,Finished Airing,"Jul 9, 1999 to Dec 17, 1999",KSS,Nozomi Entertainment,OLM,Visual novel,Comedy,4 min. per ep.,PG-13 - Teens 13 or older,0,,,"Harem, School",
114,TO-Y,,6.17,8827,8578,4,OVA,1,Finished Airing,"Oct 1, 1987","Sony Music Entertainment,       CBS","None found, add some",Gallop,Manga,Drama,53 min.,R+ - Mild Nudity,14,,,Music,Shounen
115,Tono to Issho: Ippunkan Gekijou,,6.17,9630,8579,3,TV,12,Finished Airing,"Jul 6, 2010 to Sep 21, 2010",Frontier Works,"None found, add some",Gathering,4-koma manga,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,0,Summer 2010,Unknown,Samurai,Seinen
116,Totsugeki! Pappara-tai,Charge! Pappara Team,6.17,12845,8580,1,TV,25,Finished Airing,"Oct 3, 1998 to Mar 27, 1999","MediaNet,       TV Aichi","None found, add some",Magic Bus,Manga,"Action, Adventure, Comedy, Romance, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,1,Fall 1998,Unknown,,
117,Tsuru ga Mau Yoru ni,,6.17,18261,8581,328,ONA,1,Finished Airing,"Mar 31, 2023","None found, add some","None found, add some","pH Studio,       Noovo",Original,Fantasy,10 min.,G - All Ages,0,,,,
118,Umi ni Ochita Tsuki no Hanashi,The Moon That Fell into the Sea,6.17,13933,8583,910,Movie,1,Finished Airing,2013,"None found, add some","None found, add some","None found, add some",Unknown,Award Winning,18 min.,G - All Ages,0,,,,Kids
119,Ultra B,,6.17,11372,8582,2,TV,119,Finished Airing,"Apr 5, 1987 to Mar 27, 1989","None found, add some","None found, add some",Shin-Ei Animation,Manga,Comedy,10 min. per ep.,G - All Ages,8,Spring 1987,Unknown,Super Power,
120,Wizard Barristers: Benmashi Cecil,Wizard Barristers,6.17,2889,8584,58,TV,12,Finished Airing,"Jan 13, 2014 to Mar 31, 2014","Pony Canyon,       Showgate",Sentai Filmworks,Arms,Original,"Action, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,66,Winter 2014,Mondays at 01:30 (JST),Mecha,
121,Xi Avant,,6.17,9712,8585,3,Movie,1,Finished Airing,"Mar 26, 2011","None found, add some","None found, add some",Production I.G,Unknown,"Adventure, Sci-Fi",3 min.,PG-13 - Teens 13 or older,0,,,,
122,Xun Jian,Sword Quest,6.17,13960,8586,906,ONA,12,Finished Airing,"Apr 26, 2022 to Jul 5, 2022",Youku,"None found, add some",Xing Yi Kai Chen,Web novel,"Action, Adventure, Fantasy",13 min. per ep.,PG-13 - Teens 13 or older,8,,,Martial Arts,
123,Yu☆Gi☆Oh! Sevens,Yu-Gi-Oh! Sevens,6.17,5093,8587,18,TV,92,Finished Airing,"Apr 4, 2020 to Mar 27, 2022","TV Tokyo,       Konami Cross Media NY","None found, add some",Bridge,Card game,"Action, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,85,Spring 2020,Saturdays at 07:30 (JST),Strategy Game,Shounen
124,Akadou Suzunosuke,,6.17,12939,8588,1,TV,52,Finished Airing,"Apr 5, 1972 to Mar 28, 1973",Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,Adventure,24 min. per ep.,PG-13 - Teens 13 or older,1,Spring 1972,Wednesdays at 19:00 (JST),Historical,
125,An Jie Shen Shi,Divine Envoy of the Dark World,6.17,14164,8589,855,ONA,22,Finished Airing,"Dec 25, 2020 to May 21, 2021","None found, add some","None found, add some",Hai An Xian Donghua Gongzuo Shi,Novel,"Action, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,3,,,,
126,Bing Zhu Qi Hun,The Soul of Soldier Master,6.17,14165,8590,856,ONA,12,Finished Airing,"Jan 4, 2022 to Mar 15, 2022","None found, add some",bilibili,HuaDream,Original,"Action, Adventure, Fantasy",20 min. per ep.,PG-13 - Teens 13 or older,3,,,Mythology,
127,Captain Tsubasa (2018) Special,,6.17,13482,8591,1,Special,1,Finished Airing,"Nov 3, 2019","None found, add some","None found, add some","None found, add some",Manga,Sports,3 min.,PG-13 - Teens 13 or older,0,,,Team Sports,
128,Catman Series II,,6.17,12275,8592,1,ONA,8,Finished Airing,2002,Fuji TV,"None found, add some","None found, add some",Original,"Comedy, Fantasy, Slice of Life",4 min. per ep.,PG-13 - Teens 13 or older,1,,,Anthropomorphic,
129,Chocolate Underground: Bokura no Chocolate Sensou,,6.17,11108,8593,2,Movie,1,Finished Airing,"Jan 31, 2009","Hexagon Pictures,       SME Records,       Muse International,       Watermark,       OCC,       Celsys,       Graduate School of Film Producing","None found, add some","Production I.G,       Trans Arts",Novel,"Adventure, Comedy",1 hr. 27 min.,PG - Children,1,,,,Kids
130,Closers: Side Blacklambs,,6.17,4993,8594,19,ONA,6,Finished Airing,"Dec 23, 2016 to Jan 11, 2019","None found, add some","None found, add some",Studio Animal,Game,Fantasy,16 min. per ep.,PG-13 - Teens 13 or older,68,,,Strategy Game,
131,Dream Hunter Rem,,6.17,6597,8595,9,OVA,4,Finished Airing,"Dec 15, 1985 to Feb 25, 1987",Project Team Eikyuu Kikan,"None found, add some",Anime R,Original,"Action, Fantasy, Mystery, Ecchi",40 min. per ep.,R - 17+ (violence & profanity),22,,,"Mahou Shoujo, Mythology",
132,Duel Masters Charge,,6.17,8068,8596,5,TV,52,Finished Airing,"Apr 19, 2004 to Mar 27, 2006",Shogakukan-Shueisha Productions,"None found, add some",Studio Hibari,Original,"Action, Adventure, Comedy",21 min. per ep.,PG-13 - Teens 13 or older,3,Spring 2004,Unknown,,Kids
133,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu,Ebiten,6.17,4286,8597,27,ONA,10,Finished Airing,"Jul 14, 2012 to Sep 15, 2012","AIC,       Kadokawa Shoten,       AMG MUSIC",Sentai Filmworks,AIC Classic,Manga,"Comedy, Ecchi",24 min. per ep.,R+ - Mild Nudity,26,,,"Parody, School",Shounen
134,Eevee to Colorful Friends,Eevee and Colorful Friends,6.17,10014,8598,3,ONA,1,Finished Airing,"May 8, 2017",Nintendo,"None found, add some","None found, add some",Game,Slice of Life,1 min.,G - All Ages,6,,,,
135,Eightman After,8 Man After,6.17,8467,8599,5,OVA,4,Finished Airing,"Aug 21, 1993 to Nov 22, 1993","None found, add some",Discotek Media,"J.C.Staff,       Sanctuary",Manga,"Action, Drama, Sci-Fi",28 min. per ep.,R - 17+ (violence & profanity),7,,,,
136,Gamba to Kawauso no Bouken,,6.17,15693,8600,556,Movie,1,Finished Airing,"Jul 20, 1991",Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,Adventure,1 hr. 15 min.,PG - Children,0,,,Anthropomorphic,Kids
137,Li Shi Zhentan Shiwusuo: A Day in Lungmen - Liang Xiaoshi Jiaqi,Lee's Detective Agency: A Holiday of Two Hours,6.15,13415,8701,1,ONA,1,Finished Airing,"Apr 22, 2023","None found, add some","None found, add some",Gravity Well,Game,"Comedy, Mystery",9 min.,PG-13 - Teens 13 or older,0,,,"Anthropomorphic, Detective",
138,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,,6.15,5403,8702,15,Movie,4,Finished Airing,"Oct 26, 2013","None found, add some","None found, add some",Shaft,Other,Comedy,2 min. per ep.,G - All Ages,30,,,,
139,Mini Toji: Yume,,6.15,11972,8703,1,Special,1,Finished Airing,"May 24, 2019","Square Enix,       Genco,       Mainichi Broadcasting System,       AT-X,       Studio Gokumi,       Glovision,       Crunchyroll,       Kadokawa,       My Theater D.D.","None found, add some",Project No.9,Original,"Action, Fantasy",4 min.,G - All Ages,2,,,CGDCT,
140,Neko Ramen,Neko Rahmen,6.15,9185,8704,4,ONA,13,Finished Airing,"Dec 29, 2006 to Mar 23, 2007","Think Corporation,       KENMedia","None found, add some","None found, add some",4-koma manga,"Comedy, Gourmet",2 min. per ep.,PG - Children,15,,,"Anthropomorphic, Gag Humor, Workplace",
