,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Demographics,Duration,Rating,Favorites,Genres,Themes,Premiered,Broadcast
114,Space☆Dandy Picture Drama,,6.12,8239,8897,5,Special,2,Finished Airing,"Jul 25, 2014 to Aug 27, 2014","Bandai Visual,       flying DOG","None found, add some",Bones,Original,,5 min. per ep.,PG-13 - Teens 13 or older,6,"Comedy, Sci-Fi","Adult Cast, Space",,
115,Tenrankai no E,Pictures at an Exhibition,6.12,10635,8900,2,Movie,1,Finished Airing,"Nov 11, 1966",Mushi Production,"None found, add some","None found, add some",Original,,32 min.,PG-13 - Teens 13 or older,4,"Award Winning, Comedy",,,
116,Tatakae!! Iczer-1,Fight!! Iczer-1,6.12,6383,8899,10,OVA,3,Finished Airing,"Oct 19, 1985 to Mar 4, 1987",Toshiba EMI,Media Blasters,AIC,Manga,,33 min. per ep.,R+ - Mild Nudity,39,"Action, Sci-Fi, Ecchi",Mecha,,
117,Anne no Nikki: Anne Frank Monogatari,,6.14,13103,8752,1,TV Special,1,Finished Airing,"Sep 28, 1979","None found, add some","None found, add some",Nippon Animation,Book,,1 hr. 22 min.,G - All Ages,2,Drama,Historical,,
118,Animation Kikou: Marco Polo no Bouken,Marco Polo's Adventures,6.14,12605,8751,1,TV,43,Finished Airing,"Apr 7, 1979 to Apr 5, 1980",NHK,"None found, add some",Madhouse,Original,,20 min. per ep.,G - All Ages,4,Adventure,Historical,Spring 1979,Unknown
119,Arifureta Shokugyou de Sekai Saikyou Recap,Arifureta: Omnibus - The Great Orcus Labyrinth,6.14,3714,8754,36,TV Special,1,Finished Airing,"Aug 12, 2019","None found, add some","None found, add some","asread.,       White Fox",Light novel,,23 min.,PG-13 - Teens 13 or older,64,"Action, Adventure, Fantasy","Harem, Isekai",,
120,"Anpanman to Hajimeyou! Iro, Kazu, Katachi Wakaru ka na Iro, Katachi",,6.14,15507,8753,582,Special,1,Finished Airing,"Jul 26, 2006",VAP,"None found, add some",TMS Entertainment,Unknown,Kids,25 min.,PG - Children,0,,Educational,,
121,Bao Lian Deng,Lotus Lantern,6.14,14920,8756,676,Movie,1,Finished Airing,1999,Shanghai Animation Film Studio,"None found, add some","None found, add some",Other,,1 hr. 25 min.,G - All Ages,0,"Action, Adventure, Fantasy",,,
122,Baby☆Love,,6.14,7653,8755,6,OVA,1,Finished Airing,"Nov 1, 1997","Asatsu DK,       Shueisha","None found, add some",Studio Comet,Manga,,30 min.,PG-13 - Teens 13 or older,15,"Comedy, Romance",,,
123,Choujuu Kishin Dancougar: Juusenki-tai Songs,,6.14,15436,8758,593,OVA,1,Finished Airing,1986,Ashi Productions,"None found, add some","None found, add some",Unknown,,24 min.,PG-13 - Teens 13 or older,0,"Action, Sci-Fi",Mecha,,
124,Burn Up Scramble,,6.14,6389,8757,10,TV,12,Finished Airing,"Jan 12, 2004 to Mar 29, 2004","AIC,       Memory-Tech,       Toshiba Entertainment,       Geneon Entertainment",Geneon Entertainment USA,AIC Spirits,Original,,24 min. per ep.,R - 17+ (violence & profanity),5,"Action, Comedy, Drama, Mystery, Sci-Fi, Ecchi",Detective,Winter 2004,Unknown
