,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Demographics,Duration,Rating,Favorites,Genres,Themes,Premiered,Broadcast
55,Gall Force: Chikyuu Shou,Gall Force: Earth Chapter,6.15,9552,8688,3,OVA,3,Finished Airing,"Dec 25, 1989 to Dec 1, 1990",Artmic,Central Park Media,AIC,Original,,50 min. per ep.,R+ - Mild Nudity,2,"Action, Sci-Fi","Mecha, Military",,
56,Garakuta-doori no Stain: Epilogue,Mr. Stain on Junk Alley: Epilogue,6.15,15355,8690,606,OVA,1,Finished Airing,"Oct 11, 2003","None found, add some",Funimation,"None found, add some",Unknown,,31 min.,PG - Children,1,Comedy,,,
57,Groizer X,Gloizer X,6.15,12979,8691,1,TV,36,Finished Airing,"Jul 1, 1976 to Mar 31, 1977","TV Tokyo,       Dynamic Planning","None found, add some",Knack Productions,Unknown,,25 min. per ep.,G - All Ages,6,Sci-Fi,Mecha,Summer 1976,Thursdays at 19:30 (JST)
58,Gu-Gu Ganmo,,6.15,12054,8692,1,TV,50,Finished Airing,"Mar 18, 1984 to Mar 17, 1985","None found, add some","None found, add some",Toei Animation,Manga,Shounen,25 min. per ep.,G - All Ages,4,"Comedy, Slice of Life",School,Spring 1984,Sundays at 19:00 (JST)
59,Gunjou no Fanfare,Fanfare of Adolescence,6.15,4443,8693,25,TV,13,Finished Airing,"Apr 2, 2022 to Jun 25, 2022","Aniplex,       Half H.P Studio,       Tokyo MX,       BS11,       Koei Tecmo Games,       Hakuhodo,       Hochi Shimbun","None found, add some",Lay-duce,Original,,23 min. per ep.,PG-13 - Teens 13 or older,125,Sports,Racing,Spring 2022,Saturdays at 23:30 (JST)
60,Hakken Taiken Daisuki! Shimajirou,,6.15,15948,8694,528,TV,101,Finished Airing,"Apr 7, 2008 to Mar 29, 2010","None found, add some","None found, add some","Studio Kikan,       Pierrot Plus",Original,Kids,25 min. per ep.,G - All Ages,1,"Adventure, Comedy, Fantasy",,Spring 2008,Unknown
61,Ippon Bouchou Mantarou,,6.15,14388,8695,795,OVA,2,Finished Airing,"Jun 21, 1991 to Dec 21, 1991","Pony Canyon,       Movic","None found, add some","J.C.Staff,       animate Film",Manga,Seinen,46 min. per ep.,PG-13 - Teens 13 or older,2,Gourmet,,,
62,Jean Valjean Monogatari,,6.15,13049,8696,1,TV Special,1,Finished Airing,"Sep 15, 1979","None found, add some","None found, add some",Toei Animation,Novel,,1 hr. 9 min.,G - All Ages,0,Drama,,,
63,Kinnikuman: Seigi Choujin vs. Senshi Choujin,,6.15,12998,8697,1,Movie,1,Finished Airing,"Dec 20, 1986","None found, add some","None found, add some",Toei Animation,Manga,Shounen,50 min.,PG-13 - Teens 13 or older,1,"Comedy, Sports",Combat Sports,,
64,Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,,6.15,4714,8698,21,TV,13,Finished Airing,"Apr 4, 2007 to Jun 27, 2007","None found, add some","None found, add some",Artland,Visual novel,,24 min. per ep.,PG-13 - Teens 13 or older,21,Romance,"Harem, School",Spring 2007,Unknown
65,Kujiratori,The Whale Hunt,6.15,9116,8699,4,Movie,1,Finished Airing,"Oct 1, 2001","None found, add some","None found, add some",Studio Ghibli,Picture book,,16 min.,G - All Ages,1,"Adventure, Award Winning",,,
66,Kyuukyoku Choujin R,"The Ultimate Esper ""R""",6.15,11656,8700,1,OVA,1,Finished Airing,"Oct 24, 1991","Shogakukan-Shueisha Productions,       Bandai","None found, add some",Studio Coa,Manga,,1 hr. 13 min.,PG-13 - Teens 13 or older,3,"Comedy, Sci-Fi",,,
67,Itsuka Tenma no Kuro Usagi Picture Drama,A Dark Rabbit has Seven Lives Picture Drama,6.13,7377,8851,7,Special,6,Finished Airing,"Sep 30, 2011 to Feb 24, 2012","None found, add some","None found, add some",Zexcs,Light novel,,11 min. per ep.,R+ - Mild Nudity,2,"Comedy, Romance, Supernatural, Ecchi",Vampire,,
68,Jin Hou Xiang Yao,,6.13,16972,8852,425,Movie,1,Finished Airing,1985,"None found, add some","None found, add some",Shanghai Animation Film Studio,Unknown,,1 hr. 29 min.,PG - Children,0,Adventure,,,
