,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
0,Mari Iyagi,,6.27,9308,8099,3,Movie,1,Finished Airing,"Jan 18, 2002","None found, add some",ADV Films,"None found, add some",Unknown,"Drama, Fantasy, Slice of Life",1 hr. 18 min.,PG - Children,5,,,,
1,Ore dake Haireru Kakushi Dungeon,The Hidden Dungeon Only I Can Enter,6.29,603,8002,387,TV,12,Finished Airing,"Jan 9, 2021 to Mar 27, 2021","Mainichi Broadcasting System,       Kodansha,       Crunchyroll,       DMM pictures,       DMM Music","None found, add some",Okuruto Noboru,Light novel,"Action, Adventure, Fantasy, Ecchi",24 min. per ep.,PG-13 - Teens 13 or older,"1,760",Winter 2021,Saturdays at 02:25 (JST),Harem,
2,Nozomi Witches,,6.29,10846,8001,2,OVA,3,Finished Airing,"Aug 5, 1992 to Mar 10, 1993",Toshiba EMI,"None found, add some",Group TAC,Manga,"Romance, Sports",52 min. per ep.,PG-13 - Teens 13 or older,0,,,Combat Sports,
3,Monster Hunter Stories: Ride On,,6.27,5375,8100,15,TV,75,Finished Airing,"Oct 2, 2016 to Apr 1, 2018","Dentsu,       Fuji TV,       Capcom,       Fuji Creative",Funimation,David Production,Game,Fantasy,24 min. per ep.,PG-13 - Teens 13 or older,46,Fall 2016,Sundays at 08:30 (JST),,
4,Pa-Pa-Pa the ★ Movie: Perman,,6.29,14056,8004,879,Movie,1,Finished Airing,"Mar 8, 2003","TV Asahi,       Shogakukan-Shueisha Productions,       Asatsu DK","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy",31 min.,PG - Children,2,,,,
5,Oshin,,6.29,12603,8003,1,Movie,1,Finished Airing,"Mar 17, 1984",Sanrio,"None found, add some","None found, add some",Unknown,Drama,2 hr. 1 min.,G - All Ages,1,,,Historical,
6,Penguin Musume♥Heart Special,,6.29,9252,8005,3,Special,1,Finished Airing,"Aug 1, 2008","None found, add some","None found, add some",Picture Magic,Manga,"Comedy, Ecchi",10 min.,R+ - Mild Nudity,0,,,"Otaku Culture, School",
7,Pokemon Best Wishes! Hikari to Kage no Tenkyuugi,,6.29,13337,8006,1,Movie,1,Finished Airing,"Jul 16, 2011","None found, add some","None found, add some","None found, add some",Game,"Action, Adventure, Comedy, Fantasy",25 min.,PG - Children,0,,,,Kids
8,Pokemon Sun & Moon Planetarium,,6.29,13656,8007,991,Movie,1,Finished Airing,"Sep 10, 2017","None found, add some","None found, add some","None found, add some",Game,"Action, Adventure, Comedy, Fantasy",29 min.,PG - Children,0,,,,Kids
9,Pokemon: Pikachu no Fushigi na Fushigi na Daibouken,Pokémon: Pikachu's Big Mysterious Adventure,6.29,7656,8008,6,Special,1,Finished Airing,"Aug 1, 2010","None found, add some","None found, add some",OLM,Unknown,"Adventure, Comedy, Fantasy",21 min.,PG - Children,2,,,,Kids
