,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
10,Sangokushi II: Amakakeru Otoko-tachi,,6.25,14110,8196,868,TV Special,1,Finished Airing,"Aug 22, 1986","None found, add some","None found, add some",Shin-Ei Animation,Unknown,Action,Historical,1 hr. 30 min.,R - 17+ (violence & profanity),3,,,
11,Sekkou Boys,Sekko Boys,6.25,3031,8197,53,TV,12,Finished Airing,"Jan 8, 2016 to Mar 25, 2016","Kadokawa Pictures Japan,       Ultra Super Pictures","None found, add some",LIDENFILMS,Original,Comedy,"Anthropomorphic, Idols (Male), Music",7 min. per ep.,PG-13 - Teens 13 or older,81,,Winter 2016,Fridays at 23:09 (JST)
12,Tenshi Kinryouku,Angel Sanctuary,6.25,3144,8198,49,OVA,3,Finished Airing,"May 25, 2000 to Aug 25, 2000","Bandai Visual,       Lantis,       Audio Tanaka",Media Blasters,HAL Film Maker,Manga,"Action, Drama, Romance, Supernatural",Reincarnation,29 min. per ep.,R+ - Mild Nudity,194,Shoujo,,
13,Tooi Sekai,Other Worlds,6.25,5209,8199,17,ONA,1,Finished Airing,"Feb 1, 1999","None found, add some","None found, add some","None found, add some",Original,"Drama, Romance",,1 min.,PG-13 - Teens 13 or older,15,,,
14,"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori",Trickster,6.25,1878,8200,116,TV,24,Finished Airing,"Oct 4, 2016 to Mar 28, 2017","Bandai Visual,       Yomiuri Telecasting,       Lantis,       Asmik Ace,       JR East Marketing & Communications,       Sumitomo,       Akatsuki",Funimation,"TMS Entertainment,       Shin-Ei Animation",Original,"Drama, Mystery, Sci-Fi","Detective, Psychological",23 min. per ep.,PG-13 - Teens 13 or older,250,,Fall 2016,Tuesdays at 01:05 (JST)
15,Twin Signal: Family Game,Twin Signal,6.25,10974,8201,2,OVA,3,Finished Airing,"Sep 21, 1996 to Nov 21, 1996","TV Tokyo,       Tokyo Kids,       Sony Music Entertainment","Media Blasters,       NYAV Post","None found, add some",Manga,"Action, Comedy, Sci-Fi",Mecha,29 min. per ep.,PG-13 - Teens 13 or older,4,,,
16,Under the Dog,,6.25,3045,8202,53,OVA,1,Finished Airing,"Aug 1, 2016",IRMA LA DOUCE,"None found, add some","Kinema Citrus,       Orange",Original,"Action, Sci-Fi, Suspense",,38 min.,R+ - Mild Nudity,89,,,
17,Wo Shi Na Zha,I Am Nezha,6.25,15769,8203,547,Movie,1,Finished Airing,"Oct 1, 2016","None found, add some","None found, add some","None found, add some",Unknown,Fantasy,,1 hr. 22 min.,PG-13 - Teens 13 or older,0,Kids,,
18,Yan Wang: Guai Hualang,,6.25,13490,8204,1,ONA,12,Finished Airing,"Sep 19, 2021 to Nov 21, 2021","None found, add some","None found, add some","None found, add some",Original,Fantasy,,7 min. per ep.,PG-13 - Teens 13 or older,3,,,
19,Ai no Senshi Rainbowman,,6.25,12182,8205,1,TV,22,Finished Airing,"Oct 10, 1982 to Mar 27, 1983","None found, add some","None found, add some",Tsuchida Productions,Other,"Action, Adventure, Sci-Fi",Mecha,25 min. per ep.,PG-13 - Teens 13 or older,6,,Fall 1982,Unknown
20,Akage no Anne Specials,,6.25,12661,8207,1,TV Special,2,Finished Airing,"Feb 11, 2001 to 2001",BS Fuji,"None found, add some",Nippon Animation,Unknown,Drama,Historical,45 min. per ep.,G - All Ages,1,,,
21,Air Recap,Air: Memories,6.25,7338,8206,7,Special,1,Finished Airing,"Apr 1, 2005","None found, add some",ADV Films,Kyoto Animation,Visual novel,"Drama, Romance, Supernatural",,22 min.,PG-13 - Teens 13 or older,4,,,
22,Asobi ni Iku yo!: Asobi ni Oide - Owari,,6.25,6097,8209,11,Special,1,Finished Airing,"Jun 15, 2011","None found, add some","None found, add some",AIC PLUS+,Light novel,Comedy,,16 sec.,PG-13 - Teens 13 or older,10,,,
23,Arata naru Sekai: World's/Start/Load/End,World's End,6.25,4831,8208,20,OVA,1,Finished Airing,"Oct 20, 2012","Aniplex,       Kadokawa Shoten,       ASCII Media Works","None found, add some",Madhouse,Original,Sci-Fi,Time Travel,30 min.,PG-13 - Teens 13 or older,20,,,
24,Astroganger,,6.25,11844,8210,1,TV,26,Finished Airing,"Oct 4, 1972 to Mar 28, 1973",Knack Productions,Discotek Media,Toei Animation,Unknown,"Action, Sci-Fi",Mecha,24 min. per ep.,G - All Ages,6,,Fall 1972,Unknown
25,Barbapapa,,6.25,10141,8211,2,TV,45,Finished Airing,"Oct 13, 1974 to Sep 28, 1975",KSS,"None found, add some",Topcraft,Picture book,"Comedy, Fantasy",,5 min. per ep.,PG - Children,8,,Fall 1974,Unknown
26,Biohazard: Infinite Darkness,,6.25,5263,8212,16,ONA,4,Finished Airing,"Jul 8, 2021","Capcom,       Netflix","None found, add some","TMS Entertainment,       Quebico",Game,"Action, Horror, Sci-Fi",,26 min. per ep.,R - 17+ (violence & profanity),34,,,
27,Blassreiter: Navi,,6.25,8985,8213,4,Special,1,Finished Airing,"Jun 22, 2008","None found, add some","None found, add some",Gonzo,Original,"Action, Drama, Sci-Fi",Mecha,18 min.,R - 17+ (violence & profanity),1,,,
28,Bouken Yuuki Pluster World,Adventure Hero Pluster World,6.25,13053,8214,1,TV,52,Finished Airing,"Apr 3, 2003 to Mar 25, 2004",TV Tokyo,"None found, add some","Actas,       Brain's Base",Original,"Action, Adventure, Sci-Fi",,24 min. per ep.,G - All Ages,4,,Spring 2003,Thursdays at 18:00 (JST)
29,Cosmos Trailer,,6.25,13220,8216,1,ONA,1,Finished Airing,"Jun 6, 2019","Half H.P Studio,       Flat Studio","None found, add some",A-1 Pictures,Original,Slice of Life,Music,2 min.,None,0,,,
30,Bubuki Buranki,BBK/BRNK,6.25,2548,8215,72,TV,12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016","Dentsu,       AT-X,       Ultra Super Pictures,       Sony Music Communications,       Bushiroad,       Sammy,       Kadokawa Media (Taiwan),       Tose,       Kadokawa","None found, add some",SANZIGEN,Original,"Action, Drama, Sci-Fi",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,96,,Winter 2016,Saturdays at 22:00 (JST)
31,Duel Masters Cross,,6.25,10839,8217,2,TV,100,Finished Airing,"Apr 5, 2008 to Mar 27, 2010","None found, add some","None found, add some",Shogakukan Music & Digital Entertainment,Original,"Action, Adventure, Comedy, Fantasy",,10 min. per ep.,PG-13 - Teens 13 or older,2,Kids,Spring 2008,Unknown
32,Eureka Seven AO: Jungfrau no Hanabana-tachi,,6.25,6191,8218,10,OVA,1,Finished Airing,"Sep 20, 2012",Bandai Visual,Funimation,Bones,Manga,"Action, Adventure, Drama, Sci-Fi",Mecha,31 min.,PG-13 - Teens 13 or older,2,,,
33,Gamera VS Kozamera,,6.25,14660,8220,735,ONA,1,Finished Airing,"Sep 20, 2023","None found, add some","None found, add some",ENGI,Other,Comedy,Anthropomorphic,1 min.,G - All Ages,1,,,
34,Gag Manga Biyori: Jump Festa 2002 Special,,6.25,13353,8219,1,Special,1,Finished Airing,2002,DAX Production,"None found, add some","None found, add some",Manga,Comedy,,12 min.,PG-13 - Teens 13 or older,0,,,
35,Genmu Senki Leda,Fantastic Adventure Of Yohko: Leda,6.25,7033,8221,8,OVA,1,Finished Airing,"Mar 1, 1985",TOHO,Nozomi Entertainment,Kaname Productions,Original,"Action, Adventure, Fantasy, Sci-Fi","Isekai, Mecha",1 hr. 10 min.,PG-13 - Teens 13 or older,14,,,
36,Himitsu no AiPri,,6.25,10911,8222,2,TV,Unknown,Currently Airing,"Apr 7, 2024 to ?","None found, add some","None found, add some","OLM,       Dongwoo A&E",Game,,"Idols (Female), Music",23 min.,PG - Children,11,,Spring 2024,Sundays at 10:00 (JST)
37,Ikkyuu-san (1978),,6.25,13927,8223,911,TV,26,Finished Airing,"Apr 10, 1978 to Oct 23, 1978","None found, add some","None found, add some",Nippon Animation,Unknown,Sports,"School, Team Sports",23 min. per ep.,PG-13 - Teens 13 or older,2,Shounen,Spring 1978,Unknown
38,Jetter Mars,,6.25,11517,8224,1,TV,27,Finished Airing,"Feb 3, 1977 to Sep 15, 1977","Madhouse,       Fuji TV,       Tezuka Productions","None found, add some",Toei Animation,Original,"Action, Drama, Sci-Fi",,23 min. per ep.,G - All Ages,5,,Winter 1977,Unknown
39,Ai Tenshi Densetsu Wedding Peach Specials,,6.24,11812,8226,1,Special,2,Finished Airing,Nov 1995,"Nihon Ad Systems,       Studio Jack","None found, add some",KSS,Unknown,"Adventure, Comedy, Romance",,10 min. per ep.,G - All Ages,2,Shoujo,,
40,Akichi Asobi: Playground,PLAYGROUND,6.24,12068,8227,1,Movie,1,Finished Airing,2013,Geidai Animation,"None found, add some","None found, add some",Original,"Drama, Fantasy",,5 min.,G - All Ages,1,,,
41,AD Police,AD Police Files,6.24,4969,8225,19,OVA,3,Finished Airing,"May 25, 1990 to Nov 22, 1990","Youmex,       Bandai",AnimEigo,"AIC,       Artmic",Original,"Action, Adventure, Horror, Mystery, Sci-Fi, Suspense","Adult Cast, Detective, Gore, Mecha, Psychological",27 min. per ep.,R+ - Mild Nudity,27,,,
42,Amefuri Kozou,,6.24,10780,8228,2,OVA,1,Finished Airing,"Dec 24, 1983","None found, add some","None found, add some",Tezuka Productions,Manga,"Fantasy, Supernatural",,24 min.,G - All Ages,6,,,
43,Appaga Piryohae,,6.24,12879,8229,1,Movie,1,Finished Airing,2005,CoMix Wave Films,"None found, add some","None found, add some",Unknown,Fantasy,,10 min.,PG - Children,1,,,
44,Appleseed XIII Remix Movie 1: Yuigon,,6.24,8849,8230,4,Movie,1,Finished Airing,"Jun 13, 2011","None found, add some",Funimation,"Production I.G,       Jinnis Animation Studios",Original,"Action, Mystery, Sci-Fi","Detective, Mecha, Military",1 hr. 24 min.,R - 17+ (violence & profanity),5,,,
45,Bakugan Battle Brawlers: Mechtanium Surge,Bakugan: Mechtanium Surge,6.24,3268,8231,46,ONA,46,Finished Airing,Sep 2018 to 2018,"None found, add some",Nelvana,TMS Entertainment,Original,"Action, Adventure, Fantasy",Strategy Game,24 min. per ep.,G - All Ages,68,,,
46,Calimero,,6.24,9061,8232,4,TV,45,Finished Airing,"Oct 15, 1974 to Sep 30, 1975","None found, add some","None found, add some",Toei Animation,Other,Comedy,,25 min. per ep.,G - All Ages,5,,Fall 1974,Unknown
47,Domo TV,,6.24,11968,8233,1,TV,26,Finished Airing,2008,"NHK,       Comma Studio","None found, add some",dwarf,Other,Comedy,,2 min. per ep.,G - All Ages,4,,?,Unknown
48,DS Anime Soushuuhen '98,,6.24,15081,8234,648,OVA,1,Finished Airing,1998,"Studio Compile,       Studio Carbuncle","None found, add some","None found, add some",Game,"Comedy, Fantasy",,21 min.,G - All Ages,6,,,
49,Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai - Dai Bounen Otanoshimikai 2023,Fate/Grand Order: You've Lost Ritsuka Fujimaru,6.24,12250,8235,1,TV Special,7,Finished Airing,"Dec 31, 2023","None found, add some","None found, add some",DLE,Manga,Comedy,,5 min. per ep.,PG-13 - Teens 13 or older,0,,,
50,"Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki",The Highschool Life of a Fudanshi Special,6.24,8099,8236,5,Special,1,Finished Airing,"Oct 14, 2016",DAX Production,"None found, add some",EMT Squared,4-koma manga,Comedy,"Otaku Culture, School",4 min.,PG-13 - Teens 13 or older,3,Josei,,
51,"Fukarai-chou, Tunnel Roji no Otoko",Man In The Tunnel Alley,6.24,14644,8237,737,ONA,1,Finished Airing,2008,"None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Sci-Fi",,4 min.,PG-13 - Teens 13 or older,2,,,
52,Fuusen Shoujo Temple-chan,Temple the Balloonist,6.24,14720,8238,715,TV,26,Finished Airing,"Oct 1, 1977 to Mar 25, 1978",Harmony Gold,"None found, add some",Tatsunoko Production,Original,"Adventure, Comedy",,25 min. per ep.,G - All Ages,0,Kids,Fall 1977,Unknown
53,Genei wo Kakeru Taiyou: Fumikomenai Kokoro,,6.24,7246,8239,7,Special,1,Finished Airing,"Nov 16, 2013",Aniplex,"None found, add some",AIC,Original,,Mahou Shoujo,24 min.,R - 17+ (violence & profanity),3,,,
54,Ginga no Uo Ursa Minor Blue,,6.24,9433,8240,3,OVA,1,Finished Airing,"May 21, 1993","Ai ga areba Daijobu,       Tamura Shigeru Studio,       Project Team Sarah","None found, add some","None found, add some",Unknown,"Award Winning, Fantasy",,23 min.,PG - Children,9,Kids,,
55,Haiyoru! Nyaruani: Remember My Love(craft-sensei),Haiyoru! Nyaruani: Remember My Mr. Lovecraft,6.24,4130,8241,29,TV,11,Finished Airing,"Dec 11, 2010 to Feb 26, 2011",SoftBank Creative,"None found, add some",DLE,Light novel,"Comedy, Sci-Fi",,4 min. per ep.,PG-13 - Teens 13 or older,8,,Winter 2011,Unknown
56,Hametsu no Oukoku,The Kingdoms of Ruin,6.24,1359,8242,176,TV,12,Finished Airing,"Oct 7, 2023 to Dec 23, 2023","Mainichi Broadcasting System,       Nikkatsu,       Mag Garden,       RAY,       Nichion,       arma bianca,       NetEase,       CTW","None found, add some",Yokohama Animation Lab,Manga,"Action, Drama, Fantasy, Sci-Fi",Gore,24 min. per ep.,R - 17+ (violence & profanity),912,Shounen,Fall 2023,Saturdays at 01:53 (JST)
57,Isuca: Gokuraku,,6.24,4613,8243,22,OVA,1,Finished Airing,"Aug 26, 2015","DAX Production,       MAGES.","None found, add some",Arms,Manga,"Action, Comedy, Romance, Supernatural, Ecchi","Harem, Mythology, School",23 min.,R+ - Mild Nudity,10,Seinen,,
58,Jungle wa Itsumo Hare nochi Guu: Eizou Tokuten - Maboroshi no Pilot Film,Haré+Guu: Movie Special - The Illusive Pilot Film,6.24,13279,8244,1,Special,1,Finished Airing,"Dec 21, 2002",Bandai Visual,Funimation,Shin-Ei Animation,Manga,Comedy,,4 min.,PG-13 - Teens 13 or older,0,,,
59,Juusenshi Gulkeeva,Wild Knights Gulkeeva,6.24,10485,8245,2,TV,26,Finished Airing,"Apr 4, 1995 to Sep 26, 1995",TV Tokyo Music,"None found, add some",Sunrise,Original,"Action, Fantasy","Mecha, Super Power",23 min. per ep.,PG-13 - Teens 13 or older,0,,Spring 1995,Tuesdays at 18:00 (JST)
60,Kanashiki Debu Neko-chan,,6.24,9879,8246,3,TV,10,Finished Airing,"Dec 6, 2021 to Dec 17, 2021","NHK,       NHK Enterprises","None found, add some",Cyclone Graphics,Other,Slice of Life,Pets,3 min. per ep.,G - All Ages,40,,Fall 2021,Mondays at 00:30 (JST)
61,Ketsuekigata-kun! 4,,6.24,9586,8247,3,TV,12,Finished Airing,"Jan 12, 2016 to Mar 29, 2016","None found, add some","None found, add some","feel.,       Zexcs,       Assez Finaud Fabric",Web manga,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,2,,Winter 2016,Tuesdays at 01:08 (JST)
62,Koukaku Kidoutai Arise: Ghost in the Shell - Logicoma Specials,,6.24,7485,8248,6,Special,4,Finished Airing,"Jul 26, 2013 to Sep 24, 2014",Bandai Visual,Funimation,Production I.G,Manga,Sci-Fi,Mecha,3 min. per ep.,PG-13 - Teens 13 or older,1,,,
63,Level 1 dakedo Unique Skill de Saikyou desu,My Unique Skill Makes Me OP Even at Level 1,6.24,1944,8249,111,TV,12,Finished Airing,"Jul 8, 2023 to Sep 23, 2023","Kodansha,       Tokyo MX,       Amusement Media Academy,       Crunchyroll,       Production Ace,       BS NTV","None found, add some",Maho Film,Light novel,Fantasy,"Harem, Isekai, Reincarnation",23 min. per ep.,PG-13 - Teens 13 or older,293,,Summer 2023,Saturdays at 22:00 (JST)
64,Love Live! Sunshine!! Photo Session,,6.24,10538,8250,2,Movie,10,Finished Airing,"Jan 4, 2019","None found, add some","None found, add some",Sunrise,Original,Comedy,Idols (Female),4 min. per ep.,PG-13 - Teens 13 or older,0,,,
65,Macross F: Choujikuu Gekijou,,6.24,9637,8251,3,OVA,1,Finished Airing,"Feb 3, 2011","None found, add some","None found, add some",Satelight,Original,"Comedy, Slice of Life",,2 min.,G - All Ages,0,,,
66,Maken-Ki! Two Specials,,6.24,4312,8252,26,Special,5,Finished Airing,"Mar 28, 2014 to Jul 25, 2014","None found, add some","None found, add some",Xebec,Manga,Ecchi,,4 min. per ep.,R+ - Mild Nudity,16,Shounen,,
67,Megami Kouhosei Special Curriculum,,6.24,8713,8253,4,OVA,1,Finished Airing,"May 25, 2002",Bandai Visual,Discotek Media,Xebec,Manga,"Action, Sci-Fi","Mecha, Military, Space",23 min.,PG-13 - Teens 13 or older,1,,,
68,Nuwa Chengzhang Riji,,6.24,8311,8254,5,ONA,30,Finished Airing,"Apr 12, 2016 to Nov 1, 2016","Tencent Penguin Pictures,       China Literature Limited","None found, add some",B.CMAY PICTURES,Novel,"Comedy, Fantasy",,8 min. per ep.,PG-13 - Teens 13 or older,9,,,
69,Robot Town Sagami 2028,,6.24,13580,8255,1,ONA,1,Finished Airing,"Apr 12, 2016",Tezuka Productions,"None found, add some","None found, add some",Original,Drama,,8 min.,G - All Ages,0,,,
70,Silent Möbius: The Motion Picture,,6.24,8166,8256,5,Movie,1,Finished Airing,"Aug 17, 1991","Kadokawa Shoten,       Imagica,       Pioneer LDC,       Half H.P Studio,       Tokyu Recreation",Bandai Entertainment,AIC,Manga,"Adventure, Sci-Fi, Supernatural",,53 min.,R+ - Mild Nudity,4,,,
71,Sore Ike! Anpanman: Yomigaere Bananajima,Anpanman: Revive Banana Island!,6.24,15177,8257,633,Movie,1,Finished Airing,"Jul 7, 2012","None found, add some","None found, add some",TMS Entertainment,Unknown,"Adventure, Comedy, Fantasy",Super Power,46 min.,PG - Children,1,Kids,,
72,Sore Ike! Anpanman: Yumeneko no Kuni no Nyanii,,6.24,15147,8258,638,Movie,1,Finished Airing,"Jul 17, 2004",Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,"Comedy, Fantasy",,51 min.,PG - Children,1,Kids,,
73,Sougen no Shoujo Laura,"Laura, Girl of the Prairies",6.24,12644,8259,1,TV,26,Finished Airing,"Oct 7, 1975 to Mar 30, 1976","None found, add some","None found, add some",Nippon Animation,Other,Adventure,Historical,24 min. per ep.,G - All Ages,0,,Fall 1975,Unknown
74,Souten no Ken Specials,,6.24,10330,8260,2,Special,4,Finished Airing,"May 24, 2007 to Jun 14, 2007",TV Asahi,"None found, add some",APPP,Manga,Action,"Historical, Martial Arts",30 min. per ep.,R - 17+ (violence & profanity),1,Shounen,,
75,Tetsuko no Tabi,,6.24,10357,8261,2,TV,13,Finished Airing,"Jun 24, 2007 to Sep 23, 2007","Shogakukan-Shueisha Productions,       Toei Video,       Tohokushinsha Film Corporation,       Shogakukan","None found, add some",Group TAC,Manga,"Comedy, Slice of Life",,24 min. per ep.,PG-13 - Teens 13 or older,7,Seinen,Summer 2007,Unknown
76,To Heart 2: Dungeon Travelers,,6.24,8465,8262,5,OVA,2,Finished Airing,"Feb 22, 2012 to Jul 25, 2012","None found, add some","None found, add some",Chaos Project,Game,"Adventure, Comedy, Fantasy, Ecchi",,28 min. per ep.,PG-13 - Teens 13 or older,5,,,
77,Tobiuo no Boy wa Byouki desu,,6.24,17139,8263,413,Movie,1,Finished Airing,1982,"None found, add some","None found, add some","None found, add some",Picture book,Fantasy,Historical,18 min.,G - All Ages,1,Kids,,
78,Toshi wo Totta Wani,The Old Crocodile,6.24,9820,8264,3,Movie,1,Finished Airing,"Mar 25, 2005","None found, add some","None found, add some","Yamamura Animation, Inc.",Picture book,"Award Winning, Drama",,12 min.,G - All Ages,2,,,
79,Tottoko Hamtarou OVA 4: Hamuchanzu no Mezase! Hamuhamu Kin Medal - Hashire! Hashire! Daisakusen,Hamtaro: Ham-Ham Games,6.24,11938,8265,1,OVA,1,Finished Airing,"Dec 1, 2004",Shogakukan-Shueisha Productions,"None found, add some",TMS Entertainment,Unknown,"Adventure, Comedy",,40 min.,PG - Children,1,Kids,,
80,Yamato Takeru: After War,,6.24,13624,8266,1,OVA,2,Finished Airing,"Nov 22, 1995","None found, add some","None found, add some",Nippon Animation,Original,"Action, Adventure, Fantasy, Sci-Fi","Mecha, Space",23 min. per ep.,PG-13 - Teens 13 or older,0,,,
81,Youkai Watch Movie 3: Soratobu Kujira to Double Sekai no Daibouken da Nyan!,,6.24,11653,8267,1,Movie,1,Finished Airing,"Dec 17, 2016","None found, add some","None found, add some",OLM,Game,"Comedy, Supernatural",,1 hr. 30 min.,G - All Ages,3,Kids,,
82,Yume no Hoshi no Button Nose,Dream Star Button Nose,6.24,12852,8269,1,TV,26,Finished Airing,"Oct 19, 1985 to Apr 26, 1986","TV Asahi,       Sanrio","None found, add some","None found, add some",Original,Adventure,,25 min. per ep.,PG - Children,2,Kids,Fall 1985,Saturdays at 19:00 (JST)
83,Young Herlock wo Oe! Cosmo Warrior Zero Gaiden,Cosmo Warrior Zero - Hunt for Young Harlock,6.24,10374,8268,2,TV Special,2,Finished Airing,"Jun 21, 2002","None found, add some",Media Blasters,Vega Entertainment,Game,"Adventure, Drama, Sci-Fi","Military, Space",24 min. per ep.,PG-13 - Teens 13 or older,1,,,
84,Zoku Attacker You! Kin Medal e no Michi,,6.24,12707,8270,1,TV,52,Finished Airing,2008,"None found, add some","None found, add some",Knack Productions,Unknown,"Romance, Sports",Team Sports,23 min. per ep.,G - All Ages,0,,?,Unknown
85,Shikkakumon no Saikyou Kenja,The Strongest Sage with the Weakest Crest,6.23,988,8271,249,TV,12,Finished Airing,"Jan 8, 2022 to Mar 26, 2022","Square Enix,       NBCUniversal Entertainment Japan,       Medicos Entertainment,       Sammy,       GREE,       Good Smile Film,       SB Creative","None found, add some",J.C.Staff,Light novel,"Action, Adventure, Fantasy",Reincarnation,23 min. per ep.,PG-13 - Teens 13 or older,"1,183",,Winter 2022,Saturdays at 22:00 (JST)
86,Shu Ling Ji,,6.23,14723,8273,715,ONA,30,Finished Airing,"Sep 10, 2019 to Dec 20, 2019","None found, add some","None found, add some",Suoyi Technology,Web novel,,Martial Arts,10 min. per ep.,PG-13 - Teens 13 or older,2,,,
87,Shishang Zui Qiang Nan Zhujiao,The Strongest Male Hero Ever,6.23,13639,8272,995,ONA,48,Finished Airing,"Jun 5, 2022 to Oct 23, 2022","None found, add some","None found, add some",Ruo Hong Culture,Unknown,"Action, Fantasy",Martial Arts,8 min. per ep.,PG-13 - Teens 13 or older,0,,,
88,Silent Möbius 2,,6.23,9266,8274,3,Movie,1,Finished Airing,"Jul 18, 1992","Kadokawa Shoten,       Victor Entertainment,       Imagica,       Pioneer LDC,       Half H.P Studio,       Streamline Pictures",Bandai Entertainment,AIC,Manga,"Adventure, Fantasy, Sci-Fi",Mythology,58 min.,PG-13 - Teens 13 or older,3,Seinen,,
89,Street Fighter IV: Aratanaru Kizuna,Street Fighter IV: The Ties That Bind,6.23,6853,8275,8,OVA,1,Finished Airing,"Feb 12, 2009","Capcom,       Code","None found, add some",Studio 4°C,Game,"Action, Adventure",,1 hr. 5 min.,PG-13 - Teens 13 or older,7,,,
90,Submarine Super 99,,6.23,10533,8276,2,TV,13,Finished Airing,"May 8, 2003 to Jul 31, 2003","TV Tokyo,       Pony Canyon,       AT-X,       Tsuburaya Productions","Enoki Films,       Discotek Media",Vega Entertainment,Manga,"Action, Adventure, Sci-Fi",Military,24 min. per ep.,PG-13 - Teens 13 or older,1,Shounen,Spring 2003,Unknown
91,Super Bikkuriman,,6.23,13507,8277,1,TV,44,Finished Airing,"May 17, 1992 to Apr 4, 1993","None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Comedy, Fantasy, Sci-Fi",Mythology,24 min. per ep.,G - All Ages,2,,Spring 1992,Sundays at 08:30 (JST)
92,Tenamonya Voyagers,,6.23,8185,8278,5,OVA,4,Finished Airing,"Jun 25, 1999 to Dec 18, 1999",Bandai Visual,Bandai Entertainment,Pierrot,Original,"Adventure, Comedy, Sci-Fi, Ecchi",Mecha,30 min. per ep.,PG-13 - Teens 13 or older,7,,,
93,The iDOLM@STER Cinderella Girls: U149 Recap,,6.23,13979,8279,901,TV Special,1,Finished Airing,"May 25, 2023","None found, add some","None found, add some",CygamesPictures,Web manga,,"Idols (Female), Music",23 min.,PG-13 - Teens 13 or older,1,,,
94,Tong Meng Zhi Lu,Pokémon: Journey of One Dream,6.23,17146,8282,412,ONA,1,Finished Airing,"Feb 28, 2023","None found, add some","None found, add some","None found, add some",Game,"Action, Adventure, Fantasy",,11 min.,PG - Children,1,Kids,,
