,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
0,Ple Ple Pleiades Special Edition,Overlord: Ple Ple Pleiades - Special Edition,6.25,11308,8186,2,ONA,1,Finished Airing,"Sep 30, 2015","None found, add some","None found, add some",Studio PuYUKAI,Light novel,Comedy,Parody,5 min.,PG-13 - Teens 13 or older,0,,,
1,Pokemon XY: Koukoku no Princess Diancie,"Pokémon: Diancie, Princess of the Diamond Domain",6.25,7411,8188,7,TV Special,1,Finished Airing,"Jul 17, 2014","None found, add some",The Pokemon Company International,OLM,Game,"Comedy, Fantasy",,5 min.,PG - Children,0,Kids,,
2,Puraore! Pride of Orange,PuraOra! PRIDE OF ORANGE,6.25,4289,8189,27,TV,12,Finished Airing,"Oct 6, 2021 to Dec 22, 2021",CyberAgent,Funimation,C2C,Mixed media,Sports,Team Sports,23 min. per ep.,PG-13 - Teens 13 or older,96,,Fall 2021,Wednesdays at 22:30 (JST)
3,Pokemon Fushigi no Dungeon: Magnagate to Mugendai Meikyuu,Pokémon Mystery Dungeon: Gates to Infinity,6.25,8956,8187,4,ONA,2,Finished Airing,"Nov 1, 2012",Nintendo,The Pokemon Company International,OLM,Game,"Adventure, Fantasy",,2 min. per ep.,G - All Ages,0,Kids,,
4,Queen's Blade: Rebellion,,6.25,3383,8190,43,TV,12,Finished Airing,"Apr 3, 2012 to Jun 19, 2012","Genco,       Media Factory,       AT-X,       Hobby Japan","Sentai Filmworks,       NYAV Post",Arms,Other,"Action, Adventure, Fantasy, Ecchi",,24 min. per ep.,R+ - Mild Nudity,69,,Spring 2012,Unknown
5,Renshenguo,,6.25,16272,8191,491,Movie,1,Finished Airing,1981,"None found, add some","None found, add some",Shanghai Animation Film Studio,Unknown,,,44 min.,G - All Ages,1,Kids,,
6,Saint Seiya: Knights of the Zodiac - Battle Sanctuary,Saint Seiya: Knights of the Zodiac - Battle for Sanctuary,6.25,9875,8192,3,ONA,12,Finished Airing,"Jul 31, 2022 to Oct 9, 2022","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy, Sci-Fi",Mythology,23 min. per ep.,PG-13 - Teens 13 or older,11,Shounen,,
7,Saiyuuki,Alakazam the Great,6.25,9606,8193,3,Movie,1,Finished Airing,"Aug 14, 1960","None found, add some","None found, add some",Toei Animation,Novel,Adventure,Mythology,1 hr. 28 min.,G - All Ages,6,,,
8,Sakura Momoko Gekijou: Coji-Coji,Coji-Coji,6.25,14195,8194,843,TV,100,Finished Airing,"Oct 4, 1997 to Sep 25, 1999",Aniplex,"None found, add some",Nippon Animation,Manga,"Comedy, Fantasy",,25 min. per ep.,G - All Ages,1,,Fall 1997,Saturdays at 17:30 (JST)
9,Sakura Taisen: New York,,6.25,9499,8195,3,OVA,6,Finished Airing,"Apr 4, 2007 to Aug 1, 2007","Sega,       Imagine","None found, add some",AIC,Game,"Adventure, Comedy, Sci-Fi","Mecha, Performing Arts",24 min. per ep.,PG-13 - Teens 13 or older,3,,,
