,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
0,Okon Joururi,,6.15,15528,8708,579,Movie,1,Finished Airing,1982,"None found, add some","None found, add some","None found, add some",Original,"Award Winning, Drama, Fantasy",Historical,25 min.,G - All Ages,0,,,
1,number24 Recap,,6.15,10417,8707,2,TV Special,1,Finished Airing,"Apr 1, 2020","None found, add some","None found, add some",PRA,Original,Sports,School,23 min.,PG-13 - Teens 13 or older,2,,,
2,Nekogami Yaoyorozu Specials,,6.15,11439,8705,1,Special,7,Finished Airing,"Sep 21, 2011 to Mar 21, 2012",Akita Shoten,"None found, add some",AIC PLUS+,Manga,"Comedy, Supernatural","CGDCT, Video Game",2 min. per ep.,PG-13 - Teens 13 or older,1,Seinen,,
3,Noramimi,,6.15,12855,8706,1,TV,12,Finished Airing,"Jan 9, 2008 to Mar 26, 2008",TMS Music,"None found, add some",TMS Entertainment,Manga,Comedy,Childcare,20 min. per ep.,G - All Ages,1,,Winter 2008,Unknown
4,Ougon Senshi Gold Lightan,Golden Warrior: The Gold Lightan,6.15,12435,8709,1,TV,52,Finished Airing,"Mar 1, 1981 to Feb 18, 1982","None found, add some","None found, add some",Tatsunoko Production,Original,"Action, Adventure, Sci-Fi",Mecha,25 min. per ep.,PG-13 - Teens 13 or older,3,,Spring 1981,Unknown
5,Sci-fi Harry,,6.15,6547,8711,9,TV,20,Finished Airing,"Oct 6, 2000 to Mar 23, 2001","TV Asahi,       Nagoya Broadcasting Network",Super Techno Arts,APPP,Manga,"Drama, Horror, Sci-Fi",,25 min. per ep.,R - 17+ (violence & profanity),18,,Fall 2000,Saturdays at 02:09 (JST)
6,Pokemon: Yadoking no Ichinichi,Pokémon: Slowking's Day,6.15,5689,8710,13,Special,1,Finished Airing,"Jan 1, 2000","None found, add some","None found, add some",OLM,Game,Fantasy,,3 min.,PG - Children,2,Kids,,
7,Sengoku Night Blood,,6.15,3285,8712,45,TV,12,Finished Airing,"Oct 3, 2017 to Dec 26, 2017","TV Asahi,       Marvelous Entertainment,       Pony Canyon,       JY Animation,       Live Viewing Japan,       TV Asahi Music","None found, add some",Typhoon Graphics,Visual novel,"Fantasy, Romance","Historical, Isekai, Reverse Harem, Vampire",23 min. per ep.,PG-13 - Teens 13 or older,145,Josei,Fall 2017,Tuesdays at 23:00 (JST)
8,Seraphim Call,,6.15,7730,8713,6,TV,12,Finished Airing,"Oct 6, 1999 to Dec 22, 1999","d-rights,       TV Tokyo Music,       Banpresto",Media Blasters,Sunrise,Original,"Drama, Romance, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,18,,Fall 1999,Thursdays at 01:45 (JST)
9,Shin Mashin Eiyuuden Wataru Majinzan,,6.15,13420,8714,1,OVA,2,Finished Airing,"Aug 5, 1989 to Sep 5, 1989","None found, add some","None found, add some",Sunrise,Unknown,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Mecha,25 min. per ep.,G - All Ages,0,,,
10,Space☆Dandy 2nd Season Picture Drama,,6.15,9389,8715,3,Special,3,Finished Airing,"Nov 21, 2014 to Jan 28, 2015",Bandai Visual,"None found, add some",Bones,Original,"Comedy, Sci-Fi","Adult Cast, Space",6 min. per ep.,PG-13 - Teens 13 or older,5,,,
11,Stitch! Itazura Alien no Daibouken,Stitch! The Mischievous Alien's Great Adventure,6.15,10500,8716,2,TV,29,Finished Airing,"Oct 13, 2009 to Jun 29, 2010",Tohokushinsha Film Corporation,"None found, add some",Madhouse,Other,"Adventure, Comedy, Sci-Fi",,25 min. per ep.,G - All Ages,2,Kids,Fall 2009,Unknown
12,Super Shiro,,6.15,10631,8717,2,TV,48,Finished Airing,"Oct 14, 2019 to Sep 7, 2020","Shin-Ei Animation,       TV Aichi,       Futabasha,       Audio Planning U,       Imagine","None found, add some",Science SARU,Manga,,,5 min. per ep.,PG - Children,4,Kids,Fall 2019,Unknown
13,Tamayura: More Aggressive Picture Drama,,6.15,11299,8720,2,Special,1,Finished Airing,"Oct 30, 2013","None found, add some","None found, add some",TYO Animations,Original,Slice of Life,"CGDCT, Iyashikei",18 min.,G - All Ages,2,,,
