,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
14,Takarajima Movie,Treasure Island: The Movie,6.15,12724,8719,1,Movie,1,Finished Airing,"May 9, 1987","None found, add some","None found, add some",Tokyo Movie Shinsha,Novel,"Adventure, Drama, Mystery, Supernatural",Historical,1 hr. 28 min.,PG - Children,0,,,
15,Sword Art Online: Sword Art Offline,Sword Art Offline,6.15,2233,8718,90,Special,9,Finished Airing,"Oct 24, 2012 to Jun 26, 2013",Aniplex,Aniplex of America,I was a Ballerina,Light novel,Comedy,,11 min. per ep.,PG-13 - Teens 13 or older,166,,,
16,Tenchi Muyou! GXP: Paradise Shidou-hen,Tenchi Muyo! GXP Paradise Starting,6.15,10756,8721,2,OVA,6,Finished Airing,"May 26, 2023 to Oct 27, 2023",Saber Works,"None found, add some","AIC,       Saber Project",Original,"Action, Comedy, Mystery, Sci-Fi","Detective, Harem, Mecha, Space",28 min. per ep.,PG-13 - Teens 13 or older,11,,,
17,Tiger Mask (Movie),,6.15,13199,8723,1,Movie,1,Finished Airing,"Mar 17, 1970","None found, add some","None found, add some","None found, add some",Manga,Sports,Combat Sports,47 min.,PG-13 - Teens 13 or older,1,Shounen,,
18,Tenshi Nanka ja Nai,,6.15,8688,8722,4,OVA,1,Finished Airing,"Sep 21, 1994",Shueisha,"None found, add some",Group TAC,Manga,"Comedy, Drama",,30 min.,PG - Children,6,Shoujo,,
19,Toki no Kousa,Shibuya Vernacular,6.15,9304,8724,3,Special,1,Finished Airing,"Apr 20, 2018","MAZRI,       Audio Graphics Institute","None found, add some",CLAP,Original,Avant Garde,,1 min.,G - All Ages,7,,,
20,Tokusou Kihei Dorvack,Special Powered Armor Troop Dorvack,6.15,11413,8725,2,TV,36,Finished Airing,"Oct 7, 1983 to Jul 6, 1984",Fuji TV,Discotek Media,Ashi Productions,Original,"Action, Sci-Fi",Mecha,24 min. per ep.,R+ - Mild Nudity,3,,Fall 1983,Unknown
21,Tottoi,Secret of the Seal,6.15,13131,8726,1,Movie,1,Finished Airing,Jun 1992,"None found, add some","None found, add some",Nippon Animation,Novel,"Adventure, Drama, Slice of Life",,1 hr. 22 min.,G - All Ages,3,Kids,,
22,Touken Ranbu Kai: Kyoden Moyuru Honnouji,,6.14,6289,8740,10,TV,8,Finished Airing,"Apr 2, 2024 to May 21, 2024","Marvelous Entertainment,       Rakuonsha,       Nitroplus,       TOHO animation,       EXNOA","None found, add some",domerica,Other,"Action, Fantasy","Anthropomorphic, Historical, Samurai",24 min. per ep.,PG-13 - Teens 13 or older,39,,Spring 2024,Tuesdays at 23:00 (JST)
23,Umi kara no Shisha,,6.15,11869,8727,1,Movie,1,Finished Airing,"Aug 21, 2010",Katsudou-manga-kan,"None found, add some","None found, add some",Unknown,"Action, Sci-Fi","Mecha, Super Power",8 min.,PG-13 - Teens 13 or older,2,,,
24,Umi Monogatari: Marin no Kore Naani?,"Umi Monogatari: Marin's ""What Is This?""",6.15,9961,8728,3,Special,4,Finished Airing,"Nov 22, 2009 to Feb 24, 2010","None found, add some","None found, add some",Zexcs,Game,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,1,,,
25,Wasureta Furi wo Shite,Pretending to forget,6.15,12905,8729,1,Movie,1,Finished Airing,"Jun 30, 2020",CEKAI,"None found, add some",Calf Studio,Manga,Slice of Life,,13 min.,G - All Ages,2,,,
26,Wind: A Breath of Heart OVA,,6.15,9813,8730,3,OVA,3,Finished Airing,"Jun 25, 2004 to Dec 22, 2004",KSS,"None found, add some",Venet,Visual novel,"Drama, Romance, Supernatural",School,29 min. per ep.,PG-13 - Teens 13 or older,1,,,
27,Wonder 3,The Amazing 3,6.15,12050,8731,1,TV,52,Finished Airing,"Jun 6, 1965 to Jun 27, 1966",Fuji TV,"None found, add some",Mushi Production,Unknown,"Action, Adventure, Comedy, Sci-Fi",,23 min. per ep.,G - All Ages,5,,Summer 1965,Unknown
28,Yama Nezumi Rocky Chuck,Fables of the Green Forest,6.15,11447,8732,1,TV,52,Finished Airing,"Jan 7, 1973 to Dec 30, 1973","Mushi Production,       Fuji TV,       Zuiyo","None found, add some",Nippon Animation,Unknown,"Adventure, Fantasy",Anthropomorphic,25 min. per ep.,G - All Ages,5,Kids,Winter 1973,Sundays at 19:30 (JST)
29,Shin Koihime†Musou OVA Omake,,6.14,11409,8733,2,Special,1,Finished Airing,"Jul 7, 2010","None found, add some","None found, add some","None found, add some",Visual novel,"Adventure, Comedy, Fantasy, Ecchi",,11 min.,R+ - Mild Nudity,0,,,
30,Sore Ike! Anpanman: Tsumikijou no Himitsu,,6.14,14662,8734,734,Movie,1,Finished Airing,"Mar 14, 1992","None found, add some","None found, add some",TMS Entertainment,Unknown,"Comedy, Fantasy",,1 hr.,PG - Children,1,Kids,,
31,Star Fox Zero: The Battle Begins,,6.14,9011,8735,4,ONA,1,Finished Airing,"Apr 20, 2016","Production I.G,       Nintendo","None found, add some",Wit Studio,Game,"Action, Sci-Fi",Space,14 min.,G - All Ages,7,,,
32,Subarashiki Kono Sekai The Animation,The World Ends with You The Animation,6.14,2562,8736,72,TV,12,Finished Airing,"Apr 10, 2021 to Jun 26, 2021",Mainichi Broadcasting System,Funimation,"Shin-Ei Animation,       domerica",Game,"Action, Adventure",,23 min. per ep.,PG-13 - Teens 13 or older,320,,Spring 2021,Saturdays at 02:25 (JST)
33,Tales of HR,,6.14,12257,8737,1,ONA,13,Finished Airing,"Jun 17, 2018 to Dec 14, 2019",Bandai Namco Entertainment,"None found, add some",Signal.MD,Game,Comedy,"Parody, School",4 min. per ep.,G - All Ages,1,,,
34,Tanuki to Kitsune,,6.14,14429,8738,788,ONA,18,Finished Airing,"Feb 9, 2018 to Mar 19, 2018","None found, add some","None found, add some","Gathering,       Lesprit",Web manga,Comedy,,35 sec. per ep.,G - All Ages,2,,,
35,Teekyuu 7 Specials,Teekyu 7 Specials,6.14,9286,8739,3,Special,2,Finished Airing,"May 27, 2016",Earth Star Entertainment,"None found, add some",Millepensee,Manga,"Comedy, Sports",,2 min. per ep.,PG-13 - Teens 13 or older,0,Shounen,,
36,Ultraman Kids: Haha wo Tazunete 3000-man Kounen,Ultraman Kids Looking for Mother for 30000000 Light Years,6.14,13576,8741,1,TV,26,Finished Airing,"Nov 17, 1991 to May 24, 1992","None found, add some",Mill Creek Entertainment,Tsuburaya Productions,Other,,Space,24 min. per ep.,PG - Children,3,Kids,Fall 1991,Unknown
37,Wind: A Breath of Heart Specials,,6.14,11214,8743,2,Special,4,Finished Airing,"Dec 10, 2004",Rondo Robe,"None found, add some",Radix,Visual novel,"Comedy, Romance",School,12 min. per ep.,PG-13 - Teens 13 or older,0,,,
38,Wei Wo Du Shen,I Am The only God,6.14,12365,8742,1,ONA,50,Finished Airing,"Feb 4, 2021 to Jul 19, 2021",Tencent Penguin Pictures,"None found, add some",Ruo Hong Culture,Novel,"Action, Fantasy",,9 min. per ep.,PG-13 - Teens 13 or older,5,,,
39,Wo de Yi Jie Zhi Lu,My Journey in an Alternate World,6.14,11637,8744,1,ONA,40,Finished Airing,"Jan 13, 2022 to May 27, 2022","bilibili,       Xuanyuan Network","None found, add some","None found, add some",Original,"Action, Adventure, Comedy, Fantasy","Historical, Martial Arts",10 min. per ep.,PG-13 - Teens 13 or older,4,,,
40,Xin Jue,Awakening Soul,6.14,12731,8745,1,ONA,13,Finished Airing,"Oct 13, 2020 to Dec 29, 2020","bilibili,       CG Year","None found, add some","None found, add some",Original,"Action, Adventure, Sci-Fi",,19 min. per ep.,PG-13 - Teens 13 or older,5,,,
41,Yin Yang Shi: Ping An Wu Yu 3rd Season,,6.14,15576,8746,574,ONA,12,Finished Airing,"Jan 25, 2022 to Apr 19, 2022","None found, add some","None found, add some","None found, add some",Game,"Comedy, Supernatural",Mythology,5 min. per ep.,PG-13 - Teens 13 or older,2,,,
42,Zhongguo Jingqi Xiansheng,,6.14,10113,8747,2,ONA,63,Finished Airing,"Feb 28, 2014 to May 17, 2016",Tencent Animation & Comics,"None found, add some",Haoliners Animation League,Web manga,"Comedy, Supernatural, Suspense",,11 min. per ep.,R - 17+ (violence & profanity),8,,,
43,(OO),,6.14,19172,8748,272,Movie,1,Finished Airing,2017,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,6 min.,PG-13 - Teens 13 or older,0,,,
44,2.43: Seiin Koukou Danshi Volley-bu,2.43: Seiin High School Boys Volleyball Team,6.14,1931,8749,112,TV,12,Finished Airing,"Jan 8, 2021 to Mar 26, 2021","Aniplex,       Dentsu,       Animax,       Movic,       Fuji TV,       Fujipacific Music,       Shueisha,       Fuji Creative,       Tohan Corporation,       Japan Volleyball Association",Funimation,David Production,Novel,"Drama, Sports","School, Team Sports",23 min. per ep.,PG-13 - Teens 13 or older,353,,Winter 2021,Fridays at 00:55 (JST)
45,Ai Tenchi Muyou!,,6.14,3742,8750,36,TV,50,Finished Airing,"Oct 6, 2014 to Dec 26, 2014","VAP,       AIC",Funimation,AIC PLUS+,Original,"Comedy, Sci-Fi",,4 min. per ep.,PG-13 - Teens 13 or older,41,,Fall 2014,Mondays at 21:55 (JST)
46,Hello Kitty no Fushigi no Kuni no Alice,Hello Kitty in Alice in Wonderland,6.17,13256,8601,1,OVA,1,Finished Airing,"Nov 21, 1993",Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,,30 min.,G - All Ages,1,Kids,,
47,Hello Kitty: Ringo no Mori to Parallel Town,Hello Kitty: Apple Forest and Parallel Town,6.17,14134,8602,864,TV,27,Finished Airing,"Oct 2, 2007 to Mar 25, 2008",Sanrio,"None found, add some",Asahi Production,Unknown,"Comedy, Fantasy",,9 min. per ep.,PG - Children,2,Kids,Fall 2007,Unknown
48,Jim Button,,6.17,15398,8603,599,TV,26,Finished Airing,"Oct 4, 1974 to Mar 28, 1975","None found, add some","None found, add some",Eiken,Book,"Adventure, Fantasy",,23 min. per ep.,PG - Children,0,Kids,Fall 1974,Unknown
49,Juuou Mujin no Fafnir,Unlimited Fafnir,6.17,1484,8604,158,TV,12,Finished Airing,"Jan 9, 2015 to Mar 27, 2015","TBS,       Kodansha,       DAX Production,       Nippon Columbia,       Daiichikosho,       RAY,       Nichion,       NichiNare","None found, add some",Diomedéa,Light novel,"Action, Fantasy, Romance","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,168,,Winter 2015,Fridays at 02:16 (JST)
50,"Kabuki-bu!: Oogiri ""Chiyocolate-gassen""",,6.17,11434,8605,1,Special,1,Finished Airing,"Sep 27, 2017","Kadokawa Shoten,       Pony Canyon","None found, add some",Studio Deen,Novel,,"Performing Arts, School",23 min.,PG-13 - Teens 13 or older,1,,,
51,Kappa no Sanpei,,6.17,16399,8606,477,Movie,1,Finished Airing,"Mar 13, 1993","None found, add some","None found, add some",Takahashi Studio,Unknown,"Adventure, Supernatural",,1 hr. 30 min.,G - All Ages,0,Kids,,
52,Kidou Senshi Gundam-san,Mobile Suit Gundam-san,6.17,7028,8607,8,TV,13,Finished Airing,"Jul 6, 2014 to Sep 28, 2014","None found, add some",Nozomi Entertainment,Sunrise,4-koma manga,Comedy,"Mecha, Parody",2 min. per ep.,PG-13 - Teens 13 or older,0,,Summer 2014,Sundays at 19:28 (JST)
53,Makai Toshi Shinjuku,Demon City Shinjuku,6.17,4403,8608,25,OVA,1,Finished Airing,"Oct 25, 1988",Japan Home Video,"Central Park Media,       Discotek Media",Madhouse,Novel,"Adventure, Horror, Romance, Supernatural",Gore,1 hr. 19 min.,R - 17+ (violence & profanity),64,,,
54,Maken-Ki! Specials,Maken-Ki! Secret Training,6.17,3868,8609,33,Special,6,Finished Airing,"Dec 21, 2011 to May 25, 2012",AIC,Funimation,AIC Spirits,Manga,"Sports, Ecchi",,10 min. per ep.,R+ - Mild Nudity,18,Shounen,,
55,Mini Van Special,,6.17,13471,8610,1,Special,1,Finished Airing,"Jun 18, 2013","None found, add some","None found, add some",DLE,4-koma manga,"Comedy, Slice of Life","Parody, Strategy Game",3 min.,PG-13 - Teens 13 or older,0,,,
56,Mister Ajikko Special,,6.17,15870,8611,536,Special,1,Finished Airing,"Feb 9, 1989",TV Tokyo,"None found, add some",Sunrise,Manga,"Comedy, Gourmet",,23 min.,G - All Ages,1,Shounen,,
57,Nanami-chan 2nd Series,,6.17,14839,8613,689,TV,16,Finished Airing,"Jun 17, 2005 to Dec 23, 2005",Robot Communications,"None found, add some","None found, add some",Other,Comedy,,5 min. per ep.,G - All Ages,1,Kids,Summer 2005,Unknown
58,"Monster Sonic!: Senritsu no Lucifer, Tada Hitotsu no Hajimari no Uta",Monster Sonic!: A Rhapsody Called Lucy -The Very First Song-,6.17,11781,8612,1,ONA,1,Finished Airing,"May 3, 2017",XFLAG Pictures,"None found, add some",LIDENFILMS Kyoto Studio,Game,Fantasy,"Music, Strategy Game",21 min.,PG-13 - Teens 13 or older,1,,,
59,Norn9: Norn+Nonet  - Unmei no Megami,,6.17,7760,8614,6,TV Special,1,Finished Airing,"Mar 10, 2016","None found, add some","None found, add some",Kinema Citrus,Visual novel,"Adventure, Fantasy, Romance, Sci-Fi",,24 min.,PG-13 - Teens 13 or older,2,Josei,,
60,Pokemon: Pikachu no Summer Bridge Story,Pokémon: Pikachu's Summer Bridge Story,6.17,8020,8615,5,Special,1,Finished Airing,"Aug 1, 2011","None found, add some","None found, add some",OLM,Game,"Adventure, Comedy, Fantasy",,20 min.,PG - Children,0,Kids,,
61,Rhea Gall Force,,6.17,9555,8616,3,OVA,1,Finished Airing,"Mar 21, 1989",Movic,Central Park Media,"AIC,       Artmic,       animate Film",Original,"Action, Sci-Fi","Mecha, Military",57 min.,R - 17+ (violence & profanity),2,,,
62,Ryouma! The Prince of Tennis Shinsei Movie: Tennis no Oujisama,Ryoma! The Prince of Tennis,6.17,8625,8617,4,Movie,1,Finished Airing,"Sep 3, 2021","None found, add some",Eleven Arts,"Keica,       The Monk Studios",Manga,Sports,,1 hr. 40 min.,PG-13 - Teens 13 or older,10,Shounen,,
63,Saki Picture Drama,,6.17,8782,8618,4,Special,7,Finished Airing,"Sep 2, 2009 to Mar 3, 2010","None found, add some","None found, add some",Gonzo,Manga,"Comedy, Slice of Life",,8 min. per ep.,PG-13 - Teens 13 or older,5,Seinen,,
64,Sekai Meisaku Douwa: Aladdin to Mahou no Lamp,Aladdin and the Wonderful Lamp,6.17,11394,8619,2,Movie,1,Finished Airing,"Mar 13, 1982",Rankin/Bass,"None found, add some",Toei Animation,Unknown,"Adventure, Fantasy",,1 hr. 5 min.,G - All Ages,1,,,
65,Shaonian Jinyiwei,The Young Imperial Guards,6.17,13015,8620,1,ONA,13,Finished Airing,"Feb 9, 2017 to May 4, 2017",Youku,"None found, add some",Boyan Pictures,Original,"Action, Adventure, Mystery, Romance","Historical, Martial Arts",18 min. per ep.,PG-13 - Teens 13 or older,8,,,
66,Kaitei Shounen Marine,Marine Boy,6.16,12870,8621,1,TV,65,Finished Airing,"Jan 13, 1969 to Sep 2, 1971","None found, add some",Warner Bros. Pictures,Tele-Cartoon Japan,Unknown,"Action, Adventure, Sci-Fi",,25 min. per ep.,PG - Children,2,Kids,Winter 1969,Unknown
67,Kick no Oni,Demon of the Kick,6.16,13075,8622,1,TV,26,Finished Airing,"Oct 2, 1970 to Mar 26, 1971","None found, add some","None found, add some",Toei Animation,Manga,Sports,Combat Sports,25 min. per ep.,None,2,Shounen,Fall 1970,Unknown
68,Kidou Senshi Gundam UC Perfectibility,Mobile Suit Gundam Unicorn Perfectibility,6.16,10376,8623,2,Movie,1,Finished Airing,"Sep 30, 2018",Sunrise,"None found, add some","None found, add some",Novel,Action,Mecha,3 min.,PG - Children,1,,,
69,Kiitarou Shounen no Youkai Enikki: Jonan no Saijitsu,,6.16,9103,8624,4,Special,1,Finished Airing,"Jan 27, 2017","None found, add some","None found, add some",Creators in Pack,Web manga,"Comedy, Supernatural, Ecchi",,4 min.,PG-13 - Teens 13 or older,1,,,
70,Kimi ga Nozomu Eien: Ayu Mayu Gekijou,,6.16,7584,8625,6,ONA,7,Finished Airing,"Sep 29, 2006 to Feb 23, 2007","Lantis,       Age,       Rakuonsha","None found, add some",Picture Magic,Visual novel,Comedy,,5 min. per ep.,PG-13 - Teens 13 or older,6,,,
71,Kobayashi ga Kawai sugite Tsurai!!,So Cute It Hurts!!,6.16,6323,8626,10,OVA,2,Finished Airing,"Jul 26, 2013 to Mar 26, 2014","None found, add some","None found, add some","None found, add some",Manga,Romance,"Crossdressing, School",16 min. per ep.,PG-13 - Teens 13 or older,8,Shoujo,,
72,Konchuu Monogatari Mitsubachi Hutch: Yuuki no Melody,,6.16,13284,8627,1,Movie,1,Finished Airing,"Jul 31, 2010","Yahoo! Japan,       Mainichi Shimbun","None found, add some",Tatsunoko Production,Unknown,"Adventure, Comedy, Drama",,1 hr. 40 min.,None,1,,,
73,Kuroi Kikori to Shiroi Kikori,The Black Woodcutter and the White Woodcutter,6.16,12501,8628,1,Movie,1,Finished Airing,"Jul 1, 1956",The National Film Center Japan,"None found, add some","None found, add some",Original,Fantasy,,16 min.,G - All Ages,0,,,
74,Little Nemo Pilot,Little Nemo: Adventures in Slumberland Pilot,6.16,17935,8630,353,Movie,1,Finished Airing,1980,"None found, add some","None found, add some","Tokyo Movie Shinsha,       TMS Entertainment",Original,Adventure,,8 min.,G - All Ages,1,,,
75,Kurokan,,6.16,15570,8629,575,ONA,33,Finished Airing,"Jan 1, 2013 to 2014","None found, add some","None found, add some",Next Media Animation,Manga,Sports,Team Sports,12 min. per ep.,PG-13 - Teens 13 or older,0,,,
76,Little Nemo Pilot (1984),Little Nemo: Adventures in Slumberland Pilot,6.16,12830,8631,1,Special,1,Finished Airing,1984,Tokyo Movie Shinsha,Discotek Media,TMS Entertainment,Picture book,Adventure,,3 min.,G - All Ages,0,,,
77,Lovely Movie: Itoshi no Muco Season 2,Lovely Movie: Lovely Muuuuuuuco! Season 2,6.16,13754,8632,968,TV,22,Finished Airing,"Apr 27, 2014 to Oct 5, 2014","None found, add some","None found, add some",Doga Kobo,Manga,Slice of Life,Pets,2 min. per ep.,PG - Children,0,,Spring 2014,Unknown
78,Manga Hajimete Monogatari,,6.16,14543,8633,762,TV,305,Finished Airing,"May 6, 1978 to Mar 31, 1984","TBS,       DAX Production,       Studio Jack","None found, add some","None found, add some",Unknown,"Adventure, Comedy","Educational, Historical",25 min. per ep.,G - All Ages,0,,Spring 1978,Unknown
79,Manyuu Hikenchou Specials,,6.16,5239,8634,16,Special,8,Finished Airing,"Oct 4, 2011 to Jan 7, 2012","None found, add some","None found, add some",Hoods Entertainment,Manga,"Action, Ecchi",,3 min. per ep.,R+ - Mild Nudity,45,Seinen,,
80,Mao Zhi Ming Episode 5.5,Cat's Tea Episode 5.5,6.16,17778,8635,365,ONA,1,Finished Airing,"Nov 22, 2021","None found, add some","None found, add some","None found, add some",Manga,"Comedy, Fantasy",,8 min.,G - All Ages,1,,,
81,Muramasa,,6.16,8019,8636,5,Movie,1,Finished Airing,"Aug 21, 1987",Tezuka Productions,"None found, add some","None found, add some",Original,Horror,"Historical, Martial Arts, Samurai",8 min.,PG-13 - Teens 13 or older,5,,,
82,Neko ga Kureta Marui Shiawase,,6.16,12586,8638,1,ONA,5,Finished Airing,"May 22, 2017 to Mar 23, 2018","None found, add some","None found, add some",Yokohama Animation Lab,Original,"Comedy, Slice of Life",,53 sec. per ep.,G - All Ages,2,,,
83,Nana Toshi Monogatari: Hokkyokukai Sensen,,6.16,9900,8637,3,OVA,2,Finished Airing,"Jun 22, 1994","animate Film,       Sony Music Entertainment","None found, add some",Studio Junio,Novel,"Drama, Sci-Fi","Adult Cast, Military",29 min. per ep.,PG-13 - Teens 13 or older,3,,,
84,Non-tan to Issho,,6.16,16150,8639,505,TV,263,Finished Airing,"Oct 5, 1992 to Mar 18, 1994","None found, add some","None found, add some",Pierrot,Picture book,,,5 min. per ep.,PG - Children,0,Kids,Fall 1992,Unknown
85,Oh! Family,,6.16,11735,8640,1,TV,26,Finished Airing,"Oct 6, 1986 to Mar 30, 1987","None found, add some","None found, add some",Knack Productions,Manga,"Comedy, Drama, Romance",,23 min. per ep.,G - All Ages,0,Shoujo,Fall 1986,Mondays at 19:30 (JST)
86,Pokemon Movie 22: Mewtwo no Gyakushuu Evolution,Pokémon: Mewtwo Strikes Back - Evolution,6.16,4236,8641,27,Movie,1,Finished Airing,"Jul 12, 2019","TV Tokyo,       Shogakukan-Shueisha Productions,       TOHO,       Shogakukan,       TOMY Company,       JR East Marketing & Communications",The Pokemon Company International,"OLM,       OLM Digital,       Sprite Animation Studios",Game,"Action, Adventure, Comedy, Fantasy",,1 hr. 36 min.,PG - Children,9,Kids,,
87,The iDOLM@STER Cinderella Girls: Spin-off!,,6.16,11089,8643,2,ONA,1,Finished Airing,"Nov 10, 2019",Bandai Namco Entertainment,"None found, add some",Orange,Game,,Music,6 min.,PG-13 - Teens 13 or older,2,,,
88,Seizei Ganbare! Mahou Shoujo Kurumi 2nd Season,,6.16,14029,8642,884,ONA,25,Finished Airing,"Oct 28, 2018 to Oct 13, 2019","None found, add some","None found, add some",Pie in the sky,Original,,"Mahou Shoujo, Parody",4 min. per ep.,G - All Ages,0,,,
89,Tiger & Bunny Pilot,,6.16,6469,8644,9,Special,1,Finished Airing,"May 27, 2011","None found, add some","None found, add some",Sunrise,Original,"Action, Comedy",Super Power,2 min.,PG-13 - Teens 13 or older,5,,,
90,Tiger Mask Fuku Men League Sen,Tiger Mask: War against the League of Masked Wrestlers,6.16,13331,8645,1,Movie,1,Finished Airing,"Jul 19, 1970","None found, add some","None found, add some",Toei Animation,Manga,Sports,Combat Sports,53 min.,PG-13 - Teens 13 or older,0,Shounen,,
91,True Tears: Raigomaru to Jibeta no Monogatari,,6.16,7123,8646,7,Special,1,Finished Airing,"Mar 26, 2010","Bandai Visual,       Lantis","None found, add some",P.A. Works,Original,"Drama, Romance",,8 min.,PG-13 - Teens 13 or older,3,,,
92,Umezu Kazuo no Noroi,The Curse of Kazuo Umezu,6.16,6830,8647,8,OVA,1,Finished Airing,"Mar 1, 1990",Takahashi Studio,"None found, add some","None found, add some",Manga,Horror,,43 min.,R - 17+ (violence & profanity),34,,,
93,Yin Yang Shi: Ping An Wu Yu 2nd Season,,6.16,13251,8648,1,ONA,12,Finished Airing,"Jun 26, 2019 to Oct 26, 2019","None found, add some","None found, add some","Blade,       Thundray",Game,"Comedy, Supernatural","Historical, Mythology",5 min. per ep.,PG-13 - Teens 13 or older,1,,,
94,Zhandou Wang Zhi Jufeng Zhan Hun 2,Infinity Nado 2,6.16,14781,8649,702,TV,40,Finished Airing,"Oct 2013 to Feb 24, 2014",Alpha Group Co. Ltd.,"None found, add some",Alpha Animation,Original,Action,,24 min. per ep.,PG - Children,5,,Fall 2013,Unknown
95,Attack No.1 (1970),,6.16,12417,8650,1,Movie,1,Finished Airing,"Mar 21, 1970",Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,"Drama, Sports",Team Sports,1 hr. 5 min.,PG-13 - Teens 13 or older,3,Shoujo,,
96,Miko no Tsutome!,,6.13,10874,8801,2,ONA,10,Finished Airing,"Dec 7, 2018 to Feb 8, 2019","None found, add some","None found, add some",Hololive Production,Original,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,12,,,
