,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes,Premiered,Broadcast
72,"Chiisana Tayori, Ookina Tayori.",,6.33,15934,7715,530,ONA,1,Finished Airing,"Dec 8, 2017","None found, add some","None found, add some","None found, add some",Original,Drama,,4 min.,G - All Ages,0,"Educational, Music",,
73,Cowboy Bebop: Ein no Natsuyasumi,Cowboy Bebop: Ein's Summer Vacation,6.33,4091,7716,29,Special,1,Finished Airing,"Dec 21, 2012","None found, add some",Funimation,Sunrise,Original,Comedy,,1 min.,G - All Ages,31,,,
74,Cyborg 009: Call of Justice 2,,6.33,9008,7717,4,Movie,1,Finished Airing,"Dec 2, 2016","Production I.G,       Ishimori Pro","None found, add some","OLM Digital,       Signal.MD",Manga,"Action, Adventure, Sci-Fi",Shounen,2 hr.,PG-13 - Teens 13 or older,0,,,
75,Cyborg 009: Chou Ginga Densetsu,Cyborg 009: Legend of the Super Galaxy,6.33,9814,7718,3,Movie,1,Finished Airing,"Dec 20, 1980","None found, add some","None found, add some",Toei Animation,Unknown,"Action, Sci-Fi",,2 hr. 9 min.,PG-13 - Teens 13 or older,4,Space,,
76,Dragon Quest: Dai no Daibouken Buchiyabure!! Shinsei 6 Daishougun,Dragon Quest Great Adventure of Dai! Destroy!! The Reborn 6 Commanders,6.33,10525,7719,2,Movie,1,Finished Airing,"Jul 11, 1992","None found, add some","None found, add some",Toei Animation,Game,"Action, Adventure, Fantasy",Shounen,40 min.,PG-13 - Teens 13 or older,1,,,
77,Edokko Boy: Gatten Tasuke,,6.33,13508,7720,1,TV,22,Finished Airing,"Oct 19, 1990 to Mar 22, 1991","TV Tokyo,       Yomiko Advertising","None found, add some",Pierrot,Manga,"Comedy, Sports",,24 min. per ep.,G - All Ages,1,"Detective, Martial Arts",Fall 1990,Unknown
78,Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen,Fate/Grand Order x Himuro's World: Seven Most Powerful Great Figures Chapter,6.33,4847,7721,20,TV Special,1,Finished Airing,"Dec 31, 2017","None found, add some","None found, add some",ufotable,Game,Comedy,,14 min.,PG-13 - Teens 13 or older,16,School,,
79,Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa,Geobreeders: Breakthrough,6.33,10664,7722,2,OVA,4,Finished Airing,"Jul 26, 2000 to Mar 23, 2001","None found, add some","None found, add some",Chaos Project,Manga,"Adventure, Comedy, Sci-Fi",Seinen,25 min. per ep.,R+ - Mild Nudity,3,,,
80,Haai Step Jun,,6.33,11691,7723,1,TV,45,Finished Airing,"Mar 10, 1985 to Jan 12, 1986","None found, add some","None found, add some",Toei Animation,Manga,"Action, Romance, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,3,School,Spring 1985,Sundays at 08:30 (JST)
81,HaruChika: Haruta to Chika wa Seishun suru,Haruchika: Haruta & Chika,6.33,2200,7724,92,TV,12,Finished Airing,"Jan 7, 2016 to Mar 24, 2016","Lantis,       Glovision,       Kadokawa",Funimation,P.A. Works,Novel,"Mystery, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,138,"Music, School",Winter 2016,Thursdays at 01:35 (JST)
82,Heart Cocktail,,6.33,11206,7725,2,TV,78,Finished Airing,"Oct 4, 1986 to Mar 27, 1988",Nippon Television Network,"None found, add some",Meruhensha,Manga,Romance,Seinen,3 min. per ep.,PG-13 - Teens 13 or older,3,,Fall 1986,Unknown
83,Hololive Summer 2022,,6.33,11866,7727,1,ONA,4,Finished Airing,"Aug 6, 2022 to Aug 29, 2022",Hololive Production,"None found, add some","None found, add some",Mixed media,"Adventure, Comedy",,3 min. per ep.,PG-13 - Teens 13 or older,6,Idols (Female),,
84,Heroman Specials,,6.33,9919,7726,3,Special,3,Finished Airing,"Sep 22, 2010 to Mar 16, 2011","None found, add some","None found, add some",Bones,Original,"Action, Sci-Fi",,4 min. per ep.,PG-13 - Teens 13 or older,1,"Mecha, Super Power",,
85,Hua Jianghu: Bei Mo Ting,A Portrait of Jianghu: Mourning Toast,6.33,13029,7728,1,ONA,40,Finished Airing,"Dec 7, 2016 to Sep 6, 2017","None found, add some","None found, add some",Rocen,Original,"Adventure, Fantasy, Romance",,23 min. per ep.,R - 17+ (violence & profanity),5,Martial Arts,,
86,Ichiban Chikakute Tooi Hoshi,The Nearest Distant Star,6.33,9676,7729,3,ONA,1,Finished Airing,"Aug 23, 2021","None found, add some","None found, add some",Flat Studio,Mixed media,Drama,,4 min.,PG - Children,6,Music,,
87,Jikuu Tantei Genshi-kun,Flint the Time Detective,6.33,6365,7730,10,TV,39,Finished Airing,"Oct 1, 1998 to Jun 24, 1999","Nihon Ad Systems,       Sanrio",Saban Entertainment,Group TAC,Manga,"Adventure, Comedy, Fantasy, Mystery, Sci-Fi",,25 min. per ep.,PG - Children,27,Time Travel,Fall 1998,Thursdays at 18:00 (JST)
88,Judo Sanka,,6.33,13641,7731,995,TV,27,Finished Airing,"Apr 1, 1974 to Sep 30, 1974",Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,Sports,Shounen,24 min. per ep.,G - All Ages,2,Combat Sports,Spring 1974,Unknown
89,Kenja no Deshi wo Nanoru Kenja,She Professed Herself Pupil of the Wise Man,6.33,1794,7732,123,TV,12,Finished Airing,"Jan 12, 2022 to Mar 30, 2022","DAX Production,       MAGES.,       Kadokawa,       Micro Magazine Publishing,       MAGNET,       Micro House",Funimation,Studio A-CAT,Light novel,"Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,650,"Isekai, Magical Sex Shift",Winter 2022,Wednesdays at 00:30 (JST)
90,Kino no Tabi: The Beautiful World - The Animated Series - Haikyo no Kuni - On Your Way,,6.33,8872,7733,4,Special,27,Finished Airing,"Jul 23, 2016 to Sep 2, 2016","None found, add some","None found, add some",Lerche,Light novel,Adventure,,4 min. per ep.,R - 17+ (violence & profanity),4,,,
91,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu vs. Nakimushi Idol!? Nihon 1-shuu Dai Sugoroku Game!!,,6.33,15224,7734,625,Special,1,Finished Airing,"Mar 27, 2005","None found, add some","None found, add some",Gallop,Manga,Comedy,Shounen,20 min.,PG-13 - Teens 13 or older,0,"Adult Cast, Detective",,
92,Koisuru Shirokuma Tokubetsu-ban,,6.33,12042,7735,1,ONA,3,Finished Airing,"Nov 1, 2017 to Jan 31, 2018","None found, add some","None found, add some","None found, add some",Manga,Comedy,Josei,1 min. per ep.,G - All Ages,2,Anthropomorphic,,
93,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO Recap,,6.33,8622,7736,4,TV Special,1,Finished Airing,"Jul 30, 2019","None found, add some","None found, add some",feel.,Visual novel,"Drama, Sci-Fi",,23 min.,PG-13 - Teens 13 or older,6,Time Travel,,
94,Koutetsu Sangokushi Special,,6.33,13438,7737,1,Special,1,Finished Airing,"Mar 26, 2008",Nihon Ad Systems,"None found, add some",Picture Magic,Unknown,Adventure,,23 min.,PG-13 - Teens 13 or older,0,Historical,,
95,Mahou Shoujo Tokushusen Asuka,Magical Girl Spec-Ops Asuka,6.33,2310,7739,85,TV,12,Finished Airing,"Jan 12, 2019 to Mar 30, 2019",Kadokawa,Funimation,LIDENFILMS,Manga,"Action, Drama, Fantasy",Seinen,24 min. per ep.,R - 17+ (violence & profanity),142,"Gore, Mahou Shoujo, Military",Winter 2019,Saturdays at 02:25 (JST)
96,Kuramerukagari,,6.34,8157,7738,5,Movie,1,Finished Airing,"Apr 12, 2024","Tokyo Theatres,       Twin Engine","None found, add some",Team OneOne,Original,"Mystery, Sci-Fi, Suspense",,1 hr. 1 min.,PG-13 - Teens 13 or older,7,Detective,,
97,Megami Kouhosei,Candidate for Goddesses,6.33,4609,7740,22,TV,12,Finished Airing,"Jan 20, 2000 to Mar 27, 2000","Bandai Visual,       ING","Bandai Entertainment,       Discotek Media",Xebec,Manga,"Action, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,48,"Mecha, Military, Space",Winter 2000,Mondays at 18:00 (JST)
98,Muu no Hakugei,The White Whale of Mu,6.33,11317,7741,2,TV,26,Finished Airing,"Apr 4, 1980 to Sep 26, 1980",Yomiuri Telecasting,"None found, add some",Tokyo Movie Shinsha,Original,"Action, Fantasy, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,8,,Spring 1980,Fridays at 18:00 (JST)
99,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,6.33,1422,7742,166,TV,12,Finished Airing,"Jan 10, 2023 to Mar 28, 2023","Frontier Works,       Pony Canyon,       Studio Mausu,       Hakuhodo DY Music & Pictures,       BS11,       Kadokawa,       Geek Pictures","None found, add some",Geek Toys,Light novel,"Action, Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,691,,Winter 2023,Tuesdays at 23:00 (JST)
100,Origami Warriors,,6.33,15727,7743,552,TV,52,Finished Airing,2004,SBS TV Production,"None found, add some","None found, add some",Unknown,"Action, Adventure",,30 min. per ep.,None,2,,?,Unknown
101,Otogi Juushi Akazukin OVA,,6.33,11265,7744,2,OVA,1,Finished Airing,"Feb 20, 2005","None found, add some","None found, add some",Madhouse,Original,"Adventure, Comedy, Fantasy",,37 min.,PG-13 - Teens 13 or older,1,,,
102,Persona 5 the Animation Recap,,6.33,7832,7745,6,TV Special,1,Finished Airing,"Dec 30, 2018","None found, add some","None found, add some",CloverWorks,Game,"Action, Supernatural",,24 min.,R - 17+ (violence & profanity),4,"School, Super Power",,
103,Pianoman,,6.33,12254,7746,1,ONA,1,Finished Airing,"Jan 17, 2020","None found, add some","None found, add some",Echoes,Original,Fantasy,,5 min.,PG-13 - Teens 13 or older,1,"Music, Mythology, Psychological",,
