,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes,Premiered,Broadcast
0,Pokemon Diamond & Pearl: Clip Show,,6.35,8987,7645,4,TV Special,1,Finished Airing,"Sep 28, 2006",TV Tokyo,"None found, add some",OLM,Game,"Action, Adventure, Comedy, Fantasy",Kids,24 min.,PG - Children,0,,,
1,Popee the Performer: Countdown Special,,6.35,13503,7646,1,Special,1,Finished Airing,"Dec 31, 2002","None found, add some","None found, add some",Zuiyo,Original,Comedy,,5 min.,R - 17+ (violence & profanity),2,"Mythology, School",,
2,Otogi Story Tenshi no Shippo Specials,Angel Tales,6.35,10909,7644,2,OVA,2,Finished Airing,"Mar 25, 2002 to Jul 25, 2002","None found, add some",Bandai Entertainment,Tokyo Kids,Unknown,"Comedy, Fantasy, Romance",,23 min. per ep.,PG-13 - Teens 13 or older,1,,,
3,Ookii 1-nensei to Chiisana 2-nensei,The Big First-Grader and the Small Second-Grader,6.35,8481,7643,5,Movie,1,Finished Airing,"Mar 1, 2014","None found, add some","None found, add some",A-1 Pictures,Original,Adventure,,25 min.,PG - Children,0,,,
4,Qin Xia,The Warrior From Qin,6.35,10766,7647,2,ONA,12,Finished Airing,"Oct 16, 2020 to Dec 25, 2020","Tencent Animation & Comics,       Qiyuan Yinghua","None found, add some","None found, add some",Web manga,"Action, Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,4,,,
5,Rakudai Majo: Fuuka to Yami no Majo,The Klutzy Witch: Fuuka and the Witch of Darkness,6.35,9739,7648,3,Movie,1,Finished Airing,"Mar 31, 2023",Pony Canyon,"None found, add some",Production I.G,Book,Fantasy,,59 min.,PG-13 - Teens 13 or older,6,,,
6,RoboMasters the Animated Series,,6.35,5852,7650,12,TV,6,Finished Airing,"Oct 13, 2017 to Nov 17, 2017",DJI,"None found, add some","Gonzo,       DandeLion Animation Studio",Original,,,24 min. per ep.,PG-13 - Teens 13 or older,15,School,Fall 2017,Fridays at 22:30 (JST)
7,Ring ni Kakero 1,,6.35,8450,7649,5,TV,12,Finished Airing,"Oct 6, 2004 to Dec 15, 2004","None found, add some","None found, add some",Toei Animation,Manga,Sports,Shounen,23 min. per ep.,PG - Children,3,Combat Sports,Fall 2004,Unknown
8,Kacchikenee!,,6.34,10989,7653,2,Movie,1,Finished Airing,"Mar 19, 2016","None found, add some","None found, add some",Tezuka Productions,Original,Supernatural,,24 min.,PG-13 - Teens 13 or older,4,Visual Arts,,
9,Jurassic!,,6.34,10893,7652,2,ONA,1,Finished Airing,"Aug 24, 2019","None found, add some","None found, add some",Toei Animation,Picture book,Fantasy,,1 min.,G - All Ages,3,Historical,,
10,RWBY: Hyousetsu Teikoku,RWBY: Ice Queendom,6.35,1991,7651,107,TV,12,Finished Airing,"Jul 3, 2022 to Sep 18, 2022","Warner Bros. Japan,       Good Smile Company,       KLab,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",Shaft,Other,Action,,24 min. per ep.,PG-13 - Teens 13 or older,636,,Summer 2022,Sundays at 22:30 (JST)
11,Kaiketsu Zorori Movie: Uchuu no Yuusha-tachi,,6.34,15779,7654,545,Movie,1,Finished Airing,"Sep 12, 2015","None found, add some","None found, add some","Ajia-do,       Bandai Namco Pictures",Picture book,"Adventure, Comedy",,48 min.,PG - Children,1,,,
12,Lily to Kaeru to (Otouto),"Lily, Frogs, and Little Brother.",6.34,12432,7656,1,TV Special,1,Finished Airing,"Aug 20, 2006","None found, add some","None found, add some",Toei Animation,Original,"Adventure, Comedy, Supernatural",,27 min.,PG - Children,0,,,
13,Kidou Senshi Gundam UC: One of Seventy Two,Mobile Suit Gundam Unicorn: One of Seventy Two,6.34,10423,7655,2,Special,1,Finished Airing,"Aug 3, 2013","None found, add some","None found, add some",Sunrise,Novel,,,Unknown,PG-13 - Teens 13 or older,1,Mecha,,
14,Mashin Eiyuuden Wataru: Owarinaki Toki no Monogatari,,6.34,13688,7657,981,OVA,3,Finished Airing,"Oct 1, 1993 to Feb 1, 1994","None found, add some","None found, add some",Sunrise,Unknown,Fantasy,,28 min. per ep.,None,0,,,
15,Mushrambo (2008),,6.34,11256,7658,2,OVA,2,Finished Airing,"Sep 21, 2008","None found, add some","None found, add some",Toei Animation,Unknown,"Action, Adventure, Fantasy, Sci-Fi",,1 hr. 30 min. per ep.,PG - Children,3,,,
16,Nintama Rantarou Movie,,6.34,14458,7660,780,Movie,1,Finished Airing,"Jun 29, 1996","None found, add some","None found, add some",Ajia-do,Unknown,Comedy,Shounen,46 min.,G - All Ages,2,,,
17,NG Knight Ramune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen,,6.34,11977,7659,1,OVA,3,Finished Airing,"Jul 21, 1991 to Nov 21, 1991","None found, add some",Discotek Media,Ashi Productions,Original,"Adventure, Comedy, Fantasy",,30 min. per ep.,PG-13 - Teens 13 or older,2,Mecha,,
18,Pika Don,,6.34,13080,7661,1,Movie,1,Finished Airing,1978,Studio Lotus,"None found, add some","None found, add some",Unknown,Drama,,9 min.,R+ - Mild Nudity,0,Historical,,
19,Pokemon XY: New Year's Eve 2014 Super Mega Special,,6.34,8954,7662,4,TV Special,1,Finished Airing,"Dec 31, 2014",TV Tokyo,"None found, add some",OLM,Game,"Action, Adventure, Comedy, Fantasy",Kids,48 min.,PG - Children,0,,,
20,Recorder to Randoseru Mi☆ Special,,6.34,7473,7663,6,Special,1,Finished Airing,"Oct 2, 2013",Takeshobo,"None found, add some",Seven,4-koma manga,"Comedy, Slice of Life",Seinen,3 min.,PG-13 - Teens 13 or older,1,School,,
21,Sengoku Basara Movie: 4-koma Gekijou - Another Last Party,,6.34,9747,7664,3,Special,5,Finished Airing,"Dec 7, 2011","None found, add some",Funimation,Production I.G,Game,Comedy,,1 min. per ep.,PG-13 - Teens 13 or older,4,Historical,,
22,Sensou no Tsukurikata,What Happens Before War?,6.34,12838,7665,1,Movie,1,Finished Airing,"Oct 2, 2015","None found, add some","None found, add some",Saigo no Shudan,Picture book,Drama,,7 min.,PG - Children,0,,,
23,Shaonian Jinyiwei 2nd Season,,6.34,15074,7666,649,ONA,13,Finished Airing,"Oct 5, 2017 to Jan 11, 2018","Boyan Pictures,       Youku","None found, add some","None found, add some",Original,"Action, Adventure, Mystery, Romance",,20 min. per ep.,PG-13 - Teens 13 or older,6,"Historical, Martial Arts",,
24,Shi Wan Ge Leng Xiaohua Movie 1,One Hundred Thousand Bad Jokes,6.34,14383,7667,800,Movie,1,Finished Airing,"Jan 1, 2015",Yaoqi,"None found, add some",L²Studio,Web manga,"Action, Adventure, Comedy, Fantasy",,1 hr. 40 min.,PG-13 - Teens 13 or older,1,Parody,,
25,Sol Bianca: Taiyou no Fune,Sol Bianca: The Legacy,6.34,8013,7668,5,OVA,6,Finished Airing,"Sep 24, 1999 to Oct 6, 2000",Pioneer LDC,Geneon Entertainment USA,AIC,Original,"Adventure, Sci-Fi",,29 min. per ep.,R+ - Mild Nudity,14,"Mecha, Space",,
26,"Soukou Kihei Votoms Vol.I: Stories of the ""A.T.Votoms""",,6.34,12696,7669,1,OVA,1,Finished Airing,"Jun 21, 1985","None found, add some",Maiden Japan,Sunrise,Original,"Action, Drama, Sci-Fi",,55 min.,R+ - Mild Nudity,0,"Mecha, Military",,
27,Teekyuu 4 Specials,Teekyu 4 Specials,6.34,7899,7670,6,Special,2,Finished Airing,"Aug 28, 2015","DAX Production,       Earth Star Entertainment","None found, add some",Millepensee,Manga,"Comedy, Sports",Shounen,2 min. per ep.,PG-13 - Teens 13 or older,0,School,,
28,Tom to Jerry,Tom and Jerry,6.34,15887,7671,535,Special,1,Finished Airing,"Mar 12, 2021","None found, add some","None found, add some","None found, add some",Other,Comedy,Kids,1 min.,G - All Ages,1,,,
29,TV Yarou Nanaana,Wacky TV Na Na Na,6.34,11370,7672,2,TV,24,Finished Airing,"Apr 6, 2018 to Sep 14, 2018","None found, add some","None found, add some",Studio Crocodile,Original,"Adventure, Comedy",,3 min. per ep.,PG-13 - Teens 13 or older,8,Workplace,Spring 2018,Fridays at 21:54 (JST)
30,Uchuu Senkan Tiramisù Specials,,6.34,9425,7673,3,Special,3,Finished Airing,"Jun 27, 2018 to Jul 25, 2018","None found, add some",Funimation,Gonzo,Web manga,"Comedy, Sci-Fi",,7 min. per ep.,PG-13 - Teens 13 or older,0,"Mecha, Parody, Space",,
31,Umayon,,6.34,5172,7674,17,TV,12,Finished Airing,"Jul 7, 2020 to Sep 22, 2020",Cygames,"None found, add some","W-Toon Studio,       DMM.futureworks",4-koma manga,Comedy,,3 min. per ep.,PG-13 - Teens 13 or older,11,Anthropomorphic,Summer 2020,Tuesdays at 21:54 (JST)
32,Utawarerumono OVA Picture Drama,,6.34,8106,7675,5,Special,3,Finished Airing,"Jun 24, 2009 to Jun 23, 2010",Frontier Works,Sentai Filmworks,"None found, add some",Visual novel,"Comedy, Fantasy",,18 min. per ep.,PG-13 - Teens 13 or older,3,,,
33,Wo Zai Xianjie Zheng Jifen,Leveling up in a Fantasy World,6.34,13644,7676,994,ONA,40,Finished Airing,"Nov 5, 2022 to Mar 18, 2023",Youku,"None found, add some",Quyue Technology,Web novel,"Action, Fantasy",,9 min. per ep.,PG-13 - Teens 13 or older,3,Martial Arts,,
34,Wuhang Zhanshen,Five Element God of War,6.34,15776,7677,546,ONA,50,Finished Airing,"Jun 24, 2023 to Dec 2, 2023",iQIYI,"None found, add some",Ruo Hong Culture,Unknown,"Action, Adventure, Fantasy",,10 min. per ep.,PG-13 - Teens 13 or older,3,Martial Arts,,
35,Yami Shibai 3,Theatre of Darkness: Yamishibai 3,6.34,3648,7678,38,TV,13,Finished Airing,"Jan 11, 2016 to Apr 4, 2016",TV Tokyo,"None found, add some",ILCA,Original,"Avant Garde, Horror, Supernatural",,4 min. per ep.,PG-13 - Teens 13 or older,46,,Winter 2016,Mondays at 02:35 (JST)
36,Zeno: Kagirinaki Ai ni,,6.34,13961,7679,904,Movie,1,Finished Airing,"May 15, 1999",Robot Communications,"None found, add some","None found, add some",Unknown,Drama,,1 hr. 12 min.,G - All Ages,3,Historical,,
37,Aria the Avvenire Sound Novel,,6.34,16742,7680,444,Special,4,Finished Airing,"Mar 23, 2016 to Jun 24, 2016","None found, add some","None found, add some",TYO Animations,Manga,"Fantasy, Sci-Fi, Slice of Life",Shounen,14 min. per ep.,G - All Ages,0,Iyashikei,,
38,Bakugan Battle Brawlers: Gundalian Invaders,Bakugan: Gundalian Invaders,6.34,3139,7681,50,TV,39,Finished Airing,"Apr 3, 2011 to Jan 22, 2012",Sega,Nelvana,TMS Entertainment,Original,"Action, Adventure, Fantasy",,24 min. per ep.,G - All Ages,100,Strategy Game,Spring 2011,Unknown
39,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA,My Girlfriend is Shobitch OVA,6.34,3284,7682,45,OVA,1,Finished Airing,"Mar 26, 2018","None found, add some",Sentai Filmworks,"Diomedéa,       Studio Blanc.",Web manga,"Comedy, Romance, Ecchi",,23 min.,R+ - Mild Nudity,34,School,,
40,Captain (TV),,6.34,12924,7684,1,TV,26,Finished Airing,"Jan 10, 1983 to Jul 4, 1983","None found, add some","None found, add some",Eiken,Manga,Sports,Shounen,24 min. per ep.,G - All Ages,3,Team Sports,Winter 1983,Unknown
41,Breakers,,6.34,6273,7683,10,TV,16,Finished Airing,"Jan 7, 2020 to May 26, 2020","NHK,       NHK Enterprises","None found, add some","Albacrow,       l-a-unch・BOX,       Studio CANDY BOX,       Blaze Studio",Original,Sports,,8 min. per ep.,PG-13 - Teens 13 or older,8,Team Sports,Winter 2020,Tuesdays at 18:45 (JST)
42,Cardfight!! Vanguard: Zoku Koukousei-hen,,6.34,7645,7685,6,TV,14,Finished Airing,"May 11, 2019 to Aug 10, 2019","None found, add some","None found, add some",OLM,Original,Action,,23 min. per ep.,PG-13 - Teens 13 or older,8,Strategy Game,Spring 2019,Saturdays at 08:00 (JST)
43,Changjiang 7 Hao Ai Diqiu,CJ7: The Cartoon,6.34,15876,7686,535,Movie,1,Finished Airing,"Jul 9, 2010","None found, add some","None found, add some","None found, add some",Other,,Kids,1 hr. 22 min.,G - All Ages,1,,,
44,Chiisana Kyojin Microman,,6.34,11976,7687,1,TV,52,Finished Airing,"Jan 4, 1999 to Dec 27, 1999","TV Tokyo,       Yomiko Advertising","None found, add some",Pierrot,Other,"Action, Adventure, Comedy, Sci-Fi",,25 min. per ep.,G - All Ages,3,"Mecha, Super Power",Winter 1999,Mondays at 18:00 (JST)
45,Chironup no Kitsune,,6.34,12616,7688,1,Movie,1,Finished Airing,"Aug 15, 1987","None found, add some","None found, add some",Group TAC,Novel,Drama,,1 hr. 12 min.,G - All Ages,7,,,
46,Choujin Locke,Locke the Superman,6.34,9054,7689,4,Movie,1,Finished Airing,"Mar 11, 1984","None found, add some","Central Park Media,       Sentai Filmworks,       Discotek Media",Nippon Animation,Manga,"Action, Sci-Fi",,1 hr. 59 min.,R+ - Mild Nudity,13,Super Power,,
47,Cyborg 009: Call of Justice 3,,6.34,8861,7690,4,Movie,1,Finished Airing,"Dec 9, 2016","Production I.G,       Ishimori Pro","None found, add some","OLM Digital,       Signal.MD",Manga,"Action, Adventure, Sci-Fi",Shounen,2 hr.,PG-13 - Teens 13 or older,3,,,
48,D.C.III: Da Capo III Special,,6.34,8100,7691,5,Special,1,Finished Airing,"Dec 31, 2012","None found, add some","None found, add some",Kazami Gakuen Koushiki Douga-bu,Visual novel,"Drama, Romance",,23 min.,PG-13 - Teens 13 or older,2,"Music, School",,
49,Daishizen no Majuu: Bagi,"Bagi, the Monster of Mighty Nature",6.34,9268,7692,3,TV Special,1,Finished Airing,"Aug 19, 1984","None found, add some","None found, add some",Tezuka Productions,Original,"Action, Romance, Sci-Fi",,1 hr. 24 min.,PG-13 - Teens 13 or older,16,,,
50,Eromanga-sensei,Eromanga Sensei,6.34,280,7694,723,TV,12,Finished Airing,"Apr 9, 2017 to Jun 25, 2017","Aniplex,       Movic,       ASCII Media Works,       BS11,       Kinoshita Group Holdings",Aniplex of America,A-1 Pictures,Light novel,"Comedy, Romance, Ecchi",,23 min. per ep.,PG-13 - Teens 13 or older,"2,746",Otaku Culture,Spring 2017,Sundays at 00:30 (JST)
