,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
25,Kuruneko: Nyaalock Holmes no Bouken,,6.21,15672,8397,558,Special,4,Finished Airing,"Dec 17, 2010 to Sep 2, 2011",,,"Kadokawa Pictures Japan,       Kansai Telecasting,       Tokai Television","None found, add some",DAX Production,Manga,"Comedy, Slice of Life",6 min. per ep.,G - All Ages,0,Pets,
26,Kurumiwari Ningyou,Nutcracker Fantasy,6.21,13172,8396,1,Movie,1,Finished Airing,"Mar 3, 1979",,,Sanrio,Discotek Media,"None found, add some",Unknown,"Drama, Fantasy, Romance",1 hr. 34 min.,G - All Ages,2,,
27,Lupin III 3DCG,,6.21,10880,8398,2,Special,1,Finished Airing,"Mar 28, 2012",,,TMS Entertainment,"None found, add some",Marza Animation Planet,Manga,"Action, Suspense",2 min.,PG-13 - Teens 13 or older,1,,
28,Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,,6.21,12174,8399,1,TV,26,Finished Airing,"Jan 9, 1980 to Jul 9, 1980",Winter 1980,Wednesdays at 19:00 (JST),"None found, add some","None found, add some",Toei Animation,Other,"Adventure, Fantasy",25 min. per ep.,G - All Ages,2,,
29,Mainichi ga Nichiyoubi,,6.21,10576,8400,2,OVA,6,Finished Airing,"Sep 10, 1990 to Oct 25, 1992",,,"animate Film,       Tokuma Japan","None found, add some","Production I.G,       Group TAC",Manga,"Comedy, Romance",25 min. per ep.,R+ - Mild Nudity,4,Detective,
30,Miss Monochrome The Animation: Soccer-hen,,6.21,6991,8401,8,ONA,1,Finished Airing,"Jun 17, 2014",,,"None found, add some","None found, add some","SANZIGEN,       LIDENFILMS",Original,"Comedy, Slice of Life, Sports",4 min.,G - All Ages,2,Idols (Female),
31,Mutekiou Tri-Zenon,Invincible King Tri-Zenon,6.21,11321,8402,2,TV,22,Finished Airing,"Oct 14, 2000 to Mar 17, 2001",Fall 2000,Saturdays at 17:30 (JST),"None found, add some","None found, add some",E&G Films,Original,Sci-Fi,25 min. per ep.,G - All Ages,2,Mecha,
32,Ni Zhenshi Ge Tiancai,,6.21,13401,8403,1,ONA,24,Finished Airing,"Apr 23, 2022 to Jul 9, 2022",,,bilibili,"None found, add some",Mili Pictures,Web novel,"Comedy, Fantasy",10 min. per ep.,PG-13 - Teens 13 or older,2,,
33,Ningyohime Marina no Bouken,Saban's Adventures of the Little Mermaid,6.21,11664,8404,1,TV,26,Finished Airing,"Feb 2, 1991 to Jul 27, 1991",Winter 1991,Saturdays at 05:00 (JST),Fuji TV,Saban Entertainment,Telescreen,Unknown,"Drama, Fantasy, Romance",22 min. per ep.,G - All Ages,3,,Kids
34,Norakuro-kun,,6.21,14495,8405,774,TV,50,Finished Airing,"Oct 4, 1987 to Oct 2, 1988",Fall 1987,Unknown,"Yomiko Advertising,       Fuji TV","None found, add some",Pierrot,Manga,"Comedy, Mystery",25 min. per ep.,G - All Ages,1,,
35,Oniichan dakedo Ai sae Areba Kankeinai yo ne! Specials,OniAi Specials,6.21,3573,8406,39,Special,6,Finished Airing,"Dec 26, 2012 to May 29, 2013",,,"None found, add some",Funimation,SILVER LINK.,Light novel,"Comedy, Ecchi",3 min. per ep.,R+ - Mild Nudity,24,,
36,Onikirimaru,Ogre Slayer,6.21,9484,8407,3,OVA,4,Finished Airing,"Sep 9, 1994 to Jul 21, 1995",,,"KSS,       OB Planning,       TBS,       Shogakukan",VIZ Media,Pastel,Manga,"Action, Horror, Supernatural",29 min. per ep.,R - 17+ (violence & profanity),3,"Gore, Martial Arts, Mythology",Shounen
37,Overlord: Oukoku no Kan-tachi - Drama CD-tsuki Tokusou-ban,Overlord: The Maid Tea Party,6.21,5771,8408,13,ONA,1,Finished Airing,"Jan 28, 2014",,,"None found, add some","None found, add some","None found, add some",Light novel,Comedy,5 min.,PG-13 - Teens 13 or older,10,,
38,Rinne no Lagrange Specials,Lagrange: The Flower of Rin-ne Specials,6.21,8021,8409,5,Special,6,Finished Airing,"Mar 23, 2012 to Aug 24, 2012",,,"Production I.G,       Bandai Visual,       flying DOG,       Dwango","None found, add some",Xebec,Original,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,3,,
39,Shin Don Chuck Monogatari,,6.21,13162,8410,1,TV,73,Finished Airing,"Apr 7, 1976 to Mar 25, 1978",Spring 1976,Unknown,"None found, add some","None found, add some",Knack Productions,Unknown,"Adventure, Slice of Life",25 min. per ep.,G - All Ages,3,,Kids
40,Shirotan: Shirotan ga Ippai!,,6.21,16627,8411,456,ONA,24,Finished Airing,"Aug 12, 2017 to Jun 23, 2018",,,"None found, add some","None found, add some","None found, add some",Other,,1 min. per ep.,G - All Ages,1,,Kids
41,Sinbad: Soratobu Hime to Himitsu no Shima,Sindbad: The Flying Princess and the Secret Island,6.21,10963,8412,2,Movie,1,Finished Airing,"Jul 4, 2015",,,Shirogumi,"None found, add some",Nippon Animation,Original,Adventure,50 min.,G - All Ages,0,,
42,Sita Wihayeo,For the Sake of Sita,6.21,13132,8413,1,ONA,1,Finished Airing,"Feb 26, 2020",,,"None found, add some","None found, add some","None found, add some",Web manga,"Drama, Fantasy, Romance",4 min.,PG-13 - Teens 13 or older,3,,
43,Sono Hanabira ni Kuchizuke wo: Risa x Miya Gekijou,,6.21,7061,8414,8,ONA,10,Finished Airing,"Nov 9, 2012 to Dec 28, 2012",,,ChuChu,"None found, add some","None found, add some",Visual novel,"Comedy, Girls Love, Slice of Life",9 min. per ep.,PG-13 - Teens 13 or older,19,School,
44,Suteki na Okurimono,,6.21,17017,8417,421,ONA,1,Finished Airing,"Jun 11, 2019",,,"None found, add some","None found, add some","None found, add some",Original,"Romance, Supernatural",2 min.,G - All Ages,0,,
45,Space Fantasia 2001 Nights,,6.21,9310,8415,3,OVA,1,Finished Airing,"Jun 21, 1987",,,"None found, add some","None found, add some",TMS Entertainment,Manga,"Drama, Sci-Fi",57 min.,R+ - Mild Nudity,1,Space,Seinen
46,Tell the Story to You,,6.21,17753,8418,368,Special,2,Finished Airing,"Oct 10, 2020 to Mar 13, 2021",,,"None found, add some","None found, add some",Flat Studio,Original,,1 min. per ep.,PG-13 - Teens 13 or older,0,Music,
47,Suna no Bara: Yuki no Mokushiroku,,6.21,8717,8416,4,OVA,1,Finished Airing,"Apr 25, 1993",,,"Toei Video,       Hakusensha","None found, add some",J.C.Staff,Manga,Action,44 min.,R - 17+ (violence & profanity),10,,
48,Tenkuu Senki Shurato Recaps,,6.21,14995,8419,667,TV Special,2,Finished Airing,"Dec 7, 1989 to Jan 25, 1990",,,"None found, add some","None found, add some",Tatsunoko Production,Unknown,"Action, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,0,,
49,Tottoko Hamtarou OVA 3: Hamuchanzu to Niji no Kuni no Oujisama - Sekai de Ichiban no Takaramono,,6.21,12218,8422,1,OVA,1,Finished Airing,"Mar 24, 2004",,,Shogakukan-Shueisha Productions,"None found, add some",TMS Entertainment,Unknown,"Adventure, Comedy",45 min.,G - All Ages,1,,Kids
50,Tondera House no Daibouken,The Flying House,6.21,11915,8421,1,TV,52,Finished Airing,"Apr 5, 1982 to Mar 28, 1983",Spring 1982,Unknown,"None found, add some","None found, add some",Tatsunoko Production,Original,"Adventure, Sci-Fi",24 min. per ep.,G - All Ages,9,"Historical, Time Travel",
51,Tentoumushi no Uta,Song of the Ladybug,6.21,12744,8420,1,TV,104,Finished Airing,"Oct 6, 1974 to Sep 26, 1976",Fall 1974,Unknown,"None found, add some","None found, add some",Tatsunoko Production,Manga,"Adventure, Slice of Life",25 min. per ep.,G - All Ages,3,,
52,Trigger-chan,,6.21,5897,8423,12,ONA,1,Finished Airing,"Aug 22, 2016",,,"None found, add some","None found, add some",Trigger,Original,Action,31 sec.,PG-13 - Teens 13 or older,6,,
53,UFO Senshi Dai Apolon 2,,6.21,13651,8424,991,TV,21,Finished Airing,"Oct 7, 1976 to Feb 24, 1977",Fall 1976,Saturdays at 19:00 (JST),"None found, add some","None found, add some","Eiken,       Studio Live",Original,"Action, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,1,Mecha,
54,Usuzumizakura: Garo,Garo: The Fleeting Cherry Blossom,6.21,8178,8425,5,Movie,1,Finished Airing,"Oct 6, 2018",,,Tohokushinsha Film Corporation,"None found, add some","Studio VOLN,       Studio M2",Original,"Action, Fantasy, Supernatural",1 hr. 22 min.,PG-13 - Teens 13 or older,3,Mythology,
55,Xinghe Zhizun,,6.21,11847,8426,1,ONA,45,Finished Airing,"Jun 10, 2021 to Oct 30, 2021",,,Youku,"None found, add some",Ruo Hong Culture,Web novel,"Action, Fantasy",7 min. per ep.,PG-13 - Teens 13 or older,9,Historical,
56,Yu☆Gi☆Oh! Zexal Special,,6.21,8180,8427,5,Special,1,Finished Airing,"Sep 17, 2012",,,"TV Tokyo,       Nihon Ad Systems","None found, add some",Gallop,Manga,"Action, Fantasy",8 min.,PG-13 - Teens 13 or older,6,Strategy Game,Shounen
57,Shin Dousei Jidai: Hawaiian Breeze,,6.20,12754,8428,1,OVA,1,Finished Airing,"Jul 3, 1992",,,Japan Home Video,"None found, add some",Animaruya,Manga,"Drama, Romance",41 min.,PG-13 - Teens 13 or older,0,,
58,Shin Kyojin no Hoshi,,6.20,13139,8429,1,TV,52,Finished Airing,"Oct 1, 1977 to Sep 30, 1978",Fall 1977,Unknown,"Tokyo Movie Shinsha,       Yomiuri Telecasting","None found, add some","None found, add some",Manga,Sports,25 min. per ep.,G - All Ages,1,Team Sports,
59,Tantei Team KZ Jiken Note,,6.20,5544,8430,14,TV,16,Finished Airing,"Oct 7, 2015 to Jan 27, 2016",Fall 2015,Wednesdays at 18:45 (JST),"None found, add some","None found, add some",Signal.MD,Novel,Mystery,9 min. per ep.,PG - Children,16,School,
60,Tongari Boushi no Memole: Marielle no Housekibako,,6.20,14514,8431,770,OVA,1,Finished Airing,"Jul 21, 1985",,,"None found, add some","None found, add some",Toei Animation,Original,Fantasy,1 hr. 15 min.,G - All Ages,1,,
61,Tottoko Hamtarou no Tottoko Daijida!! Bousai Kunren,,6.20,15193,8432,630,OVA,1,Finished Airing,2003,,,"None found, add some","None found, add some","None found, add some",Manga,Drama,13 min.,G - All Ages,0,Educational,Kids
62,Uma no Friends,,6.20,9077,8433,4,ONA,1,Finished Airing,"Aug 8, 2017",,,Aoni Production,"None found, add some","None found, add some",Game,"Comedy, Fantasy, Sports",3 min.,G - All Ages,3,,
63,With Pochi! Yoshi's Woolly World Special Anime,,6.20,18093,8434,340,ONA,31,Finished Airing,"Jan 19, 2017",,,Nintendo,"None found, add some",dwarf,Game,"Comedy, Slice of Life",34 sec. per ep.,G - All Ages,0,,
64,Yawara! Sore Yuke Koshinuke Kids!!,,6.20,10268,8436,2,Movie,1,Finished Airing,"Aug 1, 1992",,,Kitty Films,"None found, add some",Madhouse,Manga,"Comedy, Romance, Sports",1 hr.,PG-13 - Teens 13 or older,1,Combat Sports,Seinen
65,Yami Shibai 6,Theatre of Darkness: Yamishibai 6,6.20,4686,8435,22,TV,13,Finished Airing,"Jul 7, 2018 to Sep 29, 2018",Summer 2018,Saturdays at 04:00 (JST),TV Tokyo,"None found, add some",ILCA,Original,"Avant Garde, Horror, Supernatural",4 min. per ep.,PG-13 - Teens 13 or older,6,,
66,Yofukashi no Uta Mini,Call of the Night Mini,6.20,8512,8437,5,ONA,22,Finished Airing,"Jun 7, 2022 to Oct 2, 2022",,,"None found, add some","None found, add some",AQUA ARIS,Manga,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,9,,
67,Yurumates wa?,,6.20,10059,8439,3,OVA,1,Finished Airing,"Jun 24, 2011",,,"Indeprox,       Takeshobo,       indigo line","None found, add some","None found, add some",4-koma manga,"Comedy, Slice of Life",35 min.,PG-13 - Teens 13 or older,0,,Seinen
68,Yubisaki to Renren Mini Anime,A Sign of Affection Mini Anime,6.20,12549,8438,1,ONA,12,Finished Airing,"Jan 7, 2024 to Mar 24, 2024",,,"None found, add some","None found, add some",AQUA ARIS,Manga,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,2,Adult Cast,Shoujo
69,B: The Beginning Succession,,6.20,2118,8440,98,ONA,6,Finished Airing,"Mar 18, 2021",,,Netflix,"None found, add some",Production I.G,Original,"Action, Mystery, Supernatural, Suspense",23 min. per ep.,R+ - Mild Nudity,169,"Detective, Psychological",
70,Balala Xiao Mo Xian Zhi: Meng Huan Xuan Lu,Balala the Fairies: Finding Melody,6.20,12002,8441,1,TV,52,Finished Airing,"Jan 26, 2015 to Aug 26, 2015",Winter 2015,Not scheduled once per week,"B.CMAY PICTURES,       Alpha Group Co. Ltd.","None found, add some","None found, add some",Unknown,"Comedy, Fantasy",22 min. per ep.,PG - Children,4,Mahou Shoujo,
71,Blue Gender: The Warrior,,6.20,6070,8442,11,Movie,1,Finished Airing,"Nov 20, 2002",,,"None found, add some",Funimation,AIC,Original,"Action, Adventure, Drama, Horror, Sci-Fi",1 hr. 38 min.,R - 17+ (violence & profanity),8,"Gore, Mecha, Military, Space",
72,Chitose Get You!!,,6.20,4804,8443,21,TV,26,Finished Airing,"Jul 2, 2012 to Dec 24, 2012",Summer 2012,Mondays at Unknown,"AT-X,       Takeshobo,       Dream Creation","None found, add some",SILVER LINK.,4-koma manga,"Comedy, Romance",3 min. per ep.,PG-13 - Teens 13 or older,15,School,Seinen
73,Dance with Devils,,6.20,1743,8444,129,TV,12,Finished Airing,"Oct 7, 2015 to Dec 23, 2015",Fall 2015,Wednesdays at 23:30 (JST),"Avex Entertainment,       Nihon Ad Systems,       Movic,       KlockWorx,       DIVE II Entertainment",Funimation,Brain's Base,Mixed media,"Fantasy, Romance",23 min. per ep.,R - 17+ (violence & profanity),548,"Mythology, Reverse Harem, School, Vampire",
74,Doraemon Anniversary 25,Doraemon the Movie 25th Anniversary,6.20,13097,8445,1,Movie,1,Finished Airing,"Mar 6, 2004",,,"None found, add some","None found, add some",Shin-Ei Animation,Manga,"Comedy, Sci-Fi",4 min.,G - All Ages,2,,"KidsKids,         ShounenShounen"
75,Eddy & Emmy no Initial Ring wa Futari de,,6.20,17669,8446,374,OVA,1,Finished Airing,"May 21, 1993",,,Sanrio,"None found, add some","None found, add some",Original,,10 min.,G - All Ages,1,,Kids
76,Esper Mami Special: My Angel Mami-chan,,6.20,15736,8447,551,Special,1,Finished Airing,"Dec 27, 1988",,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Comedy, Supernatural",23 min.,PG-13 - Teens 13 or older,1,Super Power,
77,Gakuen Basara,Gakuen Basara: Samurai High School,6.20,5009,8448,19,TV,12,Finished Airing,"Oct 5, 2018 to Dec 21, 2018",Fall 2018,Fridays at 01:28 (JST),"TBS,       DAX Production,       High Kick Entertainment",Sentai Filmworks,Brain's Base,Game,"Action, Comedy",24 min. per ep.,PG-13 - Teens 13 or older,29,School,
78,Gegege no Kitarou: Gekitotsu!! Ijigen Youkai no Daihanran,Spooky Kitaro: Crash!! The Great Rebellion of the Multi-Dimensional Yōkai,6.20,13977,8449,901,Movie,1,Finished Airing,"Dec 20, 1986",,,"None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Comedy, Fantasy, Horror, Supernatural",47 min.,G - All Ages,0,,
79,Ginga Tetsudou 999: Akai Hoshi Betelgeuze - Inochi no Kagayaki,,6.20,13745,8450,970,Movie,1,Finished Airing,"Jan 4, 2014",,,"None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Drama, Sci-Fi",25 min.,G - All Ages,1,Space,
80,Halloween Pajama,,6.23,16118,8301,510,ONA,1,Finished Airing,"Oct 31, 2022",,,"None found, add some","None found, add some","None found, add some",Manga,Supernatural,7 min.,PG-13 - Teens 13 or older,2,Music,
81,Infini-T Force Movie: Gatchaman - Saraba Tomo yo,"Infini-T Force: Farewell, Friend",6.23,11273,8303,2,Movie,1,Finished Airing,"Feb 24, 2018",,,"Yomiuri Telecasting,       Shochiku,       HoriPro,       Pony Canyon,       Digital Frontier,       Bushiroad,       Nippon Television Network,       bilibili,       Nippon Television Music,       Hulu,       Kadokawa,       Sapporo Television Broadcasting,       Miyagi Television Broadcasting,       Shizuoka Daiichi Television,       Chukyo TV Broadcasting,       Hiroshima Television,       Fukuoka Broadcasting System",VIZ Media,Tatsunoko Production,Manga,"Action, Sci-Fi",1 hr. 30 min.,None,0,Super Power,Seinen
