,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
103,Rokudenashi Blues 1993,,6.23,11762,8324,1,Movie,1,Finished Airing,"Jul 24, 1993",,,"None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Drama, Sports",1 hr. 24 min.,R - 17+ (violence & profanity),1,"Combat Sports, Delinquents, School",Shounen
104,Sangokushi (1985),,6.23,12861,8325,1,TV Special,1,Finished Airing,"Mar 20, 1985",,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,,1 hr. 33 min.,R+ - Mild Nudity,4,Historical,
105,Sekai Meisaku Douwa Series,,6.23,15598,8326,571,TV,4,Finished Airing,"Apr 7, 1988 to Apr 28, 1988",Spring 1988,Thursdays at 18:00 (JST),"None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Fantasy, Supernatural",25 min. per ep.,G - All Ages,0,Historical,Kids
106,Jungle Taitei Movie,,6.22,11971,8327,1,Movie,1,Finished Airing,"Jul 31, 1966",,,Tezuka Productions,"None found, add some",Mushi Production,Unknown,Adventure,1 hr. 14 min.,G - All Ages,1,,Shounen
107,King of Prism: Shiny Seven Stars IV - Louis x Shin x Unknown,,6.22,14005,8329,892,Movie,1,Finished Airing,"May 4, 2019",,,"None found, add some","None found, add some",Tatsunoko Production,Original,Sports,1 hr. 9 min.,PG-13 - Teens 13 or older,0,"Idols (Male), Music",
108,Kidou Senshi SD Gundam Mk-I,Mobile Suit SD Gundam Mk-I,6.22,8496,8328,5,Special,3,Finished Airing,"Mar 12, 1988 to May 25, 1988",,,"None found, add some","None found, add some",Sunrise,Original,"Action, Comedy, Sci-Fi",10 min. per ep.,PG - Children,1,"Mecha, Parody",
109,Kitsune Tsuki,Fox Fears,6.22,14437,8330,786,Movie,1,Finished Airing,2015,,,Geidai Animation,"None found, add some","None found, add some",Original,Drama,7 min.,G - All Ages,0,,
110,Li Shi Zhentan Shiwusuo: A Day in Lungmen - Home Service,Lee's Detective Agency: A Day in Lungmen - Home Service,6.22,14408,8331,791,ONA,1,Finished Airing,"Oct 24, 2021",,,"None found, add some","None found, add some","HMCH,       Gravity Well",Game,"Action, Comedy, Mystery",3 min.,PG-13 - Teens 13 or older,0,"Anthropomorphic, Detective",
111,Mahou Shoujo Site Recaps,Magical Girl Site Recaps,6.22,8279,8332,5,Special,2,Finished Airing,"May 10, 2018 to Jun 13, 2018",,,Avex Pictures,"None found, add some",production doA,Manga,"Drama, Horror, Supernatural",16 min. per ep.,R - 17+ (violence & profanity),7,"Gore, Mahou Shoujo, Psychological",
112,Majokko Tickle,,6.22,11930,8333,1,TV,45,Finished Airing,"Mar 6, 1978 to Jan 29, 1979",Spring 1978,Unknown,"None found, add some","None found, add some",Toei Animation,Original,Comedy,24 min. per ep.,G - All Ages,3,,
113,Mamono Hunter Youko,Devil Hunter Yohko,6.22,5762,8334,13,OVA,5,Finished Airing,"Dec 1, 1990 to Jul 1, 1995",,,TOHO,ADV Films,Madhouse,Original,"Comedy, Fantasy, Horror, Supernatural",36 min. per ep.,R+ - Mild Nudity,30,,
114,Mamono-tachi no Kunou,,6.22,10930,8335,2,ONA,12,Finished Airing,"Oct 10, 2020 to Dec 24, 2020",,,"None found, add some","None found, add some","Doga Kobo,       AQUA ARIS",Manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,3,,
115,Metallic Rouge,,6.22,2198,8336,93,TV,13,Finished Airing,"Jan 11, 2024 to Apr 4, 2024",Winter 2024,Thursdays at 00:55 (JST),"Dentsu,       Fuji TV,       GAGA,       Fujipacific Music,       BS Fuji,       bilibili,       Crunchyroll,       Line Digital Frontier","None found, add some",Bones,Original,"Action, Sci-Fi",22 min. per ep.,PG-13 - Teens 13 or older,359,,
116,Midnight Eye: Gokuu II,Goku II: Midnight Eye,6.22,7472,8337,6,OVA,1,Finished Airing,"Dec 22, 1989",,,"None found, add some","Discotek Media,       Urban Vision",Madhouse,Manga,"Action, Mystery, Sci-Fi",53 min.,R+ - Mild Nudity,3,"Adult Cast, Detective, Super Power",Seinen
117,Mini Hama: Minimum Hamatora,,6.22,8640,8338,4,TV,8,Finished Airing,"Nov 1, 2015 to Dec 21, 2015",Fall 2015,Mondays at 21:24 (JST),"None found, add some","None found, add some",Lerche,Mixed media,"Comedy, Mystery",5 min. per ep.,PG-13 - Teens 13 or older,1,"School, Super Power",
118,Miss Monochrome The Animation: Manager,,6.22,7600,8339,6,OVA,1,Finished Airing,"May 25, 2014",,,Starchild Records,"None found, add some",SANZIGEN,Original,"Comedy, Slice of Life",4 min.,G - All Ages,2,"Idols (Female), Music",
