Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Yadamon,Yadamon: Magical Dreamer,6.37,11099,7523,2,TV,170,Finished Airing,"Aug 24, 1992 to Jul 16, 1993",Summer 1992,Not scheduled once per week,Avaco Creative Studios,"None found, add some",Group TAC,Unknown,"Adventure, Comedy, Fantasy",,10 min. per ep.,PG-13 - Teens 13 or older,13,
10-pun de Oitsukeru: Shingeki no Kyojin,Attack on Titan in 10 Minutes,6.37,9689,7524,3,ONA,1,Finished Airing,02-Jul-18,,,"None found, add some","None found, add some",Wit Studio,Manga,"Action, Drama, Fantasy, Mystery","Military, Super Power",11 min.,R - 17+ (violence & profanity),21,
15-fun de Oitsukeru: Shingeki no Kyojin,Attack on Titan in 15 Minutes,6.37,9640,7525,3,ONA,1,Finished Airing,02-Dec-20,,,"None found, add some","None found, add some",Wit Studio,Manga,"Action, Drama, Fantasy, Mystery","Military, Super Power",15 min.,R - 17+ (violence & profanity),6,
Ai Zai Xiyuan Qian,,6.37,10767,7526,2,ONA,12,Finished Airing,"Jul 13, 2019 to Aug 31, 2019",,,"None found, add some","None found, add some",Taikong Works,Music,"Action, Fantasy, Romance, Sci-Fi",,14 min. per ep.,PG-13 - Teens 13 or older,11,
Anime Koukyoushi: Jungle Taitei,,6.37,12142,7527,1,OVA,1,Finished Airing,01-Apr-91,,,Tezuka Productions,"None found, add some",Madhouse,Manga,Adventure,,51 min.,G - All Ages,3,"KidsKids,         ShounenShounen"
Animegataris,Anime-Gataris,6.37,2455,7528,77,TV,12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",Fall 2017,Sundays at 22:00 (JST),"W-Toon Studio,       Yomiuri TV Enterprise,       DMM.futureworks,       JY Animation",Funimation,WAO World,Original,Comedy,"Otaku Culture, Parody, School",23 min. per ep.,PG-13 - Teens 13 or older,119,
Ashita Genki ni Nare!: Hanbun no Satsumaimo,Tomorrow Will Become Better!: Half a Sweet Potato,6.37,13609,7529,1,Movie,1,Finished Airing,30-Jun-05,,,Studio Kelmadick,"None found, add some",AYCO,Novel,Drama,,1 hr. 29 min.,,1,
Baraou no Souretsu,Requiem of the Rose King,6.37,2854,7530,60,TV,24,Finished Airing,"Jan 9, 2022 to Jun 26, 2022",Winter 2022,Sundays at 22:30 (JST),"Lantis,       Akita Shoten",Crunchyroll,J.C.Staff,Manga,"Action, Drama, Supernatural",Historical,23 min. per ep.,PG-13 - Teens 13 or older,390,Shoujo
Black Jack: Heian Sento,Black Jack: Grandma,6.37,10389,7531,2,Movie,1,Finished Airing,1996,,,Beijing Sharaku Art,"None found, add some","None found, add some",Manga,,Medical,10 min.,PG-13 - Teens 13 or older,1,Shounen
Chiba Pedal: Yowamushi Pedal to Manabu Jitensha Koutsuu Anzen,,6.37,8316,7532,5,ONA,6,Finished Airing,"Jul 1, 2016 to Sep 9, 2016",,,"None found, add some","None found, add some","None found, add some",Manga,,Educational,1 min. per ep.,PG-13 - Teens 13 or older,2,Shounen
Chikyuu Bouei Kazoku Special,The Daichis: Earth's Defence Family - Into the Depths of Marital Hell,6.37,14921,7533,675,Special,1,Finished Airing,25-Nov-02,,,"Bandai Visual,       Group TAC","None found, add some","None found, add some",Original,"Action, Drama",Strategy Game,22 min.,PG-13 - Teens 13 or older,0,
Chinpui,,6.37,11207,7534,2,TV,56,Finished Airing,"Feb 11, 1989 to Apr 18, 1991",Winter 1989,Unknown,"TV Asahi,       Asatsu DK","None found, add some",Shin-Ei Animation,Manga,Comedy,,25 min. per ep.,G - All Ages,10,
Choujuushin Gravion,Super Heavy God Gravion,6.37,5542,7535,14,TV,13,Finished Airing,"Oct 8, 2002 to Dec 17, 2002",Fall 2002,Unknown,Imagica,ADV Films,Gonzo,Original,"Action, Comedy, Sci-Fi",Mecha,23 min. per ep.,PG-13 - Teens 13 or older,19,
Cinderella Girls Gekijou: Kayou Cinderella Theater 3rd Season,THE IDOLM@STER CINDERELLA GIRLS Theater (Web) 3rd Season,6.37,9239,7536,3,ONA,7,Finished Airing,"Jul 3, 2018 to Sep 25, 2018",,,"Nippon Columbia,       Bandai Namco Entertainment,       Kadokawa",Crunchyroll,"Gathering,       Lesprit",4-koma manga,"Comedy, Slice of Life",,1 min. per ep.,PG-13 - Teens 13 or older,3,
Escha Chron,,6.37,7066,7537,8,ONA,2,Finished Airing,03-Nov-17,,,"DIVE II Entertainment,       Avex Pictures",Sentai Filmworks,Lerche,Other,"Sci-Fi, Slice of Life","CGDCT, Music",24 min. per ep.,PG-13 - Teens 13 or older,7,
Eternal Boys Next Stage,,6.37,12171,7538,1,Movie,1,Finished Airing,09-Jun-23,,,Fuji TV,"None found, add some",LIDENFILMS,Original,Slice of Life,"Adult Cast, Idols (Male), Music",1 hr. 9 min.,PG-13 - Teens 13 or older,3,
Feng Yun Jue,Storm Rider: Clash of the Evils,6.37,10611,7539,2,Movie,1,Finished Airing,19-Jul-08,,,Puzzle Animation Studio Limited,"None found, add some","None found, add some",Manga,"Action, Adventure",Martial Arts,1 hr. 39 min.,PG-13 - Teens 13 or older,1,
Frame Arms Girl,,6.37,3851,7540,33,TV,12,Finished Airing,"Apr 4, 2017 to Jun 20, 2017",Spring 2017,Tuesdays at 01:05 (JST),"Frontier Works,       Pony Canyon,       Nippon Columbia,       Bandai Namco Games,       Kotobukiya",Sentai Filmworks,"Zexcs,       Studio A-CAT",Other,"Action, Sci-Fi",Mecha,23 min. per ep.,PG-13 - Teens 13 or older,51,
Future Card Shin Buddyfight,Future Card Buddyfight Ace,6.37,9523,7541,3,TV,47,Finished Airing,"Jun 2, 2018 to Apr 27, 2019",Summer 2018,Saturdays at 08:00 (JST),Bushiroad,"None found, add some","Xebec,       OLM",Card game,,Strategy Game,24 min. per ep.,PG - Children,5,
Gall Force 1: Eternal Story,,6.37,7174,7542,7,Movie,1,Finished Airing,28-Jul-86,,,"Movic,       Sony Music Entertainment",Central Park Media,"AIC,       Artmic,       animate Film",Original,"Action, Adventure, Sci-Fi","Mecha, Military, Space",1 hr. 26 min.,R+ - Mild Nudity,15,
Ginga Hyouryuu Vifam: Keito no Kioku - Namida no Dakkai Sakusen,,6.37,13892,7543,922,OVA,1,Finished Airing,25-Sep-85,,,"None found, add some","None found, add some",Sunrise,Original,"Action, Adventure, Sci-Fi",Mecha,57 min.,G - All Ages,0,
Girls Bravo: First Season,Girls Bravo,6.37,1546,7544,150,TV,11,Finished Airing,"Jul 5, 2004 to Sep 27, 2004",Summer 2004,Unknown,"AIC,       Lantis,       Kadokawa Shoten,       Fuji TV,       Rakuonsha,       KlockWorx,       Happinet Pictures,       Studio Jack","Funimation,       Geneon Entertainment USA",AIC Spirits,Manga,"Comedy, Fantasy, Romance, Ecchi","Harem, Isekai, School",23 min. per ep.,R+ - Mild Nudity,327,Shounen
"Hachigatsu no Cinderella Nine: Tsuzuku, Monogatari",Cinderella Nine: The Story Continues,6.37,11683,7545,1,Special,1,Finished Airing,25-Sep-21,,,"None found, add some","None found, add some",TMS Entertainment,Game,Sports,"School, Team Sports",23 min.,PG-13 - Teens 13 or older,5,
Hataraku Oniisan!,Working Buddies!,6.37,6850,7546,8,TV,12,Finished Airing,"Jan 5, 2018 to Mar 23, 2018",Winter 2018,Fridays at 21:54 (JST),"Lantis,       Movic,       Half H.P Studio,       BS Fuji,       Tokyo MX,       Good Smile Company","None found, add some",Tomovies,Original,Comedy,"Anthropomorphic, Workplace",4 min. per ep.,G - All Ages,19,
Heavy Object: Dai 37 Kidou Seihi Daitai - Sakusen Kiroku,,6.37,9822,7547,3,TV Special,1,Finished Airing,05-Dec-15,,,"None found, add some","None found, add some","J.C.Staff,       SANZIGEN",Light novel,Action,,20 min.,PG-13 - Teens 13 or older,2,
Interlude,,6.37,5506,7548,14,OVA,3,Finished Airing,"Mar 25, 2004 to Aug 27, 2004",,,Happinet Pictures,Geneon Entertainment USA,Toei Animation,Visual novel,"Adventure, Horror, Mystery",,40 min. per ep.,R - 17+ (violence & profanity),19,
.hack//G.U. Trilogy: Parody Mode,,6.36,6226,7549,10,Special,1,Finished Airing,25-Mar-08,,,Bandai Visual,"None found, add some","None found, add some",Game,"Comedy, Fantasy, Sci-Fi","Parody, Video Game",6 min.,PG-13 - Teens 13 or older,10,
Ashita Sekai ga Owaru toshitemo,The Relative Worlds,6.36,4368,7550,26,Movie,1,Finished Airing,25-Jan-19,,,"Shochiku,       Hakuhodo DY Media Partners,       Hakuhodo,       Shochiku Media Division,       Lawson Entertainment,       HJ Holdings","None found, add some",Craftar Studios,Original,"Action, Drama, Romance, Sci-Fi",,1 hr. 33 min.,PG-13 - Teens 13 or older,59,
Astro Note,,6.36,4558,7551,23,TV,12,Currently Airing,"Apr 5, 2024 to Jun 21, 2024",Spring 2024,Fridays at 22:30 (JST),"Lantis,       Shochiku,       Movic,       Tokyo MX,       Crunchyroll,       BS Asahi,       Bandai Namco Music Live,       Tokyu Agency","None found, add some",Telecom Animation Film,Original,"Comedy, Romance, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,41,
