,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
0,Miss Monochrome The Animation,,6.37,3129,7502,50,TV,13,Finished Airing,"Oct 2, 2013 to Dec 25, 2013",Fall 2013,Wednesdays at 01:35 (JST),"TV Tokyo,       Starchild Records",Crunchyroll,"SANZIGEN,       LIDENFILMS",Original,Comedy,"Idols (Female), Music",4 min. per ep.,G - All Ages,54,
1,Mori no Densetsu,Legend of the Forest,6.37,11161,7503,2,Movie,1,Finished Airing,"Dec 18, 1987",,,"None found, add some","None found, add some",Tezuka Productions,Original,"Adventure, Award Winning, Drama, Fantasy",Music,29 min.,G - All Ages,1,
2,Mao Yu Tao Hua Yuan,Cats and Peachtopia,6.37,13808,7501,948,Movie,1,Finished Airing,"Apr 5, 2018",,,"None found, add some","None found, add some",Light Chaser Animation Studios,Original,"Adventure, Comedy, Fantasy",Anthropomorphic,1 hr. 45 min.,G - All Ages,1,
3,Nils no Fushigi na Tabi (Movie),The Wonderful Adventures of Nils Movie,6.37,12555,7504,1,OVA,1,Finished Airing,"Oct 1, 1985",,,"None found, add some","None found, add some",Pierrot,Novel,"Adventure, Fantasy",,1 hr. 36 min.,G - All Ages,1,Kids
4,Ochibi-san,,6.37,13928,7506,910,TV,24,Finished Airing,"Oct 8, 2023 to Mar 31, 2024",Fall 2023,Sundays at 00:00 (JST),NHK,"None found, add some",Khara,Manga,Slice of Life,Iyashikei,5 min. per ep.,G - All Ages,3,
5,Nurarihyon no Mago Recaps,,6.37,5654,7505,13,TV Special,2,Finished Airing,"Sep 28, 2010 to Dec 28, 2010",,,"None found, add some",VIZ Media,Studio Deen,Manga,"Action, Supernatural",Mythology,24 min. per ep.,PG-13 - Teens 13 or older,7,Shounen
6,Ojarumaru,Prince Mackaroo,6.37,11251,7507,2,TV,Unknown,Currently Airing,"Oct 5, 1998 to ?",Fall 1998,Not scheduled once per week,NHK,Enoki Films,Gallop,Original,"Adventure, Award Winning, Comedy, Fantasy",,10 min.,G - All Ages,4,Kids
7,Otousan wa Ai no Hito,,6.37,14747,7508,711,ONA,1,Finished Airing,"Jul 26, 2016",,,"None found, add some","None found, add some","None found, add some",Original,"Drama, Slice of Life",,3 min.,G - All Ages,1,
8,Pokemon Ranger: Hikari no Kiseki,Pokémon Ranger: Guardian Signs,6.37,6457,7509,9,TV Special,2,Finished Airing,"Feb 28, 2010 to Mar 7, 2010",,,TV Tokyo,The Pokemon Company International,OLM,Game,"Adventure, Comedy, Fantasy",,5 min. per ep.,PG - Children,2,Kids
9,Rebecca,The Chronicles of Rebecca,6.37,12298,7510,1,ONA,1,Finished Airing,"Mar 27, 2020",,,"None found, add some","None found, add some",Vega Entertainment,Novel,Slice of Life,,24 min.,G - All Ages,3,
10,Sakura Taisen: Ecole de Paris,,6.37,8853,7512,4,OVA,3,Finished Airing,"Mar 19, 2003 to Aug 20, 2003",,,"Sega,       Imagine",Funimation,Radix,Game,"Action, Adventure, Sci-Fi","Mecha, Performing Arts",24 min. per ep.,PG-13 - Teens 13 or older,3,
11,Ring ni Kakero 1: Kage Dou-hen,,6.37,10961,7511,2,TV,6,Finished Airing,"Apr 2, 2010 to Jun 17, 2010",Spring 2010,Unknown,"None found, add some","None found, add some",Toei Animation,Manga,Sports,Combat Sports,24 min. per ep.,PG-13 - Teens 13 or older,1,Shounen
12,Seikon no Qwaser: Jotei no Shouzou,The Qwaser of Stigmata: Portrait of the Empress,6.37,4188,7513,28,OVA,1,Finished Airing,"Oct 20, 2010",,,TAKI Corporation,Sentai Filmworks,Hoods Entertainment,Manga,"Action, Supernatural, Ecchi","Gore, Harem, School, Super Power",23 min.,R+ - Mild Nudity,16,Seinen
