,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
0,Doraemon: Benkyou Heya no Tsuribori,,6.14,12929,8760,1,Special,1,Finished Airing,"Oct 3, 1979","None found, add some","None found, add some","None found, add some",Manga,"Comedy, Sci-Fi","KidsKids,         ShounenShounen",12 min.,PG - Children,0,,,
1,Dororonpa!,,6.14,14833,8761,691,TV,115,Finished Airing,"Apr 8, 1991 to Sep 27, 1991",TV Asahi,"None found, add some",Shin-Ei Animation,Unknown,"Comedy, Slice of Life, Supernatural",,10 min. per ep.,PG - Children,0,Spring 1991,Unknown,
2,Duel Masters Cross Shock,,6.14,11069,8762,2,TV,50,Finished Airing,"Apr 3, 2010 to Mar 26, 2011","Shogakukan-Shueisha Productions,       Asahi Broadcasting","None found, add some",Shogakukan Music & Digital Entertainment,Original,"Action, Adventure, Comedy, Fantasy",Kids,10 min. per ep.,PG-13 - Teens 13 or older,1,Spring 2010,Unknown,Strategy Game
3,Denshinbashira Elemi no Koi,Elemi,6.14,9576,8759,3,Movie,1,Finished Airing,Jan 2009,"None found, add some","None found, add some",Sovat Theater,Original,"Award Winning, Fantasy",,44 min.,G - All Ages,8,,,
4,Ganbare Goemon,Legend of the Mystical Ninja,6.14,11408,8763,2,TV,23,Finished Airing,"Oct 4, 1997 to Mar 28, 1998",Konami,ADV Films,Trans Arts,Game,Comedy,Shounen,24 min. per ep.,G - All Ages,4,Fall 1997,Saturdays at 17:00 (JST),
5,Getter Robo Go,,6.14,10094,8764,3,TV,50,Finished Airing,"Feb 11, 1991 to Jan 27, 1992",Dynamic Planning,"None found, add some",Toei Animation,Manga,"Action, Adventure",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,4,Winter 1991,Unknown,"Mecha, Military"
6,Girly Air Force,,6.14,2403,8766,80,TV,12,Finished Airing,"Jan 10, 2019 to Mar 28, 2019","Sotsu,       AT-X,       KlockWorx,       Tokyo MX,       Avex Pictures,       BS11,       Crunchyroll,       Cygames,       Kadokawa,       CA-Cygames Anime Fund",Discotek Media,Satelight,Light novel,"Action, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,185,Winter 2019,Thursdays at 23:00 (JST),Military
7,Gigi Goegoe Sunghyungsoo,Beauty Water,6.14,11504,8765,1,Movie,1,Finished Airing,"Sep 9, 2020","None found, add some","None found, add some",Studio Animal,Web manga,"Horror, Suspense",,1 hr. 25 min.,R+ - Mild Nudity,3,,,
8,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,,6.14,3900,8767,33,TV,12,Finished Airing,"Jan 24, 2012 to Mar 27, 2012","Lantis,       Cammot","None found, add some",LMD,Manga,"Comedy, Girls Love, Ecchi",Seinen,6 min. per ep.,PG-13 - Teens 13 or older,45,Winter 2012,Tuesdays at Unknown,School
9,Green Green,,6.14,1854,8768,118,TV,12,Finished Airing,"Jul 13, 2003 to Sep 28, 2003","Pony Canyon,       Memory-Tech,       Pony Canyon Enterprises",Media Blasters,Studio Matrix,Visual novel,"Comedy, Romance, Ecchi",,24 min. per ep.,R+ - Mild Nudity,225,Summer 2003,Tuesdays at 00:05 (JST),School
10,Gundam Neo Experience 0087: Green Divers,,6.14,9279,8769,3,Movie,1,Finished Airing,"Aug 10, 2001",Bandai Visual,"None found, add some",Sunrise,Original,"Adventure, Sci-Fi",,23 min.,PG-13 - Teens 13 or older,1,,,"Mecha, Space"
11,Hanabi-chan wa Okuregachi,Hanabi-chan: The Girl Who Popped Out of the Game World,6.14,8492,8770,5,TV,12,Finished Airing,"Jul 10, 2022 to Sep 25, 2022","None found, add some","None found, add some",Gaina,Manga,Comedy,,4 min. per ep.,PG-13 - Teens 13 or older,12,Summer 2022,Sundays at 21:55 (JST),
12,Hare Tokidoki Buta,"Fair, then Partly Piggy",6.14,15313,8771,613,Movie,1,Finished Airing,"Aug 23, 1988",Gakken,Discotek Media,Oh! Production,Picture book,Comedy,Kids,1 hr. 14 min.,PG - Children,1,,,
13,Harukanaru Toki no Naka de: Hachiyou Shou Recap,,6.14,13602,8772,1,Special,1,Finished Airing,"Jul 28, 2006","None found, add some","None found, add some",Yumeta Company,Visual novel,"Fantasy, Supernatural",Shoujo,32 min.,PG-13 - Teens 13 or older,1,,,"Historical, Mythology, Time Travel"
14,Hi no Tori: Hagoromo-hen,,6.14,14685,8773,726,Movie,1,Finished Airing,"Jul 17, 2004","None found, add some","None found, add some",Tezuka Productions,Manga,Drama,,21 min.,G - All Ages,0,,,
15,Hitsuji no Uta,,6.14,5056,8774,18,OVA,4,Finished Airing,"May 25, 2003 to Feb 25, 2004","Group TAC,       KENMedia","None found, add some",Madhouse,Manga,"Drama, Horror",Seinen,30 min. per ep.,R - 17+ (violence & profanity),40,,,Vampire
16,Kagerou Daze: In a Day's,,6.14,5233,8775,16,Movie,1,Finished Airing,"Nov 4, 2016","Aniplex,       1st PLACE,       KDDI","None found, add some",Jumonji,Mixed media,"Comedy, Romance, Sci-Fi, Slice of Life, Supernatural",,23 min.,PG-13 - Teens 13 or older,24,,,
17,Kinnikuman: Ooabare! Seigi Choujin,,6.14,12264,8776,1,Movie,1,Finished Airing,"Dec 22, 1984","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Sports",Shounen,48 min.,PG-13 - Teens 13 or older,0,,,Combat Sports
18,Kirari Kagayaku,,6.14,16815,8777,439,ONA,1,Finished Airing,"Mar 29, 2017","None found, add some","None found, add some","None found, add some",Original,"Romance, Slice of Life",,10 min.,G - All Ages,0,,,Music
19,Kyoukaisenjou no Horizon: Kyokutou Naruhodo Kouza,,6.14,9224,8778,4,ONA,4,Finished Airing,"Aug 7, 2011 to Sep 29, 2011",Studio Moriken,"None found, add some",Sunrise,Light novel,"Comedy, Fantasy",,8 min. per ep.,PG-13 - Teens 13 or older,5,,,School
20,Littleforestmello,Littleforestfellow,6.14,15274,8779,619,ONA,3,Finished Airing,"Sep 6, 2016 to Sep 21, 2017",Sanrio,"None found, add some","None found, add some",Original,,Kids,2 min. per ep.,G - All Ages,2,,,
21,Macross 25-shuunen Kinen: All That VF Macross Zero Version,Macross 25th Anniversary: All That VF Macross Zero Version,6.14,9643,8780,3,ONA,1,Finished Airing,"Jul 25, 2008","None found, add some","None found, add some","None found, add some",Original,"Action, Sci-Fi",,2 min.,PG-13 - Teens 13 or older,1,,,Mecha
22,Maido! Urayasu Tekkin Kazoku,,6.14,12732,8781,1,TV,24,Finished Airing,"Jul 6, 2014 to Dec 21, 2014","None found, add some","None found, add some",Studio Deen,Manga,Comedy,Shounen,2 min. per ep.,PG-13 - Teens 13 or older,3,Summer 2014,Unknown,Gag Humor
23,Majutsushi Orphen Hagure Tabi: Urbanrama-hen,Sorcerous Stabber Orphen -Chaos in Urbanrama-,6.14,5341,8782,15,TV,12,Finished Airing,"Jan 18, 2023 to Apr 5, 2023","WOWOW,       Lantis,       MediaNet,       Bushiroad,       BS Fuji,       Nippon Television Network,       Yomiuri TV Enterprise,       TO Books,       NetEase,       Bandai Namco Music Live","None found, add some",Studio Deen,Light novel,"Action, Adventure, Drama, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,60,Winter 2023,Wednesdays at 20:30 (JST),Martial Arts
24,Maken-Ki! Two,,6.14,1490,8783,157,TV,10,Finished Airing,"Jan 16, 2014 to Mar 20, 2014","Kadokawa Shoten,       AT-X,       Nippon Columbia,       KlockWorx,       Toranoana,       Docomo Anime Store,       Kadokawa Media House",Funimation,Xebec,Manga,"Action, Ecchi",Shounen,24 min. per ep.,R+ - Mild Nudity,183,Winter 2014,Thursdays at 01:30 (JST),"Harem, Martial Arts, School, Super Power"
25,Meitantei Conan: Kodai Kyouryuu no Nazo ni Semare!,,6.14,12654,8784,1,OVA,1,Finished Airing,"Jun 21, 2002","None found, add some","None found, add some","None found, add some",Manga,Mystery,,15 min.,PG-13 - Teens 13 or older,1,,,
26,Memory (ONA),,6.14,10344,8785,2,ONA,1,Finished Airing,Apr 2009,"None found, add some","None found, add some","None found, add some",Original,"Drama, Sci-Fi, Slice of Life",,7 min.,PG-13 - Teens 13 or older,1,,,Military
27,Onikiri Musume Saisen,,6.14,14332,8786,814,ONA,1,Finished Airing,"Aug 8, 2014","None found, add some","None found, add some","None found, add some",Original,Action,,1 min.,PG - Children,0,,,Samurai
28,Oraa Guzura Dado (1987),,6.14,13739,8787,971,TV,44,Finished Airing,"Oct 2, 1987 to Sep 20, 1988","None found, add some","None found, add some",Tatsunoko Production,Unknown,Comedy,Kids,30 min. per ep.,PG - Children,0,Fall 1987,Unknown,
29,Pandora to Akubi,,6.14,9534,8788,3,Movie,2,Finished Airing,"Apr 5, 2019","Tatsunoko Production,       XFLAG,       Sonilude","None found, add some",Bakken Record,Other,"Action, Fantasy",,27 min. per ep.,G - All Ages,2,,,
30,Sakura Tsuushin,Sakura Diaries,6.14,5439,8790,15,OVA,12,Finished Airing,"May 21, 1997 to Oct 22, 1997","Kitty Films,       Studio Tulip",ADV Films,Shaft,Manga,"Comedy, Drama, Romance, Slice of Life",,21 min. per ep.,R+ - Mild Nudity,17,,,Love Polygon
31,Queen's Blade: Grimoire,,6.14,5947,8789,12,OVA,2,Finished Airing,"Jan 29, 2016 to Sep 28, 2016","Genco,       Pony Canyon","None found, add some","Arms,       asread.",Other,"Action, Adventure, Fantasy, Ecchi",,29 min. per ep.,R+ - Mild Nudity,15,,,
32,Scan2Go,,6.14,9619,8791,3,TV,52,Finished Airing,"Aug 9, 2010 to Mar 29, 2011",d-rights,Cookie Jar Entertainment,SynergySP,Original,Sci-Fi,Kids,25 min. per ep.,G - All Ages,12,Summer 2010,Unknown,"Racing, Space, Strategy Game"
33,Shakugan no Shana: Friagne & Marianne no Naze Nani Shana! Nandemo Shitsumonbako! Specials,,6.14,8390,8792,5,Special,3,Finished Airing,"Oct 27, 2006","None found, add some","None found, add some",J.C.Staff,Light novel,"Comedy, Fantasy, Supernatural",,6 min. per ep.,PG-13 - Teens 13 or older,0,,,
